pXC50,N.,nAT,nBT,RBN,Se,Si
5.62,2.6,78,80,19,78.072,87.727
7.523,1.2,85,90,15,86.629,93.82
7.301,1.3,79,83,15,82.36,88.344
7.155,1.2,81,85,15,82.629,89.82
7.046,1.1,93,97,19,94.163,103.481
7.0,1.3,78,82,15,79.745,86.405
6.959,1.3,79,83,15,80.822,87.325
6.959,1.3,75,79,14,77.374,83.33
6.721,1.3,78,82,14,79.745,86.405
6.699,1.1,87,91,17,88.396,96.651
6.678,1.3,75,79,14,77.509,82.878
6.658,1.3,75,79,14,77.374,83.33
6.638,1.3,78,82,14,79.745,86.405
6.62,1.3,75,79,14,76.862,82.99
6.097,1.2,84,88,15,85.512,93.236
6.041,1.3,75,79,14,77.887,83.669
5.959,1.3,79,83,15,81.073,87.615
5.886,2.6,76,80,14,78.08,84.073
3.328,3.1,32,32,4,33.225,36.385
2.943,3.1,32,32,4,33.225,36.385
2.947,7.7,26,26,5,28.004,29.847
3.387,7.7,26,26,5,28.004,29.847
3.77,6.7,30,30,6,31.887,34.262
3.187,4.3,23,23,3,24.575,26.139
3.585,2.8,36,37,4,37.109,40.8
3.824,3.3,30,31,4,31.458,33.554
4.097,3.3,30,31,4,31.458,33.554
5.433,2.3,44,46,7,45.691,49.685
5.921,2.3,44,46,7,45.691,49.685
6.041,2.1,47,49,7,48.574,53.1
6.137,2.1,48,50,8,49.902,54.31
6.721,2.1,47,49,8,49.345,53.104
5.252,3.7,107,110,23,107.559,120.843
4.699,2.9,102,105,23,103.018,114.723
4.0,3.8,105,108,24,105.676,118.427
4.0,3.9,102,105,23,102.792,115.012
3.222,5.0,20,20,3,21.691,22.724
5.538,3.7,109,113,23,111.287,122.98
5.284,3.7,107,111,21,109.003,121.04
5.553,3.8,106,110,22,107.119,119.222
5.509,3.7,108,112,22,109.959,121.771
4.712,3.5,113,117,25,114.985,127.265
4.979,3.7,109,113,23,110.774,122.64
5.745,2.8,107,111,23,107.901,120.139
4.0,6.5,107,110,25,108.541,121.301
5.602,2.8,106,110,22,107.599,119.609
5.721,2.8,107,111,23,108.927,120.818
5.678,3.8,106,110,22,107.119,119.222
5.398,5.2,97,99,22,98.454,109.89
4.0,5.1,98,100,22,99.781,111.099
5.62,2.8,106,110,22,106.574,118.929
4.523,2.9,102,105,23,103.018,114.723
4.745,2.9,104,107,23,104.574,116.929
4.658,2.9,105,108,24,105.978,118.059
4.921,2.7,110,114,23,110.458,123.344
4.0,4.2,96,99,20,98.123,108.395
5.097,4.1,98,100,23,99.236,110.806
4.086,3.7,109,113,23,110.774,122.64
