pXC50,N.070,nArNHR,ATS6m,IDMT,LPRS,ATSC8m,ATS7v,Eig11_EA.ri.,ON0,X0,ATS7p,ATS7s,Psi_i_0,GMTI,IDET,SMTI,IAC,TIC0,Eig10_AEA.dm.,PHI,ATS8s,ATSC8i,Eta_epsi,S1K,AECC,MSD,HVcpx,ON1,Dz,SpMax8_Bh.s.,ATSC6i,ATSC7i,X0sol,Eig09_EA.ri.,Sv,Psi_e_0,X2,GMTIV,Chi0_EA.ri.,IDE,Chi1_EA.ri.,ATS8e,ICR,SMTIV,Eta_C,DECC,SpMin3_Bh.m.,SpAD_AEA.dm.,Eta_alpha,S0K,Eta_betaS,SAtot,Eig09_EA,SM03_AEA.dm.,Eig06_AEA.dm.,ATSC7p,ATS5v,Chi0_AEA.bo.,Chi0_AEA.dm.,Chi0_AEA.ed.,Chi0_AEA.ri.,Chi0_EA,X1,Eig11_AEA.dm.,HDcpx,IDM,Sp,SpMaxA_AEA.ri.
5.0,0,0,3.898,15393.9,132.502,21.198,3.858,0.983,13.5,18.803,3.953,5.719,18.812,8549.0,1215.67,8183.0,72.336,72.336,1.0,4.763,5.71,1.31,27.048,17.477,10.037,6.08,3.291,5.889,58.0,3.716,1.223,1.216,18.221,1.0,30.037,9.975,11.896,27336.0,18.876,3.463,15.642,4.594,2.75,14750.0,17.941,1.451,1.921,48.057,13.152,116.382,17.0,431.29,1.0,1.0,2.432,7.987,3.871,18.361,18.361,18.361,18.361,18.361,13.114,1.0,1.706,8.228,31.387,0.139
5.0,0,1,3.717,12517.9,120.213,16.149,3.675,0.983,11.833,17.062,3.781,5.403,17.582,7458.0,1045.76,7000.0,59.835,59.835,1.0,4.384,5.255,0.837,24.286,15.707,10.4,6.034,3.346,5.5,52.333,3.674,1.026,0.952,17.562,1.0,28.074,9.15,10.811,21561.0,17.698,3.486,14.462,4.285,2.953,12027.0,15.877,1.856,1.943,41.973,12.314,108.096,15.75,407.132,1.013,1.013,1.907,6.574,3.723,17.361,17.361,17.361,17.361,17.361,12.293,1.0,1.681,7.983,29.449,0.148
5.9,0,2,3.967,26063.9,159.05,23.702,3.75,1.0,16.0,21.51,3.84,5.662,20.755,13122.0,1733.18,12898.0,91.69,91.69,1.238,8.128,5.523,0.988,32.805,22.591,14.1,8.365,3.762,6.611,65.167,4.138,1.177,1.067,22.51,1.301,34.46,11.009,13.224,41329.0,20.591,3.984,17.215,4.516,3.248,23138.0,24.139,2.44,1.894,47.768,14.595,139.207,20.0,570.453,1.415,1.415,2.498,7.473,3.878,19.825,19.825,19.825,19.825,19.825,14.385,1.167,1.722,8.471,36.267,0.12
5.0,0,0,4.272,52076.0,220.011,47.773,4.385,1.286,19.917,27.407,4.471,6.285,28.075,26024.0,3002.02,24443.0,112.148,112.148,2.025,8.336,6.285,2.318,42.7,27.35,15.333,8.816,3.818,8.389,83.5,4.219,2.014,2.159,27.407,1.783,46.68,14.458,17.699,58050.0,26.724,4.051,22.217,5.328,3.329,36729.0,39.35,2.479,1.992,66.112,18.5,193.376,25.25,704.801,1.8,1.8,2.607,14.686,4.322,26.126,26.126,26.126,26.126,26.126,18.775,1.571,1.794,9.269,49.574,0.101
5.0,0,1,4.225,12430.5,119.967,22.075,3.646,0.158,13.5,17.974,3.714,5.974,17.112,6836.0,1026.7,6676.0,77.341,77.341,1.153,6.015,5.56,1.068,26.705,18.668,9.88,5.899,3.247,5.472,55.733,4.161,1.152,1.123,18.234,0.999,27.598,9.366,10.984,26239.0,17.054,3.422,14.337,4.31,2.713,13255.0,22.959,1.485,1.676,44.575,12.895,114.096,15.75,435.952,1.065,1.065,2.623,7.74,3.633,16.499,16.499,16.499,16.499,16.499,11.952,1.013,1.685,8.004,29.404,0.153
7.2,0,0,3.756,9735.16,110.695,21.629,3.667,0.666,11.0,16.096,3.763,5.529,17.239,6351.0,868.043,5770.0,61.034,61.034,0.973,3.068,5.388,0.99,24.7,13.937,7.958,5.036,3.02,5.111,51.5,3.664,1.192,1.181,16.096,1.08,26.784,8.85,10.782,14821.0,17.155,3.145,14.457,4.503,2.44,8972.0,18.11,1.135,1.86,43.039,11.3,106.039,17.0,355.925,1.151,1.151,1.552,6.635,3.769,16.792,16.792,16.792,16.792,16.792,11.81,0.702,1.676,7.902,27.847,0.154
6.8,1,2,4.17,35659.4,189.229,22.524,3.981,1.422,19.333,25.38,3.971,6.151,23.438,17627.0,2265.17,16985.0,110.136,110.136,1.792,6.694,6.417,2.122,39.21,24.864,12.6,7.658,3.588,7.278,81.0,4.863,1.812,1.864,23.13,1.542,36.846,13.822,16.864,67899.0,23.106,3.807,20.019,4.804,3.065,33557.0,28.887,1.954,1.802,59.497,15.99,172.77,24.0,545.954,1.652,1.652,2.812,9.082,4.067,22.408,22.408,22.408,22.408,22.408,16.414,1.629,1.77,8.975,36.955,0.113
5.7,1,1,4.387,36128.7,189.699,38.216,4.15,1.201,17.917,24.579,4.197,6.17,24.633,18895.0,2312.94,17712.0,103.202,103.202,1.62,6.801,6.288,2.046,38.729,24.175,13.486,7.902,3.656,7.389,77.833,4.281,1.882,2.118,22.579,1.581,39.427,13.452,16.269,56534.0,24.188,3.887,20.826,4.976,3.122,31017.0,32.874,2.243,1.952,59.26,16.471,170.77,24.25,568.765,1.707,1.707,2.619,11.707,4.205,23.297,23.297,23.297,23.297,23.297,16.775,1.505,1.767,8.952,40.841,0.11
5.0,0,1,4.295,32537.3,181.75,34.542,4.183,1.19,17.667,24.079,4.226,6.246,23.595,16064.0,2108.56,15557.0,104.576,104.576,1.932,7.958,6.172,1.647,37.4,24.361,12.294,7.427,3.565,7.444,75.333,4.364,1.688,1.738,23.709,1.431,38.257,12.591,15.028,50340.0,23.485,3.759,19.582,4.972,3.067,27786.0,29.588,1.841,1.902,56.97,16.0,170.974,23.0,585.404,1.549,1.549,2.643,10.965,4.113,22.739,22.739,22.739,22.739,22.739,16.385,1.549,1.767,8.902,39.563,0.111
5.1,0,1,3.13,5151.62,81.803,9.272,3.096,-0.497,9.167,13.079,3.191,4.894,13.266,3281.0,527.8,3185.0,48.536,48.536,0.164,3.192,4.764,0.472,19.167,11.785,7.895,4.772,3.009,4.306,40.5,3.485,0.658,0.587,13.079,0.368,21.413,6.941,7.942,8765.0,13.665,3.087,10.834,3.749,2.394,5300.0,9.966,1.08,1.574,30.941,9.033,80.711,12.5,314.192,0.43,0.43,1.328,4.387,3.316,13.301,13.301,13.301,13.301,13.301,9.365,-0.372,1.604,7.195,22.279,0.191
