pXC50,nDB,O.,nAB,N.,nO,nN,RBF,nS,nBM,nCsp2,Si,Sp,AMW
4.614,2,8.7,12,6.5,4,3,0.149,0,14,14,52.069,29.688,7.466
5.347,2,2.3,12,7.0,1,3,0.091,0,14,14,48.441,28.324,6.87
5.28,2,2.3,12,7.0,1,3,0.159,0,14,14,48.441,28.324,6.87
5.24,2,4.5,12,6.8,2,3,0.133,0,14,14,49.651,28.779,7.078
4.848,2,4.9,12,7.3,2,3,0.167,0,14,14,46.235,27.017,7.253
5.757,2,2.2,12,6.5,1,3,0.17,0,14,14,51.856,30.086,6.727
5.444,2,2.0,12,6.1,1,3,0.18,0,14,14,55.272,31.847,6.602
5.248,2,2.5,12,7.5,1,3,0.146,0,14,14,45.026,26.563,7.035
4.706,2,2.3,12,7.0,1,3,0.114,0,14,14,48.441,28.324,6.87
4.81,2,2.3,12,7.0,1,3,0.182,0,14,14,48.329,30.04,8.472
5.0,1,2.0,12,3.9,1,2,0.056,0,13,13,57.188,33.603,6.559
5.0,2,6.4,12,4.3,3,2,0.082,0,14,14,52.721,31.847,7.934
5.0,2,6.1,12,6.1,3,3,0.098,0,14,13,55.219,32.853,7.916
5.0,2,4.8,12,4.8,3,3,0.077,0,14,14,69.88,40.898,7.355
5.0,1,1.6,22,4.9,1,3,0.062,0,23,21,68.102,41.37,6.944
5.0,2,6.1,12,6.1,3,3,0.098,0,14,13,55.219,32.853,7.916
5.0,2,6.1,12,6.1,3,3,0.098,0,14,13,55.219,32.853,7.916
5.0,2,5.7,12,3.8,3,2,0.109,0,14,14,59.551,35.37,7.565
5.0,2,3.2,12,4.8,2,3,0.108,0,14,14,71.086,41.205,7.017
5.0,2,5.4,12,3.6,3,2,0.121,0,14,14,62.966,37.131,7.41
5.0,2,5.7,12,3.8,3,2,0.091,0,14,14,60.57,35.182,8.583
5.0,1,2.1,12,6.3,1,3,0.08,0,14,13,53.8,32.944,7.665
5.0,2,6.3,18,3.1,4,2,0.104,0,20,20,72.666,42.301,8.009
5.0,1,1.8,12,5.5,1,3,0.088,0,13,13,62.046,36.228,7.018
5.0,2,1.9,12,11.1,1,6,0.088,0,14,14,61.295,35.961,7.648
5.0,2,3.7,12,5.6,2,3,0.089,0,14,14,60.84,35.921,7.407
5.0,2,6.0,12,4.0,3,2,0.096,0,14,14,56.136,33.608,7.738
5.0,2,5.7,12,3.8,3,2,0.091,0,14,14,60.57,35.182,8.583
5.0,2,5.7,12,3.8,3,2,0.091,0,14,14,60.57,35.182,8.583
5.0,1,4.2,12,4.2,2,2,0.08,0,13,13,53.927,32.154,7.477
5.0,1,3.9,12,3.9,2,2,0.094,0,13,13,57.342,33.915,7.312
5.0,1,2.3,12,4.5,1,2,0.043,0,13,13,49.302,29.938,7.474
5.0,1,4.3,16,6.5,2,3,0.041,0,17,14,51.651,30.779,7.292
5.0,1,2.3,12,7.0,1,3,0.044,0,13,12,48.441,28.324,6.87
5.0,1,1.9,18,3.7,1,2,0.053,0,19,19,60.188,36.603,6.862
