pXC50,AMW,C.,H.,Me,Mi,Mp,Mv,MW,N.,nAB,nAT,nB,nBM,nBO,nBR,nBT,nC
6.587,8.66,30.4,39.1,1.055,1.156,0.614,0.631,199.19,13.0,6,23,0,8,14,0,23,7
5.248,6.703,36.5,53.8,0.989,1.129,0.644,0.587,348.56,3.8,6,52,0,9,25,0,53,19
6.456,6.566,29.9,53.6,1.006,1.154,0.596,0.563,636.91,10.3,6,97,0,11,45,0,97,29
6.62,8.568,28.0,40.0,1.055,1.163,0.605,0.621,214.21,16.0,0,25,0,4,15,0,25,7
6.554,9.768,28.0,32.0,1.086,1.163,0.611,0.657,244.19,16.0,0,25,0,6,17,0,25,7
7.187,10.158,30.4,34.8,1.069,1.153,0.651,0.667,233.63,13.0,0,23,0,4,15,0,23,7
7.131,14.821,27.3,31.8,1.071,1.154,0.728,0.696,326.07,18.2,0,22,0,4,15,0,22,6
6.788,14.134,30.4,34.8,1.058,1.143,0.729,0.688,325.08,13.0,0,23,0,4,15,0,23,7
6.413,8.66,30.4,39.1,1.055,1.156,0.614,0.631,199.19,13.0,0,23,0,4,14,0,23,7
6.788,9.099,27.3,36.4,1.067,1.166,0.607,0.636,200.18,18.2,0,22,0,4,14,0,22,6
6.419,9.443,30.4,34.8,1.077,1.17,0.611,0.647,217.18,13.0,0,23,0,4,15,0,23,7
5.541,6.717,25.5,58.8,1.001,1.147,0.604,0.542,342.59,3.9,0,51,0,4,20,0,50,13
6.041,6.604,25.9,59.3,0.999,1.146,0.603,0.54,356.62,3.7,0,54,0,4,21,0,53,14
6.18,6.503,26.3,59.6,0.997,1.146,0.602,0.539,370.65,3.5,0,57,0,4,22,0,56,15
5.0,8.179,40.0,43.1,1.019,1.142,0.666,0.642,531.66,7.7,16,65,0,18,41,0,69,26
7.658,8.095,30.4,43.5,1.046,1.152,0.603,0.609,186.19,8.7,5,23,0,6,13,0,23,7
5.097,5.955,32.9,57.5,0.989,1.144,0.601,0.551,434.7,5.5,6,73,0,8,31,0,73,24
5.036,6.814,31.7,51.2,1.006,1.152,0.61,0.579,279.39,12.2,5,41,0,6,22,0,43,13
5.0,5.955,32.9,57.5,0.989,1.144,0.601,0.551,434.7,5.5,6,73,0,8,31,0,73,24
6.0,5.858,32.9,58.2,0.987,1.144,0.6,0.548,462.76,5.1,6,79,0,8,33,0,79,26
6.678,6.434,35.6,53.4,0.993,1.139,0.621,0.578,469.7,6.8,12,73,0,14,35,0,74,26
6.865,6.343,37.2,53.8,0.989,1.135,0.626,0.58,494.75,5.1,12,78,0,15,37,0,79,29
6.87,5.955,32.9,57.5,0.989,1.144,0.601,0.551,434.7,5.5,6,73,0,8,31,0,73,24
6.542,5.955,32.9,57.5,0.989,1.144,0.601,0.551,434.7,5.5,6,73,0,8,31,0,73,24
6.62,5.935,33.8,57.5,0.987,1.142,0.605,0.554,474.77,5.0,6,80,0,8,35,0,81,27
6.481,6.434,35.6,53.4,0.993,1.139,0.621,0.578,469.7,6.8,12,73,0,14,35,0,74,26
6.599,6.21,36.3,55.0,0.988,1.137,0.62,0.572,496.77,5.0,12,80,0,14,37,0,81,29
5.092,5.823,32.0,58.7,0.987,1.146,0.595,0.544,436.72,5.3,6,75,0,7,31,0,75,24
4.0,11.923,45.2,32.3,1.037,1.112,0.755,0.731,369.61,6.5,12,31,0,14,22,1,32,14
3.3,8.303,29.4,41.2,1.043,1.161,0.615,0.62,282.3,17.6,10,34,0,11,21,0,35,10
6.775,5.955,32.9,57.5,0.989,1.144,0.601,0.551,434.7,5.5,6,73,0,8,31,0,73,24
5.509,10.849,38.7,25.8,1.071,1.129,0.707,0.73,336.31,12.9,16,31,0,20,25,0,33,12
4.553,7.662,41.3,43.5,1.01,1.129,0.663,0.64,352.43,8.7,12,46,0,14,29,0,49,19
6.854,5.904,32.9,57.9,0.988,1.144,0.6,0.55,448.73,5.3,6,76,0,8,32,0,76,25
4.658,7.134,31.3,50.0,1.022,1.148,0.599,0.581,228.28,6.3,5,32,0,6,16,0,32,10
5.127,7.109,33.3,50.0,1.02,1.141,0.605,0.586,213.26,3.3,0,30,0,3,15,0,30,10
6.987,8.095,30.4,43.5,1.046,1.152,0.603,0.609,186.19,8.7,5,23,0,6,13,0,23,7
5.347,7.686,35.5,45.2,1.026,1.14,0.626,0.615,238.27,6.5,5,31,0,7,18,0,32,11
5.284,7.636,31.3,50.0,1.014,1.139,0.636,0.596,244.35,6.3,5,32,0,6,16,0,32,10
6.155,6.94,31.0,51.7,1.021,1.146,0.592,0.571,201.25,3.4,0,29,0,3,13,0,28,9
5.0,7.461,42.9,45.2,1.009,1.121,0.659,0.634,313.38,2.4,11,42,0,14,24,0,43,18
