pXC50,nBO,nCsp2,nCsp3,nSK,nBM,nC,nHet,nBT,Se,nAT,Mi,MW,Sv,Si,C.,Sp,nH,nAB,nX,nDB,Mv,nF,Me,RBN,SCBO,X.,nO,nHM,O.,Mp
8.201,57,9,34,55,9,43,12,132,128.726,130,1.142,774.23,71.549,148.489,33.1,77.859,75,6,0,3,0.55,0,0.99,25,63.0,0.0,7,0,5.4,0.599
8.167,54,10,30,52,10,40,12,119,116.643,117,1.139,732.08,65.828,133.251,34.2,70.711,65,6,0,4,0.563,0,0.997,23,61.0,0.0,9,0,7.7,0.604
8.076,54,10,30,52,10,40,12,120,117.417,118,1.14,731.1,66.135,134.54,33.9,71.262,66,6,0,4,0.56,0,0.995,23,61.0,0.0,8,0,6.8,0.604
8.42,63,24,18,59,28,42,17,116,112.974,112,1.137,812.04,68.501,127.294,37.5,71.438,53,21,0,7,0.612,0,1.009,19,80.5,0.0,8,0,7.1,0.638
8.222,56,9,33,54,9,42,12,128,125.068,126,1.141,761.18,69.715,143.785,33.3,75.546,72,6,0,3,0.553,0,0.993,26,62.0,0.0,8,0,6.3,0.6
8.367,64,16,32,61,16,48,13,138,134.279,135,1.136,851.26,76.957,153.41,35.6,82.762,74,12,0,4,0.57,0,0.995,27,74.0,0.0,9,0,6.7,0.613
5.886,54,20,18,52,22,38,14,108,106.101,106,1.14,719.0,62.576,120.792,35.8,66.285,54,17,0,5,0.59,0,1.001,21,67.5,0.0,6,0,5.7,0.625
7.921,56,10,32,54,10,42,12,125,122.41,123,1.139,760.14,68.882,140.081,34.1,74.234,69,6,0,4,0.56,0,0.995,25,63.0,0.0,9,0,7.3,0.604
6.292,58,14,30,55,15,44,11,127,122.748,124,1.137,764.18,70.253,141.034,35.5,76.12,69,12,0,3,0.567,0,0.99,23,67.0,0.0,6,0,4.8,0.614
6.377,60,9,35,57,9,44,13,135,131.053,132,1.142,802.24,73.263,150.699,33.3,79.314,75,6,0,3,0.555,0,0.993,24,66.0,0.0,8,0,6.1,0.601
8.481,60,9,36,57,9,45,12,136,131.835,133,1.14,801.25,73.769,151.616,33.8,80.069,76,6,0,3,0.555,0,0.991,25,66.0,0.0,8,0,6.0,0.602
8.745,57,10,30,55,11,41,14,124,121.512,122,1.143,770.15,68.957,139.41,33.6,74.063,67,6,0,4,0.565,0,0.996,24,66.0,0.0,7,0,5.7,0.607
5.854,59,16,25,58,18,41,17,123,122.501,122,1.143,813.13,70.355,139.497,33.6,74.455,64,11,0,7,0.577,0,1.004,24,71.5,0.0,9,0,7.4,0.61
6.699,62,21,22,59,23,43,16,123,120.181,120,1.14,816.13,70.893,136.746,35.8,75.029,61,17,0,6,0.591,0,1.002,23,76.5,0.0,7,0,5.8,0.625
8.886,59,10,32,57,11,43,14,129,126.254,127,1.139,815.26,72.177,144.662,33.9,78.228,70,6,0,4,0.568,0,0.994,26,68.0,0.0,7,1,5.5,0.616
7.854,58,9,35,55,9,44,11,133,128.399,130,1.141,770.24,71.834,148.28,33.8,78.405,75,6,0,3,0.553,0,0.988,23,64.0,0.0,6,0,4.6,0.603
6.26,57,14,29,54,15,43,11,124,119.864,121,1.137,750.15,68.727,137.619,35.5,74.359,67,12,0,3,0.568,0,0.991,22,66.0,0.0,6,0,5.0,0.615
8.076,56,10,29,53,14,39,14,119,115.745,116,1.143,742.09,65.904,132.58,33.6,70.541,63,11,0,3,0.568,0,0.998,22,64.5,0.0,7,0,6.0,0.608
8.658,55,10,30,53,10,40,13,122,119.268,120,1.14,762.19,67.628,136.749,33.3,73.461,67,6,0,4,0.564,0,0.994,23,62.0,0.0,7,1,5.8,0.612
8.77,60,11,31,57,14,42,15,130,126.497,127,1.144,799.2,71.506,145.323,33.1,76.831,70,11,0,3,0.563,0,0.996,25,68.5,0.0,7,0,5.5,0.605
8.102,56,9,33,54,9,42,12,129,125.843,127,1.142,760.2,70.022,145.074,33.1,76.098,73,6,0,3,0.551,0,0.991,26,62.0,0.0,7,0,5.5,0.599
8.328,54,9,32,52,9,41,11,124,120.857,122,1.141,731.15,67.474,139.161,33.6,73.331,70,6,0,3,0.553,0,0.991,22,60.0,0.0,7,0,5.7,0.601
6.77,58,9,34,55,9,43,12,131,126.843,128,1.141,772.21,71.022,146.074,33.6,77.098,73,6,0,3,0.555,0,0.991,23,64.0,0.0,7,0,5.5,0.602
7.886,57,9,34,54,9,43,11,130,125.515,127,1.141,756.21,70.307,144.865,33.9,76.643,73,6,0,3,0.554,0,0.988,23,63.0,0.0,6,0,4.7,0.603
7.398,58,9,36,55,9,45,10,134,129.181,131,1.139,769.25,72.339,149.197,34.4,79.16,76,6,0,3,0.552,0,0.986,23,64.0,0.0,6,0,4.6,0.604
5.0,65,29,18,61,32,47,14,124,119.977,120,1.131,834.13,72.85,135.749,39.2,77.018,59,28,0,4,0.607,0,1.0,21,83.0,0.0,7,0,5.8,0.642
5.0,59,28,16,56,28,44,12,114,110.89,111,1.129,766.04,67.281,125.337,39.6,71.245,55,24,0,4,0.606,0,0.999,21,75.0,0.0,7,0,6.3,0.642
5.0,58,28,16,55,28,44,11,113,109.563,110,1.128,750.04,66.566,124.128,40.0,70.791,55,24,0,4,0.605,0,0.996,20,74.0,0.0,6,0,5.5,0.644
7.444,48,21,12,43,20,33,10,80,75.978,75,1.126,647.03,49.698,84.484,44.0,52.319,32,18,5,2,0.663,2,1.013,10,59.0,6.7,2,3,2.7,0.698
7.26,48,21,12,43,20,33,10,79,75.203,74,1.124,648.01,49.392,83.195,44.6,51.767,31,18,5,2,0.667,2,1.016,10,59.0,6.8,3,3,4.1,0.7
6.947,48,21,13,43,20,34,9,81,76.76,76,1.124,646.04,50.204,85.4,44.7,53.074,33,18,5,2,0.661,2,1.01,10,59.0,6.6,2,3,2.6,0.698
8.194,50,21,12,45,22,33,12,81,77.607,76,1.123,696.08,51.294,85.324,43.4,53.87,31,18,5,4,0.675,2,1.021,10,63.0,6.6,4,4,5.3,0.709
5.131,47,21,14,43,20,35,8,86,82.207,82,1.129,609.21,51.317,92.552,42.7,54.336,39,18,3,2,0.626,2,1.003,11,58.0,3.7,3,1,3.7,0.663
7.194,50,21,14,45,21,35,10,87,82.727,82,1.125,655.26,52.692,92.266,42.7,55.677,37,18,3,3,0.643,2,1.009,11,62.0,3.7,4,2,4.9,0.679
5.131,48,21,14,43,20,35,8,85,80.323,80,1.127,607.19,50.79,90.137,43.8,53.574,37,18,3,2,0.635,2,1.004,11,59.0,3.8,3,1,3.8,0.67
7.328,47,21,12,42,20,33,9,78,73.876,73,1.123,632.01,48.677,81.985,45.2,51.313,31,18,5,2,0.667,2,1.012,10,58.0,6.8,2,3,2.7,0.703
5.398,47,21,12,42,20,33,9,78,73.876,73,1.123,632.01,48.677,81.985,45.2,51.313,31,18,5,2,0.667,2,1.012,10,58.0,6.8,2,3,2.7,0.703
5.699,46,21,12,42,20,33,9,79,75.76,75,1.125,634.03,49.204,84.4,44.0,52.074,33,18,5,2,0.656,2,1.01,10,57.0,6.7,2,3,2.7,0.694
7.268,49,21,14,44,20,35,9,87,82.425,82,1.13,622.21,51.812,92.635,42.7,54.58,38,18,3,2,0.632,2,1.005,11,60.0,3.7,3,1,3.7,0.666
6.996,49,21,15,44,20,36,8,88,83.207,83,1.127,621.22,52.317,93.552,43.4,55.336,39,18,3,2,0.63,2,1.002,11,60.0,3.6,3,1,3.6,0.667
6.097,46,21,10,42,20,31,11,73,71.018,69,1.134,641.95,46.917,78.249,44.9,48.426,27,18,7,2,0.68,4,1.029,10,57.0,10.1,2,3,2.9,0.702
7.377,49,21,14,44,20,35,9,86,81.65,81,1.128,623.19,51.505,91.346,43.2,54.029,37,18,3,2,0.636,2,1.008,11,60.0,3.7,4,1,4.9,0.667
7.367,48,21,14,43,20,35,8,85,80.323,80,1.127,607.19,50.79,90.137,43.8,53.574,37,18,3,2,0.635,2,1.004,11,59.0,3.8,3,1,3.8,0.67
7.06,45,21,12,41,20,33,8,80,76.439,76,1.128,581.15,48.264,85.722,43.4,50.813,35,18,3,2,0.635,2,1.006,11,56.0,3.9,3,1,3.9,0.669
6.481,47,21,12,43,20,33,10,80,77.465,76,1.137,617.13,49.03,86.401,43.4,50.688,33,18,5,2,0.645,4,1.019,11,58.0,6.6,3,1,3.9,0.667
7.276,44,21,10,40,20,31,9,73,69.992,69,1.124,605.97,46.15,77.57,44.9,48.551,29,18,5,2,0.669,2,1.014,10,55.0,7.2,2,3,2.9,0.704
6.585,49,25,11,45,25,36,9,84,80.643,80,1.123,672.08,52.731,89.816,45.0,55.836,35,24,5,1,0.659,2,1.008,15,62.0,6.3,2,3,2.5,0.698
6.456,42,19,11,39,19,30,9,73,70.876,70,1.128,595.98,45.677,78.985,42.9,48.313,31,18,5,1,0.653,2,1.013,13,52.0,7.1,2,3,2.9,0.69
6.678,42,19,11,39,19,30,9,73,70.876,70,1.128,595.98,45.677,78.985,42.9,48.313,31,18,5,1,0.653,2,1.013,12,52.0,7.1,2,3,2.9,0.69
7.538,41,19,11,38,19,30,8,73,70.174,70,1.118,594.44,45.738,78.25,42.9,49.296,32,18,4,1,0.653,0,1.002,12,51.0,5.7,2,4,2.9,0.704
8.155,44,19,14,41,19,33,8,83,79.829,80,1.122,618.09,50.206,89.761,41.3,54.177,39,18,3,1,0.628,0,0.998,15,54.0,3.8,3,3,3.8,0.677
8.0,44,19,13,41,20,33,8,80,76.836,77,1.12,613.07,49.459,86.219,42.9,53.205,36,18,3,1,0.642,0,0.998,14,56.0,3.9,2,3,2.6,0.691
8.194,44,19,14,41,19,33,8,83,79.829,80,1.122,618.09,50.206,89.761,41.3,54.177,39,18,3,1,0.628,0,0.998,15,54.0,3.8,3,3,3.8,0.677
7.678,41,19,10,38,19,29,9,70,67.992,67,1.128,581.95,44.15,75.57,43.3,46.551,29,18,5,1,0.659,2,1.015,12,51.0,7.5,2,3,3.0,0.695
6.187,42,19,11,39,19,30,9,73,70.876,70,1.128,595.98,45.677,78.985,42.9,48.313,31,18,5,1,0.653,2,1.013,13,52.0,7.1,2,3,2.9,0.69
8.237,45,19,15,42,19,34,8,86,82.712,83,1.123,632.12,51.732,93.176,41.0,55.938,41,18,3,1,0.623,0,0.997,16,55.0,3.6,3,3,3.6,0.674
8.62,45,19,15,42,19,34,8,86,82.712,83,1.123,632.12,51.732,93.176,41.0,55.938,41,18,3,1,0.623,0,0.997,16,55.0,3.6,3,3,3.6,0.674
7.745,45,19,14,42,19,33,9,84,81.156,81,1.123,634.09,50.92,90.97,40.7,54.631,39,18,3,1,0.629,0,1.002,16,55.0,3.7,4,3,4.9,0.674
6.602,46,20,14,43,20,34,9,86,82.93,83,1.124,645.12,52.227,93.259,41.0,56.182,40,18,3,2,0.629,0,0.999,14,57.0,3.6,3,3,3.6,0.677
6.987,46,19,16,43,19,35,8,90,86.37,87,1.125,645.17,53.566,97.88,40.2,58.251,44,18,3,1,0.616,0,0.993,16,56.0,3.4,2,3,2.3,0.67
7.509,46,19,15,43,19,34,9,86,83.036,83,1.122,666.56,52.56,93.12,41.0,56.796,40,18,4,1,0.633,0,1.0,16,56.0,4.8,3,4,3.6,0.684
9.276,57,15,25,55,17,40,15,119,116.963,117,1.142,767.1,67.398,133.663,34.2,71.785,62,12,0,5,0.576,0,1.0,20,68.0,0.0,7,0,6.0,0.614
8.337,45,19,14,42,20,34,8,83,79.72,80,1.12,627.1,50.985,89.635,42.5,54.966,38,18,3,1,0.637,0,0.996,15,57.0,3.8,2,3,2.5,0.687
8.658,45,18,15,42,19,33,9,85,81.93,82,1.125,633.11,51.227,92.259,40.2,55.182,40,18,3,1,0.625,0,0.999,16,55.0,3.7,3,3,3.7,0.673
8.745,46,18,15,43,20,33,10,86,83.258,83,1.126,649.11,51.942,93.469,39.8,55.637,40,18,3,2,0.626,0,1.003,16,57.0,3.6,4,3,4.8,0.67
8.268,56,15,25,55,17,40,15,120,118.846,119,1.144,769.12,67.925,136.078,33.6,72.546,64,12,0,5,0.571,0,0.999,22,67.0,0.0,7,0,5.9,0.61
8.602,56,15,24,54,17,39,15,116,114.079,114,1.143,753.07,65.872,130.247,34.2,70.023,60,12,0,5,0.578,0,1.001,20,67.0,0.0,7,0,6.1,0.614
6.62,59,15,25,57,19,40,17,120,118.592,118,1.14,816.15,68.994,134.503,33.9,73.336,61,12,0,7,0.585,0,1.005,22,72.0,0.0,9,1,7.6,0.621
8.553,54,16,23,52,17,39,13,112,109.876,110,1.139,723.03,63.829,125.251,35.5,68.012,58,12,0,5,0.58,0,0.999,20,65.0,0.0,7,0,6.4,0.618
8.824,57,15,25,55,17,40,15,119,116.963,117,1.142,767.1,67.398,133.663,34.2,71.785,62,12,0,5,0.576,0,1.0,21,68.0,0.0,7,0,6.0,0.614
9.553,59,15,25,56,17,40,16,120,117.181,117,1.143,780.1,67.893,133.746,34.2,72.029,61,12,0,5,0.58,0,1.002,19,70.0,0.0,7,0,6.0,0.616
9.237,62,15,28,59,17,43,16,130,126.606,127,1.144,821.21,72.78,145.28,33.9,77.865,68,12,0,5,0.573,0,0.997,20,73.0,0.0,6,0,4.7,0.613
8.387,57,15,26,56,17,41,15,123,121.73,122,1.143,783.15,69.452,139.493,33.6,74.308,66,12,0,5,0.569,0,0.998,23,68.0,0.0,7,0,5.7,0.609
8.26,57,14,26,55,16,40,15,120,117.821,118,1.14,786.17,68.091,134.5,33.9,73.188,63,12,0,4,0.577,0,0.998,22,67.0,0.0,7,1,5.9,0.62
8.292,56,15,26,55,17,41,14,121,119.628,120,1.142,768.13,68.431,136.995,34.2,73.302,65,12,0,5,0.57,0,0.997,23,67.0,0.0,7,0,5.8,0.611
7.155,58,15,25,56,18,40,16,119,117.265,117,1.139,800.15,68.279,133.294,34.2,72.881,61,12,0,6,0.584,0,1.002,22,70.0,0.0,8,1,6.8,0.623
8.201,57,14,26,55,16,40,15,120,117.821,118,1.14,786.17,68.091,134.5,33.9,73.188,63,12,0,4,0.577,0,0.998,22,67.0,0.0,7,1,5.9,0.62
9.66,51,11,24,48,15,35,13,106,102.716,103,1.136,706.09,59.94,116.968,34.0,65.086,55,11,0,4,0.582,0,0.997,17,60.5,0.0,6,2,5.8,0.632
6.721,52,19,18,49,21,37,12,102,99.014,99,1.135,674.93,59.007,112.381,37.4,62.512,50,17,0,4,0.596,0,1.0,17,64.5,0.0,6,0,6.1,0.631
8.77,55,11,26,51,11,37,14,110,106.545,106,1.139,713.97,61.71,120.756,34.9,65.154,55,6,0,5,0.582,0,1.005,10,63.0,0.0,9,0,8.5,0.615
8.959,54,11,26,51,11,37,14,111,108.428,108,1.14,715.99,62.237,123.171,34.3,65.915,57,6,0,5,0.576,0,1.004,11,62.0,0.0,9,0,8.3,0.61
7.387,50,13,21,47,15,34,13,100,96.839,97,1.134,687.04,57.666,110.011,35.1,62.353,50,12,0,3,0.594,0,0.998,17,59.0,0.0,5,2,5.2,0.643
7.387,49,14,20,46,12,34,12,98,94.988,95,1.135,655.95,56.172,107.802,35.8,60.154,49,6,0,6,0.591,0,1.0,15,58.0,0.0,6,1,6.3,0.633
8.071,49,14,20,46,15,34,12,98,94.738,95,1.132,672.02,56.645,107.513,35.8,61.347,49,12,0,3,0.596,0,0.997,16,58.0,0.0,5,2,5.3,0.646
6.886,51,14,23,48,15,37,11,106,102.312,103,1.134,682.04,60.038,116.839,35.9,64.984,55,12,0,3,0.583,0,0.993,17,60.0,0.0,5,1,4.9,0.631
4.699,49,13,21,46,15,34,12,99,96.014,96,1.139,638.9,56.007,109.381,35.4,59.512,50,11,0,4,0.583,0,1.0,15,58.5,0.0,6,0,6.3,0.62
6.441,49,13,21,46,15,34,12,99,96.014,96,1.139,638.9,56.007,109.381,35.4,59.512,50,11,0,4,0.583,0,1.0,15,58.5,0.0,6,0,6.3,0.62
