pXC50,nF,nCsp,nHet,nTB,Mi,Me,Sv,H.,nCL,nHM,Mv,Mp,nC,X.,AMW,Sp,nX,SCBO,nBM,Si,nAB,nCsp2,RBF,nCsp3,MW,Se,N.,RBN
6.0,3,0,7,0,1.132,1.023,33.67,36.7,0,0,0.687,0.697,24,6.1,8.601,34.137,3,46.5,24,55.46,23,21,0.058,3,421.45,50.123,6.1,3
5.57,3,0,8,0,1.128,1.026,35.077,37.3,0,1,0.688,0.706,24,5.9,8.951,35.995,3,48.5,25,57.507,23,20,0.074,4,456.52,52.309,3.9,4
6.0,3,0,8,0,1.126,1.034,32.024,33.3,0,1,0.712,0.722,22,6.7,9.521,32.472,3,46.5,25,50.676,23,20,0.063,2,428.46,46.542,4.4,3
6.0,3,0,8,0,1.127,1.03,33.551,35.4,0,1,0.699,0.713,23,6.3,9.219,34.233,3,47.5,25,54.091,23,20,0.059,3,442.49,49.425,4.2,3
6.0,3,0,8,0,1.127,1.03,33.551,35.4,0,1,0.699,0.713,23,6.3,9.219,34.233,3,47.5,25,54.091,23,20,0.059,3,442.49,49.425,4.2,3
6.4,1,0,7,0,1.12,0.997,44.966,45.7,0,1,0.642,0.685,31,1.4,7.568,47.932,1,56.0,26,78.401,24,24,0.122,7,529.73,69.803,4.3,9
5.5,1,0,6,0,1.107,1.007,36.644,39.6,1,2,0.691,0.731,26,3.8,8.792,38.733,2,49.0,26,58.688,24,24,0.125,2,466.0,53.389,1.9,7
5.0,1,0,3,0,1.109,0.991,35.554,43.4,1,1,0.671,0.716,27,3.8,7.848,37.938,2,45.0,24,58.764,24,24,0.125,3,415.96,52.541,1.9,7
7.092,3,0,9,0,1.132,1.031,34.572,36.0,0,1,0.691,0.705,23,6.0,9.15,35.239,3,48.5,25,56.59,23,20,0.075,3,457.51,51.527,6.0,4
8.45,1,0,9,0,1.109,1.017,40.787,39.0,1,3,0.691,0.73,27,3.4,9.222,43.051,2,55.0,28,65.442,24,24,0.129,3,544.1,60.003,1.7,8
