pXC50,BLTA96,BLTD48,BLTF96,Eig05_EA,GATS6i,IC5,MATS6i,MLOGP,MLOGP2,SM13_AEA.bo.,ATS3s,ATS4s,ATSC2p,ATSC6e,CATS2D_03_AL,GATS2m,GATS5v,GATS6p,P_VSA_i_3,SpMax1_Bh.m.,SpMin6_Bh.p.,ATSC1p,Eta_F,GATS1m,ATSC3s,ATSC5e,ATSC6s,Eig01_AEA.dm.,IDDE,P_VSA_MR_1,SpDiam_AEA.dm.,SpMax8_Bh.s.,SpMax_AEA.dm.,SpMin2_Bh.p.,ATS1s,ATS5s,ATSC2e,Eig05_AEA.ri.,Eig05_EA.bo.,Eta_F_A,GATS4i,IC4,MATS1p,MATS1v,Mv,nAB,nCar,SM03_EA.ri.,SM15_AEA.ri.,TPSA.Tot.,ATSC4s,P_VSA_p_1,P_VSA_p_2,SaasC,SpMax5_Bh.s.,SpMax6_Bh.s.,SpMin4_Bh.e.,SpMin4_Bh.i.,TPSA.NO.,Vindex,Xindex,Yindex,AAC,AECC,ALOGP,ALOGP2,AMR,AMW,ARR,ATS1e,ATS1i,ATS1m,ATS1p,ATS1v,ATS2e,ATS2i,ATS2m,ATS2p,ATS2s,ATS2v,ATS3e,ATS3i,ATS3m,ATS3p,ATS3v,ATS4e,ATS4i,ATS4m,ATS4p,ATS4v,ATS5e,ATS5i,ATS5m,ATS5p,ATS5v,ATS6e,ATS6i,ATS6m,ATS6p,ATS6s,ATS6v,ATS7e,ATS7i,ATS7m,ATS7p,ATS7s,ATS7v,ATS8e,ATS8i,ATS8m,ATS8p,ATS8s,ATS8v,ATSC1e,ATSC1i,ATSC1m,ATSC1s,ATSC1v,ATSC2i,ATSC2m,ATSC2s,ATSC2v,ATSC3e,ATSC3i,ATSC3m,ATSC3p,ATSC3v,ATSC4e,ATSC4i,ATSC4m,ATSC4p,ATSC4v,ATSC5i,ATSC5m,ATSC5p,ATSC5s,ATSC5v,ATSC6i,ATSC6m,ATSC6p,ATSC6v,ATSC7e,ATSC7i,ATSC7m,ATSC7p,ATSC7s,ATSC7v,ATSC8e,ATSC8i,ATSC8m,ATSC8p,ATSC8s,ATSC8v,BAC,BBI,BIC0,BIC1,BIC2,BIC3,BIC4,BIC5,BID,BLI,Br.094,C.,C.001,C.002,C.005,C.006,C.011,C.016,C.017,C.019,C.020,C.024,C.025,C.026,C.028,C.033,C.034,C.035,C.038,C.039,C.040,C.041,C.044,CATS2D_00_DD,CATS2D_00_DP,CATS2D_00_PP,CATS2D_01_AA,CATS2D_01_AN,CATS2D_01_DN,CATS2D_01_LL,CATS2D_01_NL,CATS2D_02_AA,CATS2D_02_AL,CATS2D_02_DA,CATS2D_02_DD,CATS2D_02_DL,CATS2D_02_DP,CATS2D_02_LL,CATS2D_02_NL,CATS2D_02_PL,CATS2D_03_AA,CATS2D_03_DA,CATS2D_03_DD,CATS2D_03_DL,CATS2D_03_LL,CATS2D_03_NL,CATS2D_03_PL,CATS2D_04_AA,CATS2D_04_AL,CATS2D_04_AP,CATS2D_04_DA,CATS2D_04_DD,CATS2D_04_DL,CATS2D_04_LL,CATS2D_04_NL,CATS2D_04_PL,CATS2D_05_AA,CATS2D_05_AL,CATS2D_05_AN,CATS2D_05_AP,CATS2D_05_DA,CATS2D_05_DD,CATS2D_05_DL,CATS2D_05_DP,CATS2D_05_LL,CATS2D_05_NL,CATS2D_05_PL,CATS2D_05_PP,CATS2D_06_AA,CATS2D_06_AL,CATS2D_06_AN,CATS2D_06_AP,CATS2D_06_DA,CATS2D_06_DD,CATS2D_06_DL,CATS2D_06_LL,CATS2D_06_PL,CATS2D_07_AA
4.602,-6.34,-6.17,-5.73,1.899,0.88,4.827,0.032,5.108,26.092,1.899,5.836,5.791,0.466,0.26,6,0.637,0.904,0.682,229.825,10.701,1.022,0.75,20.936,0.497,28.854,0.237,50.013,3.694,3.366,94.169,5.694,3.816,3.694,1.879,5.055,5.796,0.174,2.892,2.562,0.748,0.806,4.774,0.029,0.059,0.837,12,12,3.935,2.562,74.6,58.714,94.169,135.657,3.008,4.768,4.564,1.154,1.149,74.6,0.278,0.411,0.85,1.678,7.929,5.155,26.576,142.964,21.629,0.4,3.747,3.787,4.27,3.698,3.546,4.171,4.218,4.835,4.161,5.577,3.955,4.458,4.534,5.238,4.372,4.136,4.491,4.586,5.87,4.514,4.15,4.547,4.649,4.918,4.385,4.158,4.685,4.802,5.382,4.599,5.981,4.303,4.721,4.828,5.567,4.703,6.096,4.284,4.416,4.494,6.516,4.608,6.044,4.006,0.096,0.298,56.304,20.053,2.034,0.467,101.986,40.704,3.552,0.161,0.772,199.058,11.104,7.384,0.276,0.82,314.534,14.581,8.046,0.838,197.427,8.075,48.63,8.134,1.0,218.123,4.784,9.899,0.411,1.247,407.436,21.48,84.651,14.366,0.339,1.045,574.324,40.802,68.589,12.223,66,44,0.296,0.618,0.76,0.823,0.842,0.851,3.376,1.206,0,52.6,0,0,0,0,0,2,2,2,0,6,3,3,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,13,1,0,1,1,0,1,0,21,2,0,0,0,0,6,21,3,0,0,4,0,0,0,4,27,3,0,0,4,0,0,0,0,4,0,18,4,0,0,0,6,0,0,0,0,6,20,0,0
4.301,-4.57,-4.49,-4.23,2.086,0.883,5.309,0.168,3.338,11.142,2.086,5.868,6.005,5.939,0.538,12,0.756,1.026,0.788,267.346,4.729,1.249,4.047,32.609,0.762,47.027,0.529,75.449,5.174,4.385,141.253,7.174,4.274,5.174,2.112,5.083,5.923,0.395,3.068,2.955,1.208,1.269,5.065,0.0,0.084,0.713,22,20,4.149,2.955,107.7,58.895,141.253,159.418,0.559,5.02,4.819,1.497,1.461,99.32,0.193,0.302,0.534,1.705,10.407,4.712,22.205,105.594,9.23,0.733,3.853,3.915,3.752,3.524,3.499,4.312,4.386,4.019,3.894,5.9,3.87,4.565,4.703,4.118,4.021,3.978,4.611,4.753,4.073,3.935,3.898,4.558,4.729,3.877,3.758,3.727,4.357,4.546,3.648,3.552,5.742,3.52,4.151,4.316,3.553,3.522,5.507,3.479,4.125,4.268,3.578,3.603,5.326,3.53,0.163,0.549,7.981,29.464,3.521,0.831,9.801,80.816,6.087,0.326,1.129,16.323,8.073,8.581,0.451,1.204,18.784,8.267,7.801,1.141,21.01,7.892,77.971,7.411,0.935,17.522,6.258,6.525,0.387,0.735,11.492,4.992,51.915,5.423,0.196,0.681,10.142,5.441,29.865,5.984,18,44,0.291,0.49,0.629,0.775,0.865,0.906,3.34,0.951,0,48.8,0,0,0,0,0,0,0,0,0,12,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,15,0,1,3,2,0,1,0,17,2,0,0,1,0,5,14,3,0,0,15,0,1,0,6,7,2,0,0,11,1,0,0,0,3,0,5,1,0,0,2,6,1,0,1,0,3,7,0,2
5.097,-3.52,-3.5,-3.34,2.079,1.082,4.939,-0.043,2.291,5.25,2.079,5.588,5.642,5.135,0.232,2,0.735,1.055,1.108,142.856,4.311,1.352,2.827,24.446,0.671,15.503,0.172,32.271,3.735,4.252,117.711,5.735,3.734,3.735,2.017,4.899,5.68,0.079,3.073,3.007,1.019,1.134,4.723,0.126,0.109,0.714,24,18,4.176,3.007,60.68,18.462,117.711,76.727,1.921,4.219,4.105,1.374,1.318,60.68,0.22,0.32,0.696,1.445,7.125,3.778,14.275,92.918,8.415,0.828,3.784,3.886,3.48,3.457,3.45,4.306,4.422,3.927,3.927,5.414,3.905,4.538,4.696,3.994,4.039,3.996,4.581,4.743,4.008,4.038,4.002,4.568,4.74,3.953,3.976,3.931,4.542,4.736,3.734,3.842,5.685,3.776,4.398,4.644,3.24,3.569,5.424,3.436,3.9,4.17,2.551,3.038,4.848,2.859,0.031,0.524,5.704,4.791,3.226,0.878,10.218,10.262,6.165,0.098,1.112,15.415,7.192,8.877,0.124,1.191,16.265,7.097,8.354,1.187,16.4,7.241,17.712,8.916,1.164,17.477,6.95,8.095,0.215,0.966,18.313,7.191,37.056,8.962,0.129,0.561,12.031,4.85,24.596,6.373,2,45,0.25,0.561,0.677,0.77,0.817,0.854,3.233,0.834,0,54.1,0,0,0,1,0,0,0,0,0,8,6,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,13,0,0,1,1,0,8,0,14,0,0,0,0,1,10,13,0,0,0,2,0,0,0,8,10,0,0,0,2,0,0,1,2,6,0,11,0,0,0,0,3,0,0,1,0,8,10,0,0
4.523,-3.58,-3.55,-3.39,1.738,0.954,4.907,-0.014,2.353,5.534,1.738,5.523,5.533,3.892,0.211,5,0.7,0.909,0.977,161.997,4.125,1.048,2.371,20.477,0.666,27.938,0.361,36.418,3.752,4.022,94.169,5.752,3.617,3.752,1.945,4.806,5.631,0.094,2.703,2.43,1.024,1.068,4.907,0.12,0.093,0.719,16,14,3.844,2.43,65.98,28.628,94.169,101.399,1.678,4.305,4.116,1.193,1.156,65.98,0.256,0.378,0.781,1.533,7.1,3.278,10.743,74.78,8.743,0.696,3.56,3.644,3.266,3.213,3.217,4.017,4.114,3.672,3.618,5.266,3.611,4.237,4.386,3.714,3.651,3.641,4.213,4.374,3.626,3.548,3.537,4.1,4.24,3.515,3.358,3.379,3.935,4.086,3.225,3.262,5.256,3.233,3.812,3.981,2.98,3.115,5.054,3.052,3.613,3.859,2.225,2.802,4.54,2.614,0.059,0.395,4.137,8.675,2.429,0.635,6.624,10.622,4.323,0.193,0.805,11.144,5.134,5.777,0.225,0.801,11.423,5.008,5.588,0.682,10.649,4.254,57.398,4.052,0.562,9.098,3.948,3.908,0.167,0.508,8.032,3.537,25.091,3.722,0.138,0.418,8.166,3.422,20.561,4.321,5,34,0.282,0.597,0.708,0.855,0.904,0.904,3.061,0.819,0,53.3,0,0,0,0,0,0,0,0,0,8,3,1,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,9,0,0,4,0,1,4,0,9,0,0,1,0,0,3,7,0,0,0,5,0,2,0,3,4,0,0,0,4,0,0,2,0,4,0,5,0,0,0,0,3,0,0,0,0,4,6,0,0
4.602,-3.94,-3.89,-3.69,2.018,1.017,5.0,-0.079,2.71,7.345,2.018,5.813,5.781,4.577,0.359,2,0.8,0.917,1.342,167.764,4.234,1.068,2.919,21.889,0.679,86.167,0.489,44.793,3.24,4.278,112.318,5.24,3.751,3.24,1.974,4.994,5.431,0.274,2.922,2.703,0.995,0.882,4.938,0.161,0.12,0.721,17,15,3.669,2.703,93.62,116.537,112.318,120.163,-0.106,4.882,4.531,1.26,1.221,65.38,0.223,0.351,0.606,1.943,10.0,4.2,17.643,79.755,10.011,0.708,3.625,3.7,3.458,3.242,3.241,4.038,4.124,3.855,3.578,5.471,3.579,4.28,4.421,3.824,3.58,3.58,4.26,4.434,3.74,3.512,3.461,4.079,4.263,3.712,3.435,3.337,3.87,4.005,3.515,3.24,5.293,3.198,3.756,3.917,3.334,3.048,5.169,3.022,3.635,3.794,3.077,2.955,5.063,2.944,0.209,0.591,3.507,27.862,2.356,0.944,6.688,31.815,4.087,0.649,1.148,11.112,5.886,5.04,0.778,1.18,13.091,6.131,5.159,0.934,17.318,6.261,59.764,5.99,0.744,11.332,4.574,3.52,0.353,0.675,9.925,3.989,44.575,3.634,0.272,0.586,6.768,3.357,32.578,3.467,17,34,0.359,0.663,0.789,0.901,0.913,0.924,3.146,0.888,0,46.9,0,0,0,0,0,0,0,0,0,6,1,5,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,2,1,0,4,0,3,0,0,0,0,1,6,3,0,0,0,2,0,0,0,3,3,0,0,0,2,0,0,1,0,2,0,3,0,0,0,0,0,0,0,1,0,2,1,0,0
6.155,-3.22,-3.21,-3.08,2.55,1.053,5.483,-0.062,1.987,3.948,2.55,6.385,6.828,10.826,1.375,2,0.606,0.982,1.041,545.442,4.053,1.594,6.613,49.904,0.808,79.828,0.858,244.44,3.783,4.722,200.109,5.783,4.815,3.783,2.012,5.554,6.523,0.211,3.549,3.34,1.313,1.02,5.362,0.15,0.099,0.653,18,18,4.669,3.34,144.52,267.71,270.735,274.706,-3.028,6.445,6.445,1.648,1.615,144.52,0.203,0.312,0.585,1.411,11.684,5.353,28.656,144.996,7.827,0.439,4.289,4.369,3.86,3.844,3.838,4.766,4.891,4.286,4.239,5.988,4.231,5.075,5.186,4.49,4.426,4.425,5.277,5.419,4.55,4.469,4.449,5.264,5.431,4.448,4.469,4.437,5.285,5.433,4.53,4.457,6.81,4.442,5.307,5.475,4.42,4.439,6.627,4.414,5.238,5.405,4.466,4.42,6.729,4.387,0.189,0.801,12.493,33.101,7.278,1.292,21.618,41.366,12.833,0.497,1.684,30.529,13.837,15.36,1.66,1.968,42.306,16.237,19.007,1.984,42.089,16.502,156.59,19.353,1.981,42.92,16.319,18.864,1.171,2.008,45.955,16.511,211.047,18.634,1.439,1.91,41.777,15.938,233.472,19.371,123,62,0.222,0.58,0.733,0.809,0.843,0.863,3.668,0.869,0,45.5,4,1,0,0,1,4,0,0,0,5,7,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,13,0,0,9,0,0,10,0,22,0,0,0,0,0,7,18,0,0,1,7,0,5,4,13,20,0,0,0,8,0,0,0,0,4,0,12,0,0,0,0,9,0,0,2,4,17,18,0,0
4.0,-2.29,-2.33,-2.29,1.638,0.957,4.202,0.063,1.062,1.127,1.638,5.692,5.916,5.955,0.26,2,0.801,0.965,0.877,94.169,4.108,1.318,3.338,29.008,0.786,26.334,0.335,69.6,4.637,3.547,94.169,6.637,4.505,4.637,1.958,5.179,6.022,0.052,2.535,2.115,1.116,1.335,4.202,0.289,0.197,0.694,12,12,3.683,2.115,202.26,53.762,94.169,193.707,2.432,5.046,4.997,1.253,1.217,151.66,0.282,0.437,0.789,1.664,10.077,2.178,4.745,111.056,9.06,0.444,3.819,3.943,3.615,3.505,3.434,4.18,4.305,4.001,3.864,5.377,3.752,4.434,4.576,4.172,4.039,3.891,4.511,4.681,4.118,3.994,3.849,4.504,4.704,4.093,3.896,3.792,4.512,4.725,3.816,3.868,5.854,3.775,4.499,4.73,3.894,3.843,5.912,3.74,4.355,4.556,3.851,3.709,5.928,3.586,0.086,0.657,7.041,23.662,3.593,0.929,12.166,13.99,6.907,0.112,1.24,23.288,9.016,9.179,0.198,1.346,26.997,9.551,9.663,1.328,23.953,7.858,91.853,8.693,1.262,21.321,7.334,8.05,0.186,1.201,19.655,7.884,64.722,9.915,0.277,1.149,17.925,6.328,82.798,6.819,41,36,0.288,0.546,0.611,0.71,0.727,0.727,3.304,0.995,0,42.9,0,0,0,0,0,0,2,0,2,8,0,4,0,0,0,0,0,0,2,0,0,4,4,4,0,0,0,7,0,0,2,0,0,6,0,8,0,6,0,0,0,8,8,0,8,0,2,2,2,0,4,4,0,4,1,2,0,2,2,3,8,6,7,0,8,3,0,2,0,0,0,0,4,6,4,0
4.523,-4.58,-4.5,-4.24,1.0,0.913,4.004,0.045,3.351,11.23,1.0,5.166,4.871,3.101,0.092,8,0.612,0.579,0.928,136.852,6.88,0.986,1.963,12.892,0.472,20.958,0.15,8.608,2.924,2.5,94.169,4.924,3.145,2.924,1.916,4.598,4.532,0.037,2.0,1.5,0.806,1.055,3.924,0.069,0.04,0.716,12,12,2.912,1.5,44.95,24.252,94.169,76.009,2.732,3.674,3.674,0.886,0.821,44.95,0.275,0.436,0.733,1.702,8.5,4.68,21.906,69.694,11.085,0.706,3.33,3.422,3.237,2.998,2.965,3.713,3.824,3.622,3.318,4.968,3.259,3.948,4.129,3.599,3.311,3.217,3.753,3.984,3.135,2.954,2.848,3.354,3.57,3.068,2.731,2.679,3.269,3.4,3.064,2.843,4.505,2.765,3.441,3.637,2.915,2.896,4.43,2.753,3.379,3.608,3.096,2.74,4.403,2.564,0.061,0.327,1.501,7.53,2.189,0.477,2.227,5.281,3.556,0.168,0.612,16.232,4.664,4.718,0.204,0.526,17.412,3.845,3.744,0.348,6.942,2.202,15.519,2.642,0.294,2.534,1.918,2.396,0.05,0.341,4.573,2.871,7.027,3.705,0.062,0.3,7.439,3.18,9.22,3.958,5,22,0.337,0.508,0.603,0.73,0.778,0.794,2.85,0.97,1,48.0,0,0,0,0,0,0,0,0,0,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,4,0,0,2,0,6,0,0,0,0,0,2,6,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,0,0,0,1,0,0,1,0,0,8,0,0
5.222,-1.46,-1.54,-1.59,1.958,0.989,5.0,-0.025,0.233,0.054,1.958,6.023,6.107,4.56,0.817,2,0.566,1.002,1.004,308.417,4.006,1.079,2.984,25.318,0.762,127.752,0.944,129.32,3.756,3.971,58.856,5.756,4.443,3.756,1.936,5.103,5.853,0.381,2.889,2.533,1.151,1.013,4.938,0.291,0.208,0.707,12,12,3.985,2.533,131.36,149.904,58.856,249.562,-1.961,6.445,6.402,0.938,0.936,131.36,0.276,0.413,0.819,1.516,7.909,1.504,2.261,75.428,9.445,0.5,3.653,3.689,3.355,3.153,3.218,4.032,4.068,3.775,3.526,5.509,3.594,4.365,4.421,3.954,3.633,3.716,4.422,4.517,3.873,3.534,3.61,4.282,4.39,3.634,3.406,3.461,4.126,4.237,3.499,3.263,5.787,3.306,3.986,4.108,3.344,3.087,5.728,3.127,3.824,3.947,2.987,2.808,5.451,2.845,0.345,0.385,4.328,53.135,2.053,0.581,5.027,53.625,3.695,0.881,0.76,10.022,5.938,4.657,1.143,0.783,14.195,6.214,5.501,0.685,12.853,5.449,133.42,4.508,0.59,10.793,4.732,4.314,0.708,0.512,9.733,4.15,117.464,4.112,0.623,0.422,8.482,3.367,103.425,2.735,37,36,0.281,0.568,0.723,0.858,0.916,0.927,3.148,0.765,0,46.9,0,0,0,0,0,0,0,2,0,5,2,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,6,0,5,0,0,0,2,1,6,1,0,0,1,5,0,3,1,6,2,0,0,0,2,0,0,1,1,3,0,4,0,0,0,0,1,0,0,2,1,2,3,0,0
4.222,-3.44,-3.42,-3.27,1.733,0.998,4.907,0.021,2.215,4.904,1.733,5.566,5.574,3.893,0.163,3,0.705,0.913,0.921,161.997,4.121,1.074,2.371,20.366,0.666,25.989,0.322,23.231,3.745,3.322,94.169,5.745,3.621,3.745,1.945,4.806,5.511,0.053,2.704,2.43,1.018,1.079,4.907,0.12,0.093,0.719,16,14,3.842,2.43,65.98,37.661,94.169,101.399,1.666,4.354,4.09,1.122,1.104,65.98,0.248,0.369,0.741,1.533,7.2,3.445,11.865,75.404,8.743,0.696,3.56,3.644,3.266,3.213,3.217,4.016,4.113,3.67,3.612,5.247,3.609,4.241,4.39,3.731,3.635,3.628,4.226,4.391,3.581,3.499,3.491,4.048,4.204,3.39,3.295,3.296,3.828,3.983,3.212,3.185,5.146,3.173,3.816,3.982,3.022,3.135,5.098,3.083,3.541,3.747,2.397,2.841,4.568,2.693,0.059,0.395,4.137,8.675,2.429,0.634,6.568,9.436,4.257,0.227,0.821,11.087,5.128,5.925,0.307,0.813,12.056,4.89,5.143,0.635,10.799,4.347,59.461,4.354,0.533,7.84,3.311,3.358,0.18,0.499,8.278,3.576,27.269,3.7,0.128,0.367,6.959,3.153,23.061,3.773,5,34,0.282,0.609,0.708,0.855,0.904,0.904,3.06,0.819,0,53.3,0,0,0,0,0,0,0,0,0,8,2,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,8,0,0,3,0,0,3,0,8,0,0,1,1,1,3,4,0,0,0,4,0,2,0,4,0,0,0,0,4,0,0,1,0,4,0,1,0,0,0,0,4,0,0,0,0,4,4,0,0
