pXC50,nHet,nCsp3,Sp,nBO,nBT,Si,nAT,nH,nC,Sv,nCsp,MW,SCBO,nTB,Se,nSK,nO,nCsp2,nN
6.839,13,7,40.278,39,64,70.319,62,25,24,40.093,0,511.54,52.0,0,63.963,37,8,17,5
9.699,16,11,53.37,52,85,91.933,81,33,32,52.518,2,655.74,69.0,1,82.811,48,7,19,9
6.509,11,7,40.131,37,64,70.315,62,27,24,39.191,0,481.56,48.0,0,63.192,35,6,17,5
6.208,10,8,42.887,39,67,73.232,65,28,27,41.696,2,504.59,52.0,1,65.974,37,6,17,4
6.469,12,7,39.0,38,62,68.496,60,24,24,38.936,0,502.52,49.0,0,62.116,36,6,17,4
6.237,12,6,39.239,39,61,67.081,59,22,25,39.409,2,512.51,52.5,1,61.232,37,6,17,4
6.319,13,7,40.938,41,64,70.836,62,23,26,41.319,2,544.53,54.0,1,64.629,39,6,17,4
5.921,14,9,48.79,47,76,81.232,72,29,29,47.42,2,603.72,64.0,1,73.472,43,6,18,7
6.432,11,7,39.063,37,62,68.157,60,25,24,38.552,0,484.53,48.0,0,61.603,35,6,17,4
6.783,10,5,37.602,36,58,62.986,56,22,24,37.116,2,462.5,49.0,1,57.323,34,6,17,4
9.149,14,9,48.79,47,76,81.232,72,29,29,47.42,2,603.72,64.0,1,73.472,43,6,18,7
6.301,11,7,39.58,37,63,69.026,61,26,24,38.884,0,482.54,48.0,0,62.418,35,7,17,4
6.538,11,6,40.369,38,63,68.9,61,25,25,39.664,2,491.55,51.0,1,62.309,36,6,17,5
4.602,11,7,40.58,38,64,70.026,62,26,25,39.884,0,494.55,50.0,0,63.418,36,7,18,4
4.931,12,7,40.068,38,64,70.655,62,26,24,39.574,0,499.55,49.0,0,63.705,36,6,17,5
8.046,12,5,38.546,38,60,65.824,58,22,24,38.52,2,495.51,51.0,1,59.938,36,6,17,5
5.03,11,5,35.54,35,56,61.326,54,21,22,35.499,0,456.47,46.0,0,55.836,33,6,17,4
7.367,12,7,39.0,38,62,68.496,60,24,24,38.936,0,502.52,49.0,0,62.116,36,6,17,4
7.237,12,6,39.756,39,62,67.951,60,23,25,39.74,2,510.52,52.0,1,62.047,37,7,17,4
6.585,11,7,39.58,37,63,69.026,61,26,24,38.884,0,482.54,48.0,0,62.418,35,7,17,4
5.423,11,5,35.54,35,56,61.326,54,21,22,35.499,0,456.47,46.0,0,55.836,33,6,17,4
5.446,12,7,39.517,38,63,69.366,61,25,24,39.267,0,500.53,49.0,0,62.931,36,7,17,4
5.535,11,6,37.301,36,59,64.741,57,23,23,37.026,0,470.5,47.0,0,58.72,34,6,17,4
6.009,12,8,41.279,39,66,72.781,64,27,25,40.794,0,514.56,50.0,0,65.814,37,7,17,4
4.889,11,9,43.102,39,69,75.857,67,30,26,41.938,0,510.6,50.0,0,68.185,37,7,17,4
6.268,11,8,41.341,38,66,72.441,64,28,25,40.411,0,496.57,49.0,0,65.302,36,7,17,4
6.62,11,7,39.063,37,62,68.157,60,25,24,38.552,0,484.53,48.0,0,61.603,35,6,17,4
6.658,12,7,39.517,38,63,69.366,61,25,24,39.267,0,500.53,49.0,0,62.931,36,7,17,4
6.229,12,8,41.279,39,66,72.781,64,27,25,40.794,0,514.56,50.0,0,65.814,37,7,17,4
7.347,11,7,39.063,37,62,68.157,60,25,24,38.552,0,484.53,48.0,0,61.603,35,6,17,4
6.495,10,8,40.887,37,65,71.232,63,28,25,39.696,0,480.57,48.0,0,63.974,35,6,17,4
7.444,12,6,39.756,39,62,67.951,60,23,25,39.74,2,510.52,52.0,1,62.047,37,7,17,4
6.036,11,6,40.58,38,64,70.026,62,26,25,39.884,0,494.55,50.0,0,63.418,36,7,19,4
5.757,12,7,39.0,38,62,68.496,60,24,24,38.936,0,502.52,49.0,0,62.116,36,6,17,4
5.287,11,6,40.063,38,63,69.157,61,25,25,39.552,0,496.54,50.0,0,62.603,36,6,19,4
5.754,11,7,40.773,37,63,68.737,61,26,24,39.356,0,498.61,48.0,0,62.167,35,6,17,4
9.066,15,8,47.727,46,74,80.571,71,28,28,46.804,2,609.7,62.0,1,72.985,43,6,18,7
6.854,10,7,41.125,38,64,69.817,62,26,26,40.169,2,490.56,51.0,1,63.091,36,6,17,4
6.167,11,7,39.063,37,62,68.157,60,25,24,38.552,0,484.53,48.0,0,61.603,35,6,17,4
