pXC50,AMW,C.,H.,Me,Mi,Mp,Mv,MW,N.,nAB,nAT,nB,nBM,nBO,nBR,nBT,nC,nCL,nCsp,nCsp2,nCsp3,nDB,nF,nH,nHet,nHM,nI,nN,nO,nP,nS,nSK,nTB,nX,O.,RBF,RBN,SCBO,Se,Si,Sp,Sv,X.
7.523,8.733,31.0,37.9,1.051,1.158,0.625,0.64,253.25,17.2,10,29,0,11,19,0,30,9,0,0,6,3,1,0,11,9,0,0,5,4,0,0,18,0,0,13.8,0.133,4,25,30.469,33.575,18.131,18.547,0.0
7.398,9.216,34.5,34.5,1.057,1.162,0.642,0.663,267.25,17.2,10,29,0,11,21,0,31,10,0,0,7,3,1,1,10,9,0,0,5,3,0,0,19,0,1,10.3,0.032,1,27,30.654,33.705,18.614,19.215,3.4
7.409,9.216,34.5,34.5,1.057,1.162,0.642,0.663,267.25,17.2,10,29,0,11,21,0,31,10,0,0,7,3,1,1,10,9,0,0,5,3,0,0,19,0,1,10.3,0.032,1,27,30.654,33.705,18.614,19.215,3.4
4.959,9.216,34.5,34.5,1.057,1.162,0.642,0.663,267.25,17.2,10,29,0,11,21,0,31,10,0,0,7,3,1,1,10,9,0,0,5,3,0,0,19,0,1,10.3,0.032,1,27,30.654,33.705,18.614,19.215,3.4
5.796,9.783,34.5,34.5,1.051,1.149,0.674,0.678,283.7,17.2,10,29,0,11,21,0,31,10,1,0,7,3,1,0,10,9,1,0,5,3,0,0,19,0,1,10.3,0.032,1,27,30.465,33.309,19.534,19.659,3.4
7.06,8.557,35.5,38.7,1.039,1.158,0.643,0.646,265.28,16.1,10,31,0,11,21,0,33,11,0,0,7,4,1,1,12,8,0,0,5,2,0,0,19,0,1,6.5,0.03,1,27,32.211,35.911,19.921,20.027,3.2
5.959,8.557,35.5,38.7,1.039,1.158,0.643,0.646,265.28,16.1,10,31,0,11,21,0,33,11,0,0,7,4,1,1,12,8,0,0,5,2,0,0,19,0,1,6.5,0.03,1,27,32.211,35.911,19.921,20.027,3.2
5.161,8.557,35.5,38.7,1.039,1.158,0.643,0.646,265.28,16.1,10,31,0,11,21,0,33,11,0,0,7,4,1,1,12,8,0,0,5,2,0,0,19,0,1,6.5,0.03,1,27,32.211,35.911,19.921,20.027,3.2
5.62,9.216,34.5,34.5,1.057,1.162,0.642,0.663,267.25,17.2,10,29,0,11,21,0,31,10,0,0,7,3,1,1,10,9,0,0,5,3,0,0,19,0,1,10.3,0.032,1,27,30.654,33.705,18.614,19.215,3.4
7.367,8.842,33.3,36.7,1.049,1.152,0.638,0.652,265.26,16.7,10,30,0,11,21,0,32,10,0,0,6,4,1,0,11,9,0,0,5,4,0,0,19,0,0,13.3,0.063,2,27,31.469,34.575,19.131,19.547,0.0
5.013,8.358,30.4,43.5,1.033,1.149,0.637,0.621,384.47,13.0,10,46,0,11,28,0,48,14,0,0,6,8,1,0,20,12,1,0,6,5,0,1,26,0,0,10.9,0.146,7,34,47.509,52.863,29.284,28.577,0.0
5.187,9.216,34.5,34.5,1.057,1.162,0.642,0.663,267.25,17.2,10,29,0,11,21,0,31,10,0,0,7,3,1,1,10,9,0,0,5,3,0,0,19,0,1,10.3,0.032,1,27,30.654,33.705,18.614,19.215,3.4
6.951,8.557,35.5,38.7,1.039,1.158,0.643,0.646,265.28,16.1,10,31,0,11,21,0,33,11,0,0,7,4,1,1,12,8,0,0,5,2,0,0,19,0,1,6.5,0.03,1,27,32.211,35.911,19.921,20.027,3.2
6.0,8.915,31.3,37.5,1.058,1.167,0.62,0.639,285.27,15.6,10,32,0,10,22,0,34,10,0,0,5,5,0,1,12,10,0,0,5,4,0,0,20,0,1,12.5,0.059,2,27,33.865,37.33,19.83,20.457,3.1
5.824,10.403,34.5,31.0,1.068,1.16,0.671,0.691,301.69,17.2,10,29,0,11,22,0,31,10,1,0,7,3,1,1,9,10,1,0,5,3,0,0,20,0,2,10.3,0.032,1,28,30.978,33.649,19.472,20.043,6.9
5.523,10.403,34.5,31.0,1.068,1.16,0.671,0.691,301.69,17.2,10,29,0,11,22,0,31,10,1,0,7,3,1,1,9,10,1,0,5,3,0,0,20,0,2,10.3,0.032,1,28,30.978,33.649,19.472,20.043,6.9
5.013,9.266,32.3,35.5,1.066,1.176,0.623,0.649,287.26,16.1,10,31,0,10,22,0,33,10,0,0,5,5,0,2,11,10,0,0,5,3,0,0,20,0,2,9.7,0.03,1,27,33.051,36.46,19.313,20.125,6.5
7.409,8.842,33.3,36.7,1.049,1.152,0.638,0.652,265.26,16.7,10,30,0,11,21,0,32,10,0,0,6,4,1,0,11,9,0,0,5,4,0,0,19,0,0,13.3,0.063,2,27,31.469,34.575,19.131,19.547,0.0
