pXC50,AMW,C.,H.,Me,Mi,Mp,Mv,MW,N.
9.442,7.002,30.5,50.6,1.015,1.155,0.601,0.578,1883.47,10.8
7.0,6.977,31.6,50.4,1.012,1.151,0.607,0.582,1744.31,10.4
6.447,7.096,30.4,49.8,1.017,1.154,0.603,0.581,2121.73,11.0
8.409,7.094,30.5,49.8,1.017,1.154,0.603,0.582,1837.37,11.2
8.517,6.894,31.5,51.0,1.01,1.151,0.606,0.579,1730.33,10.4
9.218,7.13,31.0,49.5,1.017,1.153,0.606,0.585,2003.57,11.0
7.857,6.966,31.7,50.4,1.012,1.151,0.608,0.582,1602.13,10.4
7.522,7.009,31.1,50.2,1.013,1.152,0.606,0.581,1464.93,11.0
10.398,7.119,30.8,49.7,1.017,1.154,0.604,0.583,2078.67,11.0
7.405,7.013,30.6,50.4,1.015,1.153,0.603,0.579,1879.46,10.8
7.493,7.08,30.6,50.0,1.017,1.154,0.602,0.581,1897.45,10.8
6.171,7.085,31.0,49.7,1.015,1.153,0.606,0.583,1395.81,11.2
7.916,7.129,30.9,49.5,1.017,1.153,0.605,0.584,2074.66,11.0
8.125,7.191,30.9,49.1,1.019,1.154,0.605,0.586,2092.65,11.0
7.0,6.752,29.2,52.5,1.011,1.156,0.594,0.566,1363.87,10.9
7.0,6.919,28.8,51.4,1.015,1.158,0.594,0.57,1536.04,11.7
7.0,6.942,28.6,51.3,1.016,1.158,0.593,0.57,1652.18,11.8
8.0,7.3,40.0,50.8,0.991,1.127,0.667,0.613,474.52,4.6
8.24,6.472,40.3,52.2,0.987,1.128,0.643,0.596,433.65,4.5
7.26,6.931,30.7,50.9,1.013,1.153,0.602,0.577,1850.46,10.5
8.05,6.982,30.7,50.6,1.014,1.153,0.603,0.579,1822.4,10.7
7.2,6.95,31.0,50.7,1.013,1.152,0.604,0.579,1862.47,10.4
9.4,7.07,30.8,50.0,1.016,1.155,0.604,0.581,1399.82,11.1
8.04,6.927,29.3,51.1,1.014,1.157,0.598,0.573,1939.6,12.5
5.75,6.984,30.5,50.5,1.014,1.154,0.603,0.579,1396.85,11.5
7.9,6.998,30.5,50.6,1.015,1.155,0.601,0.578,1812.38,10.8
6.4,6.964,30.9,50.6,1.012,1.153,0.605,0.58,1239.65,11.2
8.59,7.079,30.6,50.0,1.017,1.155,0.603,0.581,1826.36,10.9
6.3,7.024,30.7,50.3,1.015,1.153,0.603,0.58,1397.83,11.1
9.0,7.213,30.8,49.3,1.02,1.158,0.603,0.584,1449.83,10.9
8.72,7.072,30.9,50.0,1.017,1.152,0.603,0.581,1810.33,10.2
7.79,6.95,31.0,50.7,1.013,1.152,0.604,0.579,1862.47,10.4
7.46,6.966,30.1,50.7,1.014,1.155,0.601,0.577,1922.55,11.6
5.0,6.905,32.1,50.7,1.009,1.15,0.61,0.582,925.25,10.4
7.95,6.979,30.8,50.5,1.013,1.153,0.604,0.579,1381.83,11.1
7.888,7.009,30.6,50.4,1.015,1.153,0.603,0.579,1808.37,10.9
7.71,6.931,30.7,50.9,1.013,1.153,0.602,0.577,1850.46,10.5
7.53,6.881,30.8,51.3,1.012,1.152,0.602,0.575,1878.52,10.3
8.35,6.982,30.7,50.6,1.014,1.153,0.603,0.579,1822.4,10.7
7.08,7.028,30.9,50.2,1.015,1.153,0.604,0.581,1820.38,10.8
7.78,7.028,30.9,50.2,1.015,1.153,0.604,0.581,1820.38,10.8
7.75,6.931,30.7,50.9,1.013,1.153,0.602,0.577,1850.46,10.5
9.1,7.153,30.8,50.0,1.015,1.153,0.609,0.584,1416.27,11.1
8.74,7.377,30.8,50.0,1.014,1.152,0.611,0.585,1460.72,11.1
9.0,6.803,29.9,52.0,1.011,1.155,0.598,0.57,1387.89,10.8
7.0,6.979,30.8,50.5,1.013,1.153,0.604,0.579,1381.83,11.1
7.0,6.919,30.5,51.0,1.012,1.154,0.602,0.576,1383.85,11.0
6.5,6.702,29.8,52.7,1.009,1.155,0.596,0.566,1373.91,10.7
9.52,7.134,30.5,49.5,1.017,1.154,0.604,0.583,1426.83,11.5
9.24,7.031,30.1,50.4,1.016,1.156,0.601,0.578,1940.54,11.6
7.24,7.002,29.4,50.5,1.015,1.157,0.599,0.576,1953.58,12.5
7.76,7.615,30.8,50.0,1.014,1.152,0.618,0.586,1507.72,11.1
8.0,6.874,30.7,51.3,1.011,1.153,0.603,0.576,1367.85,11.1
9.12,7.002,29.4,50.5,1.015,1.157,0.599,0.576,1953.58,12.5
5.6,6.945,30.8,50.7,1.012,1.153,0.604,0.578,1395.86,10.9
6.485,7.009,30.6,50.4,1.015,1.153,0.603,0.579,1808.37,10.9
7.895,7.067,29.4,50.2,1.017,1.158,0.599,0.577,1971.57,12.5
7.33,6.906,30.7,51.1,1.012,1.153,0.602,0.576,1864.49,10.4
8.6,6.842,29.4,51.8,1.013,1.156,0.596,0.57,1347.82,11.2
9.05,7.07,30.8,50.0,1.016,1.155,0.604,0.581,1399.82,11.1
5.5,7.024,30.7,50.3,1.015,1.153,0.603,0.58,1397.83,11.1
6.7,6.945,30.8,50.7,1.012,1.153,0.604,0.578,1395.86,10.9
7.6,7.083,31.1,49.7,1.015,1.153,0.607,0.584,1253.63,11.3
6.61,7.079,30.6,50.0,1.017,1.155,0.603,0.581,1826.36,10.9
7.435,6.928,30.5,51.0,1.013,1.153,0.602,0.576,1794.39,10.8
9.36,7.067,29.4,50.2,1.017,1.158,0.599,0.577,1971.57,12.5
7.8,6.737,29.3,52.5,1.01,1.156,0.594,0.566,1333.84,11.1
6.2,6.841,30.7,51.5,1.01,1.153,0.603,0.575,1381.88,10.9
7.05,6.989,30.7,50.5,1.014,1.153,0.603,0.579,1411.86,10.9
7.6,6.975,30.9,50.6,1.013,1.152,0.604,0.579,1848.44,10.6
