pXC50,MPC05,MPC06,MPC07,N.,Eig01_AEA.ri.,GATS1s,SpMax_AEA.ri.,MPC04,X5,LOC,piPC06,Eig01_EA.ri.,SpDiam_AEA.ed.,SpDiam_EA.ri.,SpMax_EA.ri.,X4A,BAC,CATS2D_03_AL,ZM2Kup,TPC,Wap,Eig02_AEA.dm.,Eig03_AEA.dm.,Eig03_AEA.ed.,Eig03_EA.ed.,GGI4,GGI5,MWC06,MWC07,MWC08,MWC09,MWC10,SM02_EA.dm.,SM02_EA.ed.,SM04_EA.dm.,SM12_AEA.dm.,SpAD_EA.dm.,SRW10,TWC,SM06_EA.ed.,SM07_EA.ed.,SM08_EA.ed.,SM09_EA.ed.,SM10_EA.ed.,SM11_EA.ed.,SM12_EA.ed.,SM13_AEA.ed.,SM13_EA.ed.,SM14_EA.ed.,SM15_AEA.ed.,SM15_EA.ed.,SpMAD_AEA.ed.,X5A,Eig01_EA.dm.,SM06_EA.dm.,SM08_EA.dm.,SM10_EA.dm.,SM12_EA.dm.,SM14_EA.dm.,SpDiam_EA.dm.,SpMax_EA.dm.,piPC07
7.921,4.844,5.075,5.283,3.8,4.302,0.595,4.302,4.533,8.116,1.137,6.405,3.138,6.888,5.138,3.138,0.102,34,6,424.897,7.909,27252.0,3.707,3.507,6.271,9.327,2.149,1.73,8.672,9.592,10.524,11.452,12.387,3.559,6.806,5.632,9.327,15.286,10.36,12.887,15.623,17.867,20.42,22.806,25.312,27.759,30.253,25.938,32.728,35.223,29.772,37.712,1.585,0.064,3.272,7.904,10.23,12.577,14.935,17.299,6.545,3.272,6.851
7.398,4.905,5.094,5.357,3.8,4.317,0.691,4.317,4.585,8.483,0.902,6.249,3.265,6.64,5.265,3.265,0.1,12,5,347.173,8.458,55192.0,3.537,3.057,6.289,9.429,1.991,0.924,8.718,9.652,10.59,11.527,12.466,2.529,6.853,3.862,9.429,7.635,10.513,12.962,15.68,17.904,20.434,22.791,25.266,27.677,30.134,26.009,32.567,35.019,29.826,37.463,1.611,0.063,2.443,5.489,7.209,8.963,10.734,12.512,4.174,2.443,6.686
8.061,4.913,5.056,5.081,2.8,4.402,0.754,4.402,4.682,9.06,1.258,6.487,3.384,7.037,5.384,3.384,0.112,62,9,572.416,8.245,48932.0,3.514,3.184,6.298,9.203,2.404,2.506,8.84,9.741,10.656,11.563,12.482,2.697,6.995,3.31,9.203,11.372,10.573,12.994,15.823,18.107,20.683,23.119,25.662,28.162,30.701,26.167,33.228,35.771,30.027,38.311,1.578,0.067,1.674,4.106,5.002,5.957,6.944,7.949,3.349,1.674,6.81
8.666,4.92,5.063,5.094,2.9,4.402,0.749,4.402,4.691,8.958,1.298,6.592,3.384,7.004,5.384,3.384,0.109,62,9,555.416,8.215,46153.0,3.514,3.193,6.432,9.787,2.506,2.291,8.84,9.749,10.672,11.585,12.511,2.697,6.997,3.31,9.787,11.372,10.593,13.018,15.896,18.182,20.754,23.185,25.72,28.212,30.744,26.245,33.265,35.801,30.105,38.336,1.598,0.066,1.674,4.106,5.002,5.957,6.944,7.949,3.349,1.674,6.915
7.342,4.934,5.069,5.106,2.8,4.402,0.753,4.402,4.71,9.231,1.258,6.486,3.384,7.037,5.384,3.384,0.111,62,9,573.416,8.245,48932.0,3.514,3.192,6.432,9.787,2.404,2.367,8.858,9.763,10.682,11.592,12.515,2.697,7.011,3.31,9.787,11.372,10.594,13.024,15.895,18.181,20.753,23.183,25.719,28.211,30.743,26.244,33.264,35.801,30.103,38.335,1.582,0.067,1.674,4.106,5.002,5.957,6.944,7.949,3.349,1.674,6.816
7.257,4.942,5.13,5.242,2.9,4.422,0.747,4.422,4.682,8.987,1.249,6.54,3.403,7.065,5.403,3.403,0.11,49,11,562.416,7.977,29595.0,3.516,3.208,6.298,9.203,2.463,2.347,8.825,9.736,10.663,11.583,12.515,2.697,6.959,3.31,9.203,11.372,10.545,13.018,15.874,18.181,20.773,23.226,25.781,28.292,30.841,26.212,33.377,35.928,30.089,38.476,1.563,0.065,1.674,4.106,5.002,5.957,6.944,7.949,3.349,1.674,6.924
7.208,4.754,4.89,4.997,2.5,4.49,0.807,4.49,4.595,8.112,0.854,6.104,3.471,6.969,5.471,3.471,0.114,86,7,512.674,8.141,48740.0,3.726,3.502,6.671,10.714,2.223,2.111,8.855,9.736,10.645,11.533,12.444,3.759,7.127,6.016,10.714,20.253,10.62,12.963,16.137,18.465,21.015,23.451,25.972,28.454,30.971,26.712,33.475,35.994,30.63,38.51,1.57,0.071,3.784,8.588,11.208,13.837,16.469,19.103,7.434,3.784,6.347
6.0,4.344,4.304,4.431,6.1,4.012,0.949,4.012,4.159,6.076,0.0,5.412,3.002,6.301,5.002,3.002,0.119,0,2,276.127,7.021,9654.0,3.28,2.466,5.247,6.4,0.604,0.354,8.273,9.137,10.007,10.874,11.745,1.618,6.389,1.617,6.4,4.933,9.978,12.288,14.613,16.678,19.084,21.289,23.629,25.89,28.206,24.869,30.491,32.799,28.557,35.094,1.49,0.08,1.263,1.818,2.125,2.494,2.9,3.33,2.232,1.263,5.762
6.0,4.078,4.043,4.174,5.9,4.006,0.938,4.006,3.912,5.152,0.0,5.263,3.005,6.377,5.005,3.005,0.132,0,1,253.493,6.615,5932.0,3.029,2.361,5.247,6.4,0.342,0.174,8.029,8.857,9.69,10.523,11.36,1.618,6.129,1.617,6.4,4.933,9.698,11.929,14.195,16.263,18.676,20.894,23.248,25.526,27.859,24.464,30.161,32.486,28.162,34.798,1.421,0.089,1.263,1.818,2.125,2.494,2.9,3.33,2.232,1.263,5.624
6.0,4.094,4.007,4.127,6.7,4.009,0.945,4.009,3.912,4.941,0.405,5.269,3.002,6.301,5.002,3.002,0.127,2,0,253.268,6.46,4481.0,3.248,2.361,5.247,6.4,0.484,0.396,8.058,8.904,9.754,10.603,11.455,1.738,6.196,1.755,6.4,5.725,9.8,12.012,14.39,16.449,18.851,21.051,23.391,25.651,27.97,24.696,30.258,32.571,28.383,34.873,1.483,0.084,1.325,2.032,2.443,2.922,3.438,3.975,2.304,1.325,5.642
