pXC50,CATS2D_01_DD,nRNHO,P_VSA_MR_3,O.056,nRCNO,C.038,CATS2D_01_DA,N.074,CATS2D_04_DD,NaasN,SaasN,NdsN,SpDiam_EA.dm.,P_VSA_LogP_5,SdssC,N.073,SaaN,P_VSA_LogP_3,O.060,SpMax1_Bh.s.,MATS3s,SpMax1_Bh.i.,CATS2D_02_AA,piPC07,piPC08,piPC10,nRCONHR,SsOH,P_VSA_MR_7,X5A,GATS5s,MATS1e,CATS2D_03_AL,Eig01_EA,SM09_AEA.bo.,SpDiam_EA,SpMax_EA,ATSC1e,Eig01_AEA.ri.,SpMax_AEA.ri.,Eig01_AEA.ed.,SpMax_AEA.ed.,SpMax1_Bh.e.,Eig01_AEA.dm.,SpDiam_AEA.dm.,SpMax_AEA.dm.,ATSC3s,GATS5m,ATSC3e,X4A,Eig01_EA.bo.,SM11_AEA.ri.,SpDiam_EA.bo.,SpMax_EA.bo.,Eig01_EA.ed.,SM10_AEA.dm.,SpMax_EA.ed.,GATS4s,SpDiam_EA.ed.,GATS5e,MATS5m,SpMAD_AEA.dm.,SssNH,SM14_EA
8.046,1,1,42.806,1,0,0,0,0,0,0,0.0,0,3.641,6.241,-1.448,0,0.0,80.711,0,7.448,0.027,3.954,0,4.637,4.522,4.031,0,8.304,0.0,0.094,1.197,-0.042,3,2.839,2.839,4.839,2.839,0.172,3.835,3.835,6.049,6.049,3.931,3.864,5.864,3.864,96.523,0.407,0.604,0.145,3.762,3.762,6.762,3.762,8.671,8.671,8.671,1.071,14.803,1.212,0.046,1.588,6.355,14.791
7.398,1,1,42.806,1,0,0,0,0,0,0,0.0,0,3.641,3.186,-1.418,0,0.0,90.187,0,7.448,0.033,3.956,0,4.569,4.274,3.903,0,8.291,0.0,0.099,1.185,-0.03,3,2.817,2.817,4.817,2.817,0.151,3.82,3.82,6.042,6.042,3.928,3.864,5.864,3.864,92.864,1.014,0.527,0.15,3.68,3.68,6.68,3.68,8.643,8.643,8.643,1.055,14.765,1.237,-0.007,1.576,6.348,14.645
4.523,0,0,0.0,0,0,0,0,0,0,1,1.695,0,3.306,18.746,-0.082,1,8.469,165.136,0,7.431,-0.073,4.097,1,6.591,6.952,7.578,2,0.0,33.203,0.084,1.381,0.035,9,3.01,3.01,5.01,3.01,0.096,3.976,3.976,6.298,6.298,4.05,3.596,5.596,3.596,60.222,1.028,0.353,0.127,4.073,4.073,7.073,4.073,9.617,9.617,9.617,1.079,16.099,1.415,0.002,1.497,5.79,16.019
7.839,1,1,42.806,1,0,0,0,0,0,1,1.38,0,5.395,61.298,-0.56,1,8.071,127.663,0,8.513,0.045,4.1,1,6.68,7.019,7.805,1,8.434,33.203,0.078,0.967,0.017,10,3.316,3.316,5.316,3.316,0.277,4.176,4.176,7.111,7.111,4.055,4.46,6.46,4.46,124.236,1.042,0.865,0.124,4.091,4.091,7.091,4.091,11.659,11.659,11.659,0.947,18.564,1.01,-0.061,1.542,4.416,17.081
8.237,1,1,128.172,3,0,0,0,0,0,1,1.573,0,3.641,19.604,-0.488,1,8.385,203.554,0,7.432,0.037,4.105,1,6.686,7.072,7.805,1,27.361,33.203,0.079,0.95,0.002,10,3.04,3.04,5.04,3.04,0.226,4.01,4.01,6.322,6.322,4.061,3.864,5.864,3.864,93.937,0.994,0.572,0.122,4.115,4.115,7.115,4.115,9.72,9.72,9.72,0.931,16.265,0.991,-0.018,1.552,4.498,15.999
7.484,1,1,42.806,1,0,0,0,0,0,1,1.56,0,3.641,22.353,-0.476,1,8.247,127.663,0,8.201,0.0,4.094,1,6.536,6.934,7.622,1,8.432,33.203,0.081,0.881,0.056,10,3.014,3.014,5.014,3.014,0.189,3.983,3.983,6.3,6.3,4.048,3.864,5.864,3.864,105.126,0.967,0.657,0.125,4.08,4.08,7.08,4.08,9.621,9.621,9.621,0.924,16.106,0.895,0.004,1.556,4.485,15.809
7.971,1,1,42.806,1,0,0,0,0,0,1,1.723,0,3.641,14.892,-0.427,1,8.459,127.663,0,7.432,0.03,4.092,1,6.536,6.934,7.622,1,8.444,33.203,0.081,1.156,0.099,10,3.014,3.014,5.014,3.014,0.159,3.982,3.982,6.3,6.3,4.046,3.864,5.864,3.864,82.727,0.303,0.481,0.125,4.08,4.08,7.08,4.08,9.621,9.621,9.621,0.992,16.106,1.2,0.031,1.555,4.539,15.809
8.009,1,1,42.806,1,0,0,0,0,0,1,1.99,0,3.641,10.476,-0.391,1,8.663,89.758,0,7.432,0.057,4.094,1,6.152,6.479,6.964,1,8.443,33.203,0.082,1.114,0.116,10,3.01,3.01,5.01,3.01,0.143,3.979,3.979,6.298,6.298,4.04,3.864,5.864,3.864,80.52,1.023,0.488,0.127,4.012,4.012,7.012,4.012,9.617,9.617,9.617,0.887,16.099,1.197,-0.02,1.55,4.572,15.758
8.167,1,1,42.806,1,0,0,0,0,0,1,1.681,0,3.641,13.232,-0.431,1,8.411,137.139,0,7.432,0.031,4.094,1,6.491,6.873,7.553,1,8.435,33.203,0.082,1.151,0.102,9,3.01,3.01,5.01,3.01,0.156,3.976,3.976,6.298,6.298,4.046,3.864,5.864,3.864,82.393,1.034,0.475,0.127,4.073,4.073,7.073,4.073,9.617,9.617,9.617,0.979,16.099,1.231,-0.028,1.55,4.525,15.758
7.78,1,1,42.806,1,0,0,0,0,0,1,1.78,0,3.641,10.047,-0.396,1,8.663,89.758,0,7.432,0.059,4.096,1,6.152,6.479,6.964,1,8.442,33.203,0.082,1.118,0.116,9,3.01,3.01,5.01,3.01,0.143,3.976,3.976,6.298,6.298,4.042,3.864,5.864,3.864,80.22,1.033,0.469,0.127,4.012,4.012,7.012,4.012,9.617,9.617,9.617,0.885,16.099,1.241,-0.022,1.546,4.565,15.758
