pXC50,Sp,Sv,nBT,nAB,nSK,Si,Se,nN,nBO,nAT,MW,SCBO,nH,X.,nHet,nC,Mi,N.,Mv,AMW,H.,Mp
5.2,31.387,30.037,46.0,23,27,47.87,43.407,3,30,43.0,377.47,42.5,16,2.3,6,21,1.113,7.0,0.699,8.778,37.2,0.73
5.2,29.449,28.074,43.0,23,25,44.428,40.033,4,28,40.0,346.84,39.5,15,2.5,5,20,1.111,10.0,0.702,8.671,37.5,0.736
5.2,49.574,46.68,80.0,22,39,85.763,75.629,5,43,76.0,527.73,55.0,37,0.0,8,31,1.128,6.6,0.614,6.944,48.7,0.652
5.0,29.404,27.598,41.0,12,25,44.081,40.345,2,27,39.0,478.68,34.0,14,10.3,8,17,1.13,5.1,0.708,12.274,35.9,0.754
6.585,20.421,20.294,31.0,11,19,32.286,29.72,2,21,29.0,254.26,29.5,10,0.0,5,14,1.113,6.9,0.7,8.768,34.5,0.704
6.1,28.426,26.422,45.0,11,22,48.571,42.989,3,24,43.0,319.47,31.5,21,0.0,6,16,1.13,7.0,0.614,7.43,48.8,0.661
6.0,36.955,36.846,58.0,18,35,63.377,57.378,7,38,55.0,507.55,50.0,20,5.5,14,21,1.152,12.7,0.67,9.228,36.4,0.672
4.301,35.625,35.659,54.0,28,34,56.626,51.56,5,38,50.0,459.46,53.0,16,6.0,9,25,1.133,10.0,0.713,9.189,32.0,0.713
5.4,50.972,48.561,78.0,33,43,80.394,72.163,7,49,72.0,587.76,66.5,29,0.0,10,33,1.117,9.7,0.674,8.163,40.3,0.708
5.4,50.972,48.561,78.0,33,43,80.394,72.163,7,49,72.0,587.76,66.5,29,0.0,10,33,1.117,9.7,0.674,8.163,40.3,0.708
8.523,37.006,35.519,59.0,22,31,63.272,56.327,5,34,56.0,419.53,45.0,25,0.0,8,23,1.13,8.9,0.634,7.492,44.6,0.661
7.854,40.529,38.573,65.0,22,33,70.102,62.094,5,36,62.0,447.59,47.0,29,0.0,8,25,1.131,8.1,0.622,7.219,46.8,0.654
7.745,40.529,38.573,65.0,22,33,70.102,62.094,5,36,62.0,447.59,47.0,29,0.0,8,25,1.131,8.1,0.622,7.219,46.8,0.654
8.301,33.483,32.466,53.0,22,29,56.441,50.56,5,32,50.0,391.47,43.0,21,0.0,8,21,1.129,10.0,0.649,7.829,42.0,0.67
8.222,35.245,33.993,56.0,22,30,59.857,53.443,5,33,53.0,405.5,44.0,23,0.0,8,22,1.129,9.4,0.641,7.651,43.4,0.665
7.678,44.341,43.723,70.0,28,40,75.121,67.632,5,44,66.0,549.6,58.0,26,4.5,11,29,1.138,7.6,0.662,8.327,39.4,0.672
7.77,42.767,41.046,67.0,28,36,70.687,63.211,5,40,63.0,481.6,54.0,27,0.0,8,28,1.122,7.9,0.652,7.644,42.9,0.679
8.222,45.773,44.068,72.0,32,39,75.185,67.312,6,44,67.0,520.64,60.0,28,0.0,9,30,1.122,9.0,0.658,7.771,41.8,0.683
8.523,42.705,41.429,67.0,28,37,71.027,63.723,5,41,63.0,499.59,55.0,26,1.6,9,28,1.127,7.9,0.658,7.93,41.3,0.678
7.824,42.705,41.429,67.0,28,37,71.027,63.723,5,41,63.0,499.59,55.0,26,1.6,9,28,1.127,7.9,0.658,7.93,41.3,0.678
8.097,43.625,41.874,67.0,28,37,70.631,63.534,5,41,63.0,516.04,55.0,26,1.6,9,28,1.121,7.9,0.665,8.191,41.3,0.692
8.097,43.625,41.874,67.0,28,37,70.631,63.534,5,41,63.0,516.04,55.0,26,1.6,9,28,1.121,7.9,0.665,8.191,41.3,0.692
8.097,42.767,41.046,67.0,28,36,70.687,63.211,5,40,63.0,481.6,54.0,27,0.0,8,28,1.122,7.9,0.652,7.644,42.9,0.679
7.824,45.773,44.068,72.0,32,39,75.185,67.312,6,44,67.0,520.64,60.0,28,0.0,9,30,1.122,9.0,0.658,7.771,41.8,0.683
8.523,35.245,33.993,56.0,22,30,59.857,53.443,5,33,53.0,405.5,44.0,23,0.0,8,22,1.129,9.4,0.641,7.651,43.4,0.665
8.222,37.006,35.519,59.0,22,31,63.272,56.327,5,34,56.0,419.53,45.0,25,0.0,8,23,1.13,8.9,0.634,7.492,44.6,0.661
8.222,44.483,42.701,67.0,28,38,70.575,63.858,5,42,63.0,550.48,56.0,25,3.2,10,28,1.12,7.9,0.678,8.738,39.7,0.706
8.046,42.012,40.541,66.0,28,36,69.77,62.429,6,40,62.0,482.59,54.0,26,0.0,9,27,1.125,9.7,0.654,7.784,41.9,0.678
7.886,44.341,43.723,70.0,28,40,75.121,67.632,5,44,66.0,549.6,58.0,26,4.5,11,29,1.138,7.6,0.662,8.327,39.4,0.672
6.244,41.432,39.981,66.0,16,35,71.023,63.647,4,38,63.0,476.58,50.0,28,0.0,9,26,1.127,6.3,0.635,7.565,44.4,0.658
5.0,26.801,25.467,42.0,16,22,43.611,38.818,3,25,39.0,291.38,34.0,17,0.0,4,18,1.118,7.7,0.653,7.471,43.6,0.687
5.4,22.966,21.792,31.0,16,20,31.838,29.698,2,22,29.0,349.22,31.0,9,3.4,6,14,1.098,6.9,0.751,12.042,31.0,0.792
4.276,30.324,28.809,46.0,12,25,48.993,44.44,1,27,44.0,357.46,35.0,19,0.0,6,19,1.113,2.3,0.655,8.124,43.2,0.689
4.347,29.824,28.222,42.0,12,25,44.256,40.876,1,27,40.0,396.31,35.0,15,5.0,7,18,1.106,2.5,0.706,9.908,37.5,0.746
5.0,144.16,139.907,233.0,28,123,261.184,233.642,18,127,229.0,1736.11,160.0,106,0.0,43,80,1.141,7.9,0.611,7.581,46.3,0.63
4.125,29.824,28.222,42.0,12,25,44.256,40.876,1,27,40.0,396.31,35.0,15,5.0,7,18,1.106,2.5,0.706,9.908,37.5,0.746
4.638,28.966,27.395,42.0,12,24,44.312,40.553,1,26,40.0,361.87,34.0,16,2.5,6,18,1.108,2.5,0.685,9.047,40.0,0.724
7.071,49.858,47.471,80.0,23,41,86.301,76.058,9,45,76.0,553.74,58.5,35,0.0,11,30,1.136,11.8,0.625,7.286,46.1,0.656
5.0,39.563,38.257,62.0,17,34,66.971,60.047,5,37,59.0,485.99,47.5,25,3.4,10,24,1.135,8.5,0.648,8.237,42.4,0.671
5.4,22.279,21.413,34.0,17,19,35.78,32.051,3,21,32.0,251.31,29.5,13,0.0,4,15,1.118,9.4,0.669,7.853,40.6,0.696
4.319,27.716,27.518,42.0,17,26,45.759,41.76,3,28,40.0,381.41,38.5,14,7.5,9,17,1.144,7.5,0.688,9.535,35.0,0.693
5.4,31.966,31.434,50.0,22,29,53.109,47.894,6,32,47.0,390.44,44.0,18,0.0,9,20,1.13,12.8,0.669,8.307,38.3,0.68
5.2,29.517,29.022,40.0,12,28,41.268,38.8,3,31,37.0,436.28,42.0,9,10.8,9,19,1.115,8.1,0.784,11.791,24.3,0.798
4.848,255.166,247.245,418.0,28,216,473.125,421.689,35,221,413.0,3078.81,271.0,197,0.0,81,135,1.146,8.5,0.599,7.455,47.7,0.618
5.0,29.091,28.677,43.0,16,27,46.573,42.898,3,29,41.0,413.86,40.0,14,7.3,10,17,1.136,7.3,0.699,10.094,34.1,0.71
5.4,30.353,30.211,49.0,12,28,52.622,47.483,4,31,46.0,388.41,39.0,18,4.3,9,19,1.144,8.7,0.657,8.444,39.1,0.66
9.0,41.33,40.979,64.0,18,38,67.662,61.578,4,42,60.0,516.54,56.0,22,3.3,10,28,1.128,6.7,0.683,8.609,36.7,0.689
