pXC50,AMW,C.,H.,Me,Mi,Mp,Mv,MW,N.,nAB,nAT,nB,nBM
5.354,12.799,50.0,29.2,1.02,1.092,0.823,0.773,307.18,8.3,12,24.0,0,13
5.298,9.226,46.4,35.7,1.017,1.107,0.736,0.706,258.32,7.1,12,28.0,0,13
5.785,10.262,50.0,29.2,1.032,1.113,0.764,0.746,246.28,8.3,12,24.0,0,13
4.378,9.138,25.0,42.9,1.049,1.15,0.645,0.619,767.62,8.3,10,84.0,0,15
5.524,11.897,48.1,33.3,1.014,1.097,0.797,0.744,321.21,7.4,12,27.0,0,13
5.309,13.545,46.2,23.1,1.052,1.104,0.804,0.787,352.18,11.5,12,26.0,0,15
4.865,11.368,42.9,21.4,1.072,1.121,0.739,0.763,318.29,14.3,12,28.0,0,17
4.889,8.801,50.0,36.8,1.006,1.101,0.74,0.706,334.42,5.3,18,38.0,0,19
5.602,10.111,43.3,30.0,1.045,1.117,0.726,0.723,303.32,10.0,12,30.0,0,15
4.799,7.9,44.4,44.4,0.994,1.112,0.707,0.656,284.41,5.6,12,36.0,0,13
4.815,9.908,44.8,31.0,1.035,1.113,0.735,0.723,287.32,10.3,12,29.0,0,15
5.186,8.785,45.2,38.7,1.011,1.11,0.722,0.687,272.35,6.5,12,31.0,0,13
5.34,12.382,50.0,25.0,1.038,1.094,0.838,0.799,297.17,8.3,12,24.0,0,13
5.229,11.011,50.0,25.0,1.053,1.127,0.761,0.762,264.27,8.3,12,24.0,0,13
5.334,8.975,48.1,37.0,1.005,1.103,0.747,0.706,242.32,7.4,12,27.0,0,13
4.757,10.25,48.1,33.3,1.017,1.101,0.778,0.736,276.76,7.4,12,27.0,0,13
5.159,11.526,48.1,29.6,1.029,1.099,0.81,0.767,311.2,7.4,12,27.0,0,13
4.064,9.641,48.1,33.3,1.024,1.116,0.744,0.72,260.31,7.4,12,27.0,0,13
4.554,8.545,46.7,40.0,1.001,1.107,0.731,0.686,256.35,6.7,12,30.0,0,13
4.654,8.785,45.2,38.7,1.011,1.11,0.722,0.687,272.35,6.5,12,31.0,0,13
4.593,10.344,46.7,30.0,1.052,1.141,0.724,0.724,310.32,6.7,12,30.0,0,13
5.319,12.223,42.9,23.8,1.064,1.11,0.781,0.774,256.68,9.5,6,21.0,0,10
4.29,9.544,46.7,33.3,1.027,1.107,0.736,0.716,286.33,6.7,12,30.0,0,15
5.433,9.261,50.0,35.7,1.016,1.109,0.745,0.712,259.32,3.6,12,28.0,0,13
5.16,9.512,50.0,33.3,1.011,1.099,0.767,0.73,228.29,8.3,12,24.0,0,13
5.452,10.947,50.0,29.2,1.024,1.096,0.802,0.765,262.73,8.3,12,24.0,0,13
5.495,8.792,33.3,46.7,1.022,1.13,0.673,0.629,263.77,3.3,0,30.0,0,3
5.553,9.25,33.3,44.4,1.029,1.129,0.683,0.642,249.74,3.7,0,27.0,0,3
5.268,8.16,40.7,44.4,1.001,1.119,0.701,0.651,220.32,7.4,6,27.0,0,8
5.745,10.556,33.3,38.1,1.048,1.126,0.71,0.68,221.68,4.8,0,21.0,0,3
5.0,8.916,33.3,42.9,1.033,1.129,0.67,0.641,187.24,4.8,0,21.0,0,3
5.071,6.228,40.0,54.5,0.986,1.125,0.632,0.583,342.52,0.0,6,55.0,0,10
5.523,10.909,33.3,40.0,1.032,1.121,0.75,0.689,163.64,6.7,0,15.0,0,2
5.538,11.536,33.3,33.3,1.063,1.124,0.731,0.709,207.65,5.6,0,18.0,0,3
4.495,8.694,45.5,40.9,1.002,1.104,0.734,0.683,191.27,4.5,6,22.0,0,8
4.37,9.679,41.7,33.3,1.024,1.123,0.735,0.71,232.29,16.7,6,24.0,0,10
5.602,13.901,47.4,21.1,1.069,1.111,0.844,0.818,264.11,5.3,6,19.0,0,8
5.187,9.902,44.4,33.3,1.021,1.109,0.758,0.722,178.23,11.1,6,18.0,0,8
5.509,12.169,47.4,21.1,1.089,1.152,0.748,0.771,231.21,5.3,6,19.0,0,8
5.268,12.088,47.4,26.3,1.052,1.114,0.799,0.774,229.67,5.3,6,19.0,0,8
5.538,8.572,33.3,50.0,1.005,1.128,0.689,0.621,205.73,4.2,0,24.0,0,2
5.602,9.821,33.3,41.7,1.038,1.128,0.695,0.659,235.71,4.2,0,24.0,0,3
4.721,9.902,44.4,33.3,1.021,1.109,0.758,0.722,178.23,11.1,6,18.0,0,8
4.237,9.679,41.7,33.3,1.024,1.123,0.735,0.71,232.29,16.7,6,24.0,0,10
5.585,9.479,39.4,39.4,1.027,1.121,0.711,0.678,312.8,6.1,6,33.0,0,9
5.0,8.613,33.3,46.7,1.01,1.125,0.693,0.634,129.2,6.7,0,15.0,0,2
5.125,8.199,40.6,43.8,1.007,1.12,0.692,0.651,262.36,6.3,6,32.0,0,8
5.0,7.137,33.3,54.2,0.992,1.13,0.653,0.587,171.29,4.2,0,24.0,0,2
5.0,8.386,33.3,45.8,1.024,1.13,0.659,0.624,201.27,4.2,0,24.0,0,3
5.0,10.032,31.8,40.9,1.036,1.134,0.703,0.663,220.7,9.1,5,22.0,0,6
