pXC50,nBM,MW,nBO,nAB
6.638,16,379.55,31,15
6.222,16,393.58,32,15
6.201,16,407.61,33,15
8.824,17,393.53,32,16
7.824,17,360.5,30,16
8.301,22,453.55,36,21
8.824,22,459.6,38,21
7.824,21,475.55,37,21
7.824,21,481.6,39,21
8.0,18,444.61,34,16
7.301,18,413.59,32,16
7.523,18,441.65,34,16
6.301,14,398.6,28,10
7.301,22,407.58,33,20
8.824,18,408.55,33,16
7.824,17,391.52,32,16
7.301,13,345.51,26,10
7.301,21,354.49,31,20
8.301,21,445.62,37,21
7.824,21,445.62,37,21
8.824,21,417.56,35,21
8.824,21,445.62,37,21
8.824,21,471.53,38,21
8.824,17,402.57,31,15
7.301,17,404.56,34,16
8.824,21,402.54,34,21
7.301,21,462.63,38,21
7.824,21,472.7,39,21
8.824,21,431.6,36,21
8.824,21,423.5,35,21
8.824,21,423.5,35,21
8.824,21,439.57,35,21
8.824,21,439.57,35,21
8.301,23,471.57,37,21
7.824,22,455.57,36,21
8.824,25,429.54,37,25
8.824,21,441.49,36,21
5.921,15,321.51,27,15
