pXC50,nO,Sv
4.035,3,14.494
4.0,4,20.785
4.261,4,25.935
4.644,4,23.642
4.0,4,24.785
4.0,3,23.071
5.222,4,26.763
5.31,4,26.96
4.184,4,23.259
4.0,4,23.259
4.0,3,24.565
4.074,3,24.565
4.0,4,27.387
4.0,4,22.764
4.0,4,17.732
4.0,4,24.839
4.366,4,24.785
4.481,4,21.413
4.62,4,23.259
4.351,4,24.284
4.379,4,23.642
4.457,4,24.086
4.74,4,24.284
4.971,4,25.935
4.733,4,25.935
4.775,4,24.086
4.987,4,24.284
4.943,4,26.319
4.0,5,15.898
4.0,4,24.785
5.481,4,28.612
5.854,4,29.637
4.123,5,15.393
4.0,3,20.038
4.14,4,23.312
4.21,4,26.312
4.304,4,20.408
4.0,5,24.16
5.509,4,29.633
4.0,4,23.642
4.167,4,24.086
4.032,1,27.929
4.44,4,32.191
4.068,3,30.971
5.097,4,40.266
4.0,3,20.522
6.046,1,19.392
5.796,3,19.327
4.301,3,31.116
4.301,4,39.98
4.301,2,39.429
4.648,3,21.8
4.873,5,34.896
5.056,2,39.729
4.032,4,28.396
4.0,1,28.445
4.567,1,22.89
4.131,5,23.229
4.18,3,22.33
4.081,6,28.03
4.032,2,25.644
4.032,1,27.929
4.0,3,25.832
4.0,6,38.148
4.126,5,53.067
4.0,6,41.201
4.636,3,27.886
5.056,1,29.574
4.0,6,40.169
4.0,5,44.487
4.538,3,27.886
4.0,8,73.64
4.0,5,37.433
4.0,8,75.167
4.0,6,40.169
4.0,10,76.091
5.172,3,27.886
4.208,5,23.229
4.443,5,23.229
4.509,3,26.359
4.297,2,24.117
4.553,4,25.644
4.301,1,24.428
4.27,3,26.886
