pXC50,Eig04_EA.ed.,SM13_AEA.dm.,Eig04_AEA.bo.,Eig04_AEA.ed.,Eig09_AEA.dm.,SpMax7_Bh.m.,LLS_01,SM10_EA.bo.,GGI2,SM13_EA.bo.,SM12_EA.bo.,Depressant.80,SM11_EA.bo.,SM03_AEA.bo.,Eig08_AEA.bo.,ZM1Per,Eig12_AEA.dm.,SM04_EA.bo.,Eig08_EA.bo.,SpMax6_Bh.s.,Eta_betaS,Eta_F,CMC.80,Eig08_EA,SM02_AEA.dm.,Eig08_EA.ri.,ZM1V,SM02_AEA.bo.,ATS3s,ZM2V,SpMax7_Bh.p.,cRo5,ZM2MulPer,Eig08_AEA.ri.,AECC,Eig06_AEA.ed.,ATS1s,Xu,Eig08_AEA.dm.,ZM2Kup,HVcpx,VAR,Eig06_EA.bo.,IC2,MSD,Eig15_EA,SM09_AEA.dm.,Inflammat.80,ZM1MulPer,SpMaxA_AEA.bo.,ATS2s,RDCHI,SpMaxA_AEA.ri.,ECC,ON0,SpMax5_Bh.s.,TIC1,ZM1Mad,Psi_i_s,GGI10,Infective.80,GMTIV,CSI,SpMaxA_AEA.ed.,ZM2Per,Eta_epsi,SpMin7_Bh.p.
5.0,6.25,6.25,3.574,5.203,1.266,2.766,0.33,15.277,3.111,19.584,18.16,1,16.646,6.034,2.774,529.72,0.505,7.17,1.899,4.384,15.0,25.525,1,1.275,1.275,1.266,366.0,4.822,5.732,365.0,2.703,1,390.317,2.269,10.458,4.193,5.053,23.729,1.618,383.776,3.368,74.0,2.092,4.497,6.388,-0.618,-0.618,1,392.437,0.173,5.461,3.677,0.155,251.0,12.333,4.645,140.157,134.026,58.667,0.12,1,20878.0,537.0,0.25,562.33,24.8,1.068
5.538,7.515,7.515,3.726,5.693,1.35,2.876,0.33,15.458,3.556,19.846,18.39,1,16.864,6.101,2.786,568.35,0.876,7.244,1.917,4.534,16.0,28.233,1,1.292,1.292,1.288,394.0,4.885,5.811,388.0,2.832,1,416.67,2.29,11.154,4.252,5.138,25.345,1.647,408.857,3.453,88.0,2.093,4.186,6.713,-0.528,-0.528,1,421.56,0.164,5.545,3.791,0.147,290.0,13.667,4.66,150.202,145.184,62.833,0.144,1,24860.0,614.0,0.239,601.27,27.467,1.233
6.143,7.179,7.179,3.697,5.604,1.286,2.786,0.33,15.446,3.556,19.83,18.376,1,16.85,6.085,2.784,551.65,0.628,7.233,1.914,4.618,15.25,27.305,1,1.287,1.287,1.285,382.0,4.862,5.835,378.0,2.704,1,404.249,2.286,10.56,4.252,5.121,24.516,1.647,397.342,3.388,81.0,2.093,4.253,6.526,-0.613,-0.613,1,411.581,0.17,5.521,3.715,0.152,264.0,13.167,4.753,140.401,140.409,63.333,0.144,1,23499.0,562.0,0.247,583.62,26.167,1.085
5.319,6.25,6.25,3.574,5.203,1.266,2.773,0.17,15.277,3.111,19.584,18.16,1,16.646,6.034,2.774,507.4,0.505,7.17,1.899,4.326,14.5,25.257,1,1.275,1.275,1.274,350.0,4.822,5.729,351.0,2.704,1,375.276,2.275,10.458,4.193,5.042,23.729,1.618,367.311,3.368,74.0,2.092,4.085,6.388,-0.618,-0.618,1,375.388,0.173,5.448,3.677,0.155,251.0,12.333,4.631,130.849,132.305,57.667,0.12,1,19790.0,537.0,0.25,540.35,24.7,1.076
4.921,7.84,7.84,3.862,5.825,1.727,2.994,0.33,14.883,3.778,18.895,17.583,0,16.14,6.143,2.822,642.24,0.716,7.189,1.949,4.575,16.75,27.952,1,1.414,1.414,1.31,450.0,4.922,5.864,428.0,2.81,1,458.445,2.335,12.63,4.287,5.155,26.579,1.879,444.447,3.631,102.0,2.154,4.607,7.518,-0.319,-0.319,0,484.511,0.15,5.592,3.95,0.137,341.0,14.5,4.758,166.176,168.032,66.611,0.128,1,32535.0,720.0,0.215,662.03,28.552,1.275
4.222,7.18,7.18,3.698,5.604,1.538,2.874,0.33,15.535,3.778,19.922,18.467,1,16.945,6.134,2.784,623.68,0.719,7.29,1.915,4.62,16.0,28.413,1,1.287,1.287,1.285,438.0,4.9,5.917,413.0,2.719,1,441.988,2.286,10.615,4.683,5.143,25.269,1.647,425.204,3.388,80.0,2.544,4.461,6.609,-0.537,-0.537,1,473.7,0.164,5.553,3.748,0.147,276.0,14.0,4.852,149.621,161.928,67.111,0.186,1,28332.0,585.0,0.238,641.36,27.252,1.082
5.31,6.02,6.02,3.652,5.022,1.237,2.74,0.17,15.37,3.111,19.769,18.311,1,16.775,6.034,2.68,507.36,0.53,7.173,1.643,4.53,14.5,25.23,1,1.122,1.122,1.104,350.0,4.822,5.693,351.0,2.735,1,375.076,2.111,10.958,4.179,5.042,23.715,1.35,367.311,3.408,92.0,2.074,4.035,6.365,-0.615,-0.615,1,375.299,0.177,5.453,3.67,0.159,263.0,12.333,4.567,130.849,132.305,57.667,0.103,1,19982.0,562.0,0.258,539.87,24.7,1.066
5.092,7.841,7.841,3.815,5.827,1.56,2.947,0.33,15.482,3.778,19.876,18.418,1,16.89,6.143,2.809,558.35,0.917,7.263,1.939,4.367,16.75,29.527,1,1.439,1.439,1.389,384.0,4.922,5.853,388.0,2.904,1,417.653,2.406,11.259,4.257,5.164,26.135,1.647,406.424,3.471,96.0,2.094,4.402,6.861,-0.507,-0.507,1,411.961,0.159,5.57,3.837,0.144,304.0,14.5,4.631,169.8,150.054,63.333,0.177,1,24955.0,641.0,0.234,601.46,28.7,1.239
4.367,6.787,6.787,3.672,5.298,1.0,2.687,0.17,14.37,3.111,18.26,17.007,1,15.554,5.899,2.5,456.87,0.315,6.861,1.5,4.315,13.5,21.635,1,1.0,1.0,1.0,318.0,4.7,5.742,310.0,2.735,1,333.687,2.0,11.13,4.17,5.025,23.176,1.203,326.311,3.453,80.0,2.002,4.294,6.706,-1.0,-1.0,1,342.617,0.18,5.434,3.547,0.163,256.0,12.833,4.537,150.459,122.305,55.333,0.124,1,15988.0,524.0,0.258,475.25,25.2,1.221
5.201,7.762,7.762,3.855,5.77,1.589,2.999,0.17,16.144,3.778,20.81,19.252,0,17.66,6.282,2.902,607.18,1.0,7.514,2.047,4.446,18.25,31.232,1,1.515,1.515,1.419,412.0,5.045,5.907,434.0,2.93,1,461.555,2.458,12.103,5.217,5.203,27.845,1.905,453.832,3.559,113.0,2.83,4.549,7.352,-0.085,-0.085,1,439.781,0.151,5.635,4.081,0.135,351.0,14.833,4.711,178.92,167.053,66.5,0.193,1,31672.0,764.0,0.22,675.29,30.1,1.289
4.0,6.608,6.608,3.621,5.247,1.057,2.796,0.33,14.545,3.111,18.508,17.221,1,15.773,5.907,2.609,532.68,0.321,6.915,1.458,4.642,14.25,24.103,1,0.975,0.975,0.948,376.0,4.7,5.805,349.0,2.746,1,377.327,1.958,11.043,4.18,5.093,23.064,1.608,372.887,3.439,84.0,1.991,4.028,6.539,-0.829,-0.829,1,405.779,0.18,5.487,3.521,0.163,254.0,12.833,4.751,137.46,127.287,61.167,0.115,1,20276.0,520.0,0.258,538.65,25.533,1.132
4.367,7.258,7.258,3.855,5.445,1.0,2.687,0.33,14.39,2.889,18.263,17.015,1,15.569,6.012,2.601,698.97,0.51,6.93,1.5,4.876,15.75,27.175,1,1.0,1.0,1.0,506.0,4.787,5.774,424.0,2.735,1,458.197,2.0,12.0,4.25,5.144,25.001,1.642,475.584,3.537,86.0,2.053,4.23,7.308,-0.863,-0.863,0,550.345,0.166,6.185,3.707,0.151,300.0,14.25,6.47,137.505,157.354,78.75,0.157,1,35014.0,611.0,0.248,680.13,28.61,1.062
