pXC50,MATS3v,SM05_EA.ri.,D.Dtr08,MATS3p,SM14_EA,SM06_EA.ri.,SM08_EA.ri.,Eig01_AEA.ri.,SpMax_AEA.ri.,SM11_EA.ri.,SM03_EA.ri.,SM07_EA.ri.,SM09_EA.ri.,SM10_EA.ri.,SM13_EA,SM12_EA,Eig01_AEA.ed.,SpMax_AEA.ed.,SpMAD_AEA.bo.,Eig01_EA.ri.,SpMax_EA.ri.,SM15_EA,SpDiam_EA.ed.,SM15_AEA.ed.,SM12_EA.ri.,PHI,S2K,S3K,X1A,SpDiam_AEA.ri.,C.003,Rbrid,RCI,RFD,SsssCH,SpMAD_EA.ed.,SM13_EA.ri.,PW2,SpDiam_EA.ri.,SM11_EA.ed.,SM12_EA.ed.,X4v,nR08,SM14_EA.ri.,SM15_EA.ri.,SpDiam_AEA.ed.,SM09_EA,SM10_EA,SM08_EA.ed.,SM09_EA.ed.,RBN,RBF,nRCONR2,SpMin1_Bh.m.,SpMin1_Bh.p.,SpMin1_Bh.s.,SpMin1_Bh.v.,Uindex,SM10_EA.ed.,nCIR,SpMAD_EA.ri.,X3A
8.745,0.016,6.345,0.0,0.0,17.066,7.825,9.876,4.31,4.31,13.122,3.963,8.608,10.857,12.045,15.882,14.73,7.047,7.047,1.521,3.235,3.235,18.24,19.686,29.584,14.284,6.583,9.185,4.647,0.437,5.346,0,0,1.0,0.0,0.0,4.409,15.406,0.587,5.235,27.489,29.976,4.302,0,16.564,17.708,6.849,11.232,12.435,20.184,22.553,4,0.074,0,2.041,2.024,1.39,2.027,46.585,25.052,4,1.406,0.177
6.517,0.006,5.158,0.0,0.007,15.839,6.76,8.571,4.02,4.02,11.431,2.976,7.262,9.349,10.514,14.699,13.589,6.394,6.394,1.32,2.828,2.828,16.961,15.093,27.832,12.529,15.91,16.706,21.908,0.503,5.02,0,0,0.0,0.0,0.0,2.902,13.511,0.519,4.805,25.274,27.572,2.647,0,14.577,15.591,6.387,10.17,11.36,18.389,20.676,15,0.268,0,2.044,1.967,1.345,2.009,125.14,22.978,0,1.279,0.251
6.276,-0.009,5.687,0.0,-0.06,16.177,7.222,9.322,4.17,4.17,12.649,3.219,8.031,10.344,11.546,15.016,13.877,6.688,6.688,1.322,3.159,3.159,17.327,16.137,28.506,13.818,17.248,17.899,19.264,0.505,5.154,0,0,0.0,0.0,0.0,2.898,14.951,0.517,5.142,26.134,28.51,2.999,0,16.108,17.252,6.682,10.389,11.594,19.013,21.38,16,0.267,0,2.044,1.96,1.349,1.995,134.388,23.759,0,1.285,0.257
9.0,-0.094,6.056,0.0,-0.09,16.32,7.522,9.61,4.184,4.184,12.899,3.624,8.355,10.628,11.807,15.17,14.047,6.703,6.703,1.364,3.184,3.184,17.458,16.592,28.669,14.054,18.54,19.493,19.281,0.497,5.177,1,0,0.0,0.0,-0.067,3.133,15.178,0.529,5.171,26.271,28.651,3.134,0,16.326,17.464,6.654,10.617,11.8,19.175,21.522,17,0.227,0,2.086,2.004,1.413,2.035,184.542,23.901,0,1.313,0.241
8.086,0.002,4.842,0.0,-0.002,14.015,6.747,8.414,3.718,3.718,11.005,2.601,6.939,8.983,10.226,12.948,12.079,5.872,5.872,1.316,2.724,2.724,14.947,13.657,26.566,12.128,21.663,22.818,21.065,0.508,4.71,1,0,0.0,0.0,-0.063,2.726,13.017,0.507,4.71,22.75,24.87,2.913,0,14.079,15.025,5.867,8.928,10.195,16.662,18.582,18,0.25,0,2.065,1.977,1.405,2.008,174.048,20.751,0,1.271,0.25
8.155,-0.082,5.872,0.0,-0.066,16.238,7.385,9.464,4.184,4.184,12.775,3.449,8.183,10.478,11.675,15.077,13.943,6.703,6.703,1.342,3.184,3.184,17.385,16.522,28.553,13.943,18.87,19.857,21.091,0.501,5.176,0,0,0.0,0.0,0.0,2.994,15.078,0.521,5.17,26.242,28.629,2.977,0,16.238,17.386,6.66,10.474,11.675,19.103,21.472,18,0.247,0,2.086,2.004,1.413,2.035,173.929,23.861,0,1.299,0.243
5.75,0.018,4.005,0.0,0.029,12.439,6.387,7.794,3.388,3.388,9.491,2.012,5.887,7.706,9.285,11.208,10.839,5.034,5.034,1.292,2.386,2.386,12.965,10.748,24.323,10.842,21.393,22.599,22.518,0.512,4.379,0,0,0.0,0.0,0.0,2.57,11.257,0.498,4.37,19.815,21.74,2.579,0,12.451,13.013,5.029,7.647,9.291,14.703,16.16,18,0.269,0,2.058,1.97,1.389,2.003,153.58,18.189,0,1.255,0.254
7.854,-0.088,6.056,0.0,-0.086,16.32,7.533,9.614,4.184,4.184,12.899,3.624,8.355,10.628,11.808,15.17,14.048,6.703,6.703,1.367,3.184,3.184,17.458,16.592,28.669,14.055,19.469,20.436,20.201,0.498,5.177,1,0,0.0,0.0,-0.067,3.116,15.178,0.528,5.171,26.271,28.651,3.311,0,16.327,17.464,6.654,10.617,11.802,19.175,21.522,18,0.231,0,2.089,2.006,1.423,2.037,195.4,23.901,0,1.313,0.241
5.514,0.018,4.005,0.0,0.03,12.425,6.352,7.765,3.388,3.388,9.491,2.012,5.887,7.706,9.261,11.208,10.821,5.034,5.034,1.29,2.386,2.386,12.965,10.748,24.319,10.824,20.403,21.601,21.558,0.512,4.378,0,0,0.0,0.0,0.0,2.566,11.257,0.497,4.369,19.815,21.739,2.402,0,12.438,13.013,5.028,7.647,9.268,14.696,16.16,17,0.266,0,2.051,1.966,1.366,1.997,143.779,18.185,0,1.252,0.254
5.0,-0.109,5.777,0.0,-0.089,15.514,7.287,9.135,3.924,3.924,11.98,3.502,7.88,9.935,11.07,14.44,13.44,6.229,6.229,1.475,2.877,2.877,16.542,15.737,27.944,13.059,5.391,7.887,4.53,0.451,4.991,0,0,1.0,0.0,0.0,3.894,14.028,0.566,4.877,24.858,27.09,2.889,0,15.082,16.084,6.031,10.248,11.398,18.38,20.452,5,0.119,0,2.026,2.009,1.155,2.016,39.491,22.712,3,1.401,0.195
8.114,-0.111,6.056,0.0,-0.107,16.32,7.522,9.61,4.184,4.184,12.899,3.624,8.355,10.628,11.807,15.17,14.047,6.703,6.703,1.367,3.184,3.184,17.458,16.592,28.669,14.054,18.54,19.493,19.281,0.497,5.177,1,0,0.0,0.0,-0.067,3.136,15.178,0.529,5.171,26.271,28.651,3.111,0,16.326,17.464,6.66,10.617,11.8,19.175,21.522,17,0.227,0,2.091,2.008,1.429,2.039,184.635,23.901,0,1.314,0.241
6.807,0.017,4.005,0.0,0.028,12.452,6.42,7.823,3.388,3.388,9.491,2.012,5.887,7.706,9.308,11.208,10.857,5.034,5.034,1.289,2.386,2.386,12.965,10.748,24.327,10.86,22.383,23.598,23.558,0.511,4.38,0,0,0.0,0.0,0.0,2.565,11.257,0.498,4.371,19.815,21.741,2.755,0,12.465,13.013,5.029,7.647,9.314,14.711,16.16,19,0.271,0,2.065,1.974,1.405,2.008,163.661,18.192,0,1.253,0.254
7.626,-0.015,4.653,0.0,-0.003,12.979,6.609,8.108,3.388,3.388,10.159,2.601,6.546,8.37,9.686,11.904,11.316,5.035,5.035,1.314,2.386,2.386,13.662,10.769,24.97,11.318,20.729,21.854,21.751,0.507,4.379,1,0,0.0,0.0,0.811,2.72,11.928,0.507,4.371,20.51,22.423,2.784,0,12.986,13.686,4.999,8.34,9.691,15.317,16.853,18,0.257,0,2.074,1.987,1.413,2.02,163.624,18.85,0,1.276,0.25
7.352,0.017,4.005,0.0,0.026,12.465,6.452,7.85,3.388,3.388,9.491,2.012,5.887,7.706,9.33,11.208,10.875,5.034,5.034,1.291,2.386,2.386,12.965,10.748,24.331,10.877,23.373,24.596,24.521,0.511,4.38,0,0,0.0,0.0,0.0,2.568,11.257,0.498,4.372,19.815,21.743,2.932,0,12.478,13.013,5.03,7.647,9.337,14.718,16.16,20,0.274,0,2.07,1.978,1.417,2.012,174.021,18.195,0,1.256,0.254
6.418,-0.106,5.872,0.0,-0.088,16.237,7.373,9.459,4.184,4.184,12.775,3.449,8.183,10.478,11.672,15.076,13.942,6.703,6.703,1.338,3.184,3.184,17.385,16.513,28.553,13.942,17.927,18.9,20.144,0.501,5.176,0,0,0.0,0.0,0.0,3.012,15.077,0.521,5.169,26.242,28.628,2.755,0,16.237,17.385,6.665,10.474,11.673,19.103,21.472,17,0.243,0,2.087,2.004,1.416,2.035,163.705,23.861,0,1.3,0.243
8.409,0.01,4.005,0.0,0.005,12.411,6.304,7.724,3.387,3.387,9.485,2.012,5.887,7.704,9.227,11.208,10.802,5.034,5.034,1.294,2.384,2.384,12.965,10.748,24.314,10.795,19.992,20.927,20.84,0.513,4.381,0,0,0.0,0.0,0.0,2.572,11.249,0.497,4.365,19.815,21.737,2.311,0,12.414,13.002,5.028,7.647,9.244,14.688,16.16,15,0.25,0,2.043,1.963,1.335,1.991,134.262,18.182,0,1.237,0.254
7.23,0.019,4.005,0.0,0.032,12.411,6.317,7.735,3.388,3.388,9.491,2.012,5.887,7.706,9.237,11.208,10.802,5.034,5.034,1.294,2.386,2.386,12.965,10.748,24.314,10.805,19.415,20.603,20.514,0.513,4.378,0,0,0.0,0.0,0.0,2.572,11.257,0.497,4.367,19.815,21.737,2.225,0,12.424,13.013,5.028,7.647,9.244,14.688,16.16,16,0.262,0,2.043,1.963,1.335,1.992,134.262,18.182,0,1.253,0.254
8.6,0.063,6.722,0.0,0.109,17.671,8.2,10.37,4.449,4.449,13.795,4.219,9.089,11.437,12.653,16.45,15.252,7.292,7.292,1.539,3.393,3.393,18.886,20.886,30.199,14.994,4.927,7.949,3.247,0.425,5.556,0,4,1.25,0.286,0.166,4.613,16.17,0.585,5.393,28.396,30.948,5.35,0,17.367,18.559,7.094,11.631,12.87,20.876,23.327,4,0.063,0,2.159,2.134,1.34,2.143,41.078,25.885,11,1.478,0.163
7.106,0.045,5.475,0.0,0.032,15.12,7.104,8.829,3.865,3.865,11.518,3.302,7.506,9.511,10.678,14.047,13.073,6.17,6.17,1.338,2.803,2.803,16.132,15.457,27.495,12.608,17.237,19.196,14.478,0.488,4.914,0,0,1.0,0.0,-0.795,3.222,13.534,0.529,4.803,24.431,26.662,3.618,0,14.588,15.561,6.107,9.898,11.071,17.966,20.028,21,0.276,0,2.071,2.03,1.426,2.04,109.775,22.287,1,1.292,0.219
8.201,-0.015,6.35,0.0,-0.007,17.133,7.806,9.977,4.386,4.386,13.459,3.935,8.698,11.065,12.293,15.923,14.734,7.3,7.3,1.366,3.383,3.383,18.338,19.733,29.853,14.675,17.133,18.898,14.758,0.48,5.435,0,0,1.0,0.0,-0.798,3.525,15.872,0.544,5.383,27.743,30.267,4.195,0,17.086,18.295,7.237,11.145,12.369,20.227,22.706,22,0.259,0,2.101,2.055,1.427,2.069,127.893,25.235,1,1.328,0.213
8.721,0.036,6.836,0.0,0.035,18.031,8.245,10.406,4.528,4.528,13.809,4.381,9.159,11.474,12.671,16.787,15.562,7.594,7.594,1.536,3.403,3.403,19.273,22.013,30.664,14.998,6.494,9.239,4.327,0.429,5.603,1,2,1.16,0.16,1.126,4.726,16.169,0.596,5.403,28.968,31.58,6.929,0,17.362,18.552,7.396,11.887,13.131,21.24,23.773,4,0.056,0,2.084,2.081,1.429,2.095,47.519,26.384,8,1.475,0.171
