pXC50,nBO,SCBO,nC,nSK,Sv,MW,RBN,Se,nH
7.699,30,42.5,21,27,30.037,377.47,4,43.407,16
10.337,43,55.0,31,39,46.68,527.73,8,75.629,37
5.62,38,50.0,26,34,39.046,457.58,7,61.211,27
7.585,36,45.0,25,33,39.627,451.63,7,65.861,33
9.745,43,55.0,30,39,46.175,528.72,8,74.847,36
8.469,41,53.0,29,37,43.627,499.67,8,69.861,33
7.252,44,56.0,31,40,47.395,543.73,9,76.956,37
7.886,36,49.5,24,32,33.331,433.41,3,47.683,14
8.824,34,46.0,23,31,31.913,427.37,4,46.203,13
8.149,30,41.0,21,27,27.957,369.33,2,39.665,11
8.824,32,45.0,22,29,29.452,394.34,2,40.883,10
7.854,37,50.5,24,33,33.715,451.4,3,48.196,13
8.167,37,50.5,23,33,33.209,452.39,3,47.414,12
8.056,37,50.5,24,33,33.715,451.4,3,48.196,13
7.833,35,48.5,23,31,31.805,419.38,3,44.8,12
7.699,33,45.0,22,30,30.693,412.36,3,44.094,12
8.276,36,49.5,23,32,32.188,437.37,3,45.312,11
6.678,27,38.0,17,24,25.95,318.37,3,38.473,14
5.824,28,39.0,19,25,27.345,334.38,3,40.549,15
7.31,35,49.0,23,31,33.0,451.3,3,45.196,13
5.699,36,49.0,23,32,34.798,504.21,3,47.215,14
7.585,35,49.0,24,31,33.255,414.44,3,47.945,16
7.538,39,47.5,25,35,39.841,486.6,5,64.963,29
8.398,39,50.5,27,35,40.548,472.62,6,64.054,29
8.301,39,50.5,28,35,41.219,488.68,6,63.81,29
7.854,35,48.0,24,31,34.226,432.91,3,49.64,18
8.046,35,49.0,24,31,33.699,430.89,3,47.756,16
7.854,36,50.0,23,32,33.827,485.74,3,45.52,12
6.682,35,48.0,23,31,33.526,453.32,3,47.08,15
7.658,31,42.0,19,28,29.022,436.28,3,38.8,9
6.463,37,51.0,24,33,34.465,466.87,3,48.782,14
8.699,31,42.0,21,28,32.058,374.49,6,50.007,22
6.244,26,37.0,17,23,24.598,305.34,2,35.556,12
6.767,37,50.0,24,33,34.992,468.89,3,50.665,16
8.222,35,49.0,24,31,34.199,410.49,5,50.309,19
8.398,36,44.5,25,32,38.219,452.65,5,60.81,29
6.34,27,38.0,17,24,26.423,334.44,3,38.222,14
8.222,43,57.0,29,38,43.349,508.66,6,67.047,29
6.745,33,45.0,20,30,32.566,482.79,4,45.52,14
4.959,26,36.0,19,24,26.018,343.77,4,36.963,12
5.301,32,44.0,22,29,31.475,393.42,5,47.054,17
7.959,39,50.5,27,35,40.241,473.6,6,63.28,28
4.42,27,37.0,20,25,27.432,339.36,5,40.851,15
6.0,38,49.0,28,35,40.329,478.58,7,63.581,28
7.824,40,51.0,26,35,40.349,472.63,5,64.047,29
6.42,31,41.0,20,28,29.888,420.26,3,42.491,13
7.469,34,46.0,20,31,32.949,500.78,4,46.033,13
8.699,39,50.5,27,35,40.548,472.62,6,64.054,29
4.268,33,45.0,24,31,34.222,422.46,5,52.047,20
5.745,33,45.0,21,30,33.265,462.38,4,48.08,17
6.108,35,47.0,21,32,34.92,531.26,4,48.727,15
6.328,31,41.0,20,28,30.054,437.31,3,41.465,12
8.155,39,50.5,28,35,41.053,471.63,6,64.836,30
5.071,31,42.0,21,28,30.836,412.29,3,43.793,15
7.276,32,44.0,20,29,31.738,448.35,4,45.196,15
7.824,36,44.5,25,32,37.747,436.58,5,61.061,29
5.097,33,45.0,24,31,34.528,421.48,5,52.821,21
8.097,38,52.0,27,33,37.87,432.57,4,56.563,24
6.244,34,46.0,20,31,33.281,498.79,4,46.847,14
8.824,45,57.0,33,41,49.734,555.79,8,81.396,41
7.194,43,55.0,31,39,46.68,527.73,9,75.629,37
9.398,44,57.0,31,40,47.867,559.8,8,76.705,37
10.0,43,58.0,32,39,45.912,519.7,8,71.534,33
8.456,47,62.0,35,43,50.9,578.77,10,80.738,38
8.229,43,55.0,31,39,47.152,543.8,8,75.378,37
9.06,44,56.0,30,40,46.89,544.72,9,76.174,36
10.018,45,57.0,33,41,49.734,555.79,8,81.396,41
6.71,30,42.5,19,27,30.411,381.5,4,46.425,19
7.41,39,54.5,25,35,39.12,526.48,5,56.84,21
7.959,35,46.0,23,32,35.878,438.53,8,56.8,24
6.553,38,50.0,24,34,37.066,464.52,5,57.243,22
