pXC50,SpMax2_Bh.p.,JGI3,SpMax3_Bh.i.,SpMax2_Bh.v.,SpMax3_Bh.e.,SpMax3_Bh.p.,SpMax3_Bh.v.,SpMax3_Bh.m.,GGI3,RBF,RBN,SpMin2_Bh.i.,IDE,NNRS,RCI,RFD,SpMaxA_AEA.ri.,X3A,HVcpx,SpMax2_Bh.m.,PW4,SpMin2_Bh.e.,Vindex,Yindex,PHI,S2K,AECC,SpMAD_AEA.ed.,SM04_EA.ed.,SpDiam_AEA.ri.,SpMaxA_AEA.ed.,SpMaxA_EA.ed.,SpMaxA_EA.ri.,X4A,X5A,MSD,PW5,NRS,S3K,SpMaxA_EA,SpMax2_Bh.e.,D.Dtr06,BIC4,BIC5,Eig01_AEA.ed.,MATS2v,MWC08,MWC09,MWC10,nCIR,Rbrid,SM03_EA.ed.,SM05_EA.ed.,SM07_EA,SM08_AEA.ed.,SM08_EA,SM09_AEA.ed.,SM09_EA,SM10_AEA.ed.,SM10_EA,SM11_AEA.ed.
5.917,3.735,0.051,3.669,3.737,3.607,3.478,3.472,3.494,1.875,0.074,4,1.798,3.421,0.667,1.125,0.125,0.156,0.18,3.269,3.784,0.185,1.856,0.227,0.627,5.475,7.587,9.583,1.539,10.428,5.097,0.249,0.387,0.118,0.12,0.077,5.896,0.101,2,4.136,0.118,3.888,202.822,0.853,0.853,6.48,0.066,10.016,10.88,11.76,4,1,7.334,12.141,8.494,15.896,9.753,17.71,10.701,19.534,11.869,21.367
8.097,3.848,0.021,3.871,3.843,3.821,3.706,3.699,3.713,0.688,0.12,6,1.887,3.737,1.0,1.0,0.0,0.149,0.201,3.571,3.842,0.158,1.913,0.187,0.481,5.768,8.212,12.208,1.477,9.87,4.906,0.233,0.335,0.111,0.131,0.086,7.085,0.09,3,5.003,0.11,3.912,269.13,0.807,0.807,6.058,-0.083,9.737,10.563,11.395,3,0,6.862,11.299,7.991,15.28,9.278,16.995,10.038,18.719,11.192,20.451
8.398,3.842,0.028,3.846,3.838,3.799,3.691,3.683,3.687,0.938,0.118,6,1.882,3.715,1.0,1.0,0.0,0.149,0.198,3.567,3.842,0.165,1.906,0.192,0.498,5.789,8.23,12.167,1.48,9.933,4.911,0.233,0.336,0.112,0.13,0.084,6.945,0.091,3,4.769,0.11,3.909,266.04,0.803,0.803,6.06,-0.01,9.778,10.61,11.45,3,0,6.917,11.383,8.038,15.336,9.323,17.056,10.1,18.785,11.253,20.522
8.699,3.805,0.019,3.845,3.807,3.794,3.675,3.67,3.687,0.563,0.125,6,1.847,3.748,1.0,1.0,0.0,0.148,0.203,3.587,3.834,0.157,1.887,0.18,0.457,5.734,8.189,12.304,1.447,9.635,4.736,0.225,0.312,0.105,0.133,0.089,7.142,0.091,3,5.124,0.109,3.9,255.329,0.801,0.801,5.617,-0.047,9.625,10.439,11.261,3,0,6.629,10.936,7.733,14.97,9.062,16.635,9.73,18.307,10.902,19.983
7.585,3.878,0.033,3.89,3.879,3.839,3.715,3.71,3.731,1.292,0.109,6,1.9,3.836,0.75,1.095,0.095,0.135,0.188,3.65,3.901,0.175,1.925,0.156,0.4,5.471,8.163,13.111,1.514,10.383,5.084,0.218,0.342,0.101,0.121,0.08,7.615,0.095,3,4.348,0.102,3.962,272.805,0.841,0.841,6.526,-0.051,10.091,10.95,11.812,5,1,7.322,12.039,8.489,15.834,9.76,17.618,10.659,19.415,11.825,21.222
8.0,3.851,0.039,3.854,3.846,3.806,3.698,3.69,3.7,1.438,0.1,5,1.887,3.793,1.0,1.0,0.0,0.149,0.193,3.582,3.852,0.154,1.916,0.188,0.485,5.784,8.055,12.462,1.494,10.587,5.211,0.254,0.416,0.106,0.127,0.082,7.373,0.083,3,5.193,0.118,3.921,295.164,0.798,0.798,7.111,-0.063,9.964,10.803,11.662,3,0,7.644,12.531,8.844,16.186,10.1,18.06,11.136,19.95,12.331,21.853
6.662,3.833,0.015,3.854,3.823,3.807,3.697,3.694,3.711,0.528,0.121,7,1.802,3.895,1.0,1.0,0.0,0.134,0.193,3.718,3.831,0.156,1.857,0.15,0.381,5.688,8.344,13.692,1.486,10.15,4.948,0.212,0.313,0.099,0.124,0.08,7.798,0.087,4,5.173,0.1,3.945,289.715,0.755,0.779,6.149,-0.037,9.986,10.834,11.683,4,0,7.209,11.681,8.316,15.554,9.57,17.281,10.382,19.015,11.521,20.758
8.155,3.789,0.016,3.836,3.792,3.784,3.668,3.662,3.677,0.438,0.111,5,1.832,3.646,1.0,1.0,0.0,0.154,0.202,3.496,3.825,0.157,1.86,0.19,0.49,5.15,7.483,11.5,1.457,9.63,4.743,0.234,0.325,0.109,0.13,0.088,6.677,0.093,3,4.615,0.114,3.884,237.808,0.793,0.793,5.619,-0.066,9.613,10.433,11.259,3,0,6.629,10.936,7.733,14.966,9.055,16.633,9.732,18.306,10.901,19.984
7.509,3.851,0.028,3.851,3.845,3.803,3.698,3.689,3.69,0.938,0.118,6,1.888,3.715,1.0,1.0,0.0,0.149,0.198,3.567,3.845,0.165,1.918,0.192,0.498,5.789,8.23,12.167,1.48,9.933,4.914,0.233,0.336,0.112,0.13,0.084,6.945,0.091,3,4.769,0.11,3.916,266.04,0.812,0.812,6.06,-0.053,9.778,10.61,11.45,3,0,6.917,11.383,8.038,15.336,9.323,17.056,10.1,18.785,11.253,20.522
7.886,3.816,0.02,3.846,3.812,3.79,3.668,3.656,3.657,0.528,0.133,6,1.787,3.596,1.0,1.0,0.0,0.164,0.196,3.417,3.83,0.141,1.843,0.193,0.496,4.638,6.651,10.905,1.496,9.867,4.825,0.258,0.358,0.118,0.127,0.083,6.468,0.078,3,4.6,0.122,3.94,152.633,0.78,0.78,5.929,-0.123,9.698,10.533,11.374,3,0,6.974,11.365,8.107,15.302,9.331,17.016,10.146,18.737,11.264,20.463
