pXC50,N.,nN,nS,Sv,nHM,MW,Se,Sp,nCsp2,Si,nAT,nCsp3,C.,nBT,nAB,nSK,SCBO,nBO,AMW,H.,Me,Mi,Mp,Mv,nB,nBM,nBR,nC
7.678,0.0,0,0,30.723,1,378.88,49.563,32.267,12,54.973,49,8,40.8,51,12,26,34.0,28,7.732,46.9,1.011,1.122,0.659,0.627,0,12,0,20
6.155,5.3,3,0,35.502,1,451.95,58.196,36.739,10,64.678,57,11,36.8,60,12,31,40.0,34,7.929,45.6,1.021,1.135,0.645,0.623,0,12,0,21
5.943,5.4,3,0,36.26,1,457.95,56.985,37.523,16,63.053,56,7,41.1,59,18,32,44.0,35,8.178,42.9,1.018,1.126,0.67,0.648,0,18,0,23
5.983,5.4,3,0,34.787,1,435.95,56.869,36.284,10,63.468,56,11,37.5,59,12,30,39.0,33,7.785,46.4,1.016,1.133,0.648,0.621,0,12,0,21
6.695,4.5,2,0,29.013,2,401.27,45.44,29.852,10,49.668,44,7,38.6,46,12,26,34.0,28,9.12,40.9,1.033,1.129,0.678,0.659,0,12,0,17
5.432,0.0,0,0,32.949,0,372.5,55.007,34.932,12,61.86,55,10,40.0,57,12,27,35.0,29,6.773,50.9,1.0,1.125,0.635,0.599,0,12,0,22
6.883,4.0,2,0,31.239,1,394.89,50.883,32.517,10,56.555,50,9,38.0,52,12,27,35.0,29,7.898,46.0,1.018,1.131,0.65,0.625,0,12,0,19
6.625,3.8,2,0,32.766,1,408.92,53.767,34.279,10,59.97,53,10,37.7,55,12,28,36.0,30,7.715,47.2,1.014,1.132,0.647,0.618,0,12,0,20
6.587,3.8,2,0,32.766,1,408.92,53.767,34.279,10,59.97,53,10,37.7,55,12,28,36.0,30,7.715,47.2,1.014,1.132,0.647,0.618,0,12,0,20
6.449,3.6,2,0,34.293,1,422.95,56.651,36.04,10,63.385,56,11,37.5,58,12,29,37.0,31,7.553,48.2,1.012,1.132,0.644,0.612,0,12,0,21
6.754,3.6,2,0,37.239,1,466.95,56.883,38.517,16,62.555,56,7,44.6,59,18,33,47.0,36,8.338,41.1,1.016,1.117,0.688,0.665,0,19,0,25
7.192,3.9,2,0,33.427,1,432.89,52.327,34.21,14,57.349,51,7,41.2,54,17,30,41.5,33,8.488,41.2,1.026,1.124,0.671,0.655,0,17,0,21
7.367,3.9,2,0,31.954,1,410.89,52.211,32.972,10,57.764,51,9,37.3,53,12,28,36.0,30,8.057,45.1,1.024,1.133,0.647,0.627,0,12,0,19
6.854,0.0,0,0,32.965,1,408.91,53.774,34.483,12,59.598,53,9,39.6,55,12,28,36.0,30,7.715,47.2,1.015,1.124,0.651,0.622,0,12,0,21
5.699,0.0,0,0,32.234,0,356.5,53.68,34.478,12,60.65,54,10,40.7,56,12,26,34.0,28,6.602,51.9,0.994,1.123,0.638,0.597,0,12,0,22
7.943,8.2,4,1,32.889,2,450.94,50.513,33.892,12,55.226,49,7,38.8,52,17,30,41.5,33,9.203,38.8,1.031,1.127,0.692,0.671,0,17,0,19
7.213,3.9,2,0,33.427,1,432.89,52.327,34.21,14,57.349,51,7,41.2,54,17,30,41.5,33,8.488,41.2,1.026,1.124,0.671,0.655,0,17,0,21
6.654,3.7,2,0,35.239,1,442.93,54.883,36.517,16,60.555,54,7,42.6,57,18,31,43.0,34,8.202,42.6,1.016,1.121,0.676,0.653,0,18,0,23
6.565,3.7,2,0,35.622,1,460.92,55.396,36.455,16,60.895,54,7,42.6,57,18,32,44.0,35,8.536,40.7,1.026,1.128,0.675,0.66,0,18,0,23
7.146,3.9,2,1,33.899,2,448.96,52.076,35.404,14,57.06,51,7,41.2,54,17,30,41.5,33,8.803,41.2,1.021,1.119,0.694,0.665,0,17,0,21
7.082,3.5,2,0,37.669,1,486.94,58.538,38.426,16,63.974,57,8,42.1,61,18,34,47.0,38,8.543,40.4,1.027,1.122,0.674,0.661,0,18,0,24
6.987,3.3,2,0,39.195,1,500.97,61.422,40.188,16,67.389,60,9,41.7,64,18,35,48.0,39,8.349,41.7,1.024,1.123,0.67,0.653,0,18,0,25
