pXC50,nAB,SCBO,nBM,Si,O.,nS,nCL,Se,nAT,Mi,nSK,nBT,nBO,MW,nF
6.0,23,46.5,24,55.46,2.0,0,0,50.123,49,1.132,31,52,34,421.45,3
6.783,23,48.5,25,57.507,3.9,1,0,52.309,51,1.128,32,54,35,456.52,3
6.0,23,46.5,25,50.676,4.4,1,0,46.542,45,1.126,30,48,33,428.46,3
6.0,23,47.5,25,54.091,4.2,1,0,49.425,48,1.127,31,51,34,442.49,3
6.0,23,47.5,25,54.091,4.2,1,0,49.425,48,1.127,31,51,34,442.49,3
6.0,23,48.5,25,56.59,4.0,1,0,51.527,50,1.132,32,53,35,457.51,3
8.0,24,55.0,28,65.442,6.8,2,1,60.003,59,1.109,36,62,39,544.1,1
7.9,24,56.0,28,68.857,6.5,2,1,62.887,62,1.111,37,65,40,558.13,1
7.1,23,54.5,27,66.023,6.8,2,1,60.323,59,1.119,36,62,39,548.1,1
6.0,23,47.5,25,54.091,4.2,1,0,49.425,48,1.127,31,51,34,442.49,3
6.0,23,47.5,25,54.091,4.2,1,0,49.425,48,1.127,31,51,34,442.49,3
6.0,23,48.5,25,57.507,3.9,1,0,52.309,51,1.128,32,54,35,456.52,3
6.134,23,44.5,25,49.601,4.4,1,1,45.327,45,1.102,28,48,31,408.93,0
7.1,24,58.0,28,75.688,5.9,2,1,68.654,68,1.113,39,71,42,586.19,1
6.0,23,47.5,25,54.091,4.2,1,0,49.425,48,1.127,31,51,34,442.49,3
8.2,24,55.0,28,65.442,6.8,2,1,60.003,59,1.109,36,62,39,544.1,1
6.9,24,58.0,28,75.688,5.9,2,1,68.654,68,1.113,39,71,42,586.19,1
7.0,18,49.0,22,62.442,7.1,2,1,57.003,56,1.115,33,59,36,508.07,1
6.0,23,47.5,26,50.74,4.3,1,0,46.222,46,1.103,29,49,32,399.5,0
6.0,23,45.5,25,54.282,6.1,1,0,49.214,49,1.108,29,52,32,404.52,0
8.046,23,47.5,25,55.008,4.1,1,0,50.207,49,1.123,31,52,34,441.5,3
6.0,23,47.5,25,55.008,4.1,1,0,50.207,49,1.123,31,52,34,441.5,3
7.167,23,46.5,25,51.593,4.3,1,0,47.323,46,1.122,30,49,33,427.47,3
6.0,23,46.5,25,51.593,4.3,1,0,47.323,46,1.122,30,49,33,427.47,3
8.119,23,49.5,25,61.839,3.6,1,0,55.974,55,1.124,33,58,36,469.56,3
7.602,23,48.5,25,52.272,4.3,1,0,48.349,46,1.136,32,49,35,463.45,5
8.0,23,48.5,25,55.348,4.1,1,0,50.72,49,1.13,32,52,35,459.49,4
8.0,23,49.5,25,55.688,4.1,1,0,51.232,49,1.136,33,52,36,477.48,5
7.495,23,47.5,25,51.933,4.3,1,0,47.836,46,1.129,31,49,34,445.46,4
8.086,23,49.5,25,61.839,3.6,1,0,55.974,55,1.124,33,58,36,469.56,3
8.155,29,57.5,31,65.839,3.4,1,0,59.974,59,1.116,37,63,41,517.6,3
6.429,29,57.5,31,65.839,3.4,1,0,59.974,59,1.116,37,63,41,517.6,3
8.319,23,48.5,25,58.423,3.8,1,0,53.091,52,1.124,32,55,35,455.53,3
6.441,23,47.5,25,55.008,4.1,1,0,50.207,49,1.123,31,52,34,441.5,3
7.137,23,48.5,25,58.423,3.8,1,0,53.091,52,1.124,32,55,35,455.53,3
7.921,23,48.5,25,58.423,3.8,1,0,53.091,52,1.124,32,55,35,455.53,3
6.0,23,49.5,25,59.633,5.7,1,0,54.418,53,1.125,33,56,36,471.53,3
5.0,23,55.5,24,72.637,6.3,0,2,66.287,64,1.135,40,67,43,594.45,3
5.0,23,56.5,24,70.222,6.5,0,2,64.403,62,1.133,40,66,44,592.43,3
5.0,23,56.5,24,70.222,6.5,0,2,64.403,62,1.133,40,66,44,592.43,3
6.745,0,33.0,1,84.968,2.7,0,0,72.977,75,1.133,29,78,32,402.73,0
5.799,12,32.0,15,38.907,5.7,0,0,35.16,35,1.112,21,37,23,278.33,0
5.081,12,42.0,16,45.265,10.0,1,0,42.429,40,1.132,29,42,31,420.39,3
5.936,0,33.0,1,84.968,2.7,0,0,72.977,75,1.133,29,78,32,402.73,0
5.523,0,32.0,2,73.517,4.6,0,0,63.77,65,1.131,27,68,30,374.62,0
