pXC50,RBF,Se,Si,nAT,Sv,Sp,nH,nBT,O.,nSK,MW,nBO,Mp
6.108,0.1,75.629,85.763,76,46.68,49.574,37,80,3.9,39,527.73,43,0.652
6.276,0.101,74.847,84.846,75,46.175,48.819,36,79,4.0,39,528.72,43,0.651
4.959,0.246,57.651,63.365,56,34.776,35.233,25,57,16.1,31,435.47,32,0.629
4.076,0.133,57.56,63.611,57,37.412,38.659,24,60,8.8,33,444.52,36,0.678
4.222,0.133,44.134,48.076,43,28.525,28.824,17,45,14.0,26,355.37,28,0.67
5.125,0.13,44.691,49.282,44,28.337,29.131,19,46,11.4,25,341.39,27,0.662
6.347,0.14,49.12,53.99,48,31.073,31.591,20,50,12.5,28,384.42,30,0.658
4.26,0.172,56.443,63.026,56,34.938,36.421,26,58,8.9,30,410.51,32,0.65
5.328,0.127,52.902,57.907,52,34.578,35.347,21,55,11.5,31,419.46,34,0.68
5.377,0.133,58.552,65.152,58,36.159,37.631,27,60,10.3,31,425.52,33,0.649
4.276,0.135,50.676,56.196,50,31.885,32.898,22,52,10.0,28,382.45,30,0.658
5.102,0.146,47.665,51.38,46,31.706,32.301,17,48,13.0,29,438.28,31,0.702
4.921,0.122,47.793,52.78,47,30.358,31.137,20,49,10.6,27,368.42,29,0.662
4.208,0.119,40.698,44.741,40,26.59,27.159,16,42,10.0,24,324.36,26,0.679
4.824,0.143,48.345,52.701,47,30.766,31.04,19,49,14.9,28,385.4,30,0.66
6.42,0.14,49.12,53.99,48,31.073,31.591,20,50,12.5,28,384.42,30,0.658
6.398,0.032,32.098,33.854,29,21.542,19.625,6,31,13.8,23,330.21,25,0.677
4.0,0.14,42.465,47.571,42,25.643,26.682,20,43,9.5,22,304.38,23,0.635
4.602,0.167,35.371,39.531,35,21.875,22.705,16,36,8.6,19,260.32,20,0.649
6.0,0.154,39.036,42.709,38,24.835,25.722,16,39,13.2,22,370.22,23,0.677
4.602,0.193,55.891,61.951,55,35.458,37.017,24,57,9.1,31,490.39,33,0.673
4.699,0.178,45.087,50.037,44,27.247,27.83,20,45,11.4,24,337.38,25,0.632
4.292,0.178,44.803,49.539,44,27.889,29.245,20,45,11.4,24,398.28,25,0.665
4.0,0.178,45.6,50.377,44,27.63,27.767,19,45,11.4,25,355.37,26,0.631
4.432,0.103,37.273,41.163,37,25.185,26.603,15,39,5.4,22,359.24,24,0.719
5.301,0.174,45.793,50.78,45,28.358,29.137,20,46,11.1,25,344.4,26,0.647
4.319,0.182,44.116,48.724,43,27.186,27.994,19,44,11.6,24,354.82,25,0.651
5.222,0.191,46.676,52.196,46,27.885,28.898,22,47,10.9,24,334.41,25,0.628
5.0,0.15,39.356,44.445,39,23.423,24.472,19,40,7.7,20,277.36,21,0.627
5.046,0.204,49.229,54.116,48,30.293,30.801,21,49,14.6,27,375.41,28,0.642
4.481,0.103,37.367,41.266,37,24.988,26.108,15,39,5.4,22,314.79,24,0.706
4.602,0.167,35.694,39.475,35,22.702,23.563,15,36,8.6,20,294.76,21,0.673
4.602,0.184,38.244,42.033,37,23.799,23.858,15,38,13.5,22,305.32,23,0.645
4.602,0.175,55.662,62.109,55,34.433,35.665,25,57,9.1,30,411.5,32,0.648
4.602,0.193,55.662,62.109,55,34.433,35.665,25,57,9.1,30,411.5,32,0.648
4.602,0.192,51.662,58.109,51,30.433,31.665,25,52,9.8,26,363.46,27,0.621
5.046,0.158,37.473,42.03,37,22.896,23.71,17,38,8.1,20,275.34,21,0.641
5.398,0.158,37.473,42.03,37,22.896,23.71,17,38,8.1,20,275.34,21,0.641
5.301,0.15,39.356,44.445,39,23.423,24.472,19,40,7.7,20,277.36,21,0.627
4.0,0.154,38.807,42.867,38,23.81,24.369,17,39,13.2,21,291.33,22,0.641
4.886,0.18,49.56,55.611,49,29.412,30.659,24,50,10.2,25,348.44,26,0.626
4.678,0.188,47.458,53.113,47,28.39,29.654,23,48,10.6,24,333.42,25,0.631
5.412,0.182,43.785,49.152,43,26.159,26.932,20,44,9.3,23,320.39,24,0.626
4.602,0.167,35.694,39.475,35,22.702,23.563,15,36,8.6,20,294.76,21,0.673
5.301,0.162,36.153,40.448,36,22.38,23.46,17,37,8.3,19,259.33,20,0.652
4.824,0.174,45.894,51.279,45,27.379,28.142,21,46,11.1,24,335.4,25,0.625
4.959,0.196,46.665,51.282,45,28.282,28.29,19,46,15.6,26,365.38,27,0.629
4.301,0.175,55.891,61.951,55,35.458,37.017,24,57,9.1,31,490.39,33,0.673
4.602,0.167,36.396,40.211,35,22.641,22.58,14,36,8.6,21,296.3,22,0.645
4.42,0.103,37.273,41.163,37,25.185,26.603,15,39,5.4,22,359.24,24,0.719
5.523,0.182,43.793,48.78,43,26.358,27.137,20,44,11.6,23,320.38,24,0.631
4.0,0.176,51.105,56.903,50,30.621,31.358,23,51,12.0,27,377.44,28,0.627
4.602,0.184,38.244,42.033,37,23.799,23.858,15,38,13.5,22,305.32,23,0.645
4.854,0.196,46.331,51.445,45,28.369,28.631,19,46,11.1,26,361.4,27,0.636
4.301,0.167,41.691,46.282,41,25.337,26.131,19,42,12.2,22,305.36,23,0.637
4.824,0.18,49.785,55.322,49,30.105,31.108,23,50,12.2,26,361.43,27,0.635
4.602,0.174,45.894,51.279,45,27.379,28.142,21,46,11.1,24,335.4,25,0.625
4.26,0.143,34.371,38.531,34,20.875,21.705,16,35,8.8,18,248.31,19,0.638
4.0,0.14,42.694,47.413,42,26.668,28.034,19,43,9.5,23,383.27,24,0.667
4.602,0.167,35.6,39.373,35,22.9,24.057,15,36,8.6,20,339.21,21,0.687
5.329,0.085,56.858,62.744,56,37.425,39.455,23,59,7.1,33,531.47,36,0.705
4.699,0.146,46.534,51.863,46,29.632,31.125,20,48,6.5,26,372.49,28,0.677
5.17,0.137,49.123,55.275,49,30.477,31.995,23,51,6.1,26,353.46,28,0.653
5.344,0.103,56.396,61.641,55,37.415,38.653,21,58,9.1,34,501.0,37,0.703
5.629,0.091,30.8,34.491,31,20.885,22.472,13,33,0.0,18,255.37,20,0.725
4.699,0.108,35.945,39.954,36,24.47,26.148,15,37,2.8,21,343.24,22,0.726
4.699,0.061,47.753,53.116,47,29.072,30.546,22,49,10.6,25,366.48,27,0.65
4.699,0.093,41.323,46.238,41,26.39,27.909,18,43,4.9,23,330.45,25,0.681
5.016,0.095,40.305,44.288,40,26.754,28.756,17,42,7.5,23,347.49,25,0.719
5.426,0.069,30.134,32.189,28,21.197,20.801,7,29,3.6,21,335.12,22,0.743
5.244,0.13,51.989,56.416,51,36.35,37.926,18,54,7.8,33,524.42,36,0.744
4.699,0.063,30.047,33.515,30,20.526,21.682,12,32,0.0,18,257.74,20,0.723
4.699,0.114,43.2,47.103,42,28.626,29.671,16,44,9.5,26,393.88,28,0.706
4.699,0.083,34.782,38.119,34,23.03,23.835,13,36,8.8,21,303.37,23,0.701
5.928,0.101,65.531,73.438,65,40.508,42.193,30,69,7.7,35,478.6,39,0.649
4.699,0.089,43.44,47.993,43,27.809,29.324,19,45,9.3,24,345.45,26,0.682
4.699,0.063,30.571,33.495,30,20.788,21.619,11,32,6.7,19,273.34,21,0.721
5.202,0.091,32.269,34.709,31,22.836,23.023,9,33,9.7,22,361.17,24,0.743
4.699,0.063,57.672,64.853,58,38.09,40.097,25,63,1.7,33,435.57,38,0.691
4.699,0.071,39.331,43.697,39,26.643,27.938,15,42,2.6,24,337.44,27,0.716
6.152,0.174,45.574,50.697,45,27.863,28.892,21,46,11.1,24,331.4,25,0.642
4.699,0.083,37.018,39.608,34,25.231,24.068,8,36,5.9,26,389.33,28,0.708
5.318,0.111,51.451,57.485,51,32.191,33.449,23,54,7.8,28,381.47,31,0.656
4.699,0.106,45.582,50.156,45,30.116,30.921,18,47,8.9,27,362.41,29,0.687
6.056,0.156,44.978,49.657,44,28.82,29.818,18,45,9.1,26,374.46,27,0.678
5.577,0.105,54.698,61.195,54,34.388,36.546,24,57,5.6,30,448.63,33,0.677
4.699,0.095,39.585,43.349,39,27.482,28.352,14,42,5.1,25,351.81,28,0.727
4.699,0.081,35.258,39.14,35,23.767,24.898,14,37,2.9,21,299.78,23,0.711
5.162,0.14,49.324,53.253,48,33.264,34.585,18,50,12.5,30,492.37,32,0.721
5.708,0.111,42.414,46.245,42,30.029,31.79,15,45,4.8,27,393.52,30,0.757
5.153,0.057,34.589,37.799,33,23.563,23.091,10,35,3.0,23,317.29,25,0.7
5.308,0.111,43.574,48.528,43,27.918,28.716,18,45,7.0,25,338.4,27,0.668
5.13,0.113,51.862,57.242,51,32.292,33.756,23,53,11.8,28,405.51,30,0.662
4.885,0.148,52.916,59.278,52,32.883,34.79,23,54,5.8,29,437.61,31,0.669
4.699,0.152,44.778,48.791,44,31.109,32.71,16,46,6.8,28,458.36,30,0.743
4.987,0.097,32.684,34.747,30,22.293,21.097,7,31,10.0,23,345.68,24,0.703
4.699,0.074,50.251,56.773,51,32.552,34.841,24,54,2.0,27,356.5,30,0.683
4.699,0.114,42.647,47.182,42,28.217,29.767,17,44,4.8,25,376.9,27,0.709
4.987,0.114,45.44,48.857,42,29.715,28.5,12,44,9.5,30,449.39,32,0.679
