pXC50,N.,nN,nS,nHet,H.,nHM,nF,Mp,nBM,SCBO,nX,X.,nAB
6.645,2.6,1,0,8,31.6,1,2,0.721,15,37.0,3,7.9,12
7.481,7.3,3,1,10,29.3,1,3,0.717,19,43.0,3,7.3,16
7.107,6.9,2,0,7,31.0,1,0,0.715,10,29.0,1,3.4,6
7.373,5.4,2,0,9,29.7,2,1,0.744,15,37.0,3,8.1,12
4.018,0.0,0,0,2,44.4,0,0,0.664,7,14.0,0,0.0,6
6.841,6.8,3,1,12,25.0,1,4,0.723,20,49.0,4,9.1,16
7.135,6.9,2,0,7,31.0,0,1,0.683,10,29.0,1,3.4,6
5.367,0.0,0,0,8,48.7,0,0,0.642,22,54.0,0,0.0,22
5.658,0.0,0,0,3,42.4,0,0,0.688,14,28.0,0,0.0,12
5.108,2.8,2,0,10,44.4,0,0,0.654,24,56.0,0,0.0,22
4.252,0.0,0,0,8,48.8,0,0,0.647,24,60.0,0,0.0,22
6.824,0.0,0,0,8,40.6,0,0,0.68,24,56.0,0,0.0,22
5.553,2.8,2,0,8,44.4,0,0,0.669,24,58.0,0,0.0,22
5.824,0.0,0,0,8,45.9,0,0,0.656,24,56.0,0,0.0,22
4.319,0.0,0,0,8,44.7,0,0,0.666,24,60.0,0,0.0,22
6.509,0.0,0,0,8,45.9,0,0,0.656,24,56.0,0,0.0,22
7.444,6.0,3,0,8,38.0,0,0,0.688,21,46.0,0,0.0,18
7.469,5.7,3,0,8,39.6,0,0,0.682,21,47.0,0,0.0,18
5.09,0.0,0,0,4,34.5,0,0,0.711,14,29.0,0,0.0,12
7.678,6.0,3,0,8,38.0,0,0,0.688,21,46.0,0,0.0,18
7.959,6.5,3,0,7,37.0,0,0,0.699,21,44.0,0,0.0,18
4.74,4.5,2,0,4,45.5,0,0,0.677,17,36.0,0,0.0,16
4.611,0.0,0,0,3,38.1,0,0,0.686,8,19.0,0,0.0,6
4.682,0.0,0,0,5,33.3,0,0,0.68,9,23.0,0,0.0,6
4.0,8.3,3,1,9,27.8,1,3,0.728,21,40.0,3,8.3,20
4.199,0.0,0,0,6,32.0,0,0,0.671,9,24.0,0,0.0,6
4.178,0.0,0,0,4,34.5,0,0,0.711,14,29.0,0,0.0,12
