pXC50,nDB,nH,nBT,Se,nAT,Si,nN,nO,O.,nAB,Sp,Sv,nC,nBO,MW
5.357,0,30,66.0,59.894,61.0,68.391,4,0,0.0,21,40.921,37.934,27,36,410.61
6.36,5,44,93.0,89.37,89.0,100.763,4,7,7.9,12,56.432,53.625,34,49,620.82
6.03,5,44,93.0,89.37,89.0,100.763,4,7,7.9,12,56.432,53.625,34,49,620.82
5.86,1,40,85.0,79.876,80.0,90.98,4,2,2.5,16,51.273,48.291,32,45,550.76
5.81,1,37,81.0,75.959,76.0,86.359,5,1,1.3,16,49.949,46.731,30,44,553.79
5.69,1,40,82.0,77.876,78.0,88.98,4,2,2.6,12,49.273,46.291,30,42,526.74
6.14,1,40,82.0,77.876,78.0,88.98,4,2,2.6,12,49.273,46.291,30,42,526.74
7.4,1,41,86.0,80.65,81.0,92.269,5,1,1.2,16,51.825,48.598,32,45,549.78
6.31,3,40,85.0,79.949,80.0,90.514,4,5,6.3,12,51.0,48.142,31,45,548.75
5.61,3,40,85.0,79.949,80.0,90.514,4,5,6.3,12,51.0,48.142,31,45,548.75
6.27,3,40,85.0,79.949,80.0,90.514,4,5,6.3,12,51.0,48.142,31,45,548.75
6.04,3,40,85.0,79.949,80.0,90.514,4,5,6.3,12,51.0,48.142,31,45,548.75
5.21,3,40,85.0,79.949,80.0,90.514,4,5,6.3,12,51.0,48.142,31,45,548.75
6.0,5,44,93.0,89.37,89.0,100.763,4,7,7.9,12,56.432,53.625,34,49,620.82
5.63,5,44,93.0,89.37,89.0,100.763,4,7,7.9,12,56.432,53.625,34,49,620.82
6.4,5,44,93.0,89.37,89.0,100.763,4,7,7.9,12,56.432,53.625,34,49,620.82
5.58,1,39,84.0,78.767,79.0,89.854,5,1,1.3,17,51.063,48.071,32,45,547.76
5.63,1,42,85.0,80.759,81.0,92.395,4,2,2.5,12,51.035,47.818,31,43,540.77
5.72,1,43,86.0,81.534,82.0,93.684,5,1,1.2,12,51.586,48.124,31,43,539.79
6.04,1,39,83.0,78.101,78.0,88.691,3,3,3.8,12,49.722,46.984,31,44,539.73
5.79,1,38,82.0,76.992,77.0,87.565,4,2,2.6,16,49.512,46.764,31,44,536.73
5.04,1,38,82.0,76.985,77.0,87.937,6,1,1.3,16,49.307,46.565,30,44,536.74
5.305,1,34,73.0,68.97,69.0,78.059,4,4,5.8,16,44.262,41.847,27,39,478.65
5.0,1,28,64.0,61.941,61.0,69.279,3,5,8.2,16,39.125,37.87,24,36,457.55
5.347,1,28,64.0,61.752,61.0,68.884,3,5,8.2,16,40.046,38.314,24,36,474.0
5.0,1,24,57.0,54.658,54.0,60.844,3,4,7.4,16,36.068,34.546,22,33,429.94
6.92,3,34,77.0,71.643,72.0,80.849,4,3,4.2,18,47.807,45.132,31,43,510.69
6.99,3,34,74.0,70.298,70.0,79.268,4,5,7.1,12,44.716,42.562,27,40,494.65
5.0,9,68,154.0,151.043,149.0,168.958,12,12,8.1,28,97.137,92.959,55,86,1153.49
5.0,9,68,153.0,149.716,148.0,167.749,12,11,7.4,28,96.683,92.244,55,85,1137.49
5.0,9,63,146.0,143.174,141.0,159.629,11,12,8.5,28,92.609,88.884,53,83,1110.41
5.0,9,72,161.0,158.137,156.0,176.998,12,13,8.3,28,101.114,96.727,57,89,1197.55
6.066,8,58,135.0,131.65,130.0,146.882,10,10,7.7,28,86.171,82.379,50,77,1023.32
5.0,9,65,149.0,146.057,144.0,163.045,11,12,8.3,28,94.37,90.411,54,84,1124.44
5.0,8,63,139.0,136.847,135.0,153.42,11,11,8.1,22,87.154,83.169,48,76,1034.36
6.0,7,66,142.0,139.512,138.0,156.752,10,11,8.0,22,88.671,84.201,49,76,1035.39
6.0,7,65,142.0,139.581,138.0,156.473,10,11,8.0,22,91.33,85.518,49,77,1161.28
6.0,7,75,164.0,161.636,159.0,180.596,10,16,10.1,22,103.41,97.726,55,89,1323.44
5.0,7,85,186.0,183.69,180.0,204.719,10,21,11.7,22,115.489,109.934,61,101,1485.6
6.0,9,77,172.0,170.25,167.0,189.35,10,18,10.8,22,109.728,103.87,58,95,1425.56
5.0,7,95,208.0,205.745,201.0,228.842,10,26,12.9,22,127.569,122.142,67,113,1647.76
5.0,8,63,141.0,139.025,137.0,155.267,10,12,8.8,22,91.023,85.706,49,78,1175.26
6.0,8,73,163.0,161.079,158.0,179.39,10,17,10.8,22,103.103,97.914,55,90,1337.42
5.0,8,83,185.0,183.134,179.0,203.513,10,22,12.3,22,115.182,110.122,61,102,1499.58
5.0,8,93,207.0,205.188,200.0,227.636,10,27,13.5,22,127.262,122.33,67,114,1661.74
