pXC50,GATS2s,GATS4s,GATS7i,JGI2,JGI3,JGI4,MATS1i,SpMAD_AEA.dm.,SpMAD_AEA.ed.,GATS2m,PW4,SpDiam_AEA.ri.,GATS4m,X3Av,X5Av,GATS2p,SssCH2,AECC,HVcpx,MATS4m,MSD,PW3,S2K,Uindex,DECC,MATS6s,C.006,Eig01_AEA.dm.,Eig01_EA.dm.,Eig02_AEA.dm.,Eig02_EA.dm.,Eig03_AEA.dm.,Eig03_EA.dm.,Eta_epsi_A,GATS8s,H.,H.052,IC3,JGI8,MATS1p,MATS5e,Mv,N.068,nN,nRNR2,nS,NssS,P_VSA_LogP_2,P_VSA_LogP_5,P_VSA_m_4,S.107,SM02_EA.dm.,SM04_EA.dm.,SM06_EA.dm.,SM08_EA.dm.,SM10_EA.dm.,SM12_EA.dm.,SM14_EA.dm.,SpAD_EA.dm.,SpDiam_AEA.dm.
5.0,0.585,1.187,1.092,0.116,0.076,0.059,-0.169,1.775,1.791,1.068,0.231,5.866,1.04,0.114,0.032,1.087,-0.123,7.308,2.845,-0.11,4.668,0.402,6.896,43.638,1.024,-0.054,1,5.092,3.638,4.863,3.592,3.722,2.454,0.624,0.826,45.8,0,4.897,0.015,0.021,-0.118,0.63,0,2,0,2,2,8.783,14.185,64.439,2,4.327,6.549,8.995,11.498,14.019,16.548,19.082,31.793,6.93
6.097,0.6,1.114,0.946,0.123,0.071,0.058,-0.063,1.781,1.81,0.672,0.254,6.355,1.167,0.115,0.037,0.699,-0.625,9.957,3.164,-0.194,5.974,0.433,8.684,51.485,1.183,0.01,2,5.072,2.651,5.058,2.651,4.611,2.462,0.658,1.126,37.8,0,4.865,0.015,0.172,-0.038,0.689,0,6,0,4,4,17.566,11.885,120.727,4,4.038,5.514,7.232,9.04,10.892,12.77,14.663,32.853,7.072
4.0,0.695,1.041,1.041,0.081,0.046,0.031,-0.221,1.522,1.547,0.867,0.173,5.344,0.439,0.095,0.029,0.974,4.079,15.108,3.854,0.021,8.692,0.339,13.235,64.892,2.555,-0.021,5,3.727,2.374,3.59,1.041,3.167,0.8,0.607,1.297,46.4,4,5.692,0.01,-0.006,-0.016,0.622,1,7,1,0,0,47.398,18.972,0.0,0,2.646,3.77,5.303,6.965,8.667,10.384,12.108,10.063,5.727
4.0,0.693,0.87,0.956,0.091,0.057,0.039,-0.263,1.564,1.581,0.859,0.169,5.429,0.956,0.091,0.026,1.013,2.258,16.564,3.951,0.023,9.797,0.342,12.251,70.946,2.55,0.006,3,3.591,1.656,3.555,1.041,3.528,0.8,0.577,1.447,50.6,6,5.408,0.01,-0.066,0.022,0.588,1,8,1,0,0,44.873,21.728,0.0,0,2.189,2.639,3.348,4.2,5.13,6.098,7.086,7.488,5.591
4.0,0.725,0.906,0.971,0.09,0.055,0.038,-0.316,1.554,1.576,0.875,0.173,5.429,0.964,0.091,0.026,0.978,2.294,17.1,3.993,0.02,9.974,0.344,12.896,73.805,2.655,-0.012,3,3.591,1.656,3.555,1.041,3.528,0.8,0.572,1.485,51.2,6,5.461,0.01,-0.099,0.015,0.585,1,8,1,0,0,44.873,21.728,0.0,0,2.224,2.643,3.348,4.2,5.13,6.098,7.086,8.288,5.591
4.0,0.732,0.904,0.994,0.087,0.054,0.036,-0.294,1.543,1.562,0.898,0.17,5.429,0.949,0.091,0.025,1.022,2.779,18.214,4.078,0.04,10.412,0.335,14.041,79.657,2.939,-0.006,4,3.591,1.656,3.555,1.041,3.528,0.8,0.568,1.471,51.2,6,5.58,0.01,-0.091,0.018,0.587,1,8,1,0,0,62.746,21.728,0.0,0,2.281,2.665,3.353,4.201,5.13,6.098,7.086,8.803,5.591
4.0,0.734,0.921,1.017,0.081,0.048,0.035,-0.235,1.543,1.544,0.905,0.17,5.429,0.967,0.092,0.026,1.008,2.828,19.717,4.191,0.028,11.262,0.336,14.987,79.818,3.283,-0.001,4,3.591,1.656,3.555,1.041,3.528,0.8,0.568,1.49,50.0,6,5.594,0.01,-0.06,0.022,0.598,1,8,1,0,0,46.979,24.914,0.0,0,2.281,2.665,3.353,4.201,5.13,6.098,7.086,8.803,5.591
4.0,0.707,1.16,1.024,0.098,0.056,0.039,-0.233,1.635,1.592,1.128,0.177,5.359,1.113,0.098,0.032,1.228,1.211,11.519,3.472,-0.052,6.812,0.358,8.684,47.17,1.981,-0.021,2,4.231,2.95,3.725,2.374,3.565,1.041,0.653,1.024,44.9,0,5.314,0.013,0.037,-0.05,0.614,0,6,0,1,1,37.231,12.662,32.22,1,3.401,5.268,7.326,9.436,11.568,13.711,15.862,13.848,6.231
6.276,0.493,1.34,0.939,0.125,0.07,0.06,-0.096,1.796,1.797,0.628,0.245,6.354,1.185,0.12,0.038,0.685,0.697,8.818,3.058,-0.229,5.732,0.427,7.878,48.361,1.124,0.018,0,5.063,2.651,5.048,2.651,4.594,2.462,0.635,1.274,38.9,0,4.739,0.016,0.136,-0.032,0.688,0,6,0,4,4,17.566,11.885,120.727,4,4.038,5.514,7.232,9.04,10.892,12.77,14.663,32.853,7.063
4.0,0.688,1.04,0.992,0.092,0.055,0.034,-0.34,1.528,1.584,0.857,0.178,5.343,0.429,0.094,0.029,0.941,3.569,12.323,3.583,0.017,7.286,0.35,11.129,58.205,1.946,-0.026,4,3.727,2.374,3.59,1.041,3.158,0.8,0.618,1.303,47.5,4,5.531,0.011,-0.024,-0.025,0.607,1,7,1,0,0,45.292,15.786,0.0,0,2.607,3.763,5.303,6.964,8.667,10.384,12.108,9.548,5.727
4.0,0.511,1.105,1.044,0.085,0.042,0.037,-0.189,1.566,1.581,0.842,0.191,5.323,0.968,0.09,0.026,0.891,5.725,13.65,3.698,0.012,8.086,0.346,12.054,63.569,2.182,0.188,5,3.676,1.081,3.593,1.081,3.193,0.8,0.557,1.425,49.4,9,5.572,0.011,-0.069,0.013,0.608,1,7,1,0,0,51.619,44.621,0.0,0,2.139,2.026,2.075,2.175,2.296,2.427,2.564,9.415,5.676
