pXC50,AMW,C.,H.,Me,Mi,Mp
6.726,8.35,46.8,38.3,1.018,1.132,0.69
5.935,7.691,43.2,43.2,1.007,1.133,0.671
6.812,7.967,46.8,40.4,1.007,1.125,0.692
7.0,8.369,46.0,38.0,1.019,1.126,0.688
6.996,8.162,45.7,39.1,1.012,1.129,0.69
6.695,7.179,41.5,47.2,0.999,1.134,0.656
6.592,8.835,47.8,34.8,1.028,1.13,0.699
6.417,8.369,46.0,38.0,1.019,1.126,0.688
6.572,7.578,45.1,43.1,1.0,1.121,0.682
7.076,8.629,45.2,35.7,1.021,1.134,0.696
5.928,7.41,46.0,44.0,0.994,1.119,0.687
7.174,8.647,45.5,38.6,1.012,1.122,0.713
6.607,7.401,41.3,45.7,1.004,1.137,0.658
6.623,9.226,47.8,32.6,1.039,1.138,0.697
7.26,8.835,47.8,34.8,1.028,1.13,0.699
6.056,8.122,48.1,40.7,0.996,1.109,0.722
6.611,7.967,46.8,40.4,1.007,1.125,0.692
6.735,7.584,46.8,42.6,0.996,1.118,0.693
6.943,8.837,38.6,38.6,1.028,1.138,0.678
6.326,8.533,48.8,39.0,1.003,1.111,0.723
6.577,9.552,52.3,34.1,1.011,1.102,0.762
8.699,9.179,52.3,34.1,1.015,1.111,0.741
6.81,9.146,51.1,34.0,1.017,1.106,0.735
6.567,8.841,47.9,39.6,1.005,1.111,0.73
6.218,8.596,47.1,41.2,1.002,1.113,0.722
6.336,9.268,47.8,37.0,1.015,1.111,0.733
6.672,8.378,46.3,42.6,1.0,1.114,0.714
6.752,8.841,47.9,39.6,1.005,1.111,0.73
6.812,8.498,47.9,39.6,1.009,1.119,0.711
7.244,8.498,47.9,39.6,1.009,1.119,0.711
5.523,9.118,48.9,37.8,1.008,1.109,0.74
5.675,8.665,47.9,37.5,1.007,1.116,0.722
6.733,7.864,44.4,44.4,0.998,1.12,0.693
8.398,9.54,51.6,32.3,1.016,1.107,0.754
7.67,8.141,44.7,39.5,1.015,1.121,0.683
7.004,8.162,45.7,39.1,1.012,1.129,0.69
6.678,8.35,46.8,38.3,1.018,1.132,0.69
6.485,8.213,46.9,38.8,1.013,1.124,0.693
6.873,8.213,46.9,38.8,1.013,1.124,0.693
6.0,8.488,46.5,36.6,1.02,1.118,0.695
7.699,7.967,46.8,40.4,1.007,1.125,0.692
6.845,7.578,45.1,43.1,1.0,1.121,0.682
7.155,8.835,47.8,34.8,1.028,1.13,0.699
6.547,7.912,43.9,41.5,1.011,1.133,0.677
6.959,8.105,42.9,40.5,1.018,1.135,0.671
6.338,8.282,43.2,38.6,1.017,1.137,0.682
9.097,7.839,36.2,42.6,1.016,1.147,0.649
9.155,8.322,39.6,39.6,1.026,1.152,0.66
8.244,8.426,41.7,38.9,1.031,1.138,0.664
5.328,7.731,41.8,43.0,1.012,1.127,0.664
9.523,8.203,48.9,40.4,0.995,1.105,0.728
6.18,8.191,45.5,39.0,1.015,1.12,0.687
9.222,8.402,47.8,39.1,1.0,1.109,0.727
6.523,8.581,41.2,41.2,1.017,1.128,0.687
6.845,7.097,37.9,50.0,0.992,1.125,0.678
7.67,8.438,45.7,37.1,1.02,1.12,0.691
5.301,8.331,50.6,36.8,1.008,1.108,0.715
5.57,8.763,46.4,34.8,1.027,1.119,0.697
8.131,8.371,51.8,36.1,1.006,1.106,0.723
7.569,7.759,40.9,43.2,1.016,1.129,0.657
7.347,8.078,50.0,38.6,1.003,1.11,0.71
4.02,7.668,43.2,43.2,1.008,1.124,0.67
7.921,8.823,48.6,37.1,1.004,1.115,0.734
6.261,6.987,43.2,47.7,0.991,1.124,0.666
