pXC50,GGI7,Eig11_AEA.ri.,Eig11_EA.ri.,Eig11_EA,SM05_AEA.dm.,ATSC5p,Eig11_EA.ed.,SM06_AEA.ri.,Psi_i_1,TIC3,SpMax6_Bh.p.,Eig13_AEA.ed.,ATSC5m,SpMin5_Bh.i.,TIC4,TIC5,Eig14_AEA.bo.,SpMin7_Bh.i.,SpMax8_Bh.v.,Eig12_AEA.ed.,SNar,Xt,Eig12_AEA.ri.,Chi1_AEA.bo.,Chi1_AEA.dm.,Chi1_AEA.ed.,Chi1_AEA.ri.,Chi1_EA,X1v,RDCHI,SpMin6_Bh.i.,Eig12_EA,Eig12_EA.bo.,SM06_AEA.dm.,Eig14_AEA.ri.,Eig12_EA.ed.,Eig12_EA.ri.,SM07_AEA.ri.,SpMin5_Bh.s.,Yindex,SpMax7_Bh.e.,SpMax6_Bh.v.,Eig13_AEA.ri.,Eig15_AEA.ri.,SpMin7_Bh.p.,Eig11_AEA.ed.,SpMin7_Bh.e.,Eig14_AEA.ed.,X1MulPer,SpMax8_Bh.p.,Eig12_AEA.bo.,SpMax7_Bh.i.,X1sol,Chi0_EA.ri.,GMTI,Eig14_EA.ri.,CATS2D_07_AL,SpMin6_Bh.e.,Chi1_EA.ed.,ATS1p,X1Per,ATS1v,SpMax7_Bh.p.,SpMax3_Bh.i.,X1Kup
5.301,0.047,-0.569,-1.091,-1.329,-1.329,4.365,-3.118,-3.118,7.63,102.096,2.441,0.586,10.93,0.821,102.096,102.096,-0.919,0.0,1.358,0.84,9.534,0.324,-0.889,6.921,6.921,6.921,6.921,6.921,4.896,2.605,0.512,-1.863,-2.168,-1.863,-1.035,-4.789,-1.846,-4.789,0.218,1.038,2.006,2.425,-1.0,0.0,0.458,1.04,0.079,0.198,4.385,1.45,-0.5,2.175,6.649,9.124,1098.0,-2.0,0,0.581,2.635,2.94,3.628,2.874,1.682,3.133,4.524
5.731,0.118,0.194,-0.766,-0.784,-0.784,8.126,-1.736,-1.736,10.333,171.995,2.819,1.434,20.362,1.006,175.995,175.995,-0.256,0.64,2.345,1.614,12.019,0.288,-0.008,8.814,8.814,8.814,8.814,8.814,6.556,2.96,0.949,-1.0,-1.162,-1.0,-0.614,-2.225,-0.97,-2.225,0.634,0.908,2.69,2.807,-0.029,-0.783,1.003,1.726,0.721,1.298,6.322,2.389,0.201,2.784,8.33,11.926,2202.0,-1.566,1,1.044,3.298,3.223,5.307,3.148,2.537,3.607,6.517
5.737,0.42,0.688,-0.273,-0.282,-0.282,10.325,-0.487,-0.487,13.23,205.82,2.82,2.0,29.333,1.079,209.82,209.82,0.448,0.791,2.493,2.515,14.792,0.26,0.444,11.818,11.818,11.818,11.818,11.818,8.966,3.341,0.952,-0.533,-0.6,-0.533,0.0,-1.381,-0.519,-1.381,0.641,0.805,2.958,2.808,0.0,-0.008,1.09,2.748,0.839,2.0,7.28,2.505,0.755,2.981,10.403,15.222,4932.0,-0.7,2,1.056,3.974,3.36,6.032,3.33,2.714,3.767,7.519
4.915,0.405,2.16,1.154,1.173,1.173,16.783,2.638,2.638,21.326,337.683,3.113,3.585,53.236,1.507,351.193,357.193,1.623,1.197,2.958,3.618,24.326,0.203,1.913,17.655,17.655,17.655,17.655,17.655,12.412,4.336,1.413,1.032,1.087,1.032,1.618,2.347,0.899,2.347,1.133,0.388,3.226,3.101,1.691,1.348,1.519,3.688,1.256,3.305,11.97,2.933,2.104,3.295,15.541,22.352,15886.0,0.618,6,1.483,5.734,3.811,9.804,3.769,2.979,3.85,12.255
8.0,0.43,2.004,0.998,1.047,1.047,16.772,2.284,2.284,20.44,357.54,3.294,3.306,52.758,1.507,367.54,369.54,1.618,1.217,2.958,3.418,23.345,0.207,1.906,17.158,17.158,17.158,17.158,17.158,12.41,4.321,1.402,0.992,1.044,0.992,1.604,2.056,0.893,2.056,1.142,0.429,3.251,3.283,1.618,1.278,1.529,3.618,1.278,3.209,11.935,2.934,2.09,3.314,15.549,22.365,15318.0,0.606,6,1.465,5.882,3.805,9.866,3.758,2.979,3.824,12.252
7.223,0.24,0.915,-0.097,-0.098,-0.098,5.999,-0.246,-0.246,12.756,178.131,2.652,2.126,26.651,1.126,190.131,190.131,0.293,0.735,2.388,2.433,14.74,0.26,0.345,11.301,11.301,11.301,11.301,11.301,7.158,3.189,1.027,-0.675,-0.744,-0.675,0.034,-1.778,-0.666,-1.778,0.692,0.799,2.829,2.673,0.157,0.02,1.13,2.647,0.764,2.0,6.935,2.401,0.685,2.935,9.986,13.98,3859.0,-1.041,2,1.08,3.668,3.204,5.608,3.221,2.492,3.581,7.011
4.824,0.115,1.531,0.519,0.529,0.529,9.992,1.211,1.211,13.986,199.329,2.871,2.212,25.5,1.005,207.329,207.329,0.673,0.821,2.715,2.541,17.394,0.24,0.849,12.798,12.798,12.798,12.798,12.798,8.456,3.767,0.972,-0.091,-0.105,-0.091,0.428,-0.201,-0.08,-0.201,0.685,0.492,2.854,2.844,0.608,0.0,1.062,3.059,0.886,2.0,7.831,2.735,1.16,2.925,11.509,16.438,7300.0,-0.507,1,1.018,4.562,3.469,6.432,3.425,2.735,3.8,8.037
5.301,0.177,1.624,0.636,0.701,0.701,12.372,1.384,1.384,15.396,245.029,2.951,2.594,33.057,1.127,253.784,255.784,1.159,1.0,2.816,2.969,19.186,0.228,1.463,14.141,14.141,14.141,14.141,14.141,9.408,3.968,1.114,0.49,0.561,0.49,0.806,0.996,0.469,0.996,0.685,0.481,3.049,2.959,1.178,0.442,1.297,3.129,1.082,2.479,8.616,2.831,1.714,3.133,13.39,18.96,9771.0,-0.079,1,1.19,4.921,3.57,7.146,3.534,2.892,3.796,8.931
5.0,0.115,1.534,0.526,0.529,0.529,9.641,1.211,1.211,13.878,187.329,2.864,2.212,24.758,1.003,199.329,205.329,0.673,0.821,2.715,2.541,17.394,0.24,0.852,12.798,12.798,12.798,12.798,12.798,8.078,3.767,0.966,-0.091,-0.105,-0.091,0.429,-0.201,-0.083,-0.201,0.685,0.492,2.854,2.842,0.673,0.0,1.062,3.059,0.886,2.0,7.831,2.735,1.16,2.925,10.826,16.364,7300.0,-0.512,1,1.015,4.562,3.44,6.432,3.411,2.735,3.802,7.981
4.886,0.115,1.53,0.515,0.529,0.529,10.288,1.211,1.211,14.071,199.329,2.877,2.212,27.161,1.005,207.329,207.329,0.673,0.821,2.715,2.541,17.394,0.24,0.848,12.798,12.798,12.798,12.798,12.798,8.871,3.767,0.974,-0.091,-0.105,-0.091,0.428,-0.201,-0.078,-0.201,0.685,0.492,2.854,2.845,0.59,0.0,1.062,3.059,0.886,2.0,7.831,2.735,1.16,2.925,11.798,16.466,7300.0,-0.504,1,1.02,4.562,3.485,6.432,3.432,2.735,3.8,8.055
