pXC50,RBN,nSK,MW,Se,nAT,Si,RBF,nBM,nCsp2,nH,nAB,nN,nC,SCBO,Sv,Sp,nBT,nBO,nHet,N.,C.,Me,nDB,O.,AMW,H.,Mi,Mp
7.877,10,47,637.7,78.407,77,86.58,0.123,33,33,30,30,3,37,69.0,51.975,53.069,81,51,10,3.9,48.1,1.018,3,5.2,8.282,39.0,1.124,0.689
8.996,10,44,601.67,75.407,74,83.58,0.128,27,27,30,24,3,34,63.0,48.975,50.069,78,48,10,4.1,45.9,1.019,3,5.4,8.131,40.5,1.129,0.677
7.699,6,39,570.7,65.363,64,71.882,0.088,26,23,25,23,2,29,57.5,43.56,45.381,68,43,10,3.1,45.3,1.021,3,4.7,8.917,39.1,1.123,0.709
7.167,5,33,454.48,55.443,54,61.211,0.088,20,20,21,18,2,25,47.0,36.132,36.563,57,36,8,3.7,46.3,1.027,2,5.6,8.416,38.9,1.134,0.677
7.0,6,36,517.08,61.189,61,67.471,0.092,27,25,25,24,2,29,55.0,41.523,44.017,65,40,7,3.3,47.5,1.003,3,4.9,8.477,41.0,1.106,0.722
6.921,5,33,474.54,55.52,54,61.131,0.088,21,19,21,18,2,24,48.0,36.319,37.21,57,36,9,3.7,44.4,1.028,3,5.6,8.788,38.9,1.132,0.689
7.046,5,33,483.07,60.072,60,66.886,0.079,21,19,27,18,2,26,48.0,39.05,41.779,63,36,7,3.3,43.3,1.001,3,5.0,8.051,45.0,1.115,0.696
6.921,6,37,507.65,62.083,62,68.61,0.091,28,25,25,24,3,30,58.0,42.19,44.404,66,41,7,4.8,48.4,1.001,3,4.8,8.188,40.3,1.107,0.716
7.155,6,32,471.01,55.633,55,61.265,0.103,21,19,23,18,2,24,47.0,36.711,38.71,58,35,8,3.6,43.6,1.012,3,7.3,8.564,41.8,1.114,0.704
6.854,6,40,584.73,68.247,67,75.297,0.085,26,23,27,23,2,30,58.5,45.086,47.142,71,44,10,3.0,44.8,1.019,3,4.5,8.727,40.3,1.124,0.704
7.62,6,35,482.54,61.21,60,68.042,0.095,20,20,25,18,2,27,49.0,39.185,40.086,63,38,8,3.3,45.0,1.02,2,5.0,8.042,41.7,1.134,0.668
7.155,5,34,468.51,58.327,57,64.626,0.083,20,20,23,18,2,26,48.0,37.659,38.324,60,37,8,3.5,45.6,1.023,2,5.3,8.219,40.4,1.134,0.672
5.319,6,36,486.57,61.556,61,68.623,0.092,25,25,25,24,2,30,53.0,40.756,42.177,65,40,6,3.3,49.2,1.009,1,1.6,7.977,41.0,1.125,0.691
6.301,6,32,469.04,57.189,57,63.471,0.1,21,19,25,18,2,25,47.0,37.523,40.017,60,35,7,3.5,43.9,1.003,3,5.3,8.229,43.9,1.114,0.702
6.959,5,33,454.48,55.443,54,61.211,0.088,20,20,21,18,2,25,47.0,36.132,36.563,57,36,8,3.7,46.3,1.027,2,5.6,8.416,38.9,1.134,0.677
7.398,6,36,496.57,64.094,63,71.457,0.091,20,20,27,18,2,28,50.0,40.712,41.847,66,39,8,3.2,44.4,1.017,2,4.8,7.882,42.9,1.134,0.664
6.69,5,34,488.57,58.403,57,64.546,0.083,21,19,23,18,2,25,49.0,37.846,38.972,60,37,9,3.5,43.9,1.025,3,5.3,8.571,40.4,1.132,0.684
7.301,5,37,522.48,59.865,57,65.645,0.083,20,20,20,18,2,26,51.0,38.809,38.137,60,40,11,3.5,45.6,1.05,2,5.3,9.166,35.1,1.152,0.669
5.629,6,37,501.59,63.658,63,71.121,0.09,25,24,26,24,3,30,54.0,41.777,43.182,67,41,7,4.8,47.6,1.01,1,1.6,7.962,41.3,1.129,0.685
7.699,5,36,496.57,64.094,63,71.457,0.076,20,20,27,18,2,28,50.0,40.712,41.847,66,39,8,3.2,44.4,1.017,2,4.8,7.882,42.9,1.134,0.664
7.155,5,35,482.54,61.21,60,68.042,0.079,20,20,25,18,2,27,49.0,39.185,40.086,63,38,8,3.3,45.0,1.02,2,5.0,8.042,41.7,1.134,0.668
