pXC50,RBF,RBN,MW,nHet,nBO,nSK,SCBO,AMW,C.,H.,Me,Mi,Mp,Mv,N.,nAB,nAT
5.921,0.063,6,583.87,3,50,44,63.0,6.56,46.1,50.6,0.98,1.113,0.67,0.618,1.1,24,89
6.509,0.064,6,567.87,2,49,43,62.0,6.453,46.6,51.1,0.976,1.112,0.673,0.617,1.1,24,88
5.086,0.071,7,597.91,4,51,45,64.0,6.499,44.6,51.1,0.979,1.118,0.665,0.613,3.3,24,92
7.721,0.082,6,471.66,4,39,35,49.0,6.836,44.9,49.3,0.99,1.121,0.664,0.62,1.4,18,69
6.959,0.105,6,369.52,4,29,27,36.0,6.719,41.8,50.9,0.993,1.129,0.646,0.604,1.8,12,55
5.62,0.082,6,488.11,4,39,35,49.0,7.074,44.9,49.3,0.987,1.115,0.677,0.627,1.4,18,69
6.161,0.105,6,385.97,4,29,27,36.0,7.018,41.8,50.9,0.99,1.121,0.662,0.612,1.8,12,55
5.77,0.095,6,379.59,3,30,28,37.0,6.223,41.0,54.1,0.982,1.124,0.641,0.588,1.6,12,61
6.347,0.085,6,456.65,4,38,34,48.0,6.816,44.8,49.3,0.988,1.122,0.665,0.62,3.0,18,67
6.071,0.109,6,354.51,4,28,26,35.0,6.689,41.5,50.9,0.991,1.131,0.647,0.604,3.8,12,53
5.77,0.085,6,473.1,4,38,34,48.0,7.061,44.8,49.3,0.985,1.116,0.679,0.627,3.0,18,67
6.745,0.107,6,369.97,3,28,26,35.0,6.851,42.6,51.9,0.984,1.12,0.666,0.61,1.9,12,54
5.244,0.097,6,363.59,2,29,27,36.0,6.06,41.7,55.0,0.976,1.123,0.644,0.586,1.7,12,60
6.0,0.088,7,523.8,5,43,38,55.0,6.984,44.0,49.3,0.983,1.116,0.681,0.626,4.0,22,75
5.824,0.109,7,421.66,5,33,30,42.0,6.912,41.0,50.8,0.985,1.122,0.669,0.612,4.9,16,61
5.824,0.125,8,395.6,5,31,29,38.0,6.381,38.7,53.2,0.987,1.131,0.635,0.587,4.8,12,62
5.444,0.106,7,393.63,4,31,29,38.0,6.15,39.1,54.7,0.981,1.13,0.635,0.581,4.7,12,64
4.276,0.091,5,381.49,6,31,28,40.0,7.336,42.3,46.2,1.004,1.131,0.658,0.628,5.8,16,52
4.745,0.104,5,426.39,7,27,25,33.5,9.269,39.1,45.7,1.006,1.13,0.696,0.644,6.5,11,46
4.658,0.091,5,397.56,6,31,28,40.0,7.645,42.3,46.2,0.999,1.126,0.681,0.637,5.8,16,52
6.092,0.114,8,437.64,6,35,32,42.0,6.532,38.8,52.2,0.991,1.131,0.635,0.592,4.5,12,67
6.076,0.111,7,411.57,6,33,30,40.0,6.859,40.0,50.0,0.997,1.134,0.642,0.604,5.0,12,60
6.481,0.108,8,469.68,5,39,35,49.0,6.71,42.9,50.0,0.987,1.122,0.659,0.613,4.3,18,70
6.638,0.108,8,469.68,5,39,35,49.0,6.71,42.9,50.0,0.987,1.122,0.659,0.613,4.3,18,70
6.481,0.113,8,459.64,6,38,34,47.5,6.86,41.8,49.3,0.993,1.125,0.654,0.614,4.5,17,67
6.721,0.113,8,475.71,6,38,34,47.5,7.1,41.8,49.3,0.989,1.12,0.672,0.621,4.5,17,67
6.276,0.108,8,489.74,6,39,35,48.5,6.996,41.4,50.0,0.988,1.121,0.668,0.616,4.3,17,70
6.796,0.11,8,470.67,6,39,35,49.0,6.821,42.0,49.3,0.99,1.125,0.657,0.615,5.8,18,69
6.367,0.109,7,418.59,6,34,31,43.0,6.862,41.0,49.2,0.993,1.128,0.653,0.613,6.6,12,61
6.036,0.108,7,417.6,5,34,31,43.0,6.735,41.9,50.0,0.989,1.125,0.655,0.611,4.8,12,62
5.155,0.063,3,328.42,5,27,24,33.0,7.298,42.2,46.7,1.005,1.131,0.655,0.625,4.4,12,45
5.377,0.077,4,358.45,6,29,26,35.0,7.315,40.8,46.9,1.009,1.133,0.647,0.62,4.1,12,49
5.638,0.061,3,344.42,6,28,25,34.0,7.487,41.3,45.7,1.012,1.133,0.651,0.627,4.3,12,46
5.237,0.064,3,329.41,6,27,24,33.0,7.487,40.9,45.5,1.01,1.136,0.653,0.628,6.8,12,44
9.19,0.0,0,267.4,2,22,20,28.0,6.522,43.9,51.2,0.982,1.119,0.66,0.61,2.4,12,41
8.699,0.0,0,251.4,1,21,19,27.0,6.285,45.0,52.5,0.973,1.116,0.665,0.607,2.5,12,40
9.05,0.0,0,301.84,3,23,21,29.0,7.362,43.9,48.8,0.99,1.117,0.681,0.63,2.4,12,41
5.921,0.068,3,396.73,8,28,25,36.0,9.676,41.5,39.0,1.016,1.128,0.73,0.69,12.2,16,41
5.658,0.1,8,497.74,5,41,37,51.0,6.549,42.1,51.3,0.985,1.124,0.653,0.605,3.9,18,76
6.041,0.068,3,362.29,7,27,24,35.0,8.836,41.5,41.5,1.008,1.129,0.709,0.67,12.2,16,41
6.071,0.075,3,266.38,4,22,20,29.5,7.01,42.1,47.4,0.989,1.129,0.667,0.626,10.5,11,38
5.921,0.067,3,326.86,5,26,23,34.0,7.782,42.9,45.2,0.995,1.125,0.69,0.646,9.5,16,42
5.229,0.082,4,322.45,5,27,24,35.0,7.01,41.3,47.8,0.993,1.129,0.659,0.62,8.7,16,46
8.42,0.0,0,304.47,2,26,23,34.0,6.478,44.7,51.1,0.977,1.118,0.668,0.614,4.3,16,47
5.678,0.074,4,356.5,3,30,27,40.5,6.99,47.1,47.1,0.985,1.113,0.683,0.638,3.9,17,51
6.0,0.062,4,432.6,3,37,33,50.5,7.092,49.2,45.9,0.984,1.108,0.694,0.649,3.3,23,61
5.886,0.079,5,398.59,3,33,30,43.5,6.643,45.0,50.0,0.982,1.117,0.669,0.619,3.3,17,60
6.004,0.089,5,362.51,4,30,27,38.5,6.84,43.4,49.1,0.99,1.121,0.661,0.619,3.8,17,53
6.42,0.075,4,357.49,4,30,27,40.5,7.15,46.0,46.0,0.989,1.117,0.682,0.641,6.0,17,50
5.745,0.095,6,389.59,4,32,29,40.5,6.493,41.7,51.7,0.983,1.125,0.652,0.603,5.0,17,60
5.886,0.085,6,429.66,4,36,32,44.5,6.413,41.8,52.2,0.982,1.125,0.652,0.6,4.5,17,67
6.0,0.087,6,431.63,5,36,32,44.5,6.64,41.5,50.8,0.988,1.125,0.651,0.606,4.6,17,65
5.678,0.082,6,444.68,5,37,33,45.5,6.445,40.6,52.2,0.984,1.128,0.647,0.598,5.8,17,69
6.252,0.094,8,536.78,6,45,40,56.5,6.71,42.5,50.0,0.987,1.124,0.658,0.612,5.0,23,80
5.796,0.086,7,541.19,6,44,39,55.5,7.121,43.4,48.7,0.988,1.121,0.675,0.626,5.3,23,76
7.036,0.077,4,332.48,3,28,25,36.5,6.785,44.9,49.0,0.985,1.118,0.67,0.624,4.1,17,49
8.67,0.0,0,281.43,2,23,21,29.0,6.396,43.2,52.3,0.981,1.12,0.655,0.603,2.3,12,44
