pXC50,nDB,C.,nHM,nP
4.538,1,23.3,1,1
4.796,1,23.1,1,1
5.301,1,27.0,1,1
8.301,1,17.6,1,1
4.409,1,25.8,1,1
4.301,1,18.2,1,1
4.538,1,21.4,1,1
5.398,1,27.8,1,1
4.301,2,28.6,1,1
4.745,1,23.3,1,1
4.495,1,26.5,1,1
5.699,1,28.2,1,1
5.222,1,31.0,1,1
5.699,1,27.0,1,1
4.432,1,25.9,1,1
7.796,1,20.0,1,1
4.658,1,24.1,1,1
4.42,1,24.1,1,1
5.222,1,32.3,2,1
5.222,1,27.0,1,1
5.301,1,27.0,1,1
5.699,3,31.1,1,1
4.699,1,25.7,1,1
5.0,1,33.3,1,1
4.553,1,25.0,1,1
5.046,1,33.3,2,1
4.495,1,32.3,1,1
4.678,1,31.8,2,1
5.301,1,32.3,1,1
6.0,2,25.0,1,1
5.097,1,32.3,1,1
4.699,1,26.1,1,1
4.432,1,23.3,1,1
5.0,4,39.5,0,0
4.0,0,33.3,0,0
4.921,1,22.9,1,1
5.155,1,32.5,2,1
4.137,1,24.1,1,1
4.284,1,33.3,1,1
4.854,1,24.1,1,1
4.796,1,22.9,1,1
5.0,1,33.3,1,1
4.469,1,25.0,1,1
5.699,1,21.7,1,1
4.854,2,26.9,1,1
4.745,1,25.0,1,1
4.569,1,23.5,1,1
5.097,1,32.3,1,1
4.347,1,24.2,1,1
5.0,0,44.2,0,0
4.0,0,39.5,0,0
4.0,0,33.3,0,0
5.0,0,40.0,0,0
4.0,0,33.3,0,0
4.0,0,40.5,0,0
5.0,0,46.9,0,0
4.0,0,33.3,0,0
4.0,0,33.3,0,0
4.0,0,33.3,0,0
5.0,0,44.7,0,0
5.0,0,44.2,0,0
5.0,0,43.4,0,0
5.0,0,43.5,0,0
4.0,0,42.9,0,0
5.0,0,43.5,0,0
4.0,0,34.9,0,0
4.0,0,33.3,0,0
4.0,0,44.0,0,0
4.0,0,33.3,0,0
5.0,0,44.7,0,0
