pXC50,H.051,ATSC5s,Eig01_EA.bo.,SM11_AEA.ri.,SpDiam_EA.bo.,SpMax_EA.bo.,Eig01_AEA.bo.,SpDiam_AEA.bo.,SpMax_AEA.bo.,SM12_EA.bo.,SM13_EA.bo.,SM14_EA.bo.,SM15_EA.bo.,AAC,AECC,ALOGP,ALOGP2,AMR,AMW,ARR,ATS1e,ATS1i,ATS1m,ATS1p,ATS1s,ATS1v,ATS2e,ATS2i,ATS2m,ATS2p,ATS2s,ATS2v,ATS3e,ATS3i,ATS3m,ATS3p,ATS3s,ATS3v,ATS4e,ATS4i,ATS4m,ATS4p,ATS4s,ATS4v,ATS5e,ATS5i,ATS5m,ATS5p,ATS5s,ATS5v,ATS6e,ATS6i,ATS6m,ATS6p,ATS6s,ATS6v,ATS7e,ATS7i,ATS7m,ATS7p,ATS7s,ATS7v,ATS8e,ATS8i,ATS8m,ATS8p,ATS8s,ATS8v,ATSC1e,ATSC1i,ATSC1m,ATSC1p,ATSC1s,ATSC1v,ATSC2e,ATSC2i,ATSC2m,ATSC2p,ATSC2s,ATSC2v,ATSC3e,ATSC3i,ATSC3m,ATSC3p,ATSC3s,ATSC3v,ATSC4e,ATSC4i,ATSC4m,ATSC4p,ATSC4s,ATSC4v,ATSC5e,ATSC5i,ATSC5m,ATSC5p,ATSC5v,ATSC6e,ATSC6i,ATSC6m,ATSC6p,ATSC6s,ATSC6v,ATSC7e,ATSC7i,ATSC7m,ATSC7p,ATSC7s,ATSC7v,ATSC8e,ATSC8i,ATSC8m,ATSC8p,ATSC8s
4.854,0,82.645,4.352,4.352,7.352,4.352,4.436,5.308,4.436,17.727,19.146,20.634,22.078,1.682,7.833,2.133,4.548,64.494,7.597,0.579,3.545,3.64,3.101,3.168,4.771,3.3445,3.995,4.122,3.454,3.531,5.299,3.6495,4.293,4.465,3.506,3.629,5.548,3.721,4.333,4.535,3.298,3.489,5.56,3.631,4.154,4.377,3.2,3.321,5.558,3.5605,3.9,4.084,3.018,3.183,5.18,3.5295,3.89,4.098,2.837,3.058,5.115,3.505,3.702,3.933,2.569,2.902,4.811,3.3385,0.171,0.481,6.155,3.396,16.326,4.332,0.25,0.787,10.23,5.539,35.606,7.2265,0.326,0.955,15.513,7.154,44.393,8.8645,0.382,0.874,17.591,6.538,65.577,9.071,0.383,0.734,15.051,5.89,8.293,0.14,0.648,10.681,5.059,27.274,7.619,0.204,0.6,11.386,4.689,39.039,7.574,0.135,0.51,9.453,4.263,26.953
5.658,0,81.54,4.38,4.38,7.38,4.38,4.452,5.324,4.452,17.794,19.231,20.718,22.175,1.898,7.235,2.086,4.351,63.328,8.59,0.556,3.463,3.541,3.194,3.148,4.695,3.3445,3.909,4.017,3.568,3.521,5.233,3.6495,4.158,4.312,3.512,3.535,5.453,3.721,4.191,4.373,3.277,3.373,5.468,3.631,3.997,4.206,3.168,3.178,5.476,3.5605,3.762,3.921,3.147,3.091,5.096,3.5295,3.747,3.949,2.777,3.004,4.905,3.505,3.545,3.759,2.707,2.885,4.66,3.3385,0.19,0.454,5.318,3.301,16.842,4.332,0.275,0.757,10.062,5.674,35.953,7.2265,0.368,0.887,15.111,7.078,43.326,8.8645,0.434,0.797,16.999,6.347,65.311,9.071,0.406,0.647,13.263,5.334,8.293,0.196,0.601,10.078,4.69,25.205,7.619,0.211,0.548,11.073,4.843,33.913,7.574,0.147,0.493,9.805,4.956,21.697
5.745,0,96.318,3.955,3.955,6.955,3.955,4.354,5.239,4.354,16.74,17.979,19.419,20.71,1.598,8.571,3.199,10.232,77.781,7.261,0.545,3.723,3.827,3.241,3.342,4.908,3.3445,4.186,4.328,3.564,3.697,5.415,3.6495,4.48,4.667,3.616,3.805,5.639,3.721,4.554,4.769,3.531,3.734,5.703,3.631,4.478,4.694,3.546,3.705,5.805,3.5605,4.357,4.547,3.486,3.734,5.501,3.5295,4.431,4.642,3.371,3.663,5.584,3.505,4.364,4.627,2.973,3.379,5.444,3.3385,0.161,0.565,7.919,4.129,15.954,4.332,0.245,0.922,13.257,6.739,36.425,7.2265,0.307,1.125,19.358,8.673,46.336,8.8645,0.334,1.085,22.02,8.385,63.297,9.071,0.453,1.015,20.548,7.851,8.293,0.118,0.987,16.839,7.965,32.723,7.619,0.185,1.083,18.922,8.748,41.86,7.574,0.296,0.9,19.466,7.426,61.594
5.883,0,85.353,4.103,4.103,7.103,4.103,4.449,5.33,4.449,17.069,18.386,19.842,21.201,1.632,7.8,2.743,7.522,73.18,7.476,0.571,3.651,3.749,3.194,3.278,4.868,3.3445,4.096,4.227,3.526,3.629,5.373,3.6495,4.391,4.571,3.598,3.735,5.598,3.721,4.432,4.621,3.542,3.672,5.67,3.631,4.387,4.579,3.552,3.658,5.794,3.5605,4.319,4.512,3.363,3.628,5.504,3.5295,4.278,4.502,3.169,3.491,5.421,3.505,4.126,4.373,2.827,3.228,5.255,3.3385,0.162,0.525,7.015,3.78,16.053,4.332,0.239,0.853,11.557,6.115,35.529,7.2265,0.312,1.042,17.399,7.922,46.367,8.8645,0.325,0.972,18.878,7.311,60.233,9.071,0.382,0.937,17.963,7.235,8.293,0.172,0.95,16.358,7.359,40.993,7.619,0.175,0.924,16.515,7.533,39.297,7.574,0.201,0.788,14.905,6.718,40.604
6.569,0,107.878,4.221,4.221,7.221,4.221,4.537,5.42,4.537,17.398,18.766,20.232,21.634,1.782,7.762,2.948,8.691,73.397,7.976,0.545,3.664,3.757,3.253,3.276,4.943,3.3445,4.113,4.237,3.61,3.626,5.477,3.6495,4.415,4.586,3.717,3.73,5.735,3.721,4.465,4.64,3.723,3.666,5.958,3.631,4.418,4.597,3.68,3.652,5.93,3.5605,4.363,4.539,3.558,3.618,5.742,3.5295,4.336,4.537,3.398,3.483,5.881,3.505,4.149,4.388,2.85,3.225,5.359,3.3385,0.209,0.59,6.362,3.812,21.304,4.332,0.302,0.954,10.749,6.165,40.828,7.2265,0.461,1.183,17.211,7.996,66.605,8.8645,0.664,1.156,19.15,7.38,109.209,9.071,0.551,1.113,18.179,7.328,8.293,0.457,1.287,16.772,7.539,71.805,7.619,0.672,1.15,17.887,7.666,112.625,7.574,0.402,0.837,15.66,6.755,62.41
6.301,0,152.059,4.099,4.099,7.099,4.099,4.445,5.323,4.445,16.968,18.332,19.77,21.157,2.066,6.438,1.635,2.674,48.477,8.808,0.375,3.359,3.445,2.998,2.883,4.772,3.3445,3.798,3.916,3.377,3.194,5.365,3.6495,4.105,4.264,3.493,3.228,5.671,3.721,4.14,4.309,3.474,3.03,6.107,3.631,3.885,4.078,3.038,2.905,5.557,3.5605,3.635,3.784,2.942,2.847,5.158,3.5295,3.725,3.899,2.934,2.633,5.791,3.505,3.355,3.624,1.694,2.054,4.657,3.3385,0.328,0.532,3.926,2.838,42.896,4.332,0.482,0.833,6.937,4.459,70.429,7.2265,0.789,0.983,12.204,5.459,121.776,8.8645,1.213,0.944,14.747,4.433,202.628,9.071,0.77,0.633,11.951,3.983,8.293,0.587,0.86,7.319,4.069,88.687,7.619,0.939,0.548,9.997,3.764,157.783,7.574,0.472,0.252,8.523,2.351,80.554
5.377,0,101.844,4.099,4.099,7.099,4.099,4.445,5.323,4.445,16.968,18.332,19.77,21.157,2.066,6.438,2.553,6.518,57.654,10.073,0.375,3.346,3.419,3.126,2.981,4.655,3.3445,3.781,3.884,3.549,3.334,5.221,3.6495,4.08,4.216,3.722,3.448,5.485,3.721,4.104,4.243,3.878,3.283,5.719,3.631,3.862,4.032,3.181,3.069,5.452,3.5605,3.607,3.729,3.194,3.133,4.943,3.5295,3.674,3.797,3.288,2.873,5.35,3.505,3.33,3.572,1.776,2.22,4.497,3.3385,0.263,0.39,2.989,2.69,25.441,4.332,0.374,0.619,5.931,4.533,45.096,7.2265,0.579,0.691,13.797,6.191,68.461,8.8645,0.811,0.566,21.868,5.56,101.455,9.071,0.591,0.48,16.091,4.692,8.293,0.368,0.409,8.631,4.483,45.472,7.619,0.559,0.375,17.597,4.645,58.055,7.574,0.323,0.245,13.033,3.204,41.693
4.229,0,92.503,3.976,3.976,6.976,3.976,4.386,5.267,4.386,16.62,17.933,19.355,20.698,1.62,6.588,2.418,5.849,62.235,6.718,0.353,3.594,3.711,3.023,3.148,4.75,3.3445,4.086,4.263,3.365,3.502,5.278,3.6495,4.374,4.575,3.456,3.636,5.54,3.721,4.48,4.702,3.398,3.603,5.638,3.631,4.43,4.659,3.319,3.528,5.776,3.5605,4.305,4.556,2.95,3.409,5.381,3.5295,4.105,4.359,2.86,3.29,5.104,3.505,4.071,4.332,2.499,3.012,5.187,3.3385,0.161,0.521,7.853,3.775,15.692,4.332,0.261,0.834,13.323,6.071,39.74,7.2265,0.313,0.98,18.404,7.539,45.702,8.8645,0.334,0.951,20.91,7.27,62.502,9.071,0.421,0.911,20.034,7.028,8.293,0.3,0.854,17.75,6.571,60.09,7.619,0.134,0.762,14.033,6.648,33.371,7.574,0.24,0.676,14.053,6.014,42.965
5.481,0,152.059,4.099,4.099,7.099,4.099,4.445,5.323,4.445,16.968,18.332,19.77,21.157,2.066,6.438,1.635,2.674,48.477,8.808,0.375,3.359,3.445,2.998,2.883,4.772,3.3445,3.798,3.916,3.377,3.194,5.365,3.6495,4.105,4.264,3.493,3.228,5.671,3.721,4.14,4.309,3.474,3.03,6.107,3.631,3.885,4.078,3.038,2.905,5.557,3.5605,3.635,3.784,2.942,2.847,5.158,3.5295,3.725,3.899,2.934,2.633,5.791,3.505,3.355,3.624,1.694,2.054,4.657,3.3385,0.328,0.532,3.926,2.838,42.896,4.332,0.482,0.833,6.937,4.459,70.429,7.2265,0.789,0.983,12.204,5.459,121.776,8.8645,1.213,0.944,14.747,4.433,202.628,9.071,0.77,0.633,11.951,3.983,8.293,0.587,0.86,7.319,4.069,88.687,7.619,0.939,0.548,9.997,3.764,157.783,7.574,0.472,0.252,8.523,2.351,80.554
5.143,0,96.318,3.955,3.955,6.955,3.955,4.354,5.239,4.354,16.74,17.979,19.419,20.71,1.598,8.571,3.199,10.232,77.781,7.261,0.545,3.723,3.827,3.241,3.342,4.908,3.3445,4.186,4.328,3.564,3.697,5.415,3.6495,4.48,4.667,3.616,3.805,5.639,3.721,4.554,4.769,3.531,3.734,5.703,3.631,4.478,4.694,3.546,3.705,5.805,3.5605,4.357,4.547,3.486,3.734,5.501,3.5295,4.431,4.642,3.371,3.663,5.584,3.505,4.364,4.627,2.973,3.379,5.444,3.3385,0.161,0.565,7.919,4.129,15.954,4.332,0.245,0.922,13.257,6.739,36.425,7.2265,0.307,1.125,19.358,8.673,46.336,8.8645,0.334,1.085,22.02,8.385,63.297,9.071,0.453,1.015,20.548,7.851,8.293,0.118,0.987,16.839,7.965,32.723,7.619,0.185,1.083,18.922,8.748,41.86,7.574,0.296,0.9,19.466,7.426,61.594
