pXC50,DBI,GATS1s,GATS2m,HVcpx,ICR,MATS1p,MATS1v,PW2,RBF,RBN,SpMAD_AEA.bo.,SpMAD_AEA.ri.,SpMAD_EA,X.,X1A,SpMin2_Bh.p.,SpMin2_Bh.v.,SpMin2_Bh.e.,IDE,MSD,AECC,AAC,ALOGP,ALOGP2,AMR,AMW,ARR,ATS1e,ATS1i,ATS1m,ATS1p,ATS1s,ATS1v,ATS2e,ATS2i,ATS2m,ATS2p,ATS2s,ATS2v,ATS3e,ATS3i,ATS3m,ATS3p,ATS3s,ATS3v,ATS4e,ATS4i,ATS4m,ATS4p,ATS4s,ATS4v,ATS5e,ATS5i,ATS5m,ATS5p,ATS5s,ATS5v,ATS6e,ATS6i,ATS6m,ATS6p,ATS6s,ATS6v,ATS7e,ATS7i,ATS7m,ATS7p,ATS7s,ATS7v,ATS8e,ATS8i,ATS8m,ATS8p,ATS8s,ATS8v,ATSC1e,ATSC1i,ATSC1m,ATSC1p,ATSC1s,ATSC1v,ATSC2e,ATSC2i,ATSC2m,ATSC2p,ATSC2s,ATSC2v,ATSC3e,ATSC3i,ATSC3m,ATSC3p,ATSC3s,ATSC3v,ATSC4e,ATSC4i,ATSC4m,ATSC4p,ATSC4s,ATSC4v,ATSC5e,ATSC5i,ATSC5m,ATSC5p,ATSC5s,ATSC5v,ATSC6e,ATSC6i,ATSC6m,ATSC6p,ATSC6s,ATSC6v,ATSC7e,ATSC7i,ATSC7m,ATSC7p,ATSC7s,ATSC7v,ATSC8e,ATSC8i,ATSC8m,ATSC8p,ATSC8s,ATSC8v,BAC,BBI,BIC0,BIC1,BIC2,BIC3,BIC4,BIC5,BID,BLI,BLTA96,BLTD48,BLTF96,C.,C.001,C.002,C.003,C.004,C.005,C.006,C.008,C.011,C.016,C.017,C.024,C.025,C.026,C.027,C.028,C.033,C.034,C.038,C.039,C.040,C.041,CATS2D_00_DD,CATS2D_00_DP,CATS2D_00_PP,CATS2D_01_AN,CATS2D_01_DN,CATS2D_01_LL,CATS2D_01_NL,CATS2D_02_AA,CATS2D_02_AL,CATS2D_02_DA,CATS2D_02_DL,CATS2D_02_DN,CATS2D_02_LL,CATS2D_02_NL,CATS2D_02_PL,CATS2D_03_AA,CATS2D_03_AL,CATS2D_03_AN,CATS2D_03_DA,CATS2D_03_DD,CATS2D_03_DL,CATS2D_03_DN,CATS2D_03_LL,CATS2D_03_NL,CATS2D_03_PL,CATS2D_04_AA,CATS2D_04_AL,CATS2D_04_AN,CATS2D_04_DA,CATS2D_04_DD,CATS2D_04_DL,CATS2D_04_DN,CATS2D_04_LL,CATS2D_04_NL,CATS2D_04_NN,CATS2D_04_PL,CATS2D_05_AA,CATS2D_05_AL,CATS2D_05_AN,CATS2D_05_DA,CATS2D_05_DD,CATS2D_05_DL,CATS2D_05_DN,CATS2D_05_LL,CATS2D_05_NL,CATS2D_06_AA,CATS2D_06_AL,CATS2D_06_AN,CATS2D_06_DA,CATS2D_06_DD,CATS2D_06_DL,CATS2D_06_DN,CATS2D_06_DP,CATS2D_06_LL,CATS2D_06_NL,CATS2D_07_AA,CATS2D_07_AL,CATS2D_07_AN,CATS2D_07_AP,CATS2D_07_DA,CATS2D_07_DD,CATS2D_07_DL,CATS2D_07_DP,CATS2D_07_LL,CATS2D_07_NL,CATS2D_07_NN,CATS2D_08_AA,CATS2D_08_AL,CATS2D_08_AN,CATS2D_08_AP,CATS2D_08_DA,CATS2D_08_DD,CATS2D_08_DL,CATS2D_08_DN,CATS2D_08_LL,CATS2D_08_NL,CATS2D_08_NN,CATS2D_09_AA
4.701,7.071,0.701,0.733,4.284,3.756,0.044,0.049,0.594,0.133,22,1.531,1.521,1.518,1.3,0.437,2.095,2.097,2.029,4.567,12.765,22.241,1.387,16.636,276.75,308.609,7.071,0.279,5.132,5.238,4.635,4.686,6.179,4.639,5.734,5.903,5.059,5.159,6.78,5.081,6.083,6.274,5.282,5.447,6.997,5.34,6.357,6.585,5.368,5.598,7.275,5.459,6.456,6.706,5.342,5.639,7.347,5.475,6.481,6.749,5.256,5.589,7.345,5.434,6.354,6.589,5.372,5.583,7.268,5.454,6.452,6.69,5.452,5.624,7.427,5.503,0.088,2.016,35.606,17.202,30.092,21.851,0.813,3.475,69.971,30.336,149.161,39.826,0.518,4.889,102.445,43.405,110.596,57.953,1.704,6.102,137.71,54.76,213.157,74.614,1.207,6.629,163.732,60.994,229.534,84.072,1.84,6.568,161.596,58.827,304.424,80.963,0.842,6.11,137.978,54.672,172.955,74.705,1.985,6.464,154.834,57.699,265.438,78.014,447.0,128,0.185,0.446,0.628,0.732,0.797,0.835,4.383,1.015,-8.7,-8.42,-7.74,40.9,5,16,8,2,4,0,0,0,1,1,8,10,6,0,0,0,0,0,0,4,0,0,0,0,4,4,54,4,0,10,4,4,0,80,4,0,0,16,4,0,0,4,0,94,6,0,4,12,0,4,0,6,0,90,12,0,0,0,20,0,0,0,12,0,83,8,0,16,0,0,0,8,0,0,82,12,0,22,2,0,0,0,12,0,80,12,0,4,22,0,0,2,0,12,0,83,10,3,0
4.456,7.071,0.629,0.952,4.404,3.902,-0.024,0.015,0.571,0.174,21,1.477,1.461,1.462,0.0,0.456,2.031,2.053,1.869,4.627,12.84,22.772,1.547,2.863,8.197,211.403,6.747,0.183,4.834,4.968,4.28,4.273,5.884,4.249,5.428,5.62,4.631,4.682,6.465,4.618,5.775,6.016,4.728,4.851,6.8,4.758,5.834,6.081,4.762,4.831,6.923,4.762,5.824,6.048,4.828,4.8,7.133,4.757,5.823,6.038,4.784,4.836,6.986,4.778,5.899,6.143,4.766,4.886,7.024,4.803,5.91,6.159,4.811,4.903,7.105,4.814,0.129,1.668,27.632,10.733,26.355,15.205,0.818,2.611,52.463,17.845,95.31,26.411,1.526,3.194,77.201,23.069,186.241,34.884,1.388,3.187,82.867,22.259,209.239,34.577,2.261,3.082,83.713,21.109,369.962,32.272,1.93,3.172,82.812,22.128,259.133,32.951,1.819,3.358,89.08,23.905,275.609,36.727,2.088,3.41,89.978,24.702,347.269,38.142,134.0,80,0.219,0.492,0.72,0.85,0.889,0.894,4.062,1.013,-1.14,-1.23,-1.31,34.7,3,10,1,0,0,5,6,0,0,0,7,2,1,0,0,0,0,0,0,5,1,1,1,1,0,0,18,0,2,4,6,6,0,18,0,1,2,5,0,6,4,9,0,12,0,1,0,16,0,2,0,6,0,4,0,0,1,7,15,0,5,0,7,0,2,0,1,10,0,6,4,10,0,1,5,0,1,12,0,1,3,1,5,1,7,0,0,5,11,0,1,5,1,7,0,10,0,0,1
5.222,7.45,0.654,0.888,4.316,3.822,-0.042,0.002,0.579,0.181,21,1.494,1.472,1.473,0.0,0.456,2.008,2.002,1.804,4.563,12.342,21.418,1.558,1.936,3.748,204.193,6.755,0.193,4.794,4.93,4.235,4.22,5.872,4.197,5.375,5.571,4.601,4.615,6.444,4.561,5.707,5.934,4.689,4.797,6.785,4.714,5.821,6.076,4.747,4.796,6.927,4.729,5.784,5.997,4.787,4.759,7.128,4.723,5.782,5.999,4.747,4.818,6.935,4.751,5.894,6.146,4.753,4.87,7.012,4.783,5.891,6.139,4.791,4.88,7.105,4.794,0.14,1.593,26.598,10.165,28.834,14.481,0.838,2.453,50.018,16.476,99.468,24.631,1.517,3.01,72.083,21.231,185.285,32.021,1.402,3.045,82.072,21.838,219.196,34.104,2.417,2.925,81.0,19.855,391.265,30.166,1.786,3.092,78.905,21.64,246.701,32.491,1.81,3.292,88.634,23.584,281.773,36.74,2.152,3.309,88.5,23.798,353.002,36.957,226.0,78,0.223,0.506,0.731,0.853,0.872,0.877,4.027,0.995,-0.79,-0.91,-1.02,34.2,6,5,1,0,0,5,5,1,0,0,7,2,1,0,0,0,0,0,0,5,1,1,1,1,0,0,14,0,2,4,6,7,0,17,0,1,2,5,0,6,4,7,0,10,0,1,0,18,0,2,0,5,0,4,0,0,1,7,11,0,5,0,7,0,2,0,1,8,0,6,4,10,0,1,5,0,1,13,0,1,3,1,5,1,8,0,0,5,9,0,1,5,1,7,0,9,0,0,1
4.886,7.649,0.673,0.862,4.266,3.756,-0.056,-0.006,0.577,0.2,22,1.485,1.46,1.463,0.0,0.461,2.008,2.002,1.804,4.538,12.175,20.868,1.595,0.896,0.803,193.975,6.835,0.204,4.747,4.885,4.19,4.149,5.861,4.134,5.311,5.509,4.545,4.522,6.423,4.476,5.635,5.859,4.648,4.701,6.766,4.633,5.761,6.02,4.697,4.711,6.893,4.655,5.704,5.907,4.725,4.682,7.102,4.652,5.719,5.943,4.657,4.737,6.896,4.664,5.811,6.066,4.7,4.781,6.95,4.701,5.822,6.066,4.716,4.79,7.078,4.709,0.184,1.512,25.188,9.294,32.055,13.418,0.876,2.25,46.922,14.742,107.064,22.459,1.612,2.73,67.361,18.611,196.561,28.668,1.552,2.762,77.91,19.315,228.259,31.025,2.412,2.663,74.636,17.812,394.873,27.306,1.911,2.816,74.314,19.897,262.176,30.271,1.737,2.958,81.53,21.198,266.463,33.677,2.226,2.978,83.025,21.3,362.586,33.558,272.0,73,0.23,0.521,0.74,0.861,0.876,0.876,3.991,0.982,0.03,-0.12,-0.32,33.0,7,3,1,0,0,4,5,1,0,0,5,1,1,1,1,0,0,0,0,5,1,1,1,1,0,0,9,0,1,3,7,8,0,9,0,1,2,8,0,6,5,7,0,3,0,1,0,16,0,1,1,6,0,2,0,0,1,5,9,0,6,1,5,0,2,0,2,6,0,6,5,8,0,1,4,0,1,9,0,1,3,1,8,1,7,0,0,4,8,0,1,6,1,4,0,5,0,0,2
4.097,7.55,0.633,0.921,4.426,3.915,0.014,0.038,0.582,0.175,22,1.497,1.472,1.473,0.0,0.446,2.124,2.133,2.062,4.702,13.561,23.22,1.537,2.83,8.007,218.316,6.739,0.175,4.872,5.005,4.321,4.328,5.912,4.3,5.476,5.662,4.708,4.768,6.502,4.704,5.851,6.083,4.799,4.965,6.858,4.863,5.949,6.218,4.788,4.922,6.968,4.825,5.85,6.075,4.821,4.816,7.162,4.765,5.827,6.055,4.751,4.813,6.978,4.749,5.864,6.104,4.756,4.861,6.998,4.783,5.893,6.134,4.806,4.903,7.106,4.815,0.127,1.74,28.673,11.348,27.185,15.949,0.778,2.802,54.659,19.576,101.587,28.477,1.498,3.572,82.554,25.907,192.385,38.698,1.432,3.541,92.883,25.627,219.296,40.13,2.244,3.169,85.855,21.803,384.565,33.232,1.93,3.134,83.519,22.098,261.76,33.019,1.743,3.279,85.996,23.304,263.436,35.417,1.983,3.429,88.129,24.601,341.154,37.665,157.0,88,0.216,0.491,0.719,0.845,0.861,0.866,4.096,1.002,-1.47,-1.55,-1.59,35.2,4,9,4,0,0,4,5,1,0,0,7,2,1,0,0,0,0,0,0,5,1,1,1,1,0,0,22,0,1,2,7,8,0,29,0,1,1,5,0,6,5,10,0,19,0,1,0,15,0,1,1,9,0,7,0,0,1,5,17,0,6,1,6,0,2,0,1,13,0,5,5,8,0,1,4,0,1,9,0,1,3,1,8,1,8,0,0,4,9,0,1,6,1,9,0,9,0,0,1
4.208,7.141,0.698,0.767,4.353,3.795,0.092,0.071,0.595,0.125,20,1.534,1.517,1.514,1.3,0.436,2.065,2.067,1.995,4.617,13.119,22.693,1.409,15.422,237.832,297.135,6.943,0.293,5.086,5.204,4.574,4.665,6.103,4.606,5.687,5.861,5.0,5.144,6.667,5.049,6.102,6.316,5.196,5.411,7.025,5.283,6.318,6.566,5.21,5.513,7.216,5.355,6.384,6.653,5.266,5.526,7.332,5.362,6.354,6.621,5.267,5.506,7.252,5.355,6.314,6.549,5.322,5.5,7.37,5.364,6.318,6.561,5.366,5.496,7.33,5.358,0.142,2.005,34.72,16.181,29.22,21.399,0.528,3.495,66.154,29.187,103.387,39.731,0.947,4.975,107.076,42.665,155.606,58.568,1.275,5.903,134.241,51.56,224.978,71.54,1.619,6.18,148.092,54.404,309.641,76.608,1.049,5.931,144.051,53.083,208.641,73.609,1.583,5.631,144.819,51.088,300.563,68.98,1.701,5.632,153.492,50.917,281.231,68.766,239.0,120,0.189,0.46,0.631,0.754,0.817,0.839,4.332,1.04,-9.56,-9.24,-8.47,41.2,5,16,8,2,0,0,2,0,1,1,14,6,4,0,0,0,0,0,0,4,0,0,0,0,2,2,56,0,0,2,4,6,2,80,2,0,0,4,0,2,2,12,0,86,2,0,0,6,2,2,2,10,0,76,6,0,0,2,14,0,2,0,18,0,65,6,0,14,0,0,0,18,2,0,67,4,0,14,0,0,2,2,18,0,70,6,0,0,12,0,0,0,0,18,0,73,4,0,0
4.077,6.928,0.695,0.753,4.434,3.877,0.07,0.061,0.594,0.139,22,1.531,1.518,1.514,1.3,0.436,2.065,2.068,1.996,4.708,13.84,23.773,1.367,15.956,254.594,294.531,7.048,0.293,5.077,5.185,4.579,4.654,6.104,4.6,5.68,5.846,5.002,5.129,6.726,5.04,6.067,6.27,5.176,5.396,6.956,5.271,6.293,6.539,5.224,5.505,7.142,5.346,6.363,6.63,5.234,5.514,7.223,5.341,6.308,6.578,5.198,5.473,7.133,5.307,6.246,6.487,5.245,5.46,7.148,5.31,6.279,6.518,5.259,5.433,7.267,5.292,0.107,1.908,33.709,16.347,27.051,20.994,0.663,3.337,65.464,29.254,139.541,38.806,0.707,4.739,102.474,42.278,131.559,56.75,1.175,5.728,130.027,51.874,179.727,71.363,1.353,5.965,150.974,55.277,232.568,76.296,1.076,5.635,140.048,52.281,197.779,72.051,0.871,5.304,136.502,49.959,171.022,67.464,1.865,5.323,144.364,49.216,277.767,65.557,263.0,120,0.183,0.456,0.634,0.747,0.812,0.835,4.332,1.031,-9.87,-9.52,-8.73,41.7,5,16,8,2,0,2,0,0,1,1,12,8,4,0,0,0,0,0,0,4,0,0,0,0,4,4,56,4,0,8,4,4,0,80,4,0,0,14,2,0,0,4,0,86,6,0,2,12,0,2,0,6,0,76,10,0,0,0,14,0,0,0,10,0,71,8,0,14,0,0,0,8,0,0,77,10,0,16,2,0,0,0,10,0,74,8,0,2,12,0,0,2,0,8,0,73,6,1,0
4.208,7.28,0.649,0.931,4.36,3.859,-0.018,0.017,0.571,0.195,22,1.468,1.452,1.454,0.0,0.46,2.008,2.002,1.805,4.602,12.62,22.093,1.568,2.089,4.363,199.113,6.811,0.196,4.77,4.905,4.216,4.197,5.852,4.177,5.347,5.538,4.559,4.588,6.427,4.529,5.683,5.92,4.641,4.739,6.757,4.654,5.737,5.987,4.672,4.719,6.86,4.658,5.709,5.921,4.747,4.692,7.087,4.657,5.734,5.955,4.655,4.727,6.91,4.664,5.788,6.034,4.687,4.788,6.922,4.707,5.834,6.08,4.741,4.809,7.074,4.727,0.16,1.554,25.735,9.878,29.828,13.991,0.825,2.376,48.26,16.248,100.902,24.048,1.55,2.859,70.724,20.34,195.514,30.975,1.456,2.832,75.737,19.509,214.008,30.633,2.132,2.739,74.447,18.685,367.245,28.465,2.005,2.837,76.213,19.693,271.415,29.608,1.621,3.017,79.34,21.53,247.599,33.327,2.085,3.089,83.707,22.39,350.556,34.755,157.0,74,0.225,0.505,0.734,0.861,0.887,0.892,4.009,1.0,-0.62,-0.74,-0.87,34.2,4,7,1,0,0,4,6,0,0,0,7,2,1,0,0,0,0,0,0,5,1,1,1,1,0,0,16,0,1,2,7,7,0,17,0,1,1,5,0,6,5,9,0,10,0,1,0,13,0,1,1,6,0,4,0,0,1,5,15,0,6,1,6,0,2,0,1,7,0,5,5,8,0,1,4,0,1,9,0,1,3,1,7,1,7,0,0,4,9,0,1,6,1,8,0,8,0,0,1
4.796,7.071,0.631,0.945,4.366,3.85,-0.024,0.016,0.573,0.178,21,1.478,1.464,1.465,0.0,0.455,2.008,2.002,1.804,4.598,12.603,22.107,1.557,2.407,5.793,206.802,6.801,0.186,4.81,4.944,4.264,4.249,5.869,4.227,5.402,5.593,4.618,4.657,6.451,4.597,5.742,5.982,4.698,4.81,6.782,4.72,5.789,6.033,4.744,4.787,6.899,4.727,5.785,6.0,4.817,4.773,7.117,4.737,5.804,6.02,4.76,4.821,6.966,4.76,5.883,6.128,4.754,4.873,7.003,4.788,5.897,6.147,4.8,4.884,7.098,4.798,0.14,1.629,26.758,10.388,27.326,14.69,0.83,2.549,50.944,17.271,95.831,25.54,1.538,3.078,74.81,22.057,187.335,33.407,1.411,3.043,79.377,21.062,210.449,32.622,2.236,2.987,80.338,20.333,367.316,30.797,1.955,3.124,81.143,21.729,261.878,32.325,1.781,3.319,87.435,23.632,271.108,36.383,2.124,3.351,88.989,24.222,350.559,37.451,134.0,79,0.222,0.5,0.73,0.856,0.889,0.893,4.045,1.005,-0.97,-1.07,-1.17,34.8,3,9,1,0,0,5,6,0,0,0,7,2,1,0,0,0,0,0,0,5,1,1,1,1,0,0,17,0,2,4,6,6,0,17,0,1,2,5,0,6,4,9,0,10,0,1,0,16,0,2,0,5,0,4,0,0,1,7,15,0,5,0,7,0,2,0,1,8,0,6,4,10,0,1,5,0,1,12,0,1,3,1,5,1,7,0,0,5,11,0,1,5,1,7,0,10,0,0,1
4.585,7.45,0.654,0.879,4.275,3.75,-0.06,-0.005,0.579,0.183,21,1.494,1.472,1.473,0.0,0.456,2.007,2.002,1.804,4.537,12.184,20.891,1.584,1.214,1.474,201.664,6.823,0.193,4.789,4.925,4.239,4.203,5.877,4.186,5.369,5.566,4.605,4.595,6.447,4.547,5.697,5.925,4.704,4.775,6.791,4.701,5.811,6.064,4.767,4.78,6.931,4.725,5.78,5.987,4.796,4.763,7.132,4.732,5.79,6.008,4.762,4.83,6.953,4.761,5.903,6.157,4.766,4.867,7.028,4.783,5.886,6.133,4.79,4.871,7.102,4.79,0.162,1.591,26.208,9.811,30.173,14.12,0.88,2.427,49.597,15.786,102.049,23.965,1.603,2.949,71.465,20.303,190.32,31.077,1.504,2.977,81.527,20.892,225.568,33.037,2.518,2.909,80.538,19.445,395.521,29.621,1.867,3.104,79.234,21.929,254.362,33.001,1.899,3.258,89.62,23.306,291.846,36.75,2.274,3.254,88.324,23.171,362.535,36.261,226.0,78,0.227,0.518,0.747,0.862,0.878,0.878,4.027,0.988,0.07,-0.08,-0.28,33.6,6,5,1,0,0,5,5,1,0,0,5,1,1,1,1,0,0,0,0,5,1,1,1,1,0,0,10,0,2,5,6,7,0,9,0,1,3,8,0,6,4,7,0,3,0,1,0,19,0,2,0,5,0,2,0,0,1,7,9,0,5,0,6,0,2,0,2,7,0,7,4,10,0,1,5,0,1,13,0,1,3,1,5,1,7,0,0,5,8,0,1,5,1,5,0,8,0,0,2
