pXC50,HVcpx,AECC,IDE,MSD,SpMin3_Bh.e.,SpMin3_Bh.i.,SpMin3_Bh.p.,SpMin3_Bh.v.,ATS5s,IAC,TIC0,CATS2D_02_LL,SpMin3_Bh.m.,ATSC5p,Eig04_AEA.dm.,ATS1e,ATS1i,SpMax8_Bh.p.,SpMax8_Bh.v.,SpMaxA_AEA.dm.,SpMax8_Bh.m.,TIC3,TIC4,TIC5,ATSC5v,SpMin2_Bh.i.,ATS8m,ATS6s,Eig10_EA.bo.,Eig10_EA.ri.,SpMaxA_AEA.ri.,SpMaxA_EA,ATSC6v,CATS2D_04_LL,ECC,GGI10,SpMax3_Bh.i.,SpMax3_Bh.p.,SpMax3_Bh.v.,Se,Eig10_AEA.bo.,RDCHI,GGI9,MDDD,SAtot,AMR,ATSC6i,ISIZ,nAT,nBT,Sp,SpMax8_Bh.e.,SpMax8_Bh.i.,SpMin8_Bh.e.,SpMin8_Bh.i.,SpMin8_Bh.m.,SpMin8_Bh.p.,SpMin8_Bh.v.,Sv,VvdwMG,VvdwZAZ,Vx,X0v,ATS4m
8.071,3.25,9.84,3.391,5.676,1.705,1.656,1.843,1.858,5.874,63.999,63.999,23,1.879,16.177,2.503,4.035,4.158,2.735,2.715,0.122,2.694,236.813,250.423,258.423,22.87,1.918,3.239,5.82,1.452,1.099,0.146,0.113,20.533,13,246.0,0.049,3.858,3.725,3.719,50.916,2.461,3.764,0.111,21.261,461.906,101.963,1.753,296.423,52,56,34.358,2.854,2.925,0.886,0.821,1.215,1.062,1.114,31.585,187.654,326.81,449.635,14.72,3.883
6.222,3.328,10.208,3.484,6.103,1.791,1.744,1.911,1.932,5.768,65.8,65.8,24,1.961,14.896,2.668,3.949,4.067,2.797,2.775,0.14,2.799,230.568,240.078,242.078,19.779,1.886,3.635,5.464,1.0,0.983,0.169,0.132,14.959,9,245.0,0.078,3.78,3.596,3.591,47.261,2.0,3.682,0.149,19.91,467.374,102.685,1.247,268.078,48,51,32.949,2.87,2.915,0.872,0.83,1.107,1.0,1.051,30.083,187.776,323.85,449.934,15.504,4.0
6.74,3.325,10.28,3.497,6.19,1.77,1.718,1.916,1.927,5.851,71.858,71.858,14,1.933,14.906,2.758,3.995,4.118,2.824,2.78,0.136,2.855,246.683,253.438,253.438,20.104,1.884,3.677,5.598,1.285,0.983,0.164,0.129,17.693,6,257.0,0.098,3.781,3.596,3.591,49.363,2.323,3.714,0.189,21.251,487.274,107.388,1.419,282.193,50,53,33.955,2.87,2.915,0.872,0.83,1.118,1.02,1.063,31.104,194.57,334.85,466.512,16.244,4.084
7.523,3.399,10.727,3.532,6.193,1.721,1.666,1.867,1.886,5.555,61.397,61.397,17,1.906,11.273,2.636,3.85,3.969,2.735,2.715,0.134,2.687,195.46,202.215,202.215,15.238,1.887,3.429,5.415,1.0,0.983,0.162,0.121,13.179,6,236.0,0.041,3.783,3.598,3.592,43.378,2.0,3.571,0.084,19.223,445.054,94.971,1.111,240.215,44,46,30.188,2.854,2.925,0.886,0.821,1.181,1.062,1.107,27.556,175.985,301.61,421.163,14.245,3.702
7.481,3.545,12.233,3.721,7.051,1.817,1.772,1.946,1.953,6.042,88.309,88.309,12,1.963,17.345,2.817,4.215,4.347,2.941,2.91,0.112,2.866,316.141,326.405,326.405,25.977,1.884,3.84,5.983,1.5,1.133,0.135,0.106,24.383,6,367.0,0.16,3.878,3.698,3.702,61.399,2.5,4.168,0.288,30.28,554.614,120.567,2.05,369.16,62,66,39.83,3.111,3.206,1.153,1.064,1.459,1.376,1.422,37.064,221.625,389.48,532.525,17.804,4.102
6.324,3.263,9.87,3.415,5.76,1.704,1.653,1.85,1.865,5.691,59.743,59.743,19,1.885,12.622,1.96,3.945,4.069,2.735,2.715,0.131,2.687,204.568,218.078,224.078,17.953,1.885,3.051,5.598,1.367,1.0,0.159,0.122,15.225,7,227.0,0.021,3.86,3.726,3.72,47.032,2.389,3.647,0.074,20.223,441.692,94.229,1.339,268.078,48,51,31.597,2.854,2.925,0.886,0.821,1.181,1.062,1.107,29.058,175.862,304.57,420.864,13.513,3.644
7.839,3.47,11.448,3.642,6.696,1.805,1.76,1.919,1.94,5.955,82.737,82.737,19,1.947,20.117,2.792,4.171,4.298,2.951,2.912,0.106,2.891,305.659,314.413,314.413,25.773,1.894,4.156,5.98,1.548,1.115,0.128,0.099,24.873,9,332.0,0.128,3.885,3.764,3.755,58.854,2.544,4.124,0.197,29.998,571.154,127.222,2.171,354.413,60,64,41.546,3.093,3.176,0.924,0.854,1.219,1.124,1.161,36.976,231.217,397.69,555.93,19.117,4.315
7.222,3.369,10.68,3.525,6.182,1.703,1.653,1.843,1.858,5.785,69.798,69.798,17,1.874,13.873,2.894,3.957,4.068,2.735,2.715,0.122,2.89,226.568,234.078,234.078,18.739,1.886,3.659,5.735,1.401,1.0,0.147,0.113,15.45,9,267.0,0.074,3.86,3.728,3.722,47.68,2.417,3.751,0.125,22.688,484.495,103.838,1.308,268.078,48,51,33.313,2.854,2.922,0.867,0.821,1.181,1.051,1.107,30.713,192.528,334.99,461.528,15.626,3.862
7.131,3.061,8.591,3.201,5.14,1.733,1.679,1.896,1.911,5.783,64.876,64.876,10,1.926,13.88,2.37,3.988,4.127,2.757,2.736,0.153,2.716,241.438,247.438,247.438,20.612,1.818,3.178,5.529,1.0,0.979,0.184,0.144,17.877,7,189.0,0.041,3.717,3.545,3.533,49.018,2.0,3.407,0.069,16.149,440.52,91.565,1.375,282.193,50,53,31.364,2.929,3.021,0.953,0.871,1.32,1.201,1.246,28.606,172.254,299.79,412.06,13.67,3.805
6.526,3.292,10.0,3.461,5.95,1.704,1.653,1.846,1.862,5.74,65.8,65.8,19,1.879,14.191,2.744,3.949,4.067,2.735,2.715,0.126,2.687,225.323,234.078,234.078,18.716,1.887,3.882,5.627,1.37,1.0,0.153,0.117,15.636,8,240.0,0.054,3.86,3.728,3.721,47.261,2.391,3.697,0.09,21.236,469.453,101.851,1.343,268.078,48,51,32.949,2.854,2.915,0.872,0.821,1.181,1.051,1.107,30.083,187.776,323.85,449.934,15.399,3.95
