pXC50,C.019,nCconjX,nCXr.,C.036,nC.N.N.,P_VSA_MR_7,SsCl,NdsN,Cl.089,nCL,NsCl,P_VSA_e_4,CATS2D_02_DA,P_VSA_LogP_2,N.074,NssNH,D.Dtr06,P_VSA_m_4,CATS2D_03_AA,GATS1m,nR06,SpMax3_Bh.m.,Hy,Eig03_AEA.bo.,CATS2D_05_DL,P_VSA_LogP_6,CATS2D_04_DL,NdssC,nHDon,SAdon,CATS2D_07_DL,nRCONHR,H.050,MATS3s,CATS2D_06_DL,P_VSA_s_5,nArOR,GATS5m,CATS2D_03_DL,GATS2m,X.,nCsp2,P_VSA_LogP_8,CATS2D_03_DA,H.049,C.,TPSA.NO.,nCbH,nX,PCD,X5Av,P_VSA_LogP_5,P_VSA_p_3,P_VSA_v_3,nBnz,TPSA.Tot.,Eig03_EA.bo.,SM13_AEA.ri.,SssO,P_VSA_p_2,P_VSA_s_4,CATS2D_05_DA,GATS4m,SdsN,nR.Cs,P_VSA_v_2,CATS2D_03_AL
4.358,0,0,0,0,0,33.571,0.0,0,0,0,0,0.0,1,46.052,0,1,214.415,31.278,4,0.791,2,3.766,-0.336,3.912,1,13.13,2,2,1,18.011,1,1,1,0.076,2,18.011,0,0.912,4,0.926,0.0,10,0.0,1,3,38.6,75.19,0,0,1.228,0.037,29.899,123.462,123.462,0,103.43,3.467,3.467,0.0,104.996,56.868,1,0.773,0.0,0,104.996,6
4.358,0,0,0,0,0,22.212,0.0,0,0,0,0,0.0,2,17.474,0,1,109.399,5.807,0,0.864,1,3.837,-0.297,4.21,1,5.513,2,1,1,16.405,2,0,1,-0.004,0,16.405,2,1.156,2,0.82,0.0,11,0.0,1,0,35.5,89.87,3,0,2.144,0.037,41.879,124.597,124.597,1,98.25,3.86,3.86,10.529,112.886,81.265,2,1.17,0.0,0,112.886,7
4.358,0,0,0,0,0,64.531,5.828,0,1,1,1,39.149,1,9.185,0,1,230.983,39.149,6,0.5,3,3.835,-0.162,4.006,3,4.656,0,0,1,18.011,0,0,1,0.051,1,18.011,2,0.627,2,0.654,2.6,14,115.269,4,0,41.0,119.59,7,1,3.098,0.019,61.166,138.824,138.824,2,119.59,3.611,3.611,10.907,143.167,76.707,0,0.992,0.0,0,143.167,8
4.358,0,0,0,0,0,37.905,0.0,1,0,0,0,0.0,2,46.59,2,1,328.7,0.0,1,0.746,4,3.725,0.192,3.899,3,11.771,4,7,2,49.683,3,1,2,0.014,4,18.011,0,0.926,3,0.893,0.0,18,0.0,0,0,43.1,101.48,5,0,2.731,0.022,63.466,136.691,136.691,1,101.48,3.444,3.444,5.777,134.007,100.582,1,0.948,4.662,4,134.007,8
4.699,0,0,0,0,0,11.615,0.0,0,0,0,0,0.0,0,23.63,0,0,292.669,11.615,0,0.864,3,3.682,-0.636,4.064,0,0.0,0,0,0,0.0,0,0,0,0.053,0,0.0,2,1.263,0,0.799,0.0,6,0.0,0,0,32.1,93.22,2,0,1.394,0.059,38.625,89.552,89.552,1,109.98,3.632,3.632,10.568,113.663,43.756,0,1.203,0.0,0,113.663,10
5.254,0,0,0,0,0,90.608,6.416,0,1,1,1,39.149,4,5.069,0,1,198.387,39.149,0,0.651,3,3.783,0.966,4.042,5,1.899,4,0,3,50.908,4,0,3,-0.038,5,18.011,0,1.083,1,0.682,2.2,14,39.149,2,0,42.2,68.76,8,1,2.841,0.026,16.733,145.708,145.708,2,68.76,3.642,3.642,0.0,86.133,86.412,0,1.125,0.0,0,86.133,4
4.836,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,1,26.862,0,1,182.045,0.0,0,0.527,2,3.775,0.278,3.668,3,0.0,0,1,2,60.694,4,1,2,-0.1,3,63.965,0,0.349,2,0.625,2.3,13,45.954,1,0,40.9,52.57,9,1,1.824,0.038,12.122,153.794,153.794,2,52.57,2.915,2.915,0.0,88.963,88.411,0,0.725,0.0,0,88.963,2
4.358,1,0,0,0,0,41.905,6.475,1,1,1,1,39.149,1,9.185,1,1,332.516,77.712,3,0.707,3,3.735,0.239,3.884,3,0.693,2,5,1,18.011,1,0,2,-0.081,2,18.011,2,1.102,2,0.638,1.8,17,39.149,0,0,41.8,86.22,7,1,2.708,0.025,73.329,221.083,221.083,2,125.02,3.31,3.31,15.855,118.086,94.867,1,0.829,4.468,1,118.086,6
4.989,0,0,0,0,0,33.449,0.0,0,0,0,0,0.0,1,31.503,0,1,191.215,0.0,1,0.949,2,3.669,-0.393,3.922,3,0.0,1,1,1,18.011,0,1,1,-0.075,3,18.011,0,1.011,1,0.824,0.0,13,0.0,1,0,37.9,63.05,4,0,3.128,0.025,25.301,131.168,131.168,1,63.05,3.469,3.469,0.0,81.505,95.757,0,1.155,0.0,0,81.505,10
4.358,1,0,0,0,0,2.757,0.0,0,0,0,0,0.0,4,71.029,0,1,256.277,0.0,5,0.821,2,3.788,0.862,3.909,4,15.173,2,5,3,50.908,2,0,3,0.037,8,18.011,1,1.074,0,0.8,0.0,15,0.0,2,0,38.1,123.56,5,0,2.222,0.023,28.079,141.593,141.593,1,123.56,3.444,3.444,5.668,153.099,99.058,2,0.867,0.0,1,153.099,8
