pXC50,nCsp3,nC,MW,RBN,nSK,Se,SCBO,nAT,Si,nBT,nDB,Sp,Sv,nCsp2,nBO,nHet,nH,nCsp,nTB
5.3,1,21,377.47,4,27,43.407,42.5,43,47.87,46,1,31.387,30.037,20,30,6,16,0,0
7.546,1,20,346.84,4,25,40.033,39.5,40,44.428,43,0,29.449,28.074,19,28,5,15,0,0
6.0,5,21,448.39,9,30,53.647,41.0,53,59.95,55,0,36.267,34.46,16,32,9,23,0,0
4.523,8,23,467.6,5,33,58.731,46.5,58,65.401,62,1,39.108,37.421,15,37,10,25,0,0
5.346,11,31,527.73,8,39,75.629,55.0,76,85.763,80,1,49.574,46.68,20,43,8,37,0,0
5.0,4,17,478.68,6,25,40.345,34.0,39,44.081,41,1,29.404,27.598,13,27,8,14,0,0
4.523,6,22,418.5,4,31,53.662,45.5,53,59.94,56,1,35.489,34.487,15,34,9,22,1,1
5.77,2,15,350.23,4,23,36.902,33.5,36,40.665,38,0,26.006,25.111,13,25,8,13,0,0
8.357,4,20,395.46,5,29,50.887,41.5,50,56.651,52,2,32.938,32.181,16,31,9,21,0,0
6.4,5,17,319.41,2,24,41.131,38.0,41,46.564,45,0,27.847,26.784,12,28,7,17,0,0
8.071,4,24,429.52,5,32,55.443,48.0,55,61.857,58,2,37.245,35.993,20,35,8,23,0,0
5.6,7,16,319.47,2,22,42.989,31.5,43,48.571,45,2,28.426,26.422,9,24,6,21,0,0
5.6,5,21,507.55,7,35,57.378,50.0,55,63.377,58,3,36.955,36.846,16,38,14,20,0,0
7.523,5,23,448.53,9,33,57.872,47.5,57,64.564,60,0,37.705,36.729,18,36,10,24,0,0
7.921,4,22,434.5,8,32,54.989,46.5,54,61.149,57,0,35.943,35.202,18,35,10,22,0,0
5.0,3,16,340.64,2,21,33.585,30.0,33,36.446,35,1,25.364,23.906,13,23,5,12,0,0
7.252,5,24,447.54,9,33,58.654,47.5,58,65.481,61,0,38.46,37.234,19,36,9,25,0,0
6.845,5,23,448.53,9,33,57.872,47.5,57,64.564,60,0,37.705,36.729,18,36,10,24,0,0
6.462,2,15,349.25,4,23,37.676,33.5,37,41.954,39,0,26.557,25.417,13,25,8,14,0,0
5.701,2,15,315.79,4,22,36.578,32.5,36,40.721,38,0,25.148,24.283,13,24,7,14,0,0
7.398,10,27,525.53,7,36,66.072,50.0,66,74.485,70,1,45.103,42.347,17,40,9,30,0,0
7.244,10,27,526.51,7,36,65.298,50.0,65,73.196,69,1,44.551,42.04,17,40,9,29,0,0
5.0,3,16,306.2,2,20,33.262,29.0,33,36.502,35,1,24.506,23.079,13,22,4,13,0,0
5.7,5,19,338.42,3,25,44.316,37.0,44,49.864,47,1,29.506,28.398,14,28,6,19,0,0
5.9,5,33,587.76,8,43,72.163,66.5,72,80.394,78,1,50.972,48.561,28,49,10,29,0,0
6.0,5,33,587.76,8,43,72.163,66.5,72,80.394,78,1,50.972,48.561,28,49,10,29,0,0
5.6,0,14,349.22,3,20,29.698,31.0,29,31.838,31,1,22.966,21.792,14,22,6,9,0,0
6.5,9,25,503.02,4,35,62.076,48.0,61,69.935,65,0,40.841,39.427,16,39,10,26,0,0
6.4,8,24,471.0,4,33,58.68,46.0,58,66.18,62,0,39.142,37.517,16,37,9,25,0,0
9.398,11,26,470.64,4,35,64.861,50.5,65,73.763,68,3,42.875,40.681,13,38,9,30,2,2
8.721,12,26,523.73,5,37,70.258,52.5,70,79.434,73,5,45.949,43.33,13,40,11,33,1,1
9.301,8,23,417.51,4,31,54.443,45.5,54,60.857,57,4,36.245,34.993,14,34,8,23,1,1
8.638,7,21,390.49,4,29,51.334,42.5,51,57.73,54,3,34.034,32.772,13,32,8,22,1,1
9.301,9,23,418.55,4,31,57.101,44.5,57,64.561,60,3,37.557,35.826,13,34,8,26,1,1
8.602,9,24,442.58,5,33,59.094,48.5,59,66.933,62,3,39.353,37.627,13,36,9,26,2,2
9.097,9,24,431.54,4,32,57.327,46.5,57,64.272,60,4,38.006,36.519,14,35,8,25,1,1
9.523,11,25,446.61,4,33,62.869,46.5,63,71.391,66,3,41.08,38.88,13,36,8,30,1,1
9.046,10,24,432.58,4,32,59.985,45.5,60,67.976,63,3,39.319,37.353,13,35,8,28,1,1
8.538,7,20,426.55,4,30,52.738,44.5,52,58.86,55,4,35.137,33.674,12,33,10,22,1,1
8.77,9,22,454.61,4,32,58.505,46.5,58,65.69,61,4,38.659,36.728,12,35,10,26,1,1
7.222,4,23,368.47,4,28,47.803,43.5,48,53.524,51,2,33.569,32.015,18,31,5,20,1,1
9.0,7,22,403.48,4,30,51.56,44.5,51,57.441,54,4,34.483,33.466,14,33,8,21,1,1
