pXC50,nCsp2,Ui,Eig07_EA.bo.,Eta_betaP,Eig06_EA.bo.,piID,Eig03_EA.bo.,SM13_AEA.ri.,Eta_beta,C.,PCD,SpMaxA_AEA.ed.,Eta_FL,piPC03,piPC02,SM02_EA.bo.,Eig05_EA.bo.,SM15_AEA.ri.,Eig12_AEA.bo.,Eig09_AEA.bo.,Eig07_AEA.bo.,Eig15_AEA.dm.,SpMaxA_EA,SpMaxA_EA.ed.,piPC05,piPC08,Eig09_EA.bo.,piPC01,SCBO,Eig08_AEA.bo.,Eig12_AEA.ri.,S0K,SpMaxA_AEA.ri.,Eig15_AEA.bo.,Eig12_EA.ri.,nBM,Uc,Eig12_EA,SM06_AEA.dm.,ZM2Kup,piPC04,SpMaxA_AEA.bo.,piPC06,SpAD_EA.bo.,ZM2Per,ZM2V,Eig08_EA,SM02_AEA.dm.,Chi1_EA.ed.,Eig13_AEA.bo.,Eig08_AEA.ed.,ZM2MulPer,Eig05_AEA.bo.,Mi,nC,Eig12_EA.bo.,SpMax6_Bh.m.,piPC07,Eig09_AEA.ri.,Eig14_AEA.bo.,Eig07_AEA.ed.,Eta_F,P_VSA_e_2,SM02_AEA.bo.,C.028,ZM1Per,Eig06_AEA.bo.,Eig08_EA.ed.,SM03_AEA.ri.
4.863,8,2.585,1.587,6.5,1.617,7.478,2.641,2.641,19.5,37.0,1.291,0.27,3.419,3.932,3.689,4.369,2.086,2.086,1.107,2.191,2.634,-0.257,0.126,0.417,4.419,4.875,0.995,3.401,29.0,2.325,0.782,110.039,0.168,0.404,-0.253,5,2.585,-0.248,-0.248,236.576,4.19,0.175,4.615,38.661,336.81,224.0,0.915,0.915,4.848,0.634,3.181,237.656,3.076,1.131,20,-0.298,3.017,4.727,1.828,0.606,3.598,13.732,92.002,4.585,0,367.82,2.683,1.969,1.969
4.1,7,2.322,1.403,8.0,1.5,7.441,2.752,2.752,20.75,35.7,1.17,0.318,3.942,4.115,3.701,4.382,1.697,1.697,0.584,1.662,2.41,-0.673,0.149,0.511,4.965,5.356,0.563,3.258,25.0,1.877,0.244,80.439,0.193,-0.102,-0.685,7,3.0,-0.736,-0.736,247.474,4.526,0.204,5.048,35.936,384.43,243.0,0.874,0.874,3.674,0.5,3.231,264.87,2.72,1.131,15,-0.903,2.894,5.247,1.375,0.0,3.414,13.358,118.58,4.483,0,379.98,2.5,1.938,1.938
4.678,41,4.585,3.243,45.5,3.295,15.033,3.833,3.833,78.75,50.6,5.706,0.11,16.426,5.553,5.004,5.694,3.652,3.652,3.263,3.634,3.83,1.941,0.052,0.171,6.596,7.423,2.991,4.419,82.0,3.797,2.834,290.764,0.068,2.634,1.8,41,5.392,1.848,1.848,865.678,6.046,0.074,6.736,119.112,1270.59,821.0,2.423,2.423,10.173,3.235,5.346,873.85,4.061,1.104,43,2.479,3.65,7.118,3.244,3.176,5.394,78.172,299.436,5.642,0,1218.84,3.846,6.936,6.936
4.276,35,4.392,3.233,40.0,3.243,13.717,3.831,3.831,73.0,48.1,4.674,0.114,15.267,5.439,4.938,5.628,3.583,3.583,3.266,3.656,3.843,1.984,0.055,0.179,6.455,7.208,2.991,4.357,77.0,3.825,2.84,282.825,0.071,2.545,1.801,35,5.17,1.865,1.865,936.421,5.919,0.077,6.583,112.226,1387.17,877.0,2.454,2.454,9.6,3.251,5.354,938.359,4.076,1.118,38,2.479,3.596,6.935,3.273,3.185,5.398,76.123,285.578,5.6,0,1385.03,3.906,6.951,6.951
4.284,35,4.392,3.233,39.5,3.243,13.455,3.831,3.831,70.25,48.1,4.592,0.12,14.535,5.426,4.894,5.583,3.566,3.566,3.256,3.542,3.826,1.941,0.056,0.187,6.433,7.158,2.851,4.317,74.0,3.67,2.83,266.193,0.075,2.5,1.797,35,5.17,1.844,1.844,799.678,5.894,0.081,6.554,107.127,1169.55,755.0,2.331,2.331,9.197,3.193,5.271,804.53,3.972,1.109,39,2.468,3.481,6.885,3.192,2.545,5.357,69.39,260.228,5.543,0,1133.31,3.843,6.73,6.73
4.553,35,4.392,3.233,39.5,3.243,13.791,3.831,3.831,72.25,46.2,4.695,0.112,14.535,5.443,4.924,5.613,3.568,3.568,3.257,3.547,3.826,1.941,0.052,0.174,6.448,7.196,2.856,4.369,78.0,3.672,2.832,292.009,0.07,2.545,1.798,35,5.17,1.845,1.845,815.678,5.91,0.076,6.576,112.23,1193.07,771.0,2.342,2.342,10.29,3.195,5.286,821.354,3.975,1.113,43,2.468,3.533,6.916,3.201,2.74,5.359,72.013,270.367,5.589,0,1156.39,3.843,6.804,6.804
4.0,9,2.807,1.888,10.5,2.252,7.709,3.121,3.121,27.0,37.5,1.072,0.248,5.351,4.334,4.016,4.7,2.69,2.69,1.114,2.414,2.842,-0.165,0.119,0.401,5.071,4.756,1.329,3.526,33.0,2.5,0.603,113.457,0.154,0.47,-0.183,9,3.322,-0.267,-0.267,397.941,4.713,0.159,5.019,48.252,587.42,376.0,1.138,1.138,4.434,0.882,4.051,404.947,3.547,1.131,18,-0.342,3.11,4.91,2.0,0.5,4.283,22.744,99.387,4.808,0,613.48,3.229,3.089,3.089
4.0,10,2.807,1.5,10.5,1.805,8.066,2.912,2.912,24.5,38.9,1.455,0.302,4.872,4.391,3.902,4.585,2.064,2.064,0.674,2.0,2.5,-0.54,0.143,0.504,5.248,5.833,1.0,3.401,29.0,2.275,0.227,84.239,0.182,0.372,-0.621,9,3.322,-0.732,-0.732,327.274,4.884,0.198,5.305,42.372,526.3,332.0,1.0,1.0,4.018,0.5,3.351,353.486,2.952,1.118,14,-0.777,2.866,5.596,1.952,0.487,3.572,16.64,149.529,4.649,0,494.23,2.802,2.136,2.136
4.1,20,3.954,2.354,26.5,2.645,11.174,3.819,3.819,47.75,42.3,3.398,0.203,9.655,5.084,4.567,5.255,3.399,3.399,2.565,3.015,3.161,0.733,0.095,0.348,5.984,6.759,2.173,3.942,50.5,3.14,2.001,156.465,0.12,1.673,1.0,23,4.585,1.018,1.018,595.171,5.571,0.135,6.19,73.736,912.65,589.0,1.759,1.759,5.921,2.5,4.623,629.827,3.873,1.122,22,1.535,3.231,6.503,2.514,2.5,4.807,40.8,157.889,5.194,1,832.57,3.427,4.505,4.505
4.0,15,3.585,2.247,19.0,2.48,10.619,3.482,3.482,37.5,41.9,3.078,0.228,7.817,4.89,4.317,5.004,2.817,2.817,2.118,2.594,3.139,0.434,0.108,0.379,5.842,6.959,1.621,3.738,41.0,2.665,1.618,124.382,0.14,1.155,0.618,19,4.322,0.618,0.618,484.476,5.454,0.153,6.172,59.685,702.78,452.0,1.286,1.286,5.139,1.884,4.048,482.599,3.587,1.132,18,0.927,2.958,6.549,2.171,1.654,4.659,28.399,116.137,4.97,1,645.25,3.277,3.214,3.214
4.0,10,2.907,1.367,12.5,1.681,8.607,3.125,3.125,26.5,38.1,2.133,0.275,5.467,4.523,3.946,4.63,2.057,2.057,0.823,1.863,2.433,-0.697,0.132,0.42,5.469,6.408,0.759,3.418,29.5,2.164,0.602,98.107,0.175,0.241,-0.392,12,3.7,-0.399,-0.399,347.44,5.046,0.191,5.822,42.276,498.26,321.0,0.73,0.73,4.094,0.764,3.263,345.722,2.919,1.133,16,-0.434,3.014,6.11,1.547,0.584,3.466,19.182,102.254,4.613,1,476.33,2.666,1.658,1.658
4.1,17,3.322,1.895,17.0,1.922,9.87,3.391,3.391,31.75,48.8,2.556,0.265,6.136,4.792,4.19,4.875,2.585,2.585,1.563,2.5,2.799,-0.593,0.126,0.461,5.904,6.883,1.5,3.611,36.0,2.5,1.22,102.039,0.162,0.579,0.245,15,4.0,0.258,0.258,342.892,5.379,0.174,6.109,52.834,519.68,332.0,1.314,1.314,4.732,1.328,3.606,349.292,3.376,1.108,21,0.301,2.808,6.505,2.0,0.663,3.901,22.714,124.675,4.852,0,453.52,2.819,2.918,2.918
5.943,10,2.807,1.5,10.5,2.046,8.158,2.92,2.92,25.25,37.5,1.437,0.289,4.984,4.416,3.942,4.625,2.23,2.23,0.841,2.059,2.524,-0.6,0.137,0.483,5.269,5.862,1.0,3.434,30.0,2.5,0.689,90.107,0.175,0.464,-0.259,9,3.322,-0.275,-0.275,326.399,4.899,0.19,5.344,43.97,527.87,333.0,1.0,1.0,4.055,0.67,3.503,356.315,3.191,1.124,15,-0.301,2.867,5.618,1.967,0.5,3.813,17.504,152.952,4.696,0,484.67,2.915,2.275,2.275
