pXC50,nDB,N.,nBM,nN,AMW,Mp,nAB,H.,C.,Me,Mi,Mv,MW,nAT,nB
6.097,1,7.0,24,3,8.778,0.73,23,37.2,48.8,1.009,1.113,0.699,377.47,43,0
5.046,1,3.9,24,2,7.5,0.697,23,43.1,49.0,0.994,1.109,0.662,382.49,51,0
7.796,0,4.8,23,2,8.211,0.737,23,40.5,52.4,0.99,1.101,0.692,344.86,42,0
5.0,3,0.0,9,0,7.696,0.661,6,43.8,43.8,1.015,1.117,0.642,246.28,32,0
5.161,0,7.1,16,3,6.653,0.664,16,50.0,42.9,0.982,1.125,0.614,279.42,42,0
5.745,0,7.1,16,3,6.653,0.664,16,50.0,42.9,0.982,1.125,0.614,279.42,42,0
5.194,1,7.5,17,4,6.84,0.658,16,49.1,41.5,0.99,1.128,0.615,362.52,53,0
5.208,0,4.9,16,2,6.839,0.666,16,48.8,43.9,0.987,1.121,0.622,280.4,41,0
5.114,4,5.3,25,4,7.457,0.667,21,44.7,43.4,1.004,1.122,0.639,566.71,76,0
5.131,4,6.4,26,5,7.407,0.67,22,44.9,43.6,1.001,1.123,0.639,577.74,78,0
5.097,2,9.8,19,6,7.683,0.663,17,45.9,37.7,1.006,1.133,0.627,468.64,61,0
4.18,1,7.4,17,4,7.01,0.654,16,48.1,40.7,0.996,1.129,0.617,378.52,54,0
4.208,3,7.7,19,4,7.164,0.675,16,46.2,44.2,0.992,1.122,0.636,372.51,52,0
5.0,0,8.9,16,5,8.278,0.666,16,42.9,39.3,1.021,1.147,0.642,463.58,56,0
5.086,1,9.6,17,5,6.991,0.656,16,48.1,40.4,0.994,1.132,0.617,363.51,52,0
5.187,3,6.9,19,4,6.906,0.666,16,48.3,43.1,0.989,1.124,0.623,400.57,58,0
5.056,2,6.6,19,4,7.191,0.664,17,49.2,39.3,0.994,1.127,0.616,438.65,61,0
5.222,4,6.8,20,4,6.993,0.671,16,47.5,44.1,0.989,1.122,0.629,412.58,59,0
5.0,0,7.7,22,5,8.057,0.683,22,43.1,43.1,1.009,1.136,0.651,523.68,65,0
4.699,3,7.7,19,4,7.164,0.675,16,46.2,44.2,0.992,1.122,0.636,372.51,52,0
6.523,0,5.8,22,3,6.837,0.681,22,48.1,46.2,0.981,1.117,0.632,355.52,52,0
5.328,0,7.1,16,3,6.653,0.664,16,50.0,42.9,0.982,1.125,0.614,279.42,42,0
4.523,1,5.0,7,2,7.882,0.67,6,50.0,37.5,1.0,1.131,0.617,315.27,40,0
4.398,3,6.8,19,4,7.061,0.662,16,47.5,42.4,0.994,1.125,0.624,416.57,59,0
4.0,1,6.6,17,4,6.928,0.644,16,49.2,39.3,0.998,1.131,0.608,422.58,61,0
5.0,0,9.8,16,4,6.839,0.661,16,48.8,41.5,0.987,1.13,0.617,280.41,41,0
5.036,0,7.1,16,3,6.653,0.664,16,50.0,42.9,0.982,1.125,0.614,279.42,42,0
5.0,0,8.5,17,5,8.027,0.672,17,44.1,40.7,1.012,1.143,0.64,473.62,59,0
5.0,0,10.9,17,6,8.374,0.675,17,41.8,40.0,1.019,1.147,0.65,460.58,55,0
4.569,0,9.8,16,4,6.839,0.661,16,48.8,41.5,0.987,1.13,0.617,280.41,41,0
5.301,0,8.9,16,5,8.278,0.666,16,42.9,39.3,1.021,1.147,0.642,463.58,56,0
4.569,1,13.0,23,6,9.584,0.713,22,32.6,45.7,1.035,1.137,0.709,440.87,46,0
4.824,2,5.0,2,2,6.661,0.643,0,55.0,35.0,0.986,1.132,0.58,266.45,40,0
5.0,0,14.0,15,8,8.341,0.657,15,47.4,35.1,1.004,1.144,0.617,475.45,57,0
5.292,0,6.4,16,3,7.222,0.66,16,46.8,42.6,1.0,1.132,0.626,339.45,47,0
4.1,2,5.6,14,3,7.102,0.648,12,48.1,40.7,1.001,1.134,0.615,383.51,54,0
5.0,3,5.6,15,4,7.959,0.651,12,45.1,39.4,1.02,1.144,0.629,565.09,71,0
6.097,0,9.1,6,2,6.192,0.628,6,54.5,36.4,0.983,1.14,0.576,136.22,22,0
4.398,2,3.8,19,2,8.556,0.677,17,40.4,42.3,1.026,1.122,0.662,444.9,52,0
5.0,3,7.1,15,5,8.109,0.636,12,42.9,38.6,1.033,1.158,0.63,567.62,70,0
4.602,3,7.7,20,4,8.355,0.686,17,38.5,46.2,1.02,1.131,0.674,434.48,52,0
5.0,3,5.6,15,4,7.727,0.638,12,45.1,39.4,1.022,1.15,0.622,548.64,71,0
4.538,2,8.2,14,4,8.294,0.644,12,40.8,38.8,1.035,1.148,0.642,406.43,49,0
4.092,1,9.9,28,7,7.151,0.668,27,46.5,42.3,0.993,1.128,0.63,507.7,71,0
4.523,2,8.8,20,8,7.043,0.644,18,48.4,38.5,1.0,1.135,0.61,640.87,91,0
4.398,4,6.6,27,6,7.922,0.668,23,44.0,41.8,1.013,1.138,0.641,720.91,91,0
4.0,2,3.7,24,2,9.248,0.715,22,37.0,46.3,1.025,1.113,0.695,499.37,54,0
5.0,3,7.1,15,5,8.087,0.65,12,44.3,38.6,1.023,1.147,0.63,566.08,70,0
5.0,3,5.6,15,4,7.981,0.637,12,43.7,39.4,1.029,1.154,0.628,566.63,71,0
5.0,3,5.6,15,4,7.474,0.639,12,46.5,39.4,1.015,1.145,0.617,530.65,71,0
5.0,3,7.1,15,5,7.595,0.638,12,45.7,38.6,1.018,1.148,0.619,531.64,70,0
5.0,1,7.7,17,3,9.596,0.708,16,41.0,43.6,1.01,1.12,0.672,374.26,39,0
5.0,3,7.1,15,5,7.852,0.637,12,44.3,38.6,1.026,1.153,0.624,549.63,70,0
5.125,2,0.0,26,0,7.474,0.66,24,45.3,44.2,1.009,1.12,0.635,642.77,86,0
5.125,2,0.0,26,0,7.474,0.66,24,45.3,44.2,1.009,1.12,0.635,642.77,86,0
5.0,1,7.9,17,3,8.258,0.702,16,42.1,44.7,1.004,1.12,0.666,313.81,38,0
8.071,0,5.3,11,2,6.854,0.671,11,52.6,39.5,0.98,1.122,0.605,260.44,38,0
5.125,2,0.0,25,0,7.6,0.672,23,45.8,43.4,1.006,1.114,0.638,630.81,83,0
4.456,3,8.9,22,5,9.579,0.726,18,33.9,46.4,1.027,1.117,0.711,536.4,56,0
5.125,2,0.0,26,0,6.997,0.662,24,48.2,44.6,0.996,1.115,0.624,580.77,83,0
5.125,2,2.5,26,2,7.194,0.66,24,46.9,43.2,1.001,1.12,0.627,582.75,81,0
5.125,2,1.2,26,1,7.095,0.661,24,47.6,43.9,0.998,1.118,0.626,581.76,82,0
5.523,5,0.0,5,0,7.105,0.651,0,50.9,40.4,0.998,1.123,0.607,404.97,57,0
5.0,1,10.0,16,4,7.36,0.67,15,45.0,42.5,0.998,1.128,0.637,294.39,40,0
8.155,0,6.3,11,2,6.76,0.65,11,50.0,40.6,0.991,1.129,0.608,216.31,32,0
7.337,0,9.4,17,3,7.853,0.696,17,40.6,46.9,1.002,1.118,0.669,251.31,32,0
7.041,0,7.7,11,3,7.009,0.641,11,48.7,38.5,1.001,1.134,0.608,273.37,39,0
7.337,0,7.9,17,3,7.352,0.679,17,44.7,44.7,0.995,1.121,0.644,279.37,38,0
5.206,0,6.5,11,3,6.249,0.627,11,54.3,37.0,0.986,1.136,0.578,287.45,46,0
