pXC50,MW,Sp,Sv,nSK,nBO,Se,nAT,Si,nBT,nC,SCBO,nH,RBN,RBF,O.
5.2,377.47,31.387,30.037,27,30,43.407,43,47.87,46,21,42.5,16,4,0.087,2.3
5.2,346.84,29.449,28.074,25,28,40.033,40,44.428,43,20,39.5,15,4,0.093,0.0
5.4,448.39,36.267,34.46,30,32,53.647,53,59.95,55,21,41.0,23,9,0.164,3.8
5.4,527.73,49.574,46.68,39,43,75.629,76,85.763,80,31,55.0,37,8,0.1,3.9
5.0,478.68,29.404,27.598,25,27,40.345,39,44.081,41,17,34.0,14,6,0.146,5.1
5.4,319.41,27.847,26.784,24,28,41.131,41,46.564,45,17,38.0,17,2,0.044,0.0
7.387,409.45,33.625,33.048,30,33,51.08,50,56.409,53,22,44.0,20,6,0.113,8.0
5.373,311.45,27.245,25.455,22,24,38.887,39,43.903,41,16,32.5,17,4,0.098,0.0
6.614,372.49,31.125,29.632,26,28,46.534,46,51.863,48,18,36.5,20,6,0.125,6.5
6.432,387.51,32.131,30.653,27,29,48.636,48,54.361,50,18,37.5,21,7,0.14,6.3
5.0,444.64,37.091,34.673,30,33,54.371,54,60.985,57,20,43.5,24,5,0.088,3.7
5.967,423.6,36.995,34.793,30,33,55.069,55,62.354,58,21,42.5,25,5,0.086,1.8
5.552,408.58,35.989,33.772,29,32,52.967,53,59.856,56,21,41.5,24,4,0.071,1.9
5.592,297.42,25.483,23.928,21,23,36.003,36,40.488,38,15,31.5,15,3,0.079,0.0
7.7,507.55,36.955,36.846,35,38,57.378,55,63.377,58,21,50.0,20,7,0.121,5.5
5.0,382.54,33.228,31.245,27,30,49.083,49,55.441,52,19,38.5,22,5,0.096,2.0
5.0,396.57,34.989,32.772,28,31,51.967,52,58.856,55,20,39.5,24,6,0.109,1.9
6.767,382.54,33.228,31.245,27,29,49.083,49,55.441,51,19,38.5,22,7,0.137,2.0
5.668,409.57,35.233,33.266,29,32,52.185,52,58.939,55,20,41.5,23,4,0.073,1.9
5.0,367.52,32.222,30.223,26,29,46.982,47,52.943,50,19,37.5,21,4,0.08,2.1
5.855,401.54,33.892,32.18,28,30,51.52,51,57.777,53,19,38.5,23,8,0.151,5.9
5.8,587.76,50.972,48.561,43,49,72.163,72,80.394,78,33,66.5,29,8,0.103,2.8
5.0,448.59,39.569,37.869,33,37,61.305,61,69.557,65,23,46.5,28,5,0.077,3.3
5.4,503.02,40.841,39.427,35,39,62.076,61,69.935,65,25,48.0,26,4,0.062,0.0
4.699,429.15,24.54,22.854,21,22,30.531,29,31.772,30,12,30.5,8,3,0.1,10.3
5.0,485.99,39.563,38.257,34,37,60.047,59,66.971,62,24,47.5,25,8,0.129,5.1
4.2,251.31,22.279,21.413,19,21,32.051,32,35.78,34,15,29.5,13,3,0.088,3.1
5.2,436.28,29.517,29.022,28,31,38.8,37,41.268,40,19,42.0,9,3,0.075,2.7
4.246,325.37,27.193,26.565,24,27,40.658,40,45.16,43,18,35.5,16,4,0.093,5.0
5.0,413.86,29.091,28.677,27,29,42.898,41,46.573,43,17,40.0,14,6,0.14,7.3
5.8,278.34,24.284,23.434,21,24,35.153,35,39.279,38,16,34.0,14,2,0.053,2.9
5.0,359.45,28.972,27.917,26,30,39.44,39,43.654,43,18,43.0,13,3,0.07,0.0
5.0,586.69,51.193,49.508,44,52,74.531,74,82.438,82,35,69.0,30,3,0.037,6.8
5.26,308.38,26.296,25.477,23,26,39.356,39,44.275,42,16,36.0,16,2,0.048,2.6
5.4,562.79,52.557,49.47,41,45,82.825,83,94.301,87,31,54.5,42,10,0.115,4.8
6.921,524.76,47.466,44.362,37,40,72.923,73,82.766,76,27,51.0,36,11,0.145,4.1
5.0,386.51,33.455,31.675,28,31,45.996,46,51.029,49,22,44.0,18,5,0.102,2.2
5.4,464.86,33.148,33.422,32,34,50.32,48,54.906,50,21,45.0,16,5,0.1,6.3
5.2,488.07,40.068,37.862,33,36,59.603,59,66.923,62,22,45.5,26,7,0.113,3.4
6.0,274.39,21.807,20.239,18,20,28.218,28,30.707,30,13,28.5,10,3,0.1,3.6
5.745,354.51,33.103,31.111,26,28,51.774,52,59.351,54,19,36.0,26,8,0.148,1.9
5.0,457.71,29.864,29.154,27,29,43.64,42,47.653,44,17,38.0,15,6,0.136,7.1
7.347,466.58,41.762,40.025,35,42,61.109,61,68.189,68,28,55.0,26,2,0.029,4.9
6.032,442.54,37.915,36.65,32,35,59.832,59,67.153,62,23,43.5,27,6,0.097,6.8
