pXC50,MATS4v,MATS4p,GATS4v,P_VSA_MR_7,SIC4,BIC5,SIC3,SIC5,BIC4,CIC3,CIC4,HNar,GNar,PDI,BIC3,SpMax3_Bh.p.,Uindex,LOC,SpMax2_Bh.m.,BAC,CIC5,GATS5v,X0A,X2A,MATS4m,X4v,SpMin1_Bh.m.,Eta_sh_p,MCD,SpMax4_Bh.p.,TIE,MATS7i,JGI6,SsCH3,X5v,NRS,Rperim,X3v,Mp,SM13_EA.bo.,C.001,nCp,SpMax2_Bh.e.,SM15_EA.bo.,JGI1,Yindex,Eig02_EA.bo.,SM12_AEA.ri.,SpMin1_Bh.v.,nCIC,nCIR,TRS,Eta_B_A,SpMax4_Bh.v.,SpMAD_AEA.ed.,JGT,C.006,NsCH3,P_VSA_LogP_1,SaasC,D.Dtr06,SM08_EA.bo.,CATS2D_09_AA,C.003
5.0,0.101,0.038,0.854,16.786,0.873,0.859,0.813,0.878,0.854,1.296,0.88,1.669,1.851,0.876,0.796,3.708,207.191,1.398,3.855,368.0,0.847,0.921,0.754,0.315,0.085,5.831,2.056,0.293,0.19,3.655,469.942,-0.067,0.019,18.561,3.493,2,11,9.193,0.61,17.564,10,10,3.923,19.994,0.271,0.631,3.475,3.475,2.037,2,2,11,0.033,3.659,1.551,0.539,0,11,99.135,1.282,279.287,11.743,1,3
5.0,0.032,0.009,0.917,16.786,0.892,0.862,0.856,0.892,0.862,0.995,0.746,1.835,1.989,0.917,0.827,3.852,123.176,0.772,3.928,154.0,0.746,0.927,0.723,0.299,0.022,6.94,2.068,0.175,0.443,3.841,241.856,-0.062,0.02,10.683,4.6,4,27,10.473,0.642,19.501,5,5,4.0,22.389,0.223,0.393,3.636,3.636,2.059,5,6,29,0.029,3.837,1.533,0.475,2,6,55.009,3.765,1083.81,12.678,1,1
5.0,-0.002,-0.025,0.937,0.0,0.845,0.844,0.789,0.872,0.818,1.435,1.052,1.846,1.984,0.913,0.763,3.839,124.357,0.774,3.842,110.0,0.87,0.881,0.722,0.303,-0.007,6.069,2.066,0.158,0.429,3.836,226.693,-0.068,0.018,8.786,3.923,4,24,9.339,0.642,17.838,4,4,3.912,20.35,0.186,0.468,3.469,3.469,2.056,4,4,24,0.023,3.83,1.511,0.417,3,5,46.184,3.954,1031.68,12.012,1,2
5.0,0.071,0.033,0.855,0.0,0.825,0.831,0.766,0.86,0.798,1.587,1.189,1.838,1.98,0.912,0.741,3.839,120.782,0.726,3.837,105.0,0.953,0.867,0.724,0.306,0.076,6.047,2.068,0.16,0.436,3.837,225.06,-0.072,0.019,9.093,3.871,4,24,9.191,0.644,17.786,5,5,3.912,20.273,0.198,0.476,3.457,3.457,2.058,4,4,24,0.026,3.83,1.503,0.437,3,5,44.126,3.371,1011.92,12.002,0,1
6.022,0.022,-0.022,0.944,33.571,0.883,0.864,0.856,0.883,0.864,0.99,0.806,1.741,1.91,0.888,0.837,3.747,146.776,1.166,3.849,207.0,0.806,0.897,0.74,0.312,0.05,6.498,2.126,0.231,0.327,3.665,310.191,-0.026,0.019,12.133,4.437,3,18,9.824,0.614,18.033,7,7,3.913,20.651,0.254,0.487,3.475,3.475,2.082,3,3,18,0.031,3.67,1.528,0.51,1,7,61.776,2.099,769.284,11.874,2,2
5.854,0.044,-0.015,0.926,33.571,0.873,0.855,0.836,0.873,0.855,1.127,0.879,1.671,1.853,0.874,0.82,3.726,189.413,1.343,3.849,317.0,0.879,0.917,0.754,0.318,0.071,5.887,2.06,0.29,0.218,3.651,405.312,-0.016,0.018,18.267,3.736,2,12,9.151,0.61,18.043,10,10,3.913,20.66,0.277,0.603,3.474,3.474,2.044,2,2,12,0.034,3.651,1.549,0.548,2,10,88.252,2.126,524.336,11.882,2,4
4.415,0.021,-0.031,0.95,33.571,0.882,0.863,0.858,0.882,0.863,0.968,0.803,1.756,1.919,0.891,0.839,3.747,142.415,1.167,3.848,180.0,0.803,0.89,0.738,0.313,0.061,6.359,2.126,0.216,0.333,3.664,294.176,-0.039,0.018,10.607,4.303,3,18,9.514,0.614,18.007,6,6,3.913,20.631,0.25,0.473,3.474,3.474,2.082,3,3,18,0.03,3.67,1.516,0.498,2,6,52.951,2.103,754.219,11.846,2,2
5.0,0.037,-0.017,0.936,39.617,0.882,0.861,0.864,0.882,0.861,0.935,0.81,1.727,1.9,0.894,0.843,3.814,155.92,1.153,3.899,236.0,0.81,0.892,0.743,0.315,0.117,7.883,2.126,0.228,0.316,3.747,361.387,0.014,0.022,10.322,5.298,3,18,11.303,0.621,19.732,6,6,3.941,22.68,0.28,0.478,3.88,3.88,2.086,3,3,18,0.034,3.758,1.527,0.544,3,6,52.951,1.89,803.065,12.626,6,2
4.398,0.057,-0.002,0.903,16.786,0.886,0.866,0.857,0.886,0.866,0.966,0.771,1.788,1.937,0.889,0.838,3.776,133.68,1.165,3.834,132.0,0.771,0.882,0.733,0.315,0.092,6.22,2.126,0.186,0.346,3.674,270.902,-0.067,0.017,8.961,4.212,3,18,9.232,0.618,17.223,5,5,3.912,19.656,0.231,0.478,3.451,3.451,2.082,3,3,18,0.028,3.674,1.495,0.462,2,5,44.126,1.627,726.641,11.555,1,2
4.733,0.016,-0.025,0.953,33.571,0.884,0.864,0.86,0.884,0.864,0.96,0.8,1.76,1.92,0.891,0.842,3.747,147.006,1.155,3.848,180.0,0.8,0.899,0.737,0.314,0.055,6.512,2.126,0.211,0.327,3.665,302.978,-0.016,0.018,10.668,4.406,3,18,9.742,0.614,18.006,6,6,3.914,20.63,0.246,0.454,3.474,3.474,2.082,3,3,18,0.03,3.67,1.511,0.491,2,6,52.951,2.154,772.666,11.846,4,2
5.0,-0.052,-0.063,1.026,33.571,0.9,0.879,0.877,0.9,0.879,0.846,0.686,1.846,1.984,0.909,0.856,3.747,125.406,0.755,3.849,103.0,0.686,0.88,0.722,0.304,-0.036,7.069,2.126,0.15,0.429,3.665,254.424,0.026,0.017,5.492,4.883,4,24,10.647,0.616,17.983,3,3,3.915,20.612,0.195,0.374,3.474,3.474,2.082,4,4,24,0.024,3.67,1.506,0.426,6,3,26.476,2.2,1038.9,11.815,4,2
