pXC50,MATS6e,MATS6s,P_VSA_LogP_4,P_VSA_MR_2,PW4,MATS4s,GATS8p,AMR,ATS1m,ATS1p,ATS1s,ATS1v,ATS2m,ATS2p,ATS2v,ATS3p,ATS3v,ATS4m,ATS4p,ATS4v,ATS5e,ATS5m,ATS5p,ATS5v,ATS6e,ATS6i,ATS6m,ATS6p,ATS6v,ATS7e,ATS7i,ATS7m,ATS7p,ATS7s,ATS7v,ATS8e,ATS8i,ATS8m,ATS8p,ATS8s,ATS8v,ATSC3i,ATSC3p,ATSC4i,ATSC4p,ATSC4v,ATSC5i,ATSC5p,ATSC5v,ATSC6i,ATSC6p,ATSC6v,ATSC7i,ATSC7p,ATSC7v,ATSC8i,ATSC8p,ATSC8v,BBI
5.624,-0.017,-0.018,0.0,23.542,0.183,0.06,0.525,55.742,2.981,2.989,4.699,2.963,3.316,3.399,3.338,3.598,3.51,3.416,3.593,3.474,4.676,3.094,3.449,3.291,4.441,4.733,2.782,3.213,3.023,4.192,4.509,2.337,2.871,5.138,2.65,3.784,4.119,1.482,2.276,4.749,2.013,0.809,6.31,0.785,6.428,10.721,0.661,5.722,9.697,0.511,4.684,7.861,0.352,3.295,5.801,0.18,1.733,3.289,20
5.509,0.16,0.178,0.0,0.0,0.195,-0.023,0.0,45.533,2.974,2.823,4.669,2.858,3.428,3.31,3.325,3.497,3.471,3.344,3.378,3.307,4.377,2.884,2.951,2.869,3.858,4.15,2.13,2.256,2.1,2.855,3.192,0.556,1.249,3.85,1.038,1.298,1.682,0.021,0.361,1.386,0.189,0.708,5.572,0.602,5.094,8.821,0.365,3.34,6.238,0.168,1.699,3.489,0.047,0.505,1.163,0.009,0.111,0.267,23
4.385,-0.063,-0.095,0.0,23.542,0.162,-0.053,0.0,35.477,2.604,2.549,4.336,2.549,2.919,2.956,2.913,3.079,2.997,2.642,2.847,2.719,3.801,1.817,2.289,2.072,2.916,3.296,0.485,1.375,1.071,1.298,1.682,0.021,0.361,1.386,0.189,0.0,0.0,0.0,0.0,0.0,0.0,0.444,3.541,0.32,2.841,5.274,0.163,1.63,3.309,0.051,0.588,1.287,0.008,0.099,0.223,0.0,0.0,0.0,13
5.745,-0.229,-0.211,0.0,0.0,0.202,-0.062,0.0,45.052,2.974,2.823,4.668,2.858,3.435,3.309,3.321,3.494,3.472,3.393,3.389,3.334,4.42,3.019,2.983,2.895,3.884,4.181,1.679,2.227,2.038,2.71,3.13,0.275,1.173,3.258,0.824,0.635,0.899,0.007,0.135,0.693,0.067,0.707,5.463,0.606,5.129,8.74,0.379,3.532,6.607,0.161,1.607,3.366,0.044,0.525,1.246,0.003,0.037,0.089,23
5.42,-0.052,-0.022,0.0,23.542,0.176,0.01,0.802,54.719,2.973,3.0,4.705,2.973,3.317,3.421,3.352,3.601,3.51,3.375,3.561,3.444,4.614,3.081,3.402,3.247,4.414,4.706,2.779,3.168,2.994,4.15,4.46,2.305,2.866,5.071,2.651,3.766,4.098,1.725,2.387,4.687,2.132,0.809,6.337,0.758,6.175,10.401,0.636,5.416,9.231,0.494,4.323,7.396,0.352,3.269,5.642,0.207,1.986,3.609,20
5.62,-0.016,-0.003,0.0,23.542,0.165,0.034,0.95,63.921,3.086,3.162,4.795,3.118,3.41,3.582,3.49,3.757,3.64,3.465,3.723,3.583,4.767,3.199,3.59,3.414,4.597,4.897,2.987,3.405,3.218,4.393,4.697,2.782,3.223,5.237,3.037,4.21,4.507,2.607,3.047,5.097,2.866,0.965,7.688,0.916,7.543,12.374,0.793,6.788,11.189,0.656,5.654,9.35,0.546,4.648,7.703,0.451,3.874,6.397,22
5.363,-0.039,-0.043,52.858,44.313,0.167,-0.032,1.157,87.168,3.862,3.424,5.267,3.411,4.137,3.854,3.809,4.03,3.965,4.296,4.068,4.001,5.203,4.377,4.031,3.982,5.137,5.317,4.339,3.955,3.907,4.999,5.162,4.22,3.886,6.495,3.835,4.979,5.142,4.12,3.747,6.554,3.741,1.202,11.598,1.254,12.268,15.887,1.2,12.17,15.305,1.106,10.899,13.943,1.03,10.487,12.698,0.896,8.691,11.355,38
7.577,0.024,0.02,0.0,23.542,0.175,0.071,1.752,91.974,3.581,3.735,5.048,3.571,3.89,4.165,3.96,4.32,4.126,3.917,4.329,4.105,5.203,3.66,4.188,3.952,5.039,5.35,3.476,4.008,3.75,4.804,5.121,3.436,3.916,5.549,3.635,4.587,4.847,3.571,3.886,5.365,3.659,1.785,17.215,1.9,18.837,23.165,1.729,16.526,21.617,1.43,14.048,18.306,1.276,13.378,15.564,1.171,12.458,13.664,35
5.481,0.062,0.132,0.0,23.542,0.165,0.097,0.053,57.496,3.267,3.396,4.732,3.196,3.532,3.776,3.56,3.861,3.706,3.633,3.942,3.696,4.689,3.526,3.836,3.606,4.716,5.012,3.27,3.647,3.398,4.595,4.901,2.352,3.119,5.669,2.865,3.869,4.273,0.925,2.204,4.585,1.8,1.111,9.78,1.216,13.178,15.779,1.035,12.036,13.299,0.886,10.633,12.737,0.535,6.308,8.198,0.213,2.791,3.91,24
7.301,0.041,0.073,0.0,23.542,0.174,0.051,1.303,87.313,3.543,3.673,5.019,3.511,3.852,4.08,3.89,4.226,4.052,3.879,4.219,4.016,5.047,3.633,4.07,3.847,4.834,5.142,3.499,3.939,3.667,4.522,4.78,3.559,3.857,5.311,3.631,4.622,4.872,3.563,3.836,5.566,3.656,1.607,15.183,1.736,16.614,20.275,1.525,14.909,18.543,1.341,14.058,16.24,1.147,12.369,13.179,1.147,11.728,13.723,34
6.409,0.032,0.08,0.0,23.542,0.139,0.047,1.413,81.339,3.463,3.635,4.969,3.451,3.838,4.097,3.874,4.29,4.078,3.755,4.244,4.012,5.2,3.495,4.019,3.749,4.727,5.031,3.427,3.831,3.558,4.557,4.837,3.522,3.838,5.289,3.608,4.664,4.903,3.528,3.889,5.545,3.686,1.702,17.711,1.73,16.109,22.294,1.398,14.264,18.923,1.113,11.73,13.636,1.082,11.258,12.84,1.126,11.751,14.359,32
7.67,0.019,0.024,0.0,23.542,0.174,0.065,1.253,87.33,3.548,3.692,5.014,3.527,3.862,4.123,3.918,4.278,4.087,3.895,4.277,4.062,5.158,3.655,4.153,3.912,4.982,5.298,3.529,4.028,3.745,4.689,4.966,3.579,3.92,5.459,3.684,4.684,4.947,3.567,3.859,5.609,3.672,1.707,16.479,1.832,17.482,21.917,1.644,16.174,20.602,1.459,15.3,18.124,1.236,13.271,14.668,1.168,11.948,14.258,34
