pXC50,nBO,SCBO,RBN,nSK,nC,Se,nN,nDB,Si
6.921,38,53.5,7,35,26,56.636,5,2,62.361
7.509,41,57.0,8,38,29,63.654,5,2,70.481
7.824,40,55.5,7,37,28,62.654,5,2,69.481
6.18,39,54.5,7,36,26,57.4,5,2,62.99
5.921,39,54.5,7,36,27,59.771,5,2,66.066
4.523,34,48.5,5,31,24,49.323,4,1,54.238
7.495,43,59.0,8,40,31,69.421,5,2,77.312
6.337,39,54.5,7,36,26,57.4,5,2,62.99
6.041,39,54.5,7,36,27,59.52,5,2,65.777
5.387,39,54.5,7,36,26,56.96,5,2,62.305
5.201,39,54.5,7,36,26,56.865,5,2,62.203
6.921,41,57.0,8,38,29,63.654,5,2,70.481
4.62,39,55.0,7,36,28,59.443,5,2,65.857
4.481,38,53.5,7,35,26,56.636,5,2,62.361
5.824,34,48.5,5,31,24,48.549,3,1,52.95
5.004,35,50.5,5,32,24,47.993,3,2,51.744
5.678,33,47.5,4,30,23,46.44,4,1,50.823
6.244,34,48.5,5,31,24,49.323,4,1,54.238
5.959,38,53.5,7,35,26,56.636,5,2,62.361
5.854,39,54.5,8,36,27,59.52,5,2,65.777
6.31,39,54.5,7,36,26,56.96,5,2,62.305
5.292,38,53.5,7,35,26,56.636,5,2,62.361
6.319,40,55.5,8,37,27,60.847,5,2,66.986
5.444,39,54.5,7,36,26,57.149,5,2,62.701
7.854,38,53.5,7,35,26,56.887,5,2,62.651
7.347,41,57.0,8,38,29,63.654,5,2,70.481
6.051,39,55.0,7,36,28,60.218,6,2,67.145
5.602,42,57.5,8,39,29,66.051,5,2,73.236
7.495,43,59.0,8,40,31,69.421,5,2,77.312
5.553,37,52.5,6,34,25,53.753,5,2,58.946
6.745,39,54.5,7,36,27,59.52,5,2,65.777
8.337,40,55.5,8,37,27,60.283,5,2,66.406
8.0,41,56.5,8,38,28,63.167,5,2,69.821
8.0,42,57.5,9,39,29,66.051,5,2,73.236
7.796,43,58.5,10,40,30,68.934,5,2,76.651
8.0,42,57.5,9,39,29,66.051,5,2,73.236
8.013,43,58.5,9,40,30,68.934,5,2,76.651
8.013,41,55.5,6,37,28,61.84,5,1,68.611
7.745,42,57.5,8,39,29,66.051,5,2,73.236
7.77,44,59.5,10,41,31,71.818,5,2,80.066
8.097,43,58.5,10,40,30,68.934,5,2,76.651
8.102,43,58.5,7,39,29,64.167,5,2,70.821
8.0,43,58.5,7,39,29,64.167,5,2,70.821
8.076,39,54.5,7,36,26,57.4,5,2,62.99
7.745,44,59.5,7,40,30,67.051,5,2,74.236
7.796,42,57.5,6,38,28,61.283,5,2,67.406
7.523,42,57.5,9,39,29,66.051,5,2,73.236
7.854,44,59.5,7,40,30,67.051,5,2,74.236
7.824,44,59.5,7,40,30,67.051,5,2,74.236
7.699,41,56.5,8,38,28,63.167,5,2,69.821
8.387,38,53.5,6,35,25,54.516,5,2,59.575
7.523,40,54.5,8,37,28,63.723,5,1,71.027
7.658,45,60.5,11,42,32,74.701,5,2,83.482
7.921,40,55.5,7,37,27,60.283,5,2,66.406
7.824,41,55.5,5,37,28,61.84,5,1,68.611
7.959,42,56.5,6,38,29,64.723,5,1,72.027
7.602,42,56.5,6,38,29,64.723,5,1,72.027
7.745,42,56.5,6,38,29,64.723,5,1,72.027
7.699,43,57.5,7,39,30,67.607,5,1,75.442
6.032,40,54.5,5,36,27,58.956,5,1,65.196
8.137,41,55.5,5,37,28,61.84,5,1,68.611
4.523,64,77.0,26,63,40,128.796,12,10,146.078
6.081,38,45.0,12,35,26,72.73,6,4,83.261
4.796,58,74.5,19,55,37,106.058,10,8,119.673
9.959,99,126.0,39,95,64,182.355,17,13,205.52
8.553,99,126.0,39,95,64,182.104,17,13,205.23
9.212,98,124.0,40,94,64,182.912,17,12,206.725
9.157,99,126.0,39,95,64,182.355,17,13,205.52
9.796,99,126.0,38,95,63,181.573,18,13,204.603
9.224,89,111.0,37,87,55,169.032,17,13,190.483
9.343,90,112.0,37,88,56,171.915,17,13,193.899
9.627,91,113.0,38,89,58,176.355,17,13,199.52
