pXC50,Me,X.,C.,nN,N.,nCsp2,SCBO,nC,AMW,H.,Mi,Mp,Mv,MW,nAB,nAT,nB
8.523,1.054,9.5,40.5,4,5.4,20,64.0,30,9.306,36.5,1.156,0.661,0.668,688.68,18,74,0
7.076,1.011,5.7,41.4,5,7.1,18,53.0,29,8.208,44.3,1.136,0.678,0.645,574.55,18,70,0
8.174,1.009,5.5,41.1,5,6.8,18,54.0,30,8.063,45.2,1.136,0.675,0.639,588.58,18,73,0
8.959,1.002,4.3,37.7,5,7.2,12,45.0,26,7.573,49.3,1.139,0.657,0.613,522.55,12,69,0
8.398,0.996,0.0,44.8,4,6.9,18,48.0,26,7.354,44.8,1.12,0.678,0.643,426.56,16,58,0
7.046,0.998,0.0,44.4,4,7.4,18,45.0,24,7.417,44.4,1.122,0.677,0.644,400.52,16,54,0
8.0,0.998,0.0,44.4,4,7.4,18,45.0,24,7.417,44.4,1.122,0.677,0.644,400.52,16,54,0
6.36,1.001,0.0,41.2,4,5.9,18,51.0,28,7.186,47.1,1.127,0.654,0.622,488.64,16,68,0
8.046,1.002,0.0,43.1,4,6.9,18,47.0,25,7.423,44.8,1.124,0.668,0.638,430.55,16,58,0
7.854,0.998,0.0,45.5,4,7.3,18,47.0,25,7.501,43.6,1.119,0.683,0.651,412.53,16,55,0
8.222,0.995,0.0,44.3,4,6.6,18,49.0,27,7.223,45.9,1.121,0.673,0.637,440.59,16,61,0
7.886,0.993,0.0,43.8,4,6.3,18,50.0,28,7.103,46.9,1.122,0.669,0.631,454.62,16,64,0
8.523,0.998,0.0,46.4,4,7.1,20,49.0,26,7.581,42.9,1.117,0.688,0.657,424.54,16,56,0
8.699,0.996,0.0,45.8,4,6.8,20,50.0,27,7.433,44.1,1.118,0.683,0.649,438.57,16,59,0
5.762,0.998,0.0,43.3,5,8.3,18,49.0,26,7.36,45.0,1.125,0.672,0.639,441.58,16,60,0
6.951,0.996,0.0,42.9,5,7.9,18,50.0,27,7.232,46.0,1.125,0.668,0.633,455.61,16,63,0
7.921,1.002,0.0,44.1,4,6.8,18,49.0,26,7.501,44.1,1.122,0.674,0.644,442.56,16,59,0
6.272,1.008,0.0,42.6,4,6.6,18,53.0,26,8.043,42.6,1.12,0.686,0.655,490.63,16,61,0
8.097,1.0,0.0,43.5,4,6.5,18,50.0,27,7.364,45.2,1.123,0.67,0.638,456.59,16,62,0
7.398,1.005,0.0,42.9,4,6.3,18,51.0,27,7.501,44.4,1.124,0.666,0.639,472.59,16,63,0
7.721,1.002,0.0,44.1,4,6.8,18,49.0,26,7.501,44.1,1.122,0.674,0.644,442.56,16,59,0
7.796,1.005,1.7,44.8,4,6.9,18,49.0,26,7.665,43.1,1.126,0.677,0.65,444.55,16,58,0
8.699,1.005,1.7,44.8,4,6.9,18,49.0,26,7.665,43.1,1.126,0.677,0.65,444.55,16,58,0
