pXC50,AMW,C.,H.,Me,Mi,Mp,Mv,MW,N.,nAB,nAT
6.0,7.041,46.9,46.9,0.988,1.113,0.681,0.638,225.31,3.1,10,32
6.0,6.619,41.5,51.2,0.99,1.124,0.647,0.603,271.39,2.4,6,41
7.481,6.776,41.7,50.0,0.993,1.124,0.651,0.609,406.57,3.3,12,60
7.886,6.883,41.3,49.2,0.995,1.126,0.651,0.612,433.6,4.8,12,63
6.745,6.773,42.1,50.0,0.992,1.122,0.652,0.61,257.36,2.6,6,38
7.886,6.653,45.2,50.0,0.983,1.116,0.668,0.619,279.41,2.4,12,42
6.0,7.543,46.9,46.9,0.98,1.104,0.718,0.653,241.38,3.1,10,32
6.0,6.523,43.2,51.4,0.983,1.12,0.657,0.607,241.36,2.7,6,37
6.0,6.952,42.9,48.6,0.995,1.121,0.657,0.619,243.33,2.9,6,35
5.372,6.963,41.9,48.8,0.998,1.123,0.651,0.615,299.4,2.3,6,43
6.0,6.919,42.4,48.5,0.991,1.125,0.66,0.62,228.32,6.1,6,33
7.0,6.777,46.5,48.8,0.983,1.113,0.676,0.628,291.42,2.3,12,43
6.0,6.683,40.8,51.0,0.994,1.125,0.643,0.602,327.46,2.0,6,49
6.0,6.523,43.2,51.4,0.983,1.12,0.657,0.607,241.36,2.7,6,37
6.0,6.962,45.2,47.6,0.988,1.118,0.674,0.631,292.41,4.8,11,42
6.0,6.814,45.1,49.0,0.987,1.116,0.668,0.623,347.49,2.0,12,51
6.0,6.683,40.8,51.0,0.994,1.125,0.643,0.602,327.46,2.0,6,49
6.0,6.814,41.3,50.0,0.996,1.124,0.647,0.608,313.43,2.2,6,46
6.0,7.166,40.6,46.9,0.998,1.131,0.658,0.623,229.31,9.4,6,32
6.0,6.962,45.2,47.6,0.988,1.118,0.674,0.631,292.41,4.8,11,42
6.0,6.951,47.1,47.1,0.982,1.115,0.687,0.639,236.34,5.9,11,34
6.0,6.574,41.0,51.3,0.987,1.127,0.649,0.603,256.38,5.1,6,39
6.013,6.814,41.3,50.0,0.996,1.124,0.647,0.608,313.43,2.2,6,46
6.0,7.01,44.7,47.4,0.989,1.119,0.673,0.631,266.37,5.3,10,38
6.0,6.953,40.0,48.6,0.995,1.132,0.651,0.613,243.34,8.6,6,35
6.0,6.229,43.8,53.1,0.974,1.119,0.659,0.601,199.32,3.1,6,32
6.0,6.686,44.1,50.0,0.985,1.119,0.663,0.616,227.33,2.9,6,34
6.0,7.962,42.4,45.5,1.001,1.123,0.686,0.645,262.76,6.1,6,33
6.0,7.152,40.5,47.6,1.003,1.128,0.648,0.617,300.39,4.8,6,42
6.0,6.754,46.8,48.9,0.982,1.112,0.677,0.628,317.46,2.1,12,47
6.0,6.777,46.5,48.8,0.983,1.113,0.676,0.628,291.42,2.3,11,43
6.0,6.814,41.3,50.0,0.996,1.124,0.647,0.608,313.43,2.2,6,46
6.0,6.814,45.1,49.0,0.987,1.116,0.668,0.623,347.49,2.0,12,51
6.0,6.619,41.5,51.2,0.99,1.124,0.647,0.603,271.39,2.4,6,41
6.0,5.922,41.2,55.9,0.972,1.125,0.643,0.581,201.34,2.9,6,34
6.31,6.805,46.2,48.7,0.984,1.114,0.675,0.628,265.38,2.6,11,39
6.0,6.619,41.5,51.2,0.99,1.124,0.647,0.603,271.39,2.4,6,41
4.0,7.334,43.2,45.9,1.004,1.12,0.661,0.632,271.34,2.7,6,37
6.0,6.619,41.5,51.2,0.99,1.124,0.647,0.603,271.39,2.4,6,41
6.0,6.385,42.5,52.5,0.982,1.121,0.652,0.6,255.39,2.5,6,40
6.0,6.558,47.6,50.0,0.975,1.111,0.681,0.626,275.42,2.4,12,42
6.0,6.285,45.0,52.5,0.973,1.116,0.665,0.607,251.4,2.5,11,40
6.0,6.773,42.1,50.0,0.992,1.122,0.652,0.61,257.36,2.6,6,38
6.0,6.724,48.6,48.6,0.976,1.109,0.688,0.635,235.35,2.9,11,35
6.0,6.777,46.5,48.8,0.983,1.113,0.676,0.628,291.42,2.3,11,43
6.0,6.563,47.4,50.0,0.975,1.111,0.68,0.625,249.38,2.6,11,38
6.0,7.562,42.1,44.7,1.013,1.123,0.656,0.634,287.34,2.6,6,38
6.0,6.754,46.8,48.9,0.982,1.112,0.677,0.628,317.46,2.1,12,47
6.0,6.188,37.3,56.9,0.972,1.122,0.67,0.588,315.58,2.0,6,51
6.0,7.65,41.7,47.2,0.997,1.116,0.685,0.635,275.4,2.8,5,36
6.0,6.305,45.5,52.3,0.973,1.115,0.668,0.609,277.44,2.3,12,44
