pXC50,SpMax1_Bh.e.,piPC08,SpMax1_Bh.i.,piPC07,SRW07,SRW09,Eig01_EA.ed.,SM10_AEA.dm.,SpMax_EA.ed.,CATS2D_04_AP,SM14_EA.bo.,SaasN,SM13_EA.bo.,SpMax1_Bh.m.,SM12_EA.bo.,SM15_EA.bo.,SM11_EA.bo.,Eig01_EA.bo.,SM11_AEA.ri.,SpDiam_EA.bo.,SpMax_EA.bo.,SM09_EA.bo.,SM10_EA.bo.,piPC10,NaasN,Eig01_AEA.ri.,SpMax_AEA.ri.,C.043,piPC06,SM15_EA.ed.,SM07_EA.bo.,SM14_EA.ed.,SpDiam_EA.ed.,SM13_EA.ed.,D.Dtr09,SM08_EA.bo.,SaaN,SpMAD_EA.ed.,SpMAD_EA.dm.,Eig01_EA,SM09_AEA.bo.,SpDiam_EA,SpMax_EA,piPC04,D.Dtr05,piPC09,PW3,piPC05,C.030,nR09,CATS2D_02_PL,SM12_EA.ed.,SRW05,nPyrazoles,SM12_EA.dm.,SM14_EA.dm.,Eig04_AEA.ed.,Eta_sh_y,SM04_EA.dm.,nR05,nPyrimidines,SpDiam_AEA.ri.,SM08_EA.dm.,SM10_EA.dm.,SpAD_EA.dm.,SM02_EA.dm.,SM11_EA.ed.
5.959,4.005,6.172,4.028,6.036,0.0,0.0,11.659,11.659,11.659,0,19.531,0.0,18.145,4.102,16.872,20.836,15.458,3.934,3.934,6.934,3.934,12.774,14.242,6.603,0,4.315,4.315,0,5.708,36.907,10.084,34.467,18.566,32.026,0.0,11.656,0.0,4.469,0.382,3.316,3.316,5.316,3.316,4.955,0.0,6.545,0.326,5.449,0,0,0,29.597,0.0,0,14.462,16.757,5.069,0.254,5.295,0,0,5.48,9.872,12.167,9.552,3.144,27.161
6.319,4.011,6.172,4.034,6.036,0.0,0.0,11.659,11.659,11.659,0,19.531,0.0,18.145,3.957,16.872,20.836,15.458,3.934,3.934,6.934,3.934,12.774,14.242,6.603,0,4.315,4.315,0,5.708,36.907,10.084,34.467,18.566,32.026,0.0,11.656,0.0,4.469,0.211,3.316,3.316,5.316,3.316,4.955,0.0,6.545,0.326,5.449,0,0,0,29.597,0.0,0,2.153,2.337,5.069,0.266,1.676,0,0,5.419,1.843,1.986,5.281,1.724,27.161
6.639,4.113,7.452,4.12,6.999,4.727,6.843,10.888,10.888,10.888,0,21.289,0.0,19.785,4.33,18.334,22.766,16.816,4.53,4.53,7.53,4.53,13.859,15.418,8.188,0,4.13,4.13,0,6.529,35.994,10.907,33.638,18.021,31.272,117.17,12.569,0.0,4.359,0.298,3.156,3.156,5.156,3.156,5.642,62.146,7.774,0.345,6.175,0,1,0,28.932,2.398,0,14.462,16.757,5.722,0.309,5.295,1,0,5.295,9.872,12.167,9.552,3.144,26.563
6.456,4.029,6.859,4.047,6.502,0.0,0.0,9.763,9.763,9.763,0,19.821,0.0,18.404,4.106,17.141,21.128,15.684,4.007,4.007,7.007,4.007,12.966,14.495,7.536,0,3.994,3.994,0,6.098,34.58,10.238,32.339,16.365,30.078,0.0,11.901,0.0,4.204,0.329,3.04,3.04,5.04,3.04,5.306,0.0,7.247,0.331,5.865,0,0,0,27.853,0.0,0,14.462,16.757,5.087,0.306,5.295,0,0,5.159,9.872,12.167,9.552,3.144,25.582
6.581,4.114,7.196,4.126,6.791,0.0,0.0,11.27,11.27,11.27,0,21.21,0.0,19.695,4.08,18.226,22.7,16.698,4.531,4.531,7.531,4.531,13.708,15.272,7.636,0,4.211,4.211,0,6.346,36.38,10.721,33.977,18.664,31.561,0.0,12.377,0.0,4.386,0.22,3.234,3.234,5.234,3.234,5.353,0.0,7.589,0.351,5.969,0,0,0,29.173,0.0,0,2.153,2.337,5.102,0.343,1.676,0,0,5.315,1.843,1.986,5.281,1.724,26.754
6.036,4.029,6.859,4.047,6.509,0.0,0.0,9.773,9.773,9.773,0,19.853,0.0,18.434,4.107,17.165,21.165,15.707,4.017,4.017,7.017,4.017,12.981,14.511,7.527,0,3.998,3.998,0,6.086,34.615,10.246,32.373,16.39,30.111,0.0,11.91,0.0,4.212,0.329,3.042,3.042,5.042,3.042,5.317,0.0,7.242,0.331,5.865,0,0,0,27.884,0.0,0,14.462,16.757,5.103,0.306,5.295,0,0,5.163,9.872,12.167,9.552,3.144,25.611
6.585,4.129,7.548,4.147,7.109,0.0,0.0,11.149,11.149,11.149,0,21.423,0.0,19.908,4.128,18.45,22.908,16.922,4.575,4.575,7.575,4.575,13.951,15.519,8.311,0,4.188,4.188,0,6.646,36.31,10.991,33.929,18.517,31.539,0.0,12.658,0.0,4.362,0.281,3.189,3.189,5.189,3.189,5.705,0.0,8.011,0.347,6.307,0,0,0,29.177,0.0,0,14.462,16.757,5.974,0.329,5.295,0,0,5.353,9.872,12.167,9.552,3.144,26.785
6.465,3.984,6.05,3.999,5.829,0.0,0.0,10.312,10.312,10.312,0,19.573,0.0,18.161,3.941,16.861,20.908,15.419,4.002,4.002,7.002,4.002,12.679,14.181,6.377,0,4.035,4.035,0,5.555,35.139,9.932,32.83,17.175,30.508,0.0,11.555,0.0,4.101,0.304,3.08,3.08,5.08,3.08,4.934,0.0,6.299,0.337,5.4,0,0,0,28.213,0.0,0,2.191,2.36,4.86,0.298,1.862,0,0,5.14,1.933,2.045,7.001,1.958,25.882
6.456,3.98,6.037,3.999,5.743,0.0,0.0,9.645,9.645,9.645,0,19.167,0.0,17.775,3.937,16.543,20.442,15.112,3.864,3.864,6.864,3.864,12.451,13.951,6.354,0,3.96,3.96,0,5.524,34.172,9.782,31.934,16.117,29.676,0.0,11.409,0.0,4.125,0.24,3.013,3.013,5.013,3.013,4.855,0.0,6.242,0.325,5.358,0,0,0,27.454,0.0,0,2.153,2.337,4.958,0.316,1.676,0,0,5.064,1.843,1.986,5.281,1.724,25.185
6.745,3.978,6.037,3.995,5.743,0.0,0.0,9.645,9.645,9.645,0,19.167,0.0,17.775,4.018,16.543,20.442,15.112,3.864,3.864,6.864,3.864,12.451,13.951,6.354,0,3.959,3.959,0,5.524,34.172,9.782,31.934,16.117,29.676,0.0,11.409,0.0,4.125,0.24,3.013,3.013,5.013,3.013,4.855,0.0,6.242,0.325,5.358,0,0,0,27.454,0.0,0,2.153,2.337,4.958,0.302,1.676,0,0,5.063,1.843,1.986,5.281,1.724,25.185
