pXC50,AMW,C.
6.0,6.448,33.0
7.102,10.671,39.6
6.319,7.852,41.2
6.585,7.649,45.9
7.529,8.497,41.2
7.26,7.822,41.2
4.824,7.173,40.0
6.502,7.436,44.3
5.854,8.009,44.4
6.108,7.01,40.7
6.444,7.384,39.6
6.268,7.101,41.8
6.5,7.214,38.8
7.261,7.216,38.1
6.398,8.497,41.2
5.921,8.497,41.2
5.131,7.465,40.0
4.699,5.8,34.9
4.699,7.834,40.4
4.699,8.356,43.9
5.222,6.235,35.5
5.699,7.586,42.4
4.854,7.676,40.7
6.538,7.82,41.4
5.644,7.717,43.3
5.456,7.865,42.4
5.253,7.981,40.7
6.475,8.103,41.4
5.229,8.458,43.3
5.0,8.804,40.7
5.575,8.87,41.4
8.0,7.311,42.9
5.569,8.618,42.4
5.824,7.443,43.3
5.602,7.586,42.4
4.925,7.676,40.7
6.678,7.82,41.4
5.921,7.717,43.3
6.06,7.865,42.4
5.46,7.981,40.7
6.602,8.103,41.4
5.553,7.743,43.3
5.686,7.891,42.4
5.238,8.009,40.7
6.409,8.13,41.4
5.77,7.443,43.3
5.444,6.53,36.0
4.699,7.026,42.9
4.699,7.575,45.3
4.699,7.143,43.3
4.699,8.009,40.7
8.699,7.569,41.4
7.699,7.518,40.4
6.119,7.518,40.4
5.812,8.804,40.7
7.319,8.091,40.0
7.125,8.586,40.4
7.066,7.834,40.4
5.854,7.834,40.4
6.658,8.175,41.2
8.097,7.42,42.9
5.444,6.53,36.0
8.022,7.664,41.8
7.427,7.789,42.6
4.699,6.862,41.0
4.699,7.281,42.4
5.678,7.188,42.9
7.602,7.026,42.9
6.824,7.625,42.1
5.372,6.76,40.6
5.585,6.76,40.6
5.229,7.059,38.3
4.699,7.423,41.4
5.319,6.682,44.8
7.921,7.852,41.2
7.42,8.009,40.7
7.18,7.443,43.3
8.523,8.314,40.7
8.456,9.137,40.7
8.523,9.369,41.2
7.648,7.717,43.3
7.959,7.676,40.7
8.0,7.981,40.7
8.26,8.458,43.3
7.385,7.273,43.9
8.155,8.175,41.2
8.398,8.205,41.2
8.398,7.588,43.9
8.699,7.443,43.3
7.921,7.157,41.0
7.398,7.33,43.4
7.155,7.42,42.9
8.194,8.285,40.7
8.0,7.647,40.7
7.0,7.157,41.0
6.959,7.061,42.4
6.921,7.588,43.9
7.367,7.981,40.7
5.292,7.143,43.3
6.824,7.518,40.4
5.469,6.776,40.0
8.097,7.427,41.0
8.398,9.046,41.2
8.131,7.981,40.7
8.398,9.108,40.7
7.745,8.175,41.2
6.886,7.676,40.7
6.18,6.975,41.4
8.432,8.155,41.0
5.367,7.764,45.9
