pXC50,nHet,nDB,nBM,Mi,nBO,SCBO,nSK,MW,nN,nAB,N.,nS,Sv,RBF,AMW,nCsp2,nHM
5.389,9,3,14,1.131,34,42.5,32,444.53,2,11,3.3,0,36.895,0.145,7.409,13,0
5.052,8,3,14,1.129,32,40.5,30,414.5,2,11,3.6,0,34.653,0.138,7.402,13,0
5.442,10,3,14,1.127,34,42.5,32,483.38,2,11,3.6,0,36.308,0.138,8.632,13,2
4.959,15,5,16,1.149,39,49.5,37,547.56,3,11,4.9,1,39.441,0.143,8.976,13,1
4.46,9,3,14,1.133,32,40.5,30,415.49,3,11,5.5,0,34.148,0.14,7.554,12,0
8.0,12,5,11,1.139,36,44.0,35,493.57,3,6,4.5,0,39.873,0.194,7.478,11,0
4.36,15,5,16,1.149,39,49.5,37,547.56,3,11,4.9,1,39.441,0.143,8.976,13,1
6.231,10,4,15,1.131,37,46.5,35,486.57,2,11,3.1,0,40.136,0.164,7.486,14,0
5.0,8,3,9,1.136,27,33.0,26,364.44,2,6,4.0,0,30.126,0.157,7.289,9,0
4.74,7,3,14,1.129,33,41.5,31,426.56,2,11,3.3,0,36.992,0.143,6.993,13,0
5.14,9,3,15,1.129,36,45.0,34,470.57,2,12,3.1,0,39.422,0.167,7.353,15,0
5.0,7,3,14,1.127,30,38.5,28,384.47,2,11,3.8,0,32.412,0.111,7.394,13,0
5.015,8,3,14,1.13,33,41.5,31,428.53,2,11,3.4,0,36.18,0.148,7.263,13,0
5.34,9,3,14,1.133,32,40.5,30,415.49,3,11,5.5,0,34.148,0.14,7.554,12,0
5.167,7,3,9,1.132,26,32.0,25,349.42,1,6,2.1,0,29.105,0.163,7.28,9,0
5.0,7,3,14,1.128,31,39.5,29,398.5,2,11,3.6,0,33.938,0.123,7.245,13,0
5.658,9,3,15,1.129,36,45.0,34,470.57,2,12,3.1,0,39.422,0.167,7.353,15,0
5.783,10,4,15,1.129,34,43.5,32,444.48,2,11,3.6,0,35.556,0.138,7.937,14,0
5.573,9,3,15,1.131,35,44.0,33,455.56,3,12,4.8,0,38.201,0.156,7.348,15,0
5.0,7,3,14,1.127,30,38.5,28,384.47,2,11,3.8,0,32.412,0.111,7.394,13,0
5.821,9,3,14,1.133,32,40.5,30,415.49,3,11,5.5,0,34.148,0.14,7.554,12,0
4.921,8,3,15,1.128,34,43.0,32,440.54,2,12,3.3,0,37.18,0.145,7.342,15,0
5.057,7,3,14,1.128,32,40.5,30,412.53,2,11,3.4,0,35.465,0.133,7.113,13,0
6.886,10,4,15,1.131,37,46.5,35,486.57,2,11,3.1,0,40.136,0.164,7.486,14,0
5.535,8,3,15,1.131,37,46.0,35,481.65,3,12,4.3,0,42.067,0.167,6.881,15,0
5.012,7,4,10,1.132,27,34.0,26,360.45,2,6,4.0,0,30.412,0.137,7.209,11,0
5.458,9,3,14,1.133,32,40.5,30,415.49,3,11,5.5,0,34.148,0.14,7.554,12,0
5.219,8,3,9,1.137,28,34.0,27,378.47,2,6,3.8,0,31.653,0.167,7.141,9,0
5.23,8,3,14,1.125,33,41.5,31,444.6,2,11,3.4,1,36.652,0.148,7.536,13,1
6.167,10,4,16,1.131,39,49.0,37,511.63,3,12,4.3,0,42.97,0.167,7.309,16,0
5.474,8,3,15,1.128,35,44.0,33,454.57,2,12,3.2,0,38.707,0.154,7.215,15,0
5.14,8,3,14,1.132,33,41.5,31,427.55,3,11,5.0,0,36.487,0.129,7.126,13,0
5.166,9,3,15,1.129,35,44.0,33,456.54,2,12,3.3,0,37.895,0.159,7.484,15,0
