pXC50,SpMin1_Bh.e.,SpMin1_Bh.i.,SpMin1_Bh.p.,SpMin1_Bh.v.,SpMin8_Bh.p.,JGI10,Se,GATS5s,GATS5m,P_VSA_LogP_5,P_VSA_MR_1,SpMin3_Bh.m.,SpMin8_Bh.v.,ATS4i,ATSC1i,CATS2D_01_LL,P_VSA_m_2,SAtot,SIC0,SpMax7_Bh.i.,SpMin7_Bh.e.,SpMin8_Bh.m.,AAC,AECC,ALOGP,ALOGP2,AMR,AMW,ARR,ATS1e,ATS1i,ATS1m,ATS1p,ATS1s,ATS1v,ATS2e,ATS2i,ATS2m,ATS2p,ATS2s,ATS2v,ATS3e,ATS3i,ATS3m,ATS3p,ATS3s,ATS3v,ATS4e,ATS4m,ATS4p,ATS4s,ATS4v,ATS5e,ATS5i,ATS5m,ATS5p,ATS5s,ATS5v,ATS6e,ATS6i,ATS6m,ATS6p,ATS6s,ATS6v,ATS7e,ATS7i,ATS7m,ATS7p,ATS7s,ATS7v,ATS8e,ATS8i,ATS8m,ATS8p,ATS8s,ATS8v,ATSC1e,ATSC1m,ATSC1p,ATSC1s,ATSC1v,ATSC2e,ATSC2i,ATSC2m,ATSC2p,ATSC2s,ATSC2v,ATSC3e,ATSC3i,ATSC3m,ATSC3p,ATSC3s,ATSC3v,ATSC4e,ATSC4i,ATSC4m,ATSC4p,ATSC4s,ATSC4v,ATSC5e,ATSC5i,ATSC5m,ATSC5p,ATSC5s,ATSC5v,ATSC6e,ATSC6i,ATSC6m,ATSC6p,ATSC6s,ATSC6v,ATSC7e,ATSC7i,ATSC7m,ATSC7p,ATSC7s,ATSC7v,ATSC8e,ATSC8i,ATSC8m,ATSC8p,ATSC8s,ATSC8v,BAC,BBI,BIC0,BIC1,BIC2,BIC3,BIC4,BIC5,BID,BLI,BLTA96,BLTD48,BLTF96,Br.094,C.,C.001,C.002,C.003,C.004,C.005,C.006,C.008,C.011,C.012,C.022,C.024,C.025,C.026,C.027,C.028,C.034,C.039,C.040,C.041,CATS2D_02_AA,CATS2D_02_AL,CATS2D_02_DA,CATS2D_02_DL,CATS2D_02_LL,CATS2D_03_AA,CATS2D_03_AL,CATS2D_03_DA,CATS2D_03_DD,CATS2D_03_DL,CATS2D_03_LL,CATS2D_04_AA,CATS2D_04_AL,CATS2D_04_DA,CATS2D_04_DD,CATS2D_04_DL,CATS2D_04_LL,CATS2D_05_AA,CATS2D_05_AL,CATS2D_05_DA,CATS2D_05_DD,CATS2D_05_DL,CATS2D_05_LL,CATS2D_06_AA,CATS2D_06_AL,CATS2D_06_DA,CATS2D_06_DL,CATS2D_06_LL,CATS2D_07_AA,CATS2D_07_AL,CATS2D_07_DA,CATS2D_07_DL,CATS2D_07_LL,CATS2D_08_AA,CATS2D_08_AL,CATS2D_08_DA,CATS2D_08_DL,CATS2D_08_LL,CATS2D_09_AA,CATS2D_09_AL,CATS2D_09_DA,CATS2D_09_DL,CATS2D_09_LL,CENT,Chi0_AEA.bo.,Chi0_AEA.dm.,Chi0_AEA.ed.,Chi0_AEA.ri.,Chi0_EA,Chi0_EA.bo.,Chi0_EA.dm.,Chi0_EA.ed.,Chi0_EA.ri.,Chi1_AEA.bo.,Chi1_AEA.dm.,Chi1_AEA.ed.,Chi1_AEA.ri.,Chi1_EA,Chi1_EA.bo.,Chi1_EA.dm.,Chi1_EA.ed.,Chi1_EA.ri.,CIC0,CIC1,CIC2,CIC3,CIC4,CIC5,CID,Cl.089,CMC.50,CMC.80,CSI,DBI,D.Dtr05,D.Dtr06
4.0,1.969,1.944,2.048,2.062,1.062,0.004,42.149,0.895,0.911,22.614,211.88,1.927,1.107,4.831,0.562,13,137.61,407.574,0.232,2.925,0.886,1.181,1.261,11.4,4.033,16.268,84.492,6.266,0.571,3.802,3.934,3.217,3.359,4.771,3.294,4.332,4.53,3.433,3.699,5.206,3.592,4.565,4.812,3.396,3.784,5.34,3.631,4.555,3.231,3.699,5.267,3.519,4.445,4.721,3.203,3.63,5.193,3.457,4.355,4.616,3.114,3.547,5.128,3.377,4.253,4.525,2.958,3.382,5.005,3.208,4.063,4.337,2.812,3.183,4.817,3.023,0.051,10.168,4.341,7.824,6.044,0.133,0.887,17.463,6.91,15.772,9.736,0.168,1.042,21.833,8.753,20.332,12.302,0.168,1.005,21.472,8.528,19.378,12.119,0.186,0.912,19.179,7.771,19.249,11.084,0.124,0.829,17.517,7.177,18.155,10.096,0.122,0.738,15.864,6.217,17.144,8.832,0.11,0.616,13.175,4.892,14.059,7.06,8,25,0.223,0.512,0.698,0.799,0.835,0.835,3.055,1.041,-5.0,-4.9,-4.59,0,41.9,0,3,0,0,1,2,0,0,0,0,9,2,1,0,0,0,0,0,0,0,3,0,1,15,0,3,0,0,1,13,0,1,0,0,0,11,0,1,1,0,0,13,0,1,0,0,9,0,2,0,2,4,0,2,0,2,2,0,1,0,1,3,496.0,13.974,13.974,13.974,13.974,13.974,12.5,17.411,9.084,14.202,10.398,10.398,10.398,10.398,10.398,8.293,21.108,4.377,10.715,4.165,2.539,1.489,0.919,0.715,0.715,3.726,0,1,1,471.0,2.915,0.0,146.46
4.0,1.968,1.944,2.049,2.062,1.024,0.005,42.149,0.953,0.962,22.614,211.88,1.931,1.061,4.829,0.562,13,137.61,407.574,0.232,2.925,0.886,1.122,1.261,9.95,4.033,16.268,84.492,6.266,0.571,3.802,3.934,3.217,3.359,4.772,3.294,4.332,4.53,3.433,3.699,5.201,3.592,4.565,4.812,3.433,3.785,5.337,3.64,4.567,3.321,3.718,5.31,3.56,4.489,4.745,3.34,3.705,5.27,3.554,4.485,4.738,3.306,3.698,5.27,3.54,4.451,4.717,3.132,3.612,5.197,3.431,4.316,4.603,2.903,3.461,4.998,3.25,0.051,10.168,4.341,7.935,6.044,0.133,0.887,17.463,6.91,15.346,9.736,0.162,1.042,21.849,8.747,19.241,12.286,0.197,1.01,21.996,8.493,20.888,11.926,0.204,0.959,20.223,8.114,20.862,11.445,0.139,0.952,20.02,8.23,20.329,11.53,0.153,0.91,19.367,7.738,19.954,10.949,0.099,0.817,16.626,6.721,14.519,9.823,8,25,0.223,0.512,0.699,0.805,0.856,0.868,3.056,1.042,-5.0,-4.9,-4.59,0,41.9,0,3,0,0,1,2,0,0,0,0,9,2,1,0,0,0,0,0,0,0,3,0,1,14,0,4,0,0,1,12,0,2,0,0,0,10,0,2,1,0,0,13,0,2,0,0,12,0,1,0,2,8,0,0,0,3,5,0,0,0,2,3,580.0,14.027,14.027,14.027,14.027,14.027,12.524,15.926,9.166,14.248,10.403,10.403,10.403,10.403,10.403,8.276,19.534,4.391,10.709,4.165,2.539,1.48,0.881,0.593,0.529,3.726,0,1,1,410.0,2.915,0.0,135.259
4.509,2.13,2.11,2.186,2.2,0.991,0.0,42.821,0.969,1.096,12.742,235.422,1.902,1.035,5.118,0.582,21,127.203,386.167,0.207,2.913,0.869,1.109,1.13,7.19,4.116,16.944,88.807,6.305,0.5,3.853,3.984,3.306,3.492,4.741,3.418,4.448,4.633,3.689,3.967,5.222,3.862,4.781,5.009,3.836,4.196,5.471,4.059,4.885,3.803,4.25,5.579,4.087,4.954,5.215,3.661,4.207,5.631,4.008,4.887,5.192,3.373,3.986,5.529,3.754,4.605,4.922,3.026,3.644,5.26,3.406,4.282,4.617,2.476,3.248,4.905,2.973,0.05,10.463,4.567,7.83,6.496,0.099,1.036,19.113,8.207,11.835,11.73,0.117,1.39,26.467,11.84,14.356,16.807,0.129,1.534,29.365,13.143,17.157,18.662,0.139,1.614,31.417,13.931,21.341,19.852,0.154,1.491,29.481,12.398,23.483,17.907,0.134,1.132,22.335,8.918,19.918,13.041,0.101,0.806,16.104,6.356,15.258,9.323,6,35,0.197,0.488,0.649,0.752,0.799,0.815,3.107,1.025,-6.07,-5.92,-5.5,0,45.5,0,4,1,1,1,1,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0,0,1,32,0,0,0,0,1,37,0,0,0,0,1,32,0,0,0,0,3,21,0,0,0,5,8,0,0,0,5,2,0,0,0,2,0,0,0,0,0,0,549.0,14.852,14.852,14.852,14.852,14.852,13.475,18.732,8.909,14.943,11.823,11.823,11.823,11.823,11.823,9.775,29.117,4.117,11.92,4.329,2.666,1.744,1.154,0.881,0.79,3.811,0,0,1,337.0,3.082,0.0,171.498
4.0,1.965,1.938,2.074,2.089,1.309,0.005,56.338,1.848,1.075,17.31,270.735,1.946,1.333,5.296,0.747,13,136.176,568.137,0.229,3.206,1.153,1.369,1.334,10.615,4.646,21.589,105.261,6.273,0.222,4.082,4.211,3.48,3.591,5.062,3.533,4.671,4.873,3.789,3.971,5.606,3.878,4.964,5.2,3.954,4.153,5.968,4.041,5.068,3.964,4.183,6.103,4.073,5.115,5.36,3.915,4.142,6.174,4.034,4.938,5.169,3.718,4.057,5.919,3.921,4.874,5.144,3.473,3.936,5.731,3.756,4.669,4.956,3.302,3.719,5.49,3.543,0.056,13.67,5.833,10.189,8.008,0.286,1.216,24.937,9.304,33.591,13.3,0.45,1.51,33.38,12.303,65.236,17.54,0.372,1.573,37.376,13.368,68.011,18.51,0.606,1.555,39.743,13.034,93.68,18.114,0.371,1.386,32.693,11.819,60.695,16.422,0.382,1.275,30.178,10.981,51.633,15.679,0.307,1.038,24.436,8.767,36.865,12.737,28,35,0.222,0.513,0.709,0.768,0.792,0.792,3.304,1.084,-4.49,-4.42,-4.16,0,38.6,2,5,1,0,0,4,0,1,0,2,5,1,0,0,0,0,0,1,0,1,4,0,2,13,0,6,2,0,4,10,0,9,0,0,4,11,1,9,0,0,3,14,0,4,0,1,14,1,2,0,0,12,0,2,1,0,7,0,6,0,0,2,1196.0,17.73,17.73,17.73,17.73,17.73,16.487,16.481,10.852,18.06,13.161,13.161,13.161,13.161,13.161,11.367,17.195,4.921,13.594,4.499,2.753,1.576,1.224,1.079,1.079,3.967,0,0,1,564.0,4.472,0.0,203.261
4.0,1.988,1.962,2.066,2.083,0.999,0.0,40.923,1.751,1.173,37.431,247.193,1.856,1.033,5.053,0.567,13,151.995,422.73,0.223,3.009,0.934,1.107,1.201,7.0,3.646,13.295,77.174,5.82,0.333,3.743,3.896,3.07,3.291,4.727,3.2,4.307,4.542,3.354,3.684,5.067,3.555,4.59,4.833,3.559,3.928,5.411,3.781,4.792,3.611,4.043,5.7,3.873,4.877,5.156,3.504,4.029,5.803,3.829,4.859,5.178,3.172,3.855,5.672,3.598,4.662,5.032,2.707,3.489,5.303,3.192,4.132,4.486,2.11,3.001,4.828,2.7,0.049,10.06,4.194,11.607,6.135,0.097,0.891,16.924,6.911,12.671,10.165,0.112,1.158,22.236,9.319,18.685,13.601,0.156,1.374,27.079,10.703,36.504,15.962,0.192,1.439,29.222,10.86,49.663,16.576,0.216,1.299,27.798,10.149,47.999,15.531,0.168,0.964,21.924,7.571,32.133,11.887,0.106,0.576,12.984,4.439,21.623,6.985,39,24,0.216,0.531,0.761,0.804,0.821,0.829,2.961,1.117,-4.42,-4.35,-4.1,0,38.1,3,2,1,1,1,1,0,0,0,0,4,2,0,0,0,0,0,1,0,0,1,0,1,17,0,3,0,0,1,18,0,5,0,0,1,16,0,3,0,0,2,11,0,1,1,4,3,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,428.0,11.913,11.913,11.913,11.913,11.913,11.056,11.514,7.128,12.01,8.675,8.675,8.675,8.675,8.675,7.39,11.815,3.104,8.787,4.191,2.445,1.167,0.929,0.834,0.786,3.584,0,1,1,243.0,3.873,0.0,66.658
4.0,1.913,1.893,2.003,2.013,0.956,0.012,38.458,1.03,1.245,26.223,164.795,1.892,0.993,4.758,0.515,8,124.615,379.714,0.271,2.883,0.839,1.026,1.434,7.75,3.959,15.677,85.664,7.319,0.545,3.742,3.853,3.366,3.386,4.731,3.305,4.274,4.439,3.725,3.787,5.179,3.663,4.564,4.765,3.93,3.969,5.397,3.818,4.551,3.757,3.934,5.352,3.763,4.55,4.763,3.627,3.918,5.336,3.745,4.515,4.756,3.385,3.792,5.284,3.602,4.439,4.71,3.091,3.582,5.203,3.368,4.174,4.477,2.645,3.202,4.898,2.982,0.039,9.037,4.049,7.081,5.21,0.103,0.88,17.975,7.255,13.362,9.008,0.188,1.139,27.916,10.551,19.807,12.475,0.196,1.123,27.809,10.505,19.515,12.393,0.176,1.126,26.495,10.111,17.615,12.661,0.123,1.058,22.608,9.323,17.873,12.374,0.192,0.985,22.268,8.451,21.282,11.232,0.114,0.738,15.592,5.937,16.878,8.35,6,29,0.258,0.558,0.726,0.846,0.893,0.902,3.059,1.082,-4.9,-4.81,-4.51,0,43.6,0,2,0,0,1,1,1,0,0,0,8,1,3,0,0,0,0,0,0,0,3,0,1,10,0,5,0,0,1,9,0,3,0,0,0,10,0,1,0,0,2,14,0,0,0,1,11,0,0,1,3,4,0,0,0,3,0,0,0,0,1,0,458.0,14.06,14.06,14.06,14.06,14.06,12.582,14.384,8.778,14.424,10.885,10.885,10.885,10.885,10.885,8.731,15.611,4.162,11.499,3.851,2.185,1.25,0.583,0.327,0.276,3.748,0,1,1,333.0,2.55,0.0,72.268
4.0,1.898,1.892,1.994,1.99,0.91,0.01,37.265,0.877,1.11,41.852,188.338,1.848,0.932,4.783,0.487,1,77.09,382.069,0.309,2.9,0.854,0.965,1.612,7.842,2.421,5.86,78.035,8.871,0.3,3.695,3.8,3.412,3.208,4.721,3.173,4.271,4.456,3.806,3.577,5.24,3.524,4.504,4.675,4.032,3.783,5.559,3.697,4.557,4.078,3.714,5.581,3.584,4.332,4.552,3.871,3.567,5.377,3.425,4.228,4.427,3.771,3.438,5.322,3.284,3.996,4.157,3.498,3.299,5.043,3.143,4.057,4.285,2.814,3.143,4.953,2.914,0.025,6.488,3.705,3.954,4.622,0.242,0.77,17.124,6.023,15.903,7.529,0.393,0.911,25.916,8.479,32.613,10.066,0.491,0.905,36.036,9.089,44.83,11.087,0.31,0.758,30.381,7.731,33.081,9.572,0.422,0.646,35.158,6.796,44.153,7.894,0.258,0.535,27.459,5.765,21.452,6.407,0.3,0.528,35.239,6.066,29.511,7.143,21,27,0.299,0.585,0.768,0.788,0.798,0.808,3.01,1.071,-3.33,-3.32,-3.18,1,37.8,0,2,0,0,2,3,0,0,0,0,2,1,3,0,0,0,1,0,0,0,7,0,0,4,1,4,0,0,0,3,1,5,0,0,0,4,1,3,0,0,0,1,1,3,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,420.0,12.483,12.483,12.483,12.483,12.483,11.614,17.777,7.515,12.961,9.866,9.866,9.866,9.866,9.866,8.407,20.747,3.592,10.656,3.598,2.054,1.068,0.96,0.906,0.852,3.666,0,1,1,305.0,3.162,0.0,41.882
4.0,1.899,1.88,2.01,2.011,0.882,0.01,36.592,1.507,1.198,35.672,188.338,1.686,0.925,4.64,0.474,5,99.984,357.406,0.262,2.838,0.792,0.998,1.362,8.625,2.529,6.394,66.259,6.036,0.375,3.652,3.787,3.018,3.087,4.629,3.037,4.2,4.421,3.215,3.388,5.058,3.304,4.341,4.573,3.264,3.48,5.199,3.365,4.382,3.133,3.433,5.165,3.294,4.345,4.603,2.957,3.355,5.125,3.2,4.21,4.472,2.745,3.272,4.934,3.078,4.191,4.509,2.599,3.138,4.809,2.922,3.933,4.229,2.507,2.97,4.636,2.769,0.038,9.226,3.572,7.401,5.052,0.183,0.682,15.799,5.221,16.239,7.613,0.274,0.752,18.017,6.198,22.002,8.966,0.19,0.74,18.43,6.161,19.695,9.046,0.32,0.682,17.94,5.729,23.524,8.357,0.162,0.626,15.234,5.418,16.281,7.917,0.167,0.572,14.544,4.871,14.908,7.404,0.154,0.48,11.361,3.844,12.723,5.908,19,19,0.256,0.547,0.811,0.866,0.866,0.866,2.849,1.068,-3.44,-3.42,-3.27,0,35.1,1,2,0,0,2,2,0,0,0,0,3,1,2,0,0,0,0,0,0,0,3,0,1,4,1,5,0,0,1,2,0,3,0,0,0,1,0,2,1,0,0,3,0,1,0,0,3,0,0,0,1,2,0,0,1,2,1,0,0,0,1,0,308.0,10.914,10.914,10.914,10.914,10.914,10.137,15.48,6.982,11.307,7.814,7.814,7.814,7.814,7.814,6.61,16.881,3.217,8.3,3.847,2.297,0.892,0.602,0.602,0.602,3.479,0,0,1,269.0,2.915,0.0,58.019
4.0,1.91,1.892,2.002,2.012,0.787,0.011,35.589,1.106,1.068,22.929,176.567,1.726,0.85,4.583,0.46,5,89.892,363.692,0.277,2.819,0.748,0.938,1.433,8.75,3.666,13.437,69.202,6.716,0.375,3.617,3.753,3.075,3.13,4.56,3.056,4.172,4.389,3.337,3.462,5.027,3.344,4.38,4.634,3.421,3.562,5.188,3.407,4.335,3.239,3.486,5.149,3.304,4.279,4.548,3.035,3.336,5.087,3.145,4.094,4.37,2.797,3.196,4.784,2.996,4.012,4.296,2.72,3.112,4.708,2.897,3.874,4.164,2.629,3.007,4.574,2.786,0.034,8.676,3.58,5.342,5.015,0.132,0.685,16.239,5.696,13.946,8.035,0.186,0.748,21.668,7.155,19.353,9.842,0.196,0.693,22.573,6.907,20.256,9.437,0.339,0.642,20.904,6.163,26.373,8.557,0.13,0.562,14.645,5.252,13.05,7.371,0.135,0.503,15.237,4.854,13.343,6.827,0.096,0.455,13.422,4.205,10.592,6.07,19,19,0.271,0.581,0.83,0.876,0.876,0.876,2.849,1.165,-4.54,-4.46,-4.2,0,36.1,1,3,0,0,1,2,0,0,0,0,3,1,2,0,0,0,0,0,0,0,3,0,1,6,0,3,0,0,1,7,0,1,0,0,0,5,0,2,1,0,0,5,0,0,0,0,3,0,0,0,2,3,0,0,0,2,2,0,0,0,1,0,300.0,10.914,10.914,10.914,10.914,10.914,10.137,14.029,6.961,11.252,7.804,7.804,7.804,7.804,7.804,6.606,13.467,3.205,8.354,3.737,2.097,0.785,0.542,0.542,0.542,3.479,1,0,1,273.0,2.915,0.0,58.019
4.229,1.973,1.977,2.042,2.082,1.028,0.007,40.771,1.458,0.98,7.861,176.567,1.86,1.079,4.922,0.612,6,87.022,384.336,0.292,2.978,0.886,0.922,1.567,9.368,2.084,4.343,78.579,6.889,0.3,3.777,3.9,3.479,3.329,4.643,3.241,4.386,4.585,3.693,3.711,5.53,3.595,4.634,4.881,3.618,3.815,5.555,3.633,4.65,3.448,3.676,5.639,3.489,4.461,4.73,3.292,3.491,5.393,3.315,4.304,4.567,3.241,3.385,5.272,3.2,4.245,4.501,3.171,3.33,5.214,3.152,4.13,4.358,3.005,3.222,5.202,3.093,0.088,13.185,4.298,11.674,5.742,0.342,0.97,21.037,7.055,50.447,9.649,0.217,1.122,29.139,9.494,35.407,12.47,0.355,1.016,29.893,8.962,57.306,11.723,0.285,0.84,24.118,7.049,42.91,9.634,0.305,0.757,21.47,6.318,36.349,8.375,0.254,0.701,21.384,6.054,36.705,7.64,0.231,0.606,18.053,5.331,37.426,6.776,10,27,0.282,0.524,0.679,0.761,0.786,0.786,3.008,1.252,-2.87,-2.88,-2.78,0,34.1,1,3,0,0,0,4,0,0,0,0,4,1,1,0,0,0,0,0,0,1,3,2,1,6,0,4,0,0,2,4,0,6,1,0,2,2,0,2,0,0,1,2,2,2,0,3,2,0,2,0,0,1,0,6,0,0,1,0,1,0,0,4,457.0,12.507,12.507,12.507,12.507,12.507,11.469,14.979,7.528,12.794,9.862,9.862,9.862,9.862,9.862,8.255,14.338,3.571,10.344,3.79,2.445,1.586,1.128,0.994,0.994,3.661,0,1,1,371.0,3.391,62.472,70.275
