pXC50,CMC.80,Infective.80,Neoplastic.80,DLS_07,Inflammat.80,Hypertens.80,Mv,cRo5,CATS2D_08_LL,H.,SpMax3_Bh.m.,ATSC5p,GATS1v,CATS2D_03_LL,Eta_L_A,Depressant.80,CATS2D_02_DD,SpMin2_Bh.s.,Eig08_AEA.ri.,ATS8m,Eig09_AEA.ri.,Eig01_AEA.dm.,SpMax_AEA.dm.,Eig14_AEA.bo.,SRW08,SpMin4_Bh.e.,RDCHI,Eta_FL_A,Eig09_EA.ri.,Chi1_EA.ri.,Chi1_EA.ed.,SpMaxA_AEA.ed.,X1v,Vindex,Yindex,SpMax3_Bh.i.,CATS2D_08_DL,Eta_betaS,SpMaxA_EA.ed.,S2K,Chi0_EA.ri.,Chi0_EA.dm.,Xt,SNar,SpMaxA_EA,Chi0_AEA.bo.,Chi0_AEA.dm.,Chi0_AEA.ed.,Chi0_AEA.ri.,Chi0_EA,Eig09_AEA.dm.,X3v,MDDD,TIC2,Sp,AMR,Chi0_EA.ed.,Eig14_AEA.ri.,piPC07,Eig14_EA.ri.,SRW10,CID,ATS7p,SM03_AEA.ed.,TIC3,Psi_i_1,Eig11_EA.ed.,SM06_AEA.ri.,IVDM,Eig08_EA,SM02_AEA.dm.,ATSC2m,SpAD_AEA.dm.,CENT,SpMax8_Bh.i.,Eig12_AEA.ri.,Psi_i_0,X1,SpMaxA_EA.ri.,SpMaxA_AEA.dm.,Eig09_EA,SM03_AEA.dm.,Eig07_EA.ed.,SM02_AEA.ri.,Eig13_EA.ed.,SM08_AEA.ri.,Chi0_EA.bo.,piPC01,SCBO,ATS8v,VAR,Chi1_AEA.bo.,Chi1_AEA.dm.,Chi1_AEA.ed.,Chi1_AEA.ri.,Chi1_EA,NdssC,NRS,CMC.50,SpMin5_Bh.m.,ATS1p,ATSC8i,X1Mad,Eig08_EA.ri.,Eig07_EA,SM15_AEA.bo.,Psychotic.80,ATS1i,SpAD_AEA.ed.,ATS2v,ON0V,TIC1,X3,ATS5p,Eig14_EA.ed.,SM09_AEA.ri.,Eig11_AEA.dm.,ATSC1i,SpAD_AEA.ri.,Eig15_EA,SM09_AEA.dm.,S0K,X2,SpMin8_Bh.v.,SpDiam_AEA.dm.,SpMin8_Bh.p.,ATSC5m,nH,C.003,TIC4,ATSC8p,Eig10_EA,SM04_AEA.dm.,SpMin5_Bh.p.,SRW04,SpMaxA_AEA.ri.,SpAD_EA,SpAD_AEA.bo.,PHI,Chi1_EA.dm.
5.975,1,0,0,1.0,0,0,0.659,1,7,44.4,3.824,9.684,0.839,8,0.258,0,0,1.163,2.129,3.313,2.004,4.513,4.513,1.015,8.362,1.429,4.029,0.233,1.0,15.037,5.032,0.224,10.207,0.153,0.389,3.751,0,16.0,0.342,7.752,17.924,20.55,0.227,19.474,0.108,17.256,17.256,17.256,17.256,17.256,1.526,5.892,25.76,207.972,32.409,111.157,10.386,0.693,6.38,-0.208,9.955,3.968,3.638,7.175,223.624,15.114,1.372,1.372,4.606,1.202,1.202,21.404,44.17,910.0,2.925,1.389,18.242,12.259,0.099,0.161,1.07,1.07,4.271,4.271,0.442,0.442,15.086,3.638,37.0,3.366,90.0,13.887,13.887,13.887,13.887,13.887,1,3,0,1.525,3.581,0.866,11.082,1.103,1.522,1.522,0,4.023,41.248,3.849,8.317,165.777,9.007,3.799,-0.596,-0.596,1.0,0.685,41.192,-0.445,-0.445,112.096,10.98,1.107,6.513,1.062,28.709,20.0,0,226.379,7.377,1.0,1.0,1.459,5.342,0.14,41.26,41.423,5.229,25.187
5.439,0,0,0,1.0,0,0,0.71,1,6,38.1,3.922,8.659,0.727,9,0.259,0,0,1.098,2.128,3.491,2.003,4.513,4.513,1.036,8.436,1.429,4.071,0.228,1.0,16.014,5.1,0.219,10.757,0.153,0.387,3.75,0,17.0,0.337,8.339,18.658,20.292,0.224,19.879,0.106,17.756,17.756,17.756,17.756,17.756,1.662,6.5,27.337,194.968,32.364,115.725,10.56,0.696,6.497,-0.177,10.046,4.002,3.659,7.262,208.477,15.43,2.199,2.199,4.65,1.203,1.203,14.894,46.772,998.0,2.925,1.416,18.589,12.67,0.095,0.156,1.071,1.071,4.877,4.877,0.45,0.45,15.534,3.664,38.0,3.38,98.0,14.355,14.355,14.355,14.355,14.355,1,3,0,1.296,3.58,0.777,10.924,1.101,1.683,1.683,0,3.958,43.149,3.866,7.519,165.458,9.592,3.781,-0.591,-0.591,1.258,0.62,43.252,-0.285,-0.285,118.211,11.487,1.034,6.513,0.999,26.845,16.0,0,210.477,7.38,1.0,1.0,1.423,5.389,0.137,43.005,43.129,5.887,24.623
6.5,0,0,0,1.0,0,0,0.696,1,7,40.0,3.922,8.847,0.757,9,0.268,0,0,1.216,2.374,3.537,2.041,4.499,4.499,1.049,8.475,1.513,4.159,0.22,1.025,16.505,5.35,0.211,11.257,0.15,0.378,3.782,0,17.5,0.326,8.991,19.36,21.909,0.22,20.572,0.102,18.463,18.463,18.463,18.463,18.463,1.787,6.818,29.638,213.624,34.125,120.59,11.06,0.773,6.502,-0.13,10.088,4.04,3.763,7.276,227.133,16.097,2.199,2.199,4.706,1.425,1.425,17.33,47.733,1127.0,2.935,1.585,19.405,13.17,0.092,0.15,1.1,1.1,4.877,4.877,0.58,0.58,16.241,3.689,39.0,3.473,113.0,14.855,14.855,14.855,14.855,14.855,1,3,0,1.289,3.628,0.886,11.419,1.34,1.683,1.683,0,4.021,44.743,3.91,8.019,176.895,9.842,3.823,-0.369,-0.369,1.259,0.661,44.632,-0.285,-0.285,124.382,11.841,1.107,6.499,1.062,27.899,18.0,0,229.133,8.496,1.0,1.0,1.385,5.416,0.132,44.336,44.577,6.43,26.655
6.148,0,0,0,1.0,0,0,0.634,1,13,48.1,3.83,11.069,0.913,8,0.283,0,0,1.235,2.463,3.54,2.389,4.531,4.531,1.445,8.447,1.525,4.294,0.205,1.364,16.495,5.587,0.201,11.617,0.143,0.36,3.865,0,17.5,0.306,9.275,19.747,19.706,0.217,21.266,0.096,19.118,19.118,19.118,19.118,19.118,1.532,6.671,32.735,255.254,37.694,124.207,11.536,1.14,6.323,0.189,10.03,4.074,3.837,7.273,275.254,17.179,2.275,2.275,4.76,1.532,1.532,26.814,48.777,1306.0,3.009,1.532,20.613,13.653,0.088,0.146,1.413,1.413,4.312,4.312,0.86,0.86,17.026,3.714,40.0,3.647,122.0,15.387,15.387,15.387,15.387,15.387,1,3,0,1.644,3.719,1.113,12.504,1.419,1.613,1.613,0,4.191,46.165,3.986,10.067,194.764,9.651,4.005,0.506,0.506,1.201,0.808,45.576,-0.175,-0.175,126.606,12.37,1.308,6.531,1.239,33.691,26.0,1,277.254,9.519,1.078,1.078,1.582,5.442,0.126,45.673,46.304,6.533,26.247
5.284,1,1,1,1.0,0,0,0.663,1,6,43.1,3.997,11.105,0.868,6,0.255,0,0,1.235,2.441,3.554,2.373,5.18,5.18,1.444,8.586,1.561,4.284,0.227,1.338,17.43,5.569,0.222,13.044,0.146,0.37,3.803,0,18.5,0.366,9.028,20.342,22.894,0.215,21.553,0.104,19.436,19.436,19.436,19.436,19.436,1.787,7.563,34.107,248.887,36.727,124.735,11.527,1.161,6.741,0.214,10.206,4.105,3.818,7.434,264.539,17.57,2.275,2.275,4.792,1.51,1.51,26.127,52.058,1381.0,2.94,1.836,20.859,13.97,0.09,0.162,1.423,1.423,4.768,4.768,1.083,1.083,17.017,3.784,43.0,3.549,132.0,15.862,15.862,15.862,15.862,15.862,1,3,0,1.58,3.725,1.051,11.901,1.387,1.579,1.579,1,4.133,47.589,3.988,9.317,197.885,10.219,3.971,0.572,0.572,1.272,0.794,47.996,-0.156,-0.156,134.881,13.291,1.147,7.18,1.087,33.14,22.0,0,264.539,9.075,1.089,1.089,1.665,5.501,0.131,47.877,47.979,6.426,28.232
5.461,1,0,0,1.0,0,0,0.659,1,7,44.4,3.824,9.965,0.839,8,0.258,0,0,1.166,2.12,3.314,2.0,4.513,4.513,1.097,8.379,1.429,4.011,0.233,1.0,15.02,5.006,0.232,10.213,0.155,0.394,3.751,0,16.0,0.365,7.752,17.973,20.55,0.227,19.474,0.11,17.309,17.309,17.309,17.309,17.309,1.479,5.971,25.232,207.972,32.409,111.157,10.41,0.723,6.34,-0.194,9.984,3.968,3.666,7.194,223.624,15.118,1.587,1.587,4.606,1.195,1.195,21.404,44.246,899.0,2.925,1.416,18.242,12.276,0.103,0.161,1.053,1.053,3.48,3.48,0.438,0.438,15.119,3.638,37.0,3.373,90.0,13.871,13.871,13.871,13.871,13.871,1,3,0,1.538,3.581,0.892,11.1,1.093,1.44,1.44,0,4.023,41.459,3.849,8.317,165.777,9.145,3.816,-0.524,-0.524,1.0,0.685,41.191,-0.367,-0.367,110.096,10.873,1.107,6.513,1.062,29.201,20.0,0,226.379,7.722,1.0,1.0,1.443,5.342,0.144,41.273,41.411,5.229,25.187
5.399,1,1,0,1.0,0,0,0.661,1,4,43.5,3.824,9.574,0.853,5,0.251,0,0,1.102,2.12,3.368,2.0,4.513,4.513,1.387,8.409,1.429,4.087,0.241,1.0,15.637,5.158,0.226,10.325,0.154,0.392,3.751,0,17.0,0.359,8.379,19.015,22.438,0.223,20.167,0.107,18.179,18.179,18.179,18.179,18.179,1.481,5.952,27.254,217.677,32.864,112.579,10.932,1.109,6.418,0.164,10.018,4.006,3.666,7.222,233.329,15.363,1.878,1.878,4.663,1.195,1.195,21.798,45.446,996.0,2.925,1.416,18.776,12.814,0.099,0.156,1.053,1.053,3.541,3.541,0.455,0.455,16.041,3.664,38.0,3.403,98.0,14.309,14.309,14.309,14.309,14.309,1,3,0,1.57,3.579,0.889,11.486,1.093,1.442,1.442,1,4.048,42.813,3.853,8.483,174.727,9.459,3.866,0.388,0.388,1.186,0.702,42.325,-0.243,-0.243,118.211,11.064,1.107,6.513,1.062,27.801,20.0,0,233.329,7.581,1.0,1.0,1.511,5.371,0.139,42.407,42.475,5.728,28.367
5.777,1,1,0,1.0,0,0,0.661,1,5,43.5,3.824,9.74,0.853,6,0.251,0,0,1.102,2.13,3.366,2.007,4.513,4.513,1.388,8.391,1.429,4.117,0.241,1.0,15.654,5.179,0.216,10.319,0.151,0.382,3.751,0,17.0,0.331,8.379,18.973,22.438,0.223,20.167,0.104,18.127,18.127,18.127,18.127,18.127,1.526,5.943,28.083,217.677,32.864,112.579,10.888,1.113,6.462,0.164,9.986,4.006,3.664,7.204,233.329,15.358,1.372,1.372,4.663,1.204,1.204,21.798,45.42,1016.0,2.925,1.416,18.776,12.797,0.096,0.156,1.074,1.074,4.296,4.296,0.502,0.502,16.009,3.664,38.0,3.381,104.0,14.315,14.315,14.315,14.315,14.315,1,3,0,1.567,3.579,0.869,11.462,1.104,1.522,1.522,1,4.048,42.7,3.853,8.483,174.727,9.43,3.84,0.405,0.405,1.077,0.702,42.309,-0.244,-0.244,118.211,11.149,1.107,6.513,1.062,27.961,20.0,0,233.329,6.955,1.0,1.0,1.519,5.371,0.136,42.394,42.435,5.728,28.367
5.951,1,0,0,1.0,0,0,0.679,1,5,40.5,3.824,8.219,0.8,6,0.251,0,0,1.087,2.128,3.328,2.003,4.513,4.513,1.015,8.362,1.429,4.029,0.239,1.0,15.16,5.032,0.224,9.896,0.153,0.389,3.75,0,16.25,0.342,7.711,17.987,19.752,0.227,19.474,0.108,17.256,17.256,17.256,17.256,17.256,1.526,5.698,25.76,194.826,30.586,106.332,10.386,0.688,6.38,-0.206,9.955,3.968,3.593,7.175,210.477,14.84,1.372,1.372,4.606,1.202,1.202,17.89,44.385,910.0,2.925,1.369,17.888,12.259,0.099,0.161,1.07,1.07,4.271,4.271,0.442,0.442,15.086,3.638,37.0,3.312,90.0,13.887,13.887,13.887,13.887,13.887,1,3,0,1.297,3.529,0.888,10.963,1.102,1.522,1.522,0,3.966,41.248,3.812,7.46,161.174,9.007,3.691,-0.596,-0.596,1.0,0.719,41.282,-0.445,-0.445,112.096,10.98,1.049,6.513,1.025,23.762,17.0,0,210.477,6.926,1.0,1.0,1.425,5.342,0.14,41.26,41.423,5.181,24.378
5.28,1,1,0,1.0,0,0,0.683,1,5,38.6,3.825,8.888,0.797,6,0.236,0,0,1.119,2.248,3.411,2.116,4.513,4.513,1.393,8.448,1.429,4.168,0.252,1.091,16.084,5.306,0.21,10.295,0.15,0.379,3.756,0,17.75,0.322,8.339,19.188,23.078,0.22,20.572,0.101,18.463,18.463,18.463,18.463,18.463,1.662,5.931,30.118,203.809,31.801,113.44,11.028,1.114,6.675,0.166,10.047,4.039,3.62,7.276,219.46,15.648,2.275,2.275,4.706,1.268,1.268,17.615,48.152,1135.0,2.925,1.416,18.998,13.17,0.094,0.15,1.186,1.186,4.339,4.339,1.025,1.025,16.042,3.738,41.0,3.381,107.0,14.855,14.855,14.855,14.855,14.855,1,3,0,1.317,3.554,0.854,11.743,1.242,1.525,1.525,1,4.019,44.699,3.858,7.85,170.912,9.728,3.769,0.438,0.438,1.242,0.711,44.421,-0.242,-0.242,122.382,11.879,1.107,6.513,1.062,26.693,17.0,0,222.215,6.92,1.05,1.05,1.633,5.416,0.132,44.487,44.513,5.669,28.859
