pXC50,AMW,C.
4.644,9.155,43.9
5.188,9.011,45.7
4.492,7.238,33.9
5.137,8.388,37.8
4.866,8.077,44.1
4.223,9.927,41.7
5.004,8.182,46.3
4.441,11.254,45.5
4.548,8.375,44.4
4.097,6.876,38.5
4.764,8.816,43.2
5.4,7.928,46.9
4.097,7.748,39.3
4.783,7.72,41.5
5.095,8.31,35.4
4.097,8.036,43.2
4.411,7.951,38.8
4.951,7.434,34.8
4.614,8.499,44.4
4.627,6.93,40.8
4.527,8.825,47.4
5.114,10.142,33.3
4.097,10.69,47.7
5.215,6.58,39.7
4.688,10.346,42.9
4.097,6.756,38.2
4.248,8.677,40.5
4.762,7.749,46.0
4.609,6.959,36.8
5.162,12.353,48.6
5.646,9.199,49.1
4.097,8.091,38.8
4.839,8.769,41.5
4.097,10.529,43.8
4.334,8.364,38.7
5.413,6.756,34.4
4.374,9.096,45.1
4.097,9.421,48.6
4.405,9.214,38.2
4.851,9.526,48.5
4.097,8.695,44.7
4.64,8.5,40.8
4.77,7.458,44.7
4.839,9.567,44.1
5.05,7.907,38.2
4.245,6.278,33.3
4.442,7.74,44.2
5.253,9.089,46.5
4.255,7.663,37.3
5.077,7.765,34.8
5.333,7.893,35.3
4.097,7.821,48.6
5.048,9.122,37.1
4.097,6.744,35.0
4.772,8.851,47.4
4.276,7.893,31.0
4.613,9.21,45.2
4.672,9.518,44.4
4.338,6.461,36.7
5.662,9.588,44.2
4.344,7.229,40.0
4.231,8.51,40.9
5.514,8.838,45.7
4.244,6.962,45.2
4.097,7.26,47.5
5.703,9.53,43.5
5.564,8.275,40.4
4.593,8.794,42.9
5.401,8.793,44.9
4.609,7.242,37.5
4.462,8.103,40.6
4.842,8.378,50.0
5.036,9.752,45.9
4.561,8.982,51.4
4.74,8.92,38.2
4.697,9.408,37.1
4.097,7.367,42.9
4.697,7.154,37.1
4.81,8.5,40.8
4.246,7.464,39.6
4.381,7.926,40.0
4.759,9.281,40.5
5.182,9.78,37.1
5.38,9.07,47.1
4.246,7.371,42.0
4.785,7.626,34.9
4.277,8.61,42.5
5.385,9.541,41.2
4.604,9.268,45.7
4.097,8.071,41.5
5.172,9.102,45.8
4.745,10.692,45.7
4.646,8.664,42.5
4.772,10.147,52.5
4.71,6.795,41.1
4.595,8.83,44.0
5.095,9.767,53.7
4.553,8.823,40.8
4.439,7.206,41.0
4.936,7.739,32.7
5.159,7.025,37.3
5.064,8.601,36.4
4.857,7.611,39.1
5.173,8.847,41.8
5.532,8.41,45.7
4.682,7.611,39.1
4.455,10.406,42.9
4.097,8.046,34.1
4.565,7.371,35.2
4.457,7.248,37.3
4.631,9.043,41.9
4.818,10.132,56.0
4.206,8.151,44.0
4.511,9.654,38.7
4.408,9.818,47.1
4.097,11.236,50.0
4.547,7.61,33.3
4.556,8.276,31.6
4.876,9.106,45.2
4.635,8.756,51.1
5.292,7.394,38.2
5.33,8.933,44.1
4.283,8.965,42.2
4.51,8.3,38.7
4.097,6.881,37.0
4.936,9.341,41.7
4.996,8.287,41.7
4.544,9.248,35.3
4.097,9.57,43.8
4.873,9.704,46.5
4.532,10.948,45.8
5.012,9.426,43.2
4.807,9.511,39.5
4.848,9.597,44.1
5.048,8.915,43.8
4.529,7.989,38.3
4.097,17.838,38.5
4.47,8.794,42.9
4.446,8.982,51.4
4.857,10.012,35.3
5.388,9.733,41.2
5.166,9.836,42.1
4.097,8.738,43.8
4.932,9.657,45.0
4.097,9.035,46.2
5.094,8.689,44.0
4.893,7.749,46.0
5.137,9.777,43.2
5.1,12.65,42.9
4.721,9.051,36.0
5.088,11.231,45.2
5.012,10.049,41.7
4.577,8.041,38.2
4.767,14.308,46.2
4.879,7.668,43.2
4.833,9.649,44.2
4.582,8.067,44.2
5.027,9.446,48.7
4.097,13.082,42.9
4.932,8.113,45.8
4.783,9.02,47.6
5.182,8.739,45.9
4.476,9.571,40.0
4.721,11.39,25.0
4.097,8.602,38.5
