pXC50,BIC5,SpMin1_Bh.s.,MAXDN,CIC4,BIC4,ATSC4e,MATS7v,MATS8v,Eig01_AEA.bo.,Eig01_EA.bo.,PW4,SM11_AEA.ri.,SpMax_AEA.bo.,SpMax_EA.bo.,X3A,CIC5,GATS2v,MATS1s,SIC4,SIC5,SM11_EA.bo.,SM13_EA.bo.,SM14_EA.bo.,SM15_EA.bo.,GATS2s,piPC08,SpDiam_EA.bo.,SpMaxA_EA.ed.,ATSC3p,ATSC4v,ATSC5e,MATS2e,SpMin4_Bh.e.,AAC,AECC,ALOGP,ALOGP2,AMR,AMW,ARR,ATS1e,ATS1i,ATS1m,ATS1p,ATS1s,ATS1v,ATS2e,ATS2i,ATS2m,ATS2p,ATS2s,ATS2v,ATS3e,ATS3i,ATS3m,ATS3p,ATS3s,ATS3v,ATS4e,ATS4i,ATS4m
4.947,0.881,1.112,1.541,0.198,0.881,0.222,-0.158,-0.453,4.259,3.922,0.159,3.922,4.259,3.922,0.202,0.198,0.896,-0.156,0.957,0.957,15.258,17.963,19.366,20.667,0.625,5.829,6.922,0.547,3.318,3.81,0.143,0.1,1.171,1.814,6.6,3.415,11.665,63.738,9.137,0.688,3.305,3.401,3.113,2.937,4.576,2.89,3.7,3.837,3.438,3.219,4.924,3.164,3.782,3.95,3.209,3.081,5.083,3.034,3.748,3.981,2.971
4.834,0.892,1.213,2.372,0.257,0.892,0.261,0.022,0.033,4.431,3.951,0.166,3.951,4.431,3.951,0.199,0.257,0.9,-0.098,0.951,0.951,15.696,18.425,19.826,21.154,0.586,6.265,6.951,0.459,7.33,10.277,0.308,0.033,1.382,1.323,8.905,3.232,10.443,88.031,7.577,0.273,3.673,3.766,3.234,3.305,4.904,3.269,4.124,4.265,3.559,3.641,5.328,3.592,4.396,4.535,3.735,3.815,5.785,3.76,4.509,4.702,3.559
4.985,0.919,1.164,2.182,0.067,0.919,0.481,-0.162,-0.09,4.225,3.875,0.154,3.875,4.225,3.875,0.205,0.067,0.91,-0.101,0.986,0.986,15.363,18.04,19.423,20.718,0.578,4.977,6.875,0.408,5.776,5.579,0.41,0.104,1.359,1.996,9.5,4.085,16.687,80.778,10.974,0.524,3.524,3.597,3.455,3.208,4.803,3.159,3.952,4.035,3.833,3.56,5.282,3.481,4.151,4.286,3.96,3.54,5.526,3.454,4.11,4.287,3.576
5.469,0.853,1.265,1.981,0.603,0.853,0.344,-0.037,0.041,4.195,3.762,0.139,3.762,4.195,3.762,0.216,0.603,1.045,-0.044,0.886,0.886,14.663,17.281,18.675,19.911,0.501,4.544,6.762,0.434,7.249,8.835,0.368,0.272,1.325,1.676,10.65,2.952,8.714,82.608,7.524,0.3,3.715,3.854,3.258,3.229,4.847,3.18,4.214,4.409,3.578,3.545,5.346,3.461,4.453,4.678,3.585,3.643,5.595,3.523,4.439,4.685,3.551
4.237,0.873,1.32,6.148,0.417,0.873,1.207,-0.102,-0.264,4.864,4.717,0.15,4.717,4.864,4.717,0.183,0.417,0.956,-0.114,0.923,0.923,17.285,20.328,21.862,23.387,0.454,6.782,7.717,0.447,8.031,7.653,1.135,0.307,1.391,2.036,9.444,3.425,11.731,88.791,9.629,0.429,3.866,3.933,3.749,3.387,5.149,3.394,4.422,4.535,4.127,3.702,6.298,3.73,4.607,4.759,4.121,3.815,6.156,3.816,4.622,4.769,4.118
4.481,0.769,1.211,2.203,0.933,0.769,0.241,0.034,-0.18,3.979,3.478,0.158,3.478,3.979,3.478,0.208,0.933,1.194,0.047,0.81,0.81,13.85,16.326,17.782,18.803,0.389,4.755,6.478,0.436,4.99,4.978,0.206,0.405,1.182,1.563,7.938,2.368,5.606,59.971,7.276,0.353,3.497,3.614,3.04,3.008,4.618,2.989,4.005,4.173,3.312,3.353,5.136,3.287,4.241,4.496,3.144,3.286,5.241,3.181,4.005,4.266,2.988
5.381,0.878,1.077,2.354,0.267,0.878,0.592,0.118,-0.182,4.349,3.987,0.166,3.987,4.349,3.987,0.199,0.267,0.929,-0.126,0.946,0.946,15.524,18.256,19.679,20.989,0.587,5.031,6.987,0.461,5.255,4.582,0.46,0.115,1.065,1.823,9.35,4.097,16.784,77.394,10.305,0.571,3.519,3.601,3.344,3.155,4.831,3.143,3.929,4.015,3.715,3.491,5.308,3.459,4.171,4.311,3.811,3.56,5.537,3.506,4.143,4.291,3.867
5.87,0.884,1.29,2.187,0.359,0.866,0.291,0.078,-0.089,4.548,4.468,0.176,4.468,4.548,4.468,0.19,0.256,0.979,-0.088,0.932,0.951,16.562,19.526,21.033,22.498,0.547,6.613,7.468,0.411,7.266,9.294,0.294,0.17,1.427,1.611,11.0,4.376,19.146,93.589,8.687,0.654,3.766,3.861,3.459,3.405,4.991,3.381,4.214,4.326,3.807,3.768,5.455,3.721,4.475,4.644,3.855,3.869,5.679,3.798,4.502,4.694,3.711
5.386,0.926,1.075,2.35,0.0,0.926,0.588,0.058,-0.038,4.355,3.993,0.166,3.993,4.355,3.993,0.2,0.0,0.87,-0.135,1.0,1.0,15.531,18.268,19.693,21.005,0.622,5.064,6.993,0.464,5.231,3.82,0.466,0.075,1.072,1.982,8.85,3.459,11.963,77.683,12.228,0.571,3.498,3.581,3.474,3.127,4.826,3.119,3.9,3.99,3.888,3.459,5.296,3.43,4.119,4.259,3.98,3.529,5.529,3.472,4.067,4.203,3.909
5.419,0.819,1.141,2.345,0.629,0.819,0.439,-0.114,0.102,4.203,3.769,0.147,3.769,4.203,3.769,0.206,0.629,0.974,-0.089,0.875,0.875,15.25,17.899,19.307,20.546,0.559,4.888,6.769,0.412,5.614,6.315,0.413,0.129,1.113,1.69,10.0,3.46,11.97,73.042,8.252,0.571,3.598,3.702,3.229,3.154,4.899,3.154,4.028,4.158,3.547,3.468,5.385,3.457,4.25,4.417,3.58,3.518,5.635,3.494,4.287,4.5,3.353
