pXC50,nAB,nBM,nBO,nHet,nSK,SCBO,MW,nAT,nBT,nC,nCsp2,nDB,Se
4.095,18,19,39,10,35,49.0,482.47,57,61,25,19,1,58.993
4.674,10,10,11,5,10,16.0,136.13,14,15,5,5,0,14.735
6.348,6,10,22,7,20,29.0,307.78,30,32,13,11,4,30.895
6.539,6,10,23,7,21,30.0,303.37,34,36,14,11,4,34.782
6.384,6,10,22,7,20,29.0,352.23,30,32,13,11,4,30.8
6.441,6,10,22,6,20,29.0,287.37,33,35,14,11,4,33.454
5.738,6,10,22,7,20,29.0,307.78,30,32,13,11,4,30.895
6.206,6,10,23,7,21,30.0,321.81,33,35,14,11,4,33.778
5.971,6,10,22,6,20,29.0,287.37,33,35,14,11,4,33.454
5.693,6,12,24,9,22,33.0,318.34,32,34,13,11,6,33.444
5.754,6,10,23,6,21,30.0,301.4,36,38,15,11,4,36.338
6.229,6,10,22,7,20,29.0,291.33,30,32,13,11,4,31.084
5.991,6,10,22,6,20,29.0,287.37,33,35,14,11,4,33.454
5.209,6,10,22,7,20,29.0,307.78,30,32,13,11,4,30.895
5.592,6,10,22,7,20,29.0,352.23,30,32,13,11,4,30.8
5.703,6,10,22,7,20,29.0,291.33,30,32,13,11,4,31.084
6.256,6,10,21,6,19,28.0,273.34,30,32,13,11,4,30.571
4.585,21,22,38,11,34,49.5,571.41,53,57,23,17,1,53.909
4.699,27,28,46,11,41,60.5,659.17,67,72,30,23,1,67.313
4.622,21,24,41,14,37,54.5,616.06,58,62,23,17,3,59.418
4.444,22,23,35,9,31,47.0,525.32,44,48,22,20,1,44.938
4.495,28,29,43,9,38,58.0,613.08,58,63,29,26,1,58.342
4.466,22,25,38,12,34,52.0,569.97,49,53,22,20,3,50.447
4.301,22,23,35,9,31,47.0,508.87,44,48,22,20,1,45.127
4.332,28,29,43,9,38,58.0,596.63,58,63,29,26,1,58.531
4.301,22,25,38,12,34,52.0,553.52,49,53,22,20,3,50.636
5.027,22,23,37,9,33,49.0,533.96,52,56,24,20,1,52.484
5.208,28,29,45,9,40,60.0,621.72,66,71,31,26,1,65.887
5.081,22,25,40,12,36,54.0,578.61,57,61,24,20,3,57.993
4.095,18,20,39,10,35,50.0,480.45,55,59,25,21,2,57.109
4.15,18,22,51,14,47,64.0,652.65,79,83,33,23,4,81.72
