pXC50,nR09,D.Dtr09,Eig02_EA.ri.,Eig02_EA,SM10_AEA.bo.,Eig02_AEA.ri.,nR05,N.072,Eig10_EA.ed.,SM05_AEA.ri.,Eig09_EA.bo.,Eig07_EA.bo.,CATS2D_07_DL,Eig02_EA.ed.,SM11_AEA.dm.,MAXDP,CATS2D_05_AN,CATS2D_07_AL,X5,Eig09_AEA.bo.,SpMax2_Bh.p.,ATS8p,Eig12_AEA.ed.,Eig11_EA,SM05_AEA.dm.,Eta_beta,Eig12_AEA.ri.,Eig11_AEA.bo.,Eig10_AEA.ed.,Eig02_AEA.bo.,MATS6m,Eig01_AEA.dm.,SpMax_AEA.dm.,SNar,Xt,ATSC8i,Eig07_EA,SM15_AEA.bo.,Eig07_AEA.bo.,Eig11_EA.ed.,SM06_AEA.ri.,Eig07_AEA.ri.,Eig11_AEA.ri.,Eig11_EA.ri.,Eig09_EA.ri.,Eig11_EA.bo.,SRW05,ATSC6i,Eig13_AEA.ri.,Eig11_AEA.ed.,Eig13_EA,Eig13_EA.bo.,Eig13_EA.ed.,Eig13_EA.ri.,SM07_AEA.dm.,SM08_AEA.ri.,Eig07_EA.ri.,SpMin4_Bh.e.,SpMin4_Bh.p.,CATS2D_02_DA,Rbrid,ATS6i,ATS7p,MATS6i,X3sol,SdssC,Eig09_AEA.ri.,Eig09_EA
4.301,0,0.0,2.702,2.763,2.763,3.74,1,1,1.372,1.372,1.183,1.5,2,8.302,8.302,5.278,0,3,4.283,2.275,3.916,3.415,3.0,0.19,0.19,27.75,0.571,1.713,3.247,4.008,-0.085,4.457,4.457,15.89,0.251,0.695,1.0,1.0,2.698,0.319,0.319,2.0,1.149,0.181,0.783,0.285,4.263,1.043,0.501,3.04,-0.466,-0.53,-1.225,-0.456,-0.466,-1.225,1.0,1.387,1.521,1,0,4.677,3.499,-0.059,8.468,-0.256,1.782,0.808
8.06,0,0.0,2.83,2.84,2.84,3.833,0,2,2.95,2.95,1.776,2.092,5,8.836,8.836,6.6,0,11,6.696,2.78,3.858,4.705,3.414,1.16,1.16,41.0,2.0,2.5,3.65,4.204,0.033,4.057,4.057,24.038,0.204,2.732,1.732,1.732,3.096,2.578,2.578,2.723,2.138,1.119,1.422,1.5,0.0,2.446,2.0,3.544,1.0,1.269,2.136,1.0,1.0,2.136,1.713,1.712,1.885,2,0,5.693,4.664,-0.025,12.224,-1.129,2.432,1.435
4.585,0,0.0,2.941,3.089,3.089,4.044,0,2,2.136,2.136,1.577,2.153,0,10.361,10.361,6.315,0,6,5.517,2.59,3.694,3.71,3.157,0.817,0.817,33.5,1.652,2.018,3.387,4.357,0.063,4.222,4.222,19.474,0.227,1.214,1.677,1.677,3.111,1.92,1.92,2.627,1.751,0.753,1.199,0.88,0.0,1.264,1.35,3.247,0.357,0.431,0.841,0.35,0.357,0.841,1.581,1.433,1.724,4,0,5.023,3.76,0.182,8.708,-1.309,2.209,1.228
4.585,0,0.0,2.954,3.106,3.106,4.06,0,2,2.136,2.136,1.608,2.166,0,10.528,10.528,6.328,0,6,5.769,2.644,3.693,3.665,3.242,0.818,0.818,37.25,1.72,2.5,3.404,4.393,0.19,4.222,4.222,20.167,0.223,1.211,1.711,1.711,3.155,1.92,1.92,2.654,1.757,0.758,1.199,1.177,0.0,1.26,1.576,3.247,0.608,0.729,1.184,0.58,0.608,1.184,1.602,1.424,1.724,2,0,4.953,3.727,0.182,9.022,-2.568,2.21,1.228
8.854,0,0.0,3.44,3.457,3.457,4.453,0,2,5.662,5.662,2.43,3.172,6,13.354,13.354,6.938,0,22,10.203,3.363,3.874,5.055,4.177,1.556,1.556,66.0,2.496,3.117,5.236,4.509,-0.048,4.188,4.188,34.671,0.17,4.2,2.389,2.389,3.871,4.226,4.226,3.384,2.543,1.531,2.013,2.09,0.0,3.101,2.453,4.397,1.466,1.941,3.318,1.435,1.466,3.318,2.374,1.913,1.991,2,0,5.865,5.025,0.11,18.508,-2.508,3.07,2.104
4.585,0,0.0,2.886,3.089,3.089,4.023,0,2,2.136,2.136,1.607,2.153,0,10.361,10.361,6.288,0,6,5.517,2.625,3.671,3.625,3.157,0.817,0.817,33.75,1.645,2.025,3.387,4.357,0.09,4.222,4.222,19.474,0.227,0.979,1.677,1.677,3.111,1.92,1.92,2.601,1.75,0.752,1.198,0.887,0.0,1.154,1.287,3.247,0.357,0.433,0.841,0.302,0.357,0.841,1.51,1.411,1.724,2,0,4.922,3.705,0.151,9.066,-2.288,2.209,1.228
4.081,0,0.0,2.83,2.84,2.84,3.833,0,2,2.712,2.712,1.64,2.092,4,8.836,8.836,6.474,0,11,6.489,2.725,3.858,4.58,3.342,1.0,1.0,40.0,2.0,2.5,3.561,4.204,0.001,4.057,4.057,22.652,0.21,2.436,1.638,1.638,3.094,2.275,2.275,2.597,2.0,1.0,1.412,1.5,0.0,2.285,1.977,3.414,0.979,1.1,2.072,0.968,0.979,2.072,1.565,1.637,1.837,2,0,5.611,4.583,-0.021,11.724,-1.15,2.422,1.426
5.824,0,0.0,2.83,2.837,2.837,3.832,0,2,2.927,2.927,1.773,2.088,5,8.806,8.806,6.511,0,10,6.516,2.778,3.858,4.634,3.414,1.046,1.046,40.5,2.0,2.5,3.65,4.204,0.056,4.057,4.057,23.345,0.207,2.585,1.722,1.722,3.094,2.422,2.422,2.718,2.034,1.019,1.419,1.5,0.0,2.337,2.0,3.525,1.0,1.199,2.136,1.0,1.0,2.136,1.71,1.712,1.884,2,0,5.654,4.608,-0.039,12.124,-1.173,2.429,1.432
7.114,0,0.0,2.831,2.853,2.853,3.838,0,2,3.174,3.174,1.895,2.145,5,8.891,8.891,6.681,0,12,6.82,2.89,3.858,4.771,3.489,1.262,1.262,41.5,2.0,2.708,3.79,4.204,0.011,4.057,4.057,24.444,0.202,2.88,1.975,1.975,3.132,2.899,2.899,2.954,2.269,1.264,1.475,1.5,0.0,2.555,2.0,3.648,1.0,1.403,2.266,1.0,1.0,2.266,1.909,1.712,1.887,2,0,5.731,4.716,-0.013,12.323,-1.134,2.478,1.476
5.18,0,0.0,2.83,2.84,2.84,3.833,0,2,3.132,3.132,1.856,2.092,5,8.836,8.836,6.685,0,11,6.946,2.858,3.858,4.761,3.414,1.24,1.24,42.0,2.068,2.579,3.771,4.204,0.042,4.057,4.057,25.424,0.198,2.893,1.828,1.828,3.096,2.728,2.728,2.824,2.219,1.201,1.462,1.5,0.0,2.603,2.0,3.557,1.0,1.387,2.275,1.0,1.0,2.275,1.817,1.756,1.917,2,0,5.769,4.72,-0.023,12.724,-1.116,2.464,1.462
