pXC50,AAC,AECC,ALOGP,ALOGP2,AMR,AMW,ARR,ATS1e,ATS1i,ATS1m,ATS1p,ATS1s,ATS1v,ATS2e,ATS2i,ATS2m,ATS2p,ATS2s,ATS2v,ATS3e,ATS3i,ATS3m,ATS3p,ATS3s,ATS3v,ATS4e,ATS4i,ATS4m,ATS4p,ATS4s,ATS4v,ATS5e,ATS5i,ATS5m,ATS5p,ATS5s,ATS5v,ATS6e,ATS6i,ATS6m,ATS6p,ATS6s,ATS6v,ATS7e,ATS7i,ATS7m,ATS7p,ATS7s,ATS7v,ATS8e,ATS8i,ATS8m,ATS8p,ATS8s,ATS8v,ATSC1e,ATSC1i,ATSC1m,ATSC1p,ATSC1s,ATSC1v,ATSC2e,ATSC2i,ATSC2m,ATSC2p,ATSC2s,ATSC2v,ATSC3e,ATSC3i,ATSC3m,ATSC3p,ATSC3s,ATSC3v,ATSC4e,ATSC4i,ATSC4m,ATSC4p,ATSC4s,ATSC4v,ATSC5e,ATSC5i,ATSC5m,ATSC5p,ATSC5s,ATSC5v,ATSC6e,ATSC6i,ATSC6m,ATSC6p,ATSC6s,ATSC6v,ATSC7e,ATSC7i,ATSC7m,ATSC7p,ATSC7s,ATSC7v,ATSC8e,ATSC8i,ATSC8m,ATSC8p,ATSC8s,ATSC8v,BAC,BBI,BIC0,BIC1,BIC2,BIC3,BIC4,BIC5,BID,BLI,BLTA96,BLTD48,BLTF96,C.,C.001,C.002,C.003,C.004,C.005,C.006,C.008,C.011,C.012,C.016,C.017,C.024,C.025,C.026,C.027,C.028,C.029,C.031,C.034,C.038,C.040,CATS2D_00_DD,CATS2D_00_DP,CATS2D_00_PP,CATS2D_01_DA,CATS2D_01_LL,CATS2D_02_AA,CATS2D_02_AL,CATS2D_02_AP,CATS2D_02_DA,CATS2D_02_DL,CATS2D_02_LL,CATS2D_02_PL,CATS2D_03_AA,CATS2D_03_AL,CATS2D_03_AP,CATS2D_03_DA,CATS2D_03_DD,CATS2D_03_DL,CATS2D_03_DP,CATS2D_03_LL,CATS2D_03_PL,CATS2D_04_AA,CATS2D_04_AL,CATS2D_04_DA,CATS2D_04_DD,CATS2D_04_DL,CATS2D_04_DP,CATS2D_04_LL,CATS2D_04_PL,CATS2D_05_AA,CATS2D_05_AL,CATS2D_05_DA,CATS2D_05_DD,CATS2D_05_DL,CATS2D_05_LL,CATS2D_05_PL,CATS2D_06_AA,CATS2D_06_AL,CATS2D_06_DL,CATS2D_06_LL,CATS2D_06_PL,CATS2D_07_AA,CATS2D_07_AL,CATS2D_07_DA,CATS2D_07_DL,CATS2D_07_LL,CATS2D_07_PL,CATS2D_08_AA,CATS2D_08_AL,CATS2D_08_DL,CATS2D_08_LL,CATS2D_08_PL,CATS2D_09_AA,CATS2D_09_AL,CATS2D_09_DL,CATS2D_09_LL,CATS2D_09_PL,CENT,Chi0_AEA.bo.,Chi0_AEA.dm.,Chi0_AEA.ed.,Chi0_AEA.ri.,Chi0_EA,Chi0_EA.bo.,Chi0_EA.dm.,Chi0_EA.ed.,Chi0_EA.ri.,Chi1_AEA.bo.,Chi1_AEA.dm.,Chi1_AEA.ed.,Chi1_AEA.ri.,Chi1_EA,Chi1_EA.bo.,Chi1_EA.dm.,Chi1_EA.ed.,Chi1_EA.ri.,CIC0,CIC1,CIC2,CIC3,CIC4,CIC5,CID,Cl.089,CMC.50,CMC.80,cRo5,CSI,DBI,D.Dtr05,D.Dtr06,D.Dtr08,D.Dtr09,DECC
4.678,1.039,14.269,6.66,44.352,114.964,5.124,0.222,4.25,4.41,3.477,3.767,4.978,3.654,4.894,5.14,3.77,4.203,5.484,4.043,5.25,5.536,3.85,4.433,5.796,4.221,5.393,5.707,3.777,4.483,5.909,4.234,5.388,5.718,3.619,4.421,5.884,4.142,5.257,5.608,3.462,4.234,5.704,3.951,4.961,5.281,3.416,4.051,5.479,3.814,4.863,5.158,3.384,4.021,5.447,3.793,0.09,0.933,17.899,7.514,8.743,10.968,0.17,1.556,30.558,12.426,12.826,18.342,0.203,2.03,40.284,17.071,18.534,24.818,0.214,2.196,43.968,18.91,21.997,27.338,0.187,2.092,42.08,18.643,21.815,26.671,0.163,1.767,35.748,15.666,17.449,22.502,0.136,1.414,28.3,12.187,14.955,17.615,0.122,1.336,26.549,11.626,15.896,16.701,33,35,0.167,0.359,0.607,0.755,0.81,0.819,3.302,1.295,-4.24,-4.18,-3.95,35.7,2,12,1,0,2,1,1,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,23,3,0,0,0,0,0,0,0,23,3,0,0,0,0,0,0,21,1,0,0,0,0,0,20,1,0,0,0,16,2,0,0,0,0,14,2,0,0,0,14,1,0,0,0,14,1,1160.0,17.576,17.576,17.576,17.576,17.576,16.877,16.884,10.939,17.711,13.264,13.264,13.264,13.264,13.264,12.206,16.242,5.057,13.51,5.09,3.899,2.359,1.443,1.1,1.043,3.97,0,0,0,1,751.0,4.123,0.0,199.82,0.0,0.0,2.521
4.783,1.251,12.409,4.642,21.548,93.427,5.591,0.273,4.022,4.17,3.296,3.498,4.936,3.414,4.607,4.826,3.554,3.872,5.414,3.738,4.907,5.173,3.61,4.028,5.737,3.853,4.99,5.283,3.426,4.03,5.724,3.811,4.959,5.287,3.365,3.935,5.618,3.706,4.725,5.016,3.356,3.812,5.483,3.622,4.667,4.952,3.199,3.744,5.436,3.537,4.584,4.899,3.003,3.614,5.217,3.379,0.082,0.707,13.887,5.724,10.969,8.091,0.23,1.09,23.472,9.1,21.819,13.067,0.423,1.343,30.458,11.111,47.037,16.358,0.289,1.383,31.794,11.648,38.482,17.283,0.244,1.264,29.557,11.07,35.39,16.394,0.18,1.09,24.446,9.201,29.231,13.585,0.186,1.016,23.087,8.715,29.147,12.795,0.144,0.899,20.39,7.95,19.623,11.687,41,27,0.214,0.478,0.668,0.765,0.827,0.852,3.144,1.181,-5.7,-5.57,-5.19,34.5,1,9,0,0,1,1,0,0,1,0,0,4,2,0,0,0,0,0,0,0,0,1,1,1,0,16,0,1,1,1,1,18,1,0,1,0,1,1,2,1,17,1,0,1,0,0,2,0,13,1,0,2,0,0,3,11,2,0,2,4,10,2,0,1,0,3,9,1,0,1,2,8,1,0,1,2,7,1,680.0,14.905,14.905,14.905,14.905,14.905,14.182,11.901,9.191,15.118,10.626,10.626,10.626,10.626,10.626,9.538,9.661,4.173,10.907,4.53,2.979,1.869,1.3,0.937,0.791,3.789,0,0,1,1,530.0,4.243,0.0,86.976,0.0,0.0,2.318
5.009,1.429,10.444,4.265,18.19,106.938,7.326,0.387,4.042,4.16,3.613,3.678,4.994,3.621,4.662,4.825,4.059,4.189,5.541,4.101,5.07,5.276,4.142,4.422,5.884,4.28,5.225,5.499,3.992,4.355,6.012,4.188,5.041,5.296,3.952,4.241,5.884,4.095,5.017,5.278,3.941,4.188,5.923,4.037,4.855,5.087,3.849,4.101,5.792,3.932,4.754,5.025,3.738,3.96,5.552,3.778,0.036,0.713,11.081,5.168,6.964,7.054,0.151,1.284,22.262,9.76,23.441,13.47,0.18,1.823,36.855,15.179,25.2,20.848,0.419,2.02,46.743,16.888,65.17,23.377,0.271,1.737,36.028,14.091,38.297,19.616,0.346,1.619,37.624,13.723,59.524,18.706,0.33,1.342,36.693,12.391,53.384,16.595,0.21,1.225,31.703,11.228,30.495,15.502,5,47,0.239,0.545,0.688,0.78,0.806,0.806,3.341,1.005,-5.42,-5.3,-4.95,44.2,0,6,2,2,0,1,0,0,0,0,0,6,2,1,2,0,0,0,0,0,1,0,0,0,0,19,0,3,0,1,2,30,0,0,4,0,0,0,5,0,27,0,0,4,0,0,3,0,20,0,0,6,1,0,4,18,0,0,2,2,18,0,1,3,0,2,13,0,0,3,0,13,0,0,4,1,6,0,1117.0,18.341,18.341,18.341,18.341,18.341,16.736,18.367,10.558,18.584,15.328,15.328,15.328,15.328,15.328,12.984,23.334,5.051,15.733,4.272,2.443,1.587,1.038,0.885,0.885,4.053,1,0,1,1,633.0,3.674,0.0,442.521,276.215,0.0,1.679
4.783,1.238,13.0,4.608,21.229,98.031,5.544,0.261,4.073,4.222,3.338,3.55,4.976,3.463,4.661,4.883,3.573,3.935,5.42,3.795,4.959,5.229,3.658,4.103,5.752,3.918,5.11,5.414,3.539,4.092,5.849,3.877,4.974,5.281,3.46,4.011,5.674,3.797,4.878,5.178,3.421,3.935,5.629,3.728,4.797,5.099,3.296,3.828,5.534,3.618,4.63,4.932,3.114,3.687,5.299,3.469,0.086,0.745,14.658,6.065,11.028,8.581,0.194,1.162,24.584,9.653,18.547,13.907,0.32,1.454,31.825,12.062,39.643,17.77,0.47,1.479,35.525,12.59,50.866,18.66,0.251,1.352,30.692,11.502,34.709,17.034,0.212,1.245,28.111,10.608,35.648,15.662,0.212,1.118,25.833,9.64,32.443,14.194,0.168,0.956,21.653,8.398,21.767,12.27,44,28,0.209,0.47,0.671,0.774,0.832,0.855,3.186,1.187,-5.52,-5.4,-5.04,34.5,1,9,0,0,1,2,0,1,0,0,0,4,2,0,0,0,0,0,0,0,0,1,1,1,0,16,0,0,0,0,1,18,1,0,1,1,1,1,2,1,17,1,0,1,1,0,2,0,13,1,0,1,0,0,3,11,2,0,2,4,10,2,0,2,0,3,9,1,0,1,2,8,1,0,1,2,7,1,807.0,15.613,15.613,15.613,15.613,15.613,14.889,12.796,9.834,15.815,11.187,11.187,11.187,11.187,11.187,10.099,10.593,4.46,11.445,4.62,3.073,1.876,1.267,0.923,0.785,3.833,0,0,1,1,581.0,4.359,0.0,91.849,0.0,0.0,2.348
4.367,1.048,12.75,5.747,33.031,105.762,5.166,0.24,4.164,4.324,3.402,3.682,4.903,3.571,4.805,5.051,3.706,4.12,5.404,3.965,5.159,5.44,3.79,4.356,5.719,4.15,5.314,5.626,3.713,4.41,5.84,4.165,5.309,5.638,3.543,4.343,5.813,4.065,5.167,5.519,3.372,4.14,5.619,3.857,4.837,5.155,3.322,3.937,5.372,3.706,4.725,5.012,3.258,3.9,5.337,3.673,0.083,0.857,16.385,6.828,8.285,9.995,0.16,1.431,28.077,11.294,12.0,16.738,0.19,1.875,37.181,15.666,17.493,22.823,0.202,2.042,40.956,17.531,21.111,25.389,0.175,1.94,39.113,17.285,21.062,24.75,0.151,1.614,32.782,14.309,16.729,20.582,0.123,1.259,25.226,10.793,14.347,15.637,0.11,1.181,23.467,10.229,15.313,14.719,31,33,0.172,0.378,0.636,0.773,0.808,0.808,3.227,1.278,-2.91,-2.92,-2.82,35.9,2,10,1,0,2,1,1,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,21,3,0,0,0,0,0,0,0,21,3,0,0,0,0,0,0,19,1,0,0,0,0,0,18,1,0,0,0,14,2,0,0,0,0,12,2,0,0,0,11,1,0,0,0,10,1,878.0,16.162,16.162,16.162,16.162,16.162,15.463,16.884,9.939,16.297,12.264,12.264,12.264,12.264,12.264,11.206,16.242,4.557,12.51,4.952,3.698,2.126,1.297,1.078,1.078,3.891,0,0,0,1,619.0,3.873,0.0,179.286,0.0,0.0,2.25
4.367,1.031,15.857,7.572,57.337,124.166,5.089,0.207,4.329,4.49,3.547,3.845,5.048,3.73,4.975,5.222,3.83,4.28,5.558,4.115,5.334,5.624,3.906,4.504,5.868,4.287,5.466,5.782,3.838,4.551,5.973,4.3,5.462,5.792,3.689,4.493,5.95,4.213,5.34,5.69,3.544,4.32,5.783,4.037,5.071,5.393,3.501,4.154,5.576,3.912,4.984,5.284,3.472,4.126,5.547,3.893,0.096,1.01,19.409,8.199,9.2,11.939,0.18,1.682,33.03,13.554,13.639,19.939,0.215,2.185,43.367,18.47,19.548,26.802,0.226,2.349,46.975,20.285,22.881,29.284,0.199,2.245,45.049,20.002,22.589,28.592,0.175,1.919,38.717,17.025,18.268,24.423,0.149,1.569,31.36,13.577,15.923,19.585,0.135,1.492,29.639,13.025,16.792,18.687,35,37,0.163,0.342,0.579,0.726,0.791,0.82,3.373,1.309,-4.65,-4.57,-4.29,35.5,2,14,1,0,2,1,1,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,25,3,0,0,0,0,0,0,0,25,3,0,0,0,0,0,0,23,1,0,0,0,0,0,22,1,0,0,0,18,2,0,0,0,0,16,2,0,0,0,16,1,0,0,0,16,1,1454.0,18.99,18.99,18.99,18.99,18.99,18.291,16.884,11.939,19.125,14.264,14.264,14.264,14.264,14.264,13.206,16.242,5.557,14.51,5.217,4.083,2.589,1.658,1.25,1.066,4.043,0,0,0,1,899.0,4.359,0.0,220.799,0.0,0.0,2.724
4.959,1.028,16.655,8.028,64.454,128.767,5.073,0.2,4.366,4.528,3.58,3.882,5.081,3.766,5.014,5.26,3.858,4.316,5.593,4.149,5.373,5.666,3.934,4.538,5.902,4.319,5.5,5.817,3.867,4.583,6.004,4.331,5.496,5.827,3.723,4.527,5.981,4.247,5.379,5.729,3.583,4.361,5.82,4.077,5.122,5.445,3.542,4.201,5.622,3.958,5.039,5.342,3.514,4.175,5.593,3.939,0.099,1.048,20.163,8.541,9.428,12.425,0.185,1.744,34.264,14.117,14.04,20.737,0.222,2.263,44.903,19.167,20.047,27.791,0.232,2.426,48.477,20.972,23.323,30.256,0.205,2.321,46.534,20.682,22.982,29.554,0.181,1.996,40.202,17.704,18.682,25.384,0.155,1.646,32.886,14.27,16.402,20.568,0.142,1.57,31.177,13.723,17.276,19.677,36,38,0.161,0.335,0.565,0.711,0.776,0.813,3.406,1.315,-4.84,-4.75,-4.46,35.4,2,15,1,0,2,1,1,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,26,3,0,0,0,0,0,0,0,26,3,0,0,0,0,0,0,24,1,0,0,0,0,0,23,1,0,0,0,19,2,0,0,0,0,17,2,0,0,0,17,1,0,0,0,17,1,1603.0,19.698,19.698,19.698,19.698,19.698,18.999,16.884,12.439,19.832,14.764,14.764,14.764,14.764,14.764,13.706,16.242,5.807,15.01,5.276,4.169,2.7,1.771,1.354,1.121,4.077,0,0,0,1,978.0,4.472,0.0,231.421,0.0,0.0,2.839
5.097,1.025,17.467,8.485,71.987,133.368,5.059,0.194,4.402,4.564,3.612,3.918,5.113,3.801,5.05,5.297,3.886,4.351,5.627,4.182,5.411,5.705,3.96,4.57,5.935,4.349,5.534,5.851,3.895,4.614,6.034,4.361,5.53,5.861,3.755,4.56,6.012,4.28,5.417,5.766,3.62,4.4,5.855,4.116,5.17,5.494,3.581,4.247,5.665,4.001,5.091,5.396,3.554,4.222,5.638,3.984,0.103,1.087,20.916,8.884,9.656,12.91,0.19,1.806,35.496,14.68,14.439,21.533,0.228,2.34,46.435,19.863,20.542,28.778,0.238,2.502,49.978,21.659,23.765,31.228,0.211,2.398,48.019,21.362,23.378,30.515,0.187,2.072,41.688,18.384,19.098,26.345,0.161,1.723,34.409,14.962,16.879,21.55,0.148,1.647,32.712,14.419,17.757,20.665,37,39,0.159,0.328,0.552,0.696,0.762,0.801,3.439,1.321,-5.04,-4.94,-4.63,35.4,2,16,1,0,2,1,1,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,27,3,0,0,0,0,0,0,0,27,3,0,0,0,0,0,0,25,1,0,0,0,0,0,24,1,0,0,0,20,2,0,0,0,0,18,2,0,0,0,18,1,0,0,0,18,1,1752.0,20.405,20.405,20.405,20.405,20.405,19.706,16.884,12.939,20.539,15.264,15.264,15.264,15.264,15.264,14.206,16.242,6.057,15.51,5.333,4.252,2.808,1.885,1.464,1.208,4.11,0,0,0,1,1062.0,4.583,0.0,242.12,0.0,0.0,2.933
5.155,1.019,19.063,9.397,88.302,142.57,5.033,0.182,4.47,4.633,3.673,3.986,5.175,3.867,5.12,5.368,3.94,4.418,5.691,4.244,5.483,5.78,4.011,4.633,5.998,4.408,5.597,5.916,3.949,4.674,6.091,4.419,5.594,5.925,3.817,4.623,6.07,4.343,5.488,5.837,3.69,4.473,5.923,4.189,5.261,5.586,3.654,4.332,5.746,4.083,5.189,5.497,3.629,4.309,5.722,4.067,0.109,1.163,22.422,9.568,10.11,13.88,0.2,1.931,37.956,15.803,15.231,23.123,0.24,2.495,49.491,21.252,21.52,30.747,0.25,2.656,52.978,23.032,24.648,33.169,0.223,2.551,50.992,22.722,24.181,32.439,0.199,2.225,44.661,19.744,19.937,28.269,0.174,1.878,37.449,16.345,17.826,23.509,0.161,1.802,35.773,15.809,18.711,22.636,39,41,0.156,0.314,0.528,0.667,0.731,0.774,3.5,1.332,-5.42,-5.3,-4.95,35.2,2,18,1,0,2,1,1,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,29,3,0,0,0,0,0,0,0,29,3,0,0,0,0,0,0,27,1,0,0,0,0,0,26,1,0,0,0,22,2,0,0,0,0,20,2,0,0,0,20,1,0,0,0,20,1,2238.0,21.819,21.819,21.819,21.819,21.819,21.12,16.884,13.939,21.953,16.264,16.264,16.264,16.264,16.264,15.206,16.242,6.557,16.51,5.441,4.408,3.014,2.107,1.688,1.41,4.174,0,0,0,1,1238.0,4.796,0.0,263.713,0.0,0.0,3.129
4.538,1.013,20.647,10.309,106.282,151.772,5.01,0.171,4.534,4.697,3.731,4.049,5.232,3.929,5.186,5.434,3.991,4.48,5.752,4.304,5.55,5.85,4.059,4.691,6.057,4.463,5.657,5.977,4.0,4.73,6.145,4.474,5.654,5.986,3.875,4.682,6.125,4.402,5.555,5.902,3.756,4.542,5.987,4.258,5.343,5.67,3.722,4.41,5.822,4.159,5.277,5.588,3.699,4.389,5.799,4.144,0.115,1.24,23.925,10.252,10.563,14.849,0.21,2.056,40.411,16.924,16.014,24.711,0.253,2.649,52.537,22.638,22.485,32.711,0.262,2.809,55.976,24.403,25.532,35.109,0.235,2.704,53.965,24.083,24.994,34.363,0.211,2.378,47.635,21.104,20.783,30.193,0.186,2.032,40.481,17.725,18.765,25.465,0.173,1.957,38.824,17.195,19.655,24.601,41,43,0.153,0.303,0.506,0.64,0.702,0.746,3.559,1.342,-5.8,-5.66,-5.27,35.1,2,20,1,0,2,1,1,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,31,3,0,0,0,0,0,0,0,31,3,0,0,0,0,0,0,29,1,0,0,0,0,0,28,1,0,0,0,24,2,0,0,0,0,22,2,0,0,0,22,1,0,0,0,22,1,2736.0,23.233,23.233,23.233,23.233,23.233,22.534,16.884,14.939,23.368,17.264,17.264,17.264,17.264,17.264,16.206,16.242,7.057,17.51,5.541,4.552,3.207,2.322,1.909,1.623,4.234,0,0,0,1,1426.0,5.0,0.0,285.528,0.0,0.0,3.374
