pXC50,Mp,Mv,nAB,C.,AMW,H.,nCsp3,nX,X.
4.796,0.688,0.637,17,48.0,6.81,48.0,6,0,0.0
4.854,0.684,0.643,11,45.5,7.192,45.5,6,0,0.0
5.0,0.666,0.625,16,43.2,6.987,47.7,6,0,0.0
4.959,0.724,0.634,11,42.1,9.639,50.0,6,1,2.6
4.409,0.666,0.625,16,43.2,6.987,47.7,6,0,0.0
4.854,0.692,0.611,11,40.4,6.473,53.8,9,0,0.0
5.237,0.658,0.612,11,42.5,6.71,50.0,6,0,0.0
5.517,0.696,0.656,23,49.2,7.311,44.4,6,0,0.0
5.222,0.655,0.61,12,39.3,7.178,50.0,9,1,1.8
4.921,0.659,0.616,12,39.6,7.32,49.1,8,1,1.9
5.167,0.659,0.616,12,39.6,7.32,49.1,8,1,1.9
4.642,0.629,0.586,6,38.2,6.48,52.9,18,0,0.0
4.828,0.663,0.622,12,40.0,7.478,48.0,7,1,2.0
5.348,0.685,0.647,17,47.2,7.255,45.3,6,0,0.0
5.724,0.687,0.638,17,43.9,8.201,47.4,8,1,1.8
4.398,0.622,0.577,6,37.1,6.324,54.3,18,0,0.0
6.301,0.665,0.601,11,40.4,6.713,53.2,9,0,0.0
4.0,0.605,0.609,6,34.6,8.22,44.2,10,6,11.5
4.0,0.622,0.571,10,35.0,6.16,55.0,8,0,0.0
4.0,0.612,0.564,6,34.6,6.144,55.8,10,0,0.0
4.0,0.623,0.573,6,37.8,6.121,55.6,11,0,0.0
4.42,0.646,0.599,12,37.9,6.95,51.5,13,0,0.0
4.959,0.723,0.681,16,45.5,8.757,40.9,5,2,4.5
4.886,0.684,0.643,16,45.5,7.192,45.5,5,0,0.0
6.31,0.683,0.652,16,45.5,7.601,43.2,5,1,2.3
5.721,0.704,0.662,16,45.5,7.975,43.2,5,1,2.3
5.276,0.704,0.662,16,45.5,7.975,43.2,5,1,2.3
5.125,0.704,0.662,16,45.5,7.975,43.2,5,1,2.3
5.523,0.684,0.643,16,45.5,7.192,45.5,5,0,0.0
6.292,0.704,0.662,16,45.5,7.975,43.2,5,1,2.3
5.066,0.683,0.652,16,45.5,7.601,43.2,5,1,2.3
4.222,0.622,0.556,6,38.1,5.51,59.5,10,0,0.0
4.0,0.622,0.556,6,38.1,5.51,59.5,10,0,0.0
4.009,0.622,0.556,6,38.1,5.51,59.5,10,0,0.0
8.959,0.616,0.556,6,37.0,5.684,58.7,11,0,0.0
8.523,0.615,0.563,6,36.4,5.987,56.8,10,0,0.0
6.959,0.66,0.603,11,39.6,6.907,52.1,9,0,0.0
6.032,0.702,0.657,22,46.2,7.749,44.2,5,1,1.9
5.155,0.701,0.665,22,46.2,8.095,42.3,5,2,3.8
5.155,0.683,0.637,16,42.2,7.575,46.7,6,1,2.2
4.824,0.696,0.652,16,44.7,7.764,44.7,6,1,2.1
5.824,0.675,0.628,22,42.0,7.263,47.8,10,1,1.4
5.319,0.678,0.638,16,41.3,7.758,45.7,6,1,2.2
5.149,0.705,0.632,16,38.9,7.39,50.0,8,1,1.9
