pXC50,Me,nH,AMW,nN,nDB,N.,nHet,nC,H.,C.,nCsp2,nCsp3,nHM,nS,Si,Sv,nAT,RBN,Sp,RBF,Mi,nBO,SCBO,nSK,Mv,X.,nAB,nBT,MW,Se
5.377,0.982,40,6.378,2,0,2.6,4,32,52.6,42.1,18,14,0,0,85.304,45.482,76,7,49.387,0.088,1.122,40,49.0,36,0.598,0.0,18,80,484.74,74.647
9.301,0.985,29,6.682,1,1,1.7,3,26,50.0,44.8,20,6,0,0,64.73,35.826,58,8,38.574,0.133,1.116,31,41.0,29,0.618,0.0,18,60,387.56,57.127
5.957,0.982,40,6.378,2,0,2.6,4,32,52.6,42.1,18,14,0,0,85.304,45.482,76,7,49.387,0.088,1.122,40,49.0,36,0.598,0.0,18,80,484.74,74.647
6.517,0.99,34,6.745,2,0,2.9,5,29,50.0,42.6,18,11,0,0,76.268,41.616,68,6,44.557,0.083,1.122,38,47.0,34,0.612,0.0,18,72,458.65,67.323
6.275,0.991,31,7.235,2,0,3.1,5,28,48.4,43.8,18,10,1,0,71.587,40.202,64,6,43.199,0.088,1.119,37,46.0,33,0.628,1.6,18,68,463.06,63.436
6.499,0.993,33,6.875,2,0,3.0,5,29,49.3,43.3,18,11,0,0,75.398,41.284,67,6,44.04,0.085,1.125,38,47.0,34,0.616,1.5,18,71,460.64,66.509
6.5,0.986,32,6.697,2,0,3.1,4,28,50.0,43.8,18,10,0,0,71.643,39.374,64,6,42.341,0.088,1.119,36,45.0,32,0.615,0.0,18,68,428.62,63.112
5.584,0.985,39,6.476,3,0,4.0,5,31,52.0,41.3,18,13,0,0,84.387,44.976,75,7,48.631,0.089,1.125,40,49.0,36,0.6,0.0,18,79,485.73,73.865
6.983,0.985,34,6.607,2,0,3.0,4,29,50.7,43.3,18,11,0,0,75.059,40.901,67,6,44.103,0.085,1.12,37,46.0,33,0.61,0.0,18,71,442.65,65.996
6.69,0.994,31,6.978,2,0,3.1,5,28,48.4,43.8,18,10,0,0,71.983,39.758,64,6,42.279,0.088,1.125,37,46.0,33,0.621,1.6,18,68,446.61,63.625
6.33,0.99,33,7.121,2,0,3.0,5,29,49.3,43.3,18,11,1,0,75.003,41.729,67,6,44.961,0.085,1.119,38,47.0,34,0.623,1.5,18,71,477.09,66.32
6.673,0.99,33,7.121,2,0,3.0,5,29,49.3,43.3,18,11,1,0,75.003,41.729,67,6,44.961,0.085,1.119,38,47.0,34,0.623,1.5,18,71,477.09,66.32
6.376,0.997,18,7.605,1,0,2.4,3,21,42.9,50.0,18,3,0,0,46.784,27.861,42,2,29.25,0.044,1.114,27,36.0,24,0.663,2.4,18,45,319.4,41.894
6.237,0.984,24,6.321,0,0,0.0,2,19,53.3,42.2,6,11,0,0,50.401,26.751,45,1,29.046,0.021,1.12,23,28.0,21,0.594,0.0,6,47,284.43,44.258
5.523,0.983,31,6.203,1,0,1.8,3,23,54.4,40.4,8,15,0,0,64.145,33.353,57,0,36.336,0.0,1.125,30,35.0,26,0.585,0.0,10,61,353.55,56.01
7.18,1.001,32,7.27,1,1,1.4,6,31,46.4,44.9,20,11,0,0,77.319,43.693,69,5,45.944,0.068,1.121,42,52.0,37,0.633,1.4,18,74,501.64,69.061
6.123,1.069,8,10.99,0,2,0.0,7,16,25.8,51.6,15,1,1,0,35.083,23.283,31,1,22.602,0.03,1.132,25,33.0,23,0.751,12.9,12,33,340.69,33.145
7.149,1.058,11,9.608,0,2,0.0,7,17,31.4,48.6,15,2,0,0,39.763,24.697,35,2,23.96,0.054,1.136,26,34.0,24,0.706,8.6,12,37,336.28,37.033
5.307,1.038,15,8.683,1,2,2.5,7,18,37.5,45.0,15,3,0,0,45.337,26.862,40,4,26.79,0.095,1.133,27,35.0,25,0.672,5.0,12,42,347.34,41.505
5.271,1.091,8,10.795,0,2,0.0,9,16,24.2,48.5,15,1,0,0,37.897,24.268,33,2,22.591,0.057,1.148,27,35.0,25,0.735,12.1,12,35,356.24,35.989
5.818,1.029,10,10.412,0,1,0.0,5,17,31.3,53.1,17,0,2,0,35.007,23.96,32,3,24.648,0.088,1.094,24,33.5,22,0.749,6.3,17,34,333.17,32.931
7.509,1.001,32,7.27,1,1,1.4,6,31,46.4,44.9,20,11,0,0,77.319,43.693,69,5,45.944,0.068,1.121,42,52.0,37,0.633,1.4,18,74,501.64,69.061
6.688,0.998,27,7.281,1,1,1.7,5,27,45.8,45.8,20,7,0,0,65.734,37.729,59,5,39.722,0.079,1.114,36,46.0,32,0.639,0.0,18,63,429.55,58.898
6.903,0.993,33,7.009,1,1,1.4,5,31,47.8,44.9,20,11,0,0,76.979,43.309,69,5,46.006,0.068,1.116,41,51.0,36,0.628,0.0,18,74,483.65,68.549
4.523,1.024,14,9.756,3,1,7.5,7,19,35.0,47.5,15,4,2,0,44.838,28.505,40,0,29.455,0.0,1.121,30,39.0,26,0.713,7.5,16,44,390.26,40.978
5.68,1.012,18,9.674,1,3,2.1,6,24,37.5,50.0,22,2,1,0,52.914,33.647,48,4,35.029,0.078,1.102,33,45.0,30,0.701,2.1,18,51,464.33,48.593
5.573,1.014,14,8.176,0,1,0.0,4,18,38.9,50.0,17,1,0,0,39.744,24.547,36,4,25.148,0.105,1.104,24,33.5,22,0.682,0.0,17,38,294.32,36.494
7.201,0.998,33,7.138,1,1,1.4,6,31,47.1,44.3,20,11,0,0,78.189,44.024,70,6,46.461,0.08,1.117,42,52.0,37,0.629,0.0,18,75,499.65,69.876
7.569,1.003,29,7.749,1,1,1.5,7,29,44.6,44.6,20,9,1,1,72.278,42.158,65,5,44.585,0.071,1.112,41,51.0,36,0.649,0.0,18,70,503.66,65.185
6.409,1.003,29,7.749,1,1,1.5,7,29,44.6,44.6,20,9,1,1,72.278,42.158,65,5,44.585,0.071,1.112,41,51.0,36,0.649,0.0,18,70,503.66,65.185
7.638,1.004,27,7.426,1,1,1.7,6,27,45.0,45.0,20,7,0,0,66.943,38.444,60,5,40.176,0.078,1.116,37,47.0,33,0.641,0.0,18,64,445.55,60.225
6.602,1.018,22,8.118,0,2,0.0,7,26,40.0,47.3,21,5,0,0,61.033,36.798,55,5,37.557,0.085,1.11,37,48.0,33,0.669,0.0,18,59,446.48,56.011
7.357,1.018,22,8.118,0,2,0.0,7,26,40.0,47.3,21,5,0,0,61.033,36.798,55,5,37.557,0.085,1.11,37,48.0,33,0.669,0.0,18,59,446.48,56.011
9.194,1.016,25,8.057,1,3,1.6,8,29,40.3,46.8,22,7,0,0,68.947,41.347,62,5,42.324,0.075,1.112,42,54.0,37,0.667,0.0,18,67,499.55,62.996
4.018,0.993,30,6.687,0,2,0.0,4,25,50.8,42.4,16,9,0,0,66.066,35.761,59,5,38.239,0.082,1.12,31,39.0,29,0.606,0.0,12,61,394.55,58.563
6.0,1.001,32,7.256,2,1,2.9,7,30,46.4,43.5,20,10,0,0,77.272,43.519,69,5,45.705,0.068,1.12,42,52.0,37,0.631,0.0,18,74,500.64,69.094
6.0,1.001,32,7.256,2,1,2.9,7,30,46.4,43.5,20,10,0,0,77.272,43.519,69,5,45.705,0.068,1.12,42,52.0,37,0.631,0.0,18,74,500.64,69.094
5.39,1.031,8,11.783,1,2,3.7,5,14,29.6,51.9,14,0,1,0,29.629,20.298,27,1,20.767,0.034,1.097,21,29.0,19,0.752,3.7,12,29,318.13,27.847
