pXC50,nCsp3,nAT,nBT,RBN,Si,AMW,C.,H.,Me,Mi,Mp,Mv,MW
8.77,6,49,51,7,55.149,7.397,42.9,44.9,1.0,1.125,0.669,0.638,362.47
8.854,8,63,67,7,70.813,7.55,41.3,46.0,0.998,1.124,0.678,0.636,475.67
8.114,7,55,59,4,62.113,7.9,43.6,41.8,1.013,1.129,0.672,0.652,434.51
8.119,7,62,66,6,69.315,7.574,45.2,43.5,1.004,1.118,0.677,0.649,469.58
8.854,10,52,55,5,58.241,8.148,36.5,48.1,0.998,1.12,0.697,0.632,423.68
8.268,7,47,48,10,53.487,7.863,31.9,48.9,1.006,1.138,0.661,0.61,369.57
6.83,7,55,59,4,61.717,8.199,43.6,41.8,1.01,1.122,0.688,0.66,450.96
6.0,9,59,62,6,66.524,7.416,40.7,45.8,1.009,1.128,0.651,0.626,437.54
6.0,8,56,59,6,63.109,7.563,41.1,44.6,1.012,1.127,0.655,0.633,423.51
6.0,9,59,62,6,66.524,7.416,40.7,45.8,1.009,1.128,0.651,0.626,437.54
8.569,13,57,59,3,65.406,6.904,36.8,50.9,1.006,1.147,0.622,0.59,393.53
8.081,3,50,53,6,55.86,7.749,46.0,42.0,1.005,1.117,0.685,0.659,387.47
7.745,13,66,69,9,74.481,7.147,37.9,50.0,0.999,1.128,0.65,0.606,471.68
8.538,13,59,63,4,66.441,7.248,39.0,49.2,0.997,1.126,0.66,0.614,427.62
8.155,4,47,50,5,52.441,7.308,46.8,44.7,0.991,1.116,0.688,0.649,343.46
7.254,8,63,68,5,70.524,7.708,44.4,42.9,1.009,1.119,0.673,0.65,485.58
6.0,8,56,59,6,63.053,8.178,41.1,42.9,1.018,1.126,0.67,0.648,457.95
9.398,7,52,54,4,59.29,8.145,38.5,44.2,1.021,1.14,0.659,0.634,423.53
8.77,5,50,54,2,55.943,8.009,46.0,40.0,1.009,1.119,0.69,0.669,400.47
9.174,5,50,54,2,55.943,8.009,46.0,40.0,1.009,1.119,0.69,0.669,400.47
8.886,5,48,52,2,53.598,8.831,45.8,37.5,1.021,1.117,0.704,0.687,423.88
6.0,8,53,56,4,59.634,7.81,41.5,45.3,1.006,1.125,0.672,0.638,413.94
6.0,7,50,53,4,56.275,7.309,42.0,46.0,1.002,1.126,0.66,0.63,365.47
6.0,7,62,66,6,69.315,7.574,45.2,43.5,1.004,1.118,0.677,0.649,469.58
7.523,9,65,70,4,72.73,7.44,44.6,44.6,1.002,1.119,0.673,0.643,483.61
6.949,13,66,70,5,74.295,7.304,40.9,48.5,0.998,1.126,0.662,0.62,482.07
7.699,7,61,65,6,68.315,7.501,44.3,44.3,1.004,1.12,0.672,0.643,457.57
6.859,7,60,65,4,66.9,7.793,46.7,41.7,1.006,1.115,0.687,0.662,467.56
7.402,8,65,69,6,72.73,7.44,44.6,44.6,1.002,1.119,0.673,0.643,483.61
6.0,13,66,70,5,74.351,6.782,40.9,50.0,0.993,1.127,0.649,0.608,447.63
6.0,7,62,66,6,69.259,8.129,45.2,41.9,1.009,1.117,0.691,0.662,504.02
7.585,9,58,61,5,65.315,7.268,41.4,46.6,1.004,1.126,0.655,0.625,421.54
7.678,8,55,58,5,61.844,8.035,41.8,43.6,1.012,1.124,0.674,0.646,441.95
7.762,8,55,58,5,61.9,7.409,41.8,45.5,1.006,1.125,0.658,0.631,407.51
7.0,9,66,71,5,73.963,7.834,43.9,43.9,1.003,1.121,0.684,0.65,517.07
7.217,7,61,65,6,68.259,8.066,44.3,42.6,1.009,1.119,0.686,0.657,492.01
7.301,8,63,68,4,70.315,7.644,46.0,42.9,1.003,1.116,0.682,0.655,481.59
6.0,8,53,56,4,59.69,7.16,41.5,47.2,1.0,1.126,0.656,0.623,379.5
6.116,10,70,75,6,78.644,7.324,42.9,45.7,1.001,1.123,0.664,0.633,512.66
7.062,8,63,68,4,70.315,7.644,46.0,42.9,1.003,1.116,0.682,0.655,481.59
6.983,8,64,68,6,71.73,7.369,43.8,45.3,1.002,1.121,0.668,0.637,471.6
7.301,10,69,74,5,77.434,7.198,43.5,46.4,0.997,1.122,0.667,0.632,496.66
7.951,7,62,66,6,69.259,8.129,45.2,41.9,1.009,1.117,0.691,0.662,504.02
7.602,7,60,65,4,66.844,8.367,46.7,40.0,1.011,1.114,0.701,0.676,502.0
6.0,8,65,69,6,72.73,7.44,44.6,44.6,1.002,1.119,0.673,0.643,483.61
7.161,7,60,65,4,66.844,8.367,46.7,40.0,1.011,1.114,0.701,0.676,502.0
6.0,7,60,65,4,66.9,7.793,46.7,41.7,1.006,1.115,0.687,0.662,467.56
6.879,7,51,54,4,57.358,7.656,43.1,43.1,1.007,1.125,0.671,0.646,390.48
8.097,8,62,67,4,69.259,8.129,45.2,41.9,1.009,1.117,0.691,0.662,504.02
8.018,8,63,68,4,70.604,7.438,44.4,44.4,1.0,1.121,0.675,0.644,468.6
6.701,7,51,54,4,57.302,8.332,43.1,41.2,1.013,1.124,0.688,0.663,424.92
8.06,8,62,67,4,69.315,7.574,45.2,43.5,1.004,1.118,0.677,0.649,469.58
7.263,9,66,71,5,73.963,7.834,43.9,43.9,1.003,1.121,0.684,0.65,517.07
6.523,7,50,53,4,56.219,7.998,42.0,44.0,1.009,1.124,0.677,0.646,399.91
7.633,7,60,65,4,66.9,7.793,46.7,41.7,1.006,1.115,0.687,0.662,467.56
8.602,6,51,55,3,56.86,7.833,47.1,41.2,1.005,1.115,0.691,0.666,399.48
8.77,6,49,53,3,54.943,7.928,44.9,40.8,1.009,1.121,0.683,0.662,388.46
8.328,6,49,53,3,54.943,7.928,44.9,40.8,1.009,1.121,0.683,0.662,388.46
8.658,6,49,53,3,54.943,7.928,44.9,40.8,1.009,1.121,0.683,0.662,388.46
8.678,6,49,53,3,55.283,8.295,44.9,38.8,1.02,1.128,0.682,0.67,406.45
8.678,6,49,53,3,55.283,8.295,44.9,38.8,1.02,1.128,0.682,0.67,406.45
8.638,10,61,65,6,68.521,7.075,42.6,47.5,0.996,1.123,0.66,0.624,431.58
