pXC50,ATS8i,Eig01_EA.ri.,SpDiam_EA.ri.,SpMax_EA.ri.,SM04_EA.ri.,SM15_EA.ri.,ATS8e,ATSC7i,ATSC7p,SM06_EA.ri.,SM08_EA.ri.,SM09_EA.ri.,SM10_EA.ri.,SM11_EA.ri.,SM12_EA.ri.,SM13_EA.ri.,SM14_EA.ri.,Eig01_AEA.ri.,Eig01_EA,Eig03_AEA.ed.,Eig03_EA.ed.,SM09_AEA.bo.,SM12_AEA.dm.,SpDiam_EA,SpDiam_EA.ed.,SpMax_AEA.ri.,SpMax_EA,Eig04_AEA.ed.,Eig10_EA.ri.,SM11_EA.bo.,Eig04_AEA.bo.,Eig04_EA.ed.,SM13_AEA.dm.,SM14_EA.bo.,SM15_EA.bo.,CATS2D_05_AA,SpDiam_AEA.ri.,ATS7v,ATSC6i,SM13_EA.bo.,SM03_EA.ed.,SM04_EA.ed.,SM05_EA,SM05_EA.ed.,SM06_AEA.ed.,SM06_EA,SM06_EA.ed.,SM07_AEA.ed.,SM07_EA,SM07_EA.ed.,SM08_AEA.ed.,SM08_EA,SM08_EA.ed.,SM09_AEA.ed.,SM09_EA,SM10_AEA.ed.
7.027,4.744,3.042,4.978,3.042,5.85,16.869,4.464,1.237,8.545,7.598,9.524,10.427,11.558,12.558,13.657,14.705,15.796,4.179,3.241,5.717,8.073,3.241,8.073,5.241,18.766,4.179,3.241,5.371,0.983,17.033,3.573,7.007,7.007,21.579,23.09,2,5.273,3.683,1.411,20.053,7.545,10.689,6.463,12.437,12.525,7.966,15.083,14.305,8.742,17.212,16.107,10.017,19.702,17.928,10.99,19.764
5.523,4.96,3.052,5.052,3.052,6.065,17.324,4.692,1.41,10.085,7.884,9.871,10.817,11.951,12.977,14.083,15.146,16.243,4.185,3.246,6.124,8.977,3.246,8.977,5.246,18.796,4.185,3.246,5.713,1.206,17.164,3.858,7.712,7.712,21.682,23.182,2,5.257,3.955,1.484,20.164,7.83,10.965,6.735,12.743,12.81,8.196,15.397,14.61,9.024,17.525,16.43,10.284,20.015,18.265,11.286,20.112
7.42,5.001,3.048,5.048,3.048,6.045,17.3,4.745,1.457,10.384,7.862,9.848,10.791,11.928,12.952,14.059,15.122,16.219,4.183,3.244,6.109,8.911,3.244,8.911,5.244,18.779,4.183,3.244,5.711,1.206,17.134,3.839,7.695,7.695,21.661,23.163,1,5.255,3.997,1.522,20.14,7.808,10.947,6.686,12.735,12.787,8.167,15.387,14.591,8.988,17.52,16.414,10.256,20.008,18.252,11.256,20.102
7.658,5.03,3.079,5.079,3.079,6.169,17.525,4.789,1.552,10.843,8.026,10.04,11.001,12.137,13.17,14.277,15.344,16.442,4.206,3.264,6.22,9.311,3.264,9.311,5.264,18.823,4.206,3.264,6.045,1.267,17.151,3.93,8.681,8.681,21.675,23.177,1,5.279,4.071,1.597,20.155,7.951,11.064,6.836,12.865,12.903,8.294,15.506,14.711,9.137,17.635,16.537,10.396,20.116,18.376,11.404,20.225
6.963,4.888,3.044,4.986,3.044,5.87,16.94,4.601,1.267,7.694,7.639,9.582,10.495,11.626,12.631,13.73,14.778,15.868,4.179,3.241,6.095,8.848,3.241,8.848,5.241,18.765,4.179,3.241,5.401,0.98,17.028,3.638,7.005,7.005,21.579,23.087,1,5.252,3.754,1.382,20.05,7.6,10.748,6.479,12.522,12.579,7.993,15.168,14.372,8.777,17.302,16.186,10.06,19.786,18.016,11.039,19.859
6.613,4.879,3.044,4.985,3.044,5.877,16.963,4.589,1.236,7.073,7.652,9.6,10.516,11.648,12.654,13.753,14.802,15.892,4.179,3.241,6.095,8.848,3.241,8.848,5.241,18.765,4.179,3.241,5.401,0.98,17.028,3.638,7.005,7.005,21.579,23.087,2,5.252,3.73,1.371,20.05,7.6,10.748,6.479,12.522,12.579,7.993,15.168,14.372,8.777,17.302,16.186,10.06,19.786,18.016,11.039,19.859
6.777,4.883,3.044,5.044,3.044,5.999,17.211,4.595,1.325,8.621,7.81,9.788,10.724,11.86,12.879,13.983,15.04,16.135,4.179,3.24,6.104,8.888,3.24,8.888,5.24,18.764,4.179,3.24,5.456,1.0,17.054,3.806,7.176,7.176,21.595,23.101,1,5.251,3.796,1.435,20.069,7.692,10.829,6.581,12.605,12.676,8.074,15.25,14.473,8.874,17.379,16.29,10.146,19.863,18.123,11.131,19.968
6.815,4.896,3.047,5.047,3.047,6.043,17.363,4.62,1.576,8.709,7.87,9.87,10.825,11.964,12.996,14.107,15.176,16.277,4.18,3.241,6.105,8.893,3.241,8.893,5.241,18.766,4.18,3.241,5.711,1.255,17.129,3.837,7.691,7.691,21.656,23.157,1,5.252,3.833,1.699,20.135,7.786,10.929,6.673,12.718,12.769,8.149,15.372,14.573,8.974,17.507,16.397,10.24,19.997,18.237,11.242,20.088
7.456,5.17,3.162,5.162,3.162,6.169,17.784,4.907,2.253,10.87,8.045,10.095,11.091,12.241,13.309,14.439,15.54,16.667,4.321,3.416,6.363,9.487,3.416,9.487,5.416,20.303,4.321,3.416,6.105,1.267,17.204,4.018,8.89,8.89,21.721,23.22,1,5.393,4.044,2.132,20.204,8.187,11.275,7.022,13.246,13.079,8.451,15.915,14.936,9.39,18.195,16.815,10.655,20.74,18.709,11.741,20.617
7.658,5.163,3.05,5.05,3.05,6.062,17.415,4.879,1.551,10.482,7.893,9.898,10.857,11.998,13.035,14.148,15.221,16.325,4.18,3.241,6.105,8.893,3.241,8.893,5.241,18.766,4.18,3.241,5.775,1.264,17.136,3.842,7.877,7.877,21.662,23.164,1,5.253,3.991,1.631,20.142,7.816,10.958,6.686,12.756,12.79,8.169,15.41,14.595,8.992,17.551,16.421,10.261,20.042,18.262,11.263,20.114
