pXC50,P_VSA_i_4,CATS2D_06_DL,GATS8m,JGI6,H.049,SaaN,PCR,SaasC,AAC,AECC,ALOGP,ALOGP2,AMR,AMW,ARR,ATS1e,ATS1i,ATS1m,ATS1p,ATS1s,ATS1v,ATS2e,ATS2i,ATS2m,ATS2p,ATS2s,ATS2v,ATS3e,ATS3i,ATS3m,ATS3p,ATS3s,ATS3v,ATS4e,ATS4i,ATS4m,ATS4p,ATS4s,ATS4v,ATS5e,ATS5i,ATS5m,ATS5p,ATS5s,ATS5v,ATS6e,ATS6i,ATS6m,ATS6p,ATS6s,ATS6v,ATS7e,ATS7i,ATS7m,ATS7p,ATS7s,ATS7v,ATS8e,ATS8i,ATS8m,ATS8p,ATS8s,ATS8v,ATSC1e,ATSC1i,ATSC1m,ATSC1p,ATSC1s,ATSC1v,ATSC2e,ATSC2i,ATSC2m,ATSC2p,ATSC2s,ATSC2v,ATSC3e,ATSC3i,ATSC3m,ATSC3p,ATSC3s,ATSC3v,ATSC4e,ATSC4i,ATSC4m,ATSC4p,ATSC4s,ATSC4v,ATSC5e,ATSC5i,ATSC5m,ATSC5p,ATSC5s,ATSC5v,ATSC6e,ATSC6i,ATSC6m,ATSC6p,ATSC6s,ATSC6v,ATSC7e,ATSC7i,ATSC7m,ATSC7p,ATSC7s,ATSC7v,ATSC8e,ATSC8i,ATSC8m,ATSC8p,ATSC8s,ATSC8v,BAC,BBI,BIC0,BIC1,BIC2,BIC3,BIC4,BIC5,BID
6.921,117.437,1,1.164,0.012,3,12.877,1.512,4.355,1.567,11.704,3.7,13.689,110.342,8.663,0.6,3.877,3.99,3.626,3.526,5.077,3.49,4.341,4.491,3.982,3.895,5.463,3.829,4.549,4.749,3.98,3.976,5.592,3.874,4.536,4.751,3.926,3.888,5.656,3.785,4.45,4.67,3.785,3.784,5.589,3.703,4.369,4.576,3.793,3.731,5.576,3.662,4.34,4.558,3.658,3.668,5.531,3.603,4.241,4.449,3.494,3.609,5.337,3.508,0.026,0.678,6.826,3.418,9.249,3.963,0.15,1.09,13.145,5.781,15.158,6.851,0.142,1.282,20.989,8.199,22.867,9.666,0.265,1.299,22.084,7.715,34.714,9.184,0.218,1.179,19.317,6.704,31.914,7.848,0.214,1.094,16.905,6.216,31.543,7.891,0.216,1.056,15.679,5.56,35.463,6.713,0.134,0.926,15.068,5.651,29.02,6.728,3,40,0.267,0.639,0.798,0.895,0.91,0.91,3.34
5.538,85.765,0,1.563,0.015,1,8.946,1.401,3.414,1.703,9.333,2.987,8.922,96.441,8.652,0.444,3.8,3.905,3.554,3.402,4.947,3.377,4.323,4.475,3.934,3.787,5.388,3.738,4.513,4.707,3.947,3.894,5.53,3.804,4.477,4.689,3.903,3.825,5.601,3.733,4.384,4.598,3.758,3.723,5.545,3.65,4.262,4.441,3.713,3.674,5.448,3.6,4.275,4.483,3.587,3.591,5.403,3.505,4.184,4.396,3.409,3.473,5.294,3.346,0.038,0.625,6.47,3.346,8.51,3.775,0.264,1.031,14.384,5.768,17.311,6.382,0.305,1.206,21.209,7.801,23.208,8.895,0.301,1.221,21.063,7.052,33.363,8.461,0.324,1.072,18.495,6.182,33.305,7.41,0.193,0.956,14.358,5.81,23.905,7.341,0.16,0.92,14.428,5.744,27.888,7.139,0.216,0.861,17.801,5.814,36.814,6.286,3,37,0.3,0.674,0.78,0.832,0.841,0.841,3.229
6.401,135.877,1,1.206,0.011,3,16.624,1.483,3.14,1.652,10.962,2.56,6.555,105.011,9.061,0.586,3.834,3.955,3.617,3.417,5.063,3.405,4.299,4.462,3.978,3.786,5.458,3.746,4.455,4.66,3.919,3.853,5.516,3.765,4.439,4.646,3.905,3.794,5.614,3.711,4.366,4.58,3.767,3.694,5.554,3.629,4.278,4.477,3.775,3.635,5.546,3.585,4.256,4.467,3.64,3.56,5.488,3.516,4.165,4.379,3.434,3.484,5.278,3.399,0.086,0.718,5.777,3.019,8.994,3.267,0.269,1.114,11.86,4.944,17.793,5.445,0.278,1.2,18.848,6.949,24.475,7.785,0.341,1.196,18.92,6.47,33.24,7.353,0.312,1.094,16.808,5.767,32.173,6.533,0.279,1.022,14.346,5.301,31.022,6.584,0.248,0.976,13.342,4.769,33.031,5.608,0.207,0.863,13.709,4.873,30.2,5.578,3,39,0.286,0.696,0.829,0.897,0.905,0.905,3.304
5.742,115.612,2,1.112,0.012,1,8.685,1.511,3.693,1.645,11.821,5.056,25.563,112.716,8.852,0.581,3.9,4.008,3.658,3.557,5.126,3.524,4.37,4.511,4.033,3.928,5.561,3.87,4.603,4.799,4.036,4.009,5.729,3.918,4.575,4.782,3.985,3.92,5.756,3.828,4.508,4.726,3.824,3.811,5.695,3.738,4.42,4.627,3.836,3.753,5.692,3.69,4.372,4.585,3.692,3.691,5.582,3.634,4.284,4.489,3.591,3.639,5.526,3.551,0.048,0.73,6.533,3.624,9.543,4.043,0.159,1.181,12.658,6.214,15.978,7.133,0.247,1.446,21.927,8.856,37.744,9.923,0.309,1.413,22.322,8.292,41.44,9.565,0.314,1.319,20.609,7.376,51.692,8.096,0.355,1.23,17.898,6.648,45.015,8.071,0.241,1.121,15.996,5.847,41.745,6.714,0.3,1.059,15.423,5.826,45.362,6.815,6,42,0.28,0.643,0.784,0.894,0.913,0.913,3.374
5.301,167.059,1,1.304,0.011,1,19.732,1.491,3.484,1.693,10.2,2.48,6.152,98.362,9.706,0.607,3.756,3.879,3.59,3.336,5.055,3.337,4.187,4.334,3.955,3.704,5.423,3.678,4.315,4.499,3.893,3.755,5.462,3.684,4.304,4.493,3.878,3.69,5.564,3.631,4.221,4.415,3.755,3.6,5.506,3.557,4.158,4.343,3.773,3.538,5.519,3.514,4.125,4.324,3.565,3.451,5.399,3.424,4.03,4.24,3.364,3.32,5.226,3.257,0.151,0.691,4.187,2.551,10.34,2.404,0.267,1.037,8.106,4.288,17.312,4.277,0.3,1.09,14.201,5.851,25.506,5.874,0.37,1.086,14.157,5.185,29.937,4.984,0.31,0.981,12.893,4.942,31.583,5.114,0.302,0.942,11.079,4.452,28.222,5.162,0.255,0.869,10.007,3.904,31.125,3.92,0.245,0.765,11.007,3.971,30.521,3.933,3,38,0.299,0.738,0.837,0.894,0.904,0.904,3.267
6.833,119.337,1,1.138,0.013,3,12.793,1.476,3.24,1.599,11.778,2.75,7.562,109.938,8.534,0.567,3.906,4.028,3.641,3.504,5.084,3.476,4.39,4.558,3.996,3.882,5.483,3.822,4.581,4.798,3.946,3.952,5.574,3.843,4.569,4.798,3.928,3.891,5.659,3.787,4.482,4.705,3.792,3.796,5.591,3.712,4.429,4.652,3.787,3.733,5.611,3.658,4.359,4.578,3.639,3.66,5.498,3.587,4.295,4.523,3.52,3.582,5.394,3.489,0.035,0.741,7.445,3.511,9.607,4.151,0.224,1.178,14.918,5.884,16.752,7.093,0.199,1.312,22.957,8.386,24.261,10.211,0.34,1.315,23.866,7.819,36.27,9.694,0.205,1.19,20.191,6.888,30.896,8.483,0.349,1.154,18.706,6.233,37.222,8.12,0.159,1.044,16.244,5.79,30.964,7.396,0.231,0.98,16.786,5.617,34.331,6.938,3,40,0.272,0.673,0.831,0.899,0.907,0.907,3.339
6.469,117.437,1,1.193,0.01,3,12.735,1.52,4.248,1.584,10.885,3.379,11.416,105.588,8.961,0.621,3.815,3.925,3.594,3.472,5.044,3.443,4.264,4.405,3.957,3.839,5.425,3.782,4.456,4.639,3.954,3.919,5.541,3.825,4.451,4.655,3.899,3.829,5.613,3.734,4.364,4.579,3.772,3.721,5.543,3.652,4.263,4.455,3.78,3.668,5.544,3.621,4.233,4.427,3.618,3.627,5.471,3.566,4.161,4.362,3.414,3.557,5.261,3.447,0.035,0.636,5.755,3.056,8.5,3.363,0.154,1.019,10.983,5.087,13.939,5.706,0.137,1.184,17.739,7.273,20.701,8.137,0.258,1.215,19.31,6.983,30.671,7.881,0.202,1.089,17.546,6.317,29.839,7.167,0.235,1.017,14.096,5.139,30.676,6.035,0.199,0.961,12.397,4.81,31.85,5.405,0.125,0.844,13.411,5.381,25.669,6.252,3,39,0.274,0.633,0.768,0.857,0.877,0.877,3.304
5.301,67.755,0,1.513,0.015,1,7.964,1.425,2.881,1.76,7.2,3.825,14.631,82.726,10.372,0.545,3.502,3.589,3.414,3.217,4.763,3.174,3.956,4.086,3.848,3.58,5.172,3.523,4.084,4.219,3.89,3.722,5.244,3.621,4.143,4.282,3.841,3.707,5.385,3.583,4.069,4.233,3.662,3.553,5.365,3.457,4.026,4.225,3.705,3.414,5.416,3.317,3.798,4.007,3.254,3.152,5.039,3.057,3.553,3.792,2.744,2.794,4.68,2.635,0.037,0.425,2.269,2.02,5.073,2.13,0.197,0.699,7.185,3.587,13.315,3.514,0.117,0.776,8.848,4.817,13.315,4.953,0.21,0.871,15.614,5.973,16.667,5.593,0.144,0.753,11.454,4.9,21.341,5.053,0.291,0.742,14.801,4.66,41.341,4.553,0.125,0.538,7.653,3.527,20.598,4.165,0.183,0.396,11.364,3.144,24.319,3.362,11,31,0.331,0.693,0.794,0.869,0.882,0.882,3.059
5.301,82.641,0,0.891,0.016,2,7.97,1.437,2.781,1.619,7.111,2.616,6.844,73.024,9.705,0.6,3.4,3.493,3.265,3.117,4.686,3.078,3.817,3.932,3.639,3.478,5.011,3.413,3.967,4.121,3.623,3.54,5.118,3.435,3.917,4.085,3.568,3.423,5.205,3.319,3.766,3.945,3.326,3.234,5.085,3.157,3.615,3.787,3.144,3.073,4.995,3.01,3.481,3.688,2.742,2.821,4.762,2.763,3.209,3.441,2.169,2.49,4.29,2.362,0.027,0.393,2.834,1.854,5.043,1.848,0.085,0.628,5.488,3.054,8.42,2.986,0.087,0.716,10.355,4.627,12.476,4.623,0.165,0.731,10.948,4.368,18.149,4.387,0.102,0.605,9.178,3.628,19.739,3.407,0.128,0.534,7.74,2.94,19.314,2.828,0.077,0.429,4.647,2.178,16.254,2.392,0.061,0.309,4.039,1.882,12.341,2.238,3,27,0.311,0.657,0.802,0.888,0.902,0.902,2.962
5.301,100.652,2,2.203,0.019,1,7.955,1.434,2.95,1.815,7.25,3.487,12.158,83.401,12.911,0.545,3.459,3.555,3.488,3.134,4.765,3.132,3.89,3.999,3.947,3.504,5.19,3.484,4.075,4.224,4.09,3.591,5.321,3.544,4.06,4.236,4.002,3.54,5.395,3.467,3.94,4.107,4.294,3.412,5.383,3.36,3.763,3.91,3.821,3.281,5.285,3.213,3.613,3.781,3.555,3.109,4.958,3.012,3.27,3.415,3.358,2.863,4.536,2.699,0.094,0.425,1.236,1.56,6.586,1.355,0.204,0.645,2.407,2.647,13.738,2.517,0.248,0.748,11.909,4.191,18.377,3.852,0.305,0.753,10.025,4.244,28.332,4.348,0.293,0.641,18.604,3.986,33.335,3.306,0.278,0.525,15.494,3.416,28.184,2.985,0.201,0.431,8.015,2.816,24.694,2.515,0.127,0.279,13.166,2.505,13.717,2.051,11,31,0.346,0.711,0.779,0.807,0.807,0.807,3.059
