pXC50,AMW,C.,H.,Me,Mi,Mp,Mv,MW,N.
8.0,5.998,32.6,57.6,0.993,1.143,0.595,0.549,551.86,3.3
8.699,6.034,32.5,57.5,0.995,1.142,0.594,0.549,482.74,2.5
8.523,5.985,32.5,57.8,0.994,1.142,0.593,0.548,496.77,2.4
7.602,6.244,31.9,57.4,0.995,1.14,0.603,0.552,586.93,2.1
8.155,6.367,32.1,54.8,0.999,1.147,0.602,0.562,534.79,7.1
6.721,6.163,33.3,56.4,0.996,1.141,0.599,0.556,480.72,2.6
9.0,5.814,33.0,58.8,0.988,1.142,0.596,0.545,563.92,3.1
8.523,6.174,32.9,56.5,0.998,1.141,0.597,0.555,524.78,2.4
7.046,6.42,32.1,56.4,0.997,1.14,0.607,0.559,500.78,2.6
8.398,5.85,33.0,58.5,0.988,1.142,0.597,0.546,549.89,3.2
8.699,5.957,32.6,57.9,0.992,1.143,0.595,0.548,565.89,3.2
8.523,5.998,32.6,57.6,0.993,1.143,0.595,0.549,551.86,3.3
7.678,6.17,35.8,55.6,0.99,1.136,0.615,0.568,499.77,3.7
8.222,6.091,32.6,57.0,0.995,1.143,0.596,0.552,523.8,3.5
7.398,6.073,32.9,57.0,0.994,1.143,0.598,0.553,479.74,3.8
7.638,6.288,32.9,55.7,1.001,1.142,0.597,0.558,496.72,2.5
8.699,5.985,32.5,57.8,0.994,1.142,0.593,0.548,496.77,2.4
7.886,6.174,32.9,56.5,0.998,1.141,0.597,0.555,524.78,2.4
8.523,6.043,32.6,57.3,0.994,1.143,0.596,0.551,537.83,3.4
8.523,5.957,32.6,57.9,0.992,1.143,0.595,0.548,565.89,3.2
7.276,5.948,32.1,58.0,0.992,1.144,0.593,0.546,481.76,3.7
8.398,6.169,33.0,56.4,0.997,1.142,0.598,0.556,579.87,3.2
8.523,6.109,33.3,56.7,0.994,1.141,0.6,0.556,549.84,3.3
7.886,6.091,32.6,57.0,0.995,1.143,0.596,0.552,523.8,3.5
8.155,6.043,32.6,57.3,0.994,1.143,0.596,0.551,537.83,3.4
8.398,5.957,32.6,57.9,0.992,1.143,0.595,0.548,565.89,3.2
9.0,6.043,32.6,57.3,0.994,1.143,0.596,0.551,537.83,3.4
8.222,6.205,32.2,56.3,0.999,1.144,0.594,0.554,539.8,3.4
8.155,5.998,32.6,57.6,0.993,1.143,0.595,0.549,551.86,3.3
7.921,6.224,32.6,57.3,0.991,1.14,0.609,0.556,553.9,3.4
6.699,6.043,32.6,57.3,0.994,1.143,0.596,0.551,537.83,3.4
8.398,6.043,32.6,57.3,0.994,1.143,0.596,0.551,537.83,3.4
8.222,5.998,32.6,57.6,0.993,1.143,0.595,0.549,551.86,3.3
8.523,6.043,32.6,57.3,0.994,1.143,0.596,0.551,537.83,3.4
8.523,5.957,32.6,57.9,0.992,1.143,0.595,0.548,565.89,3.2
8.699,6.308,32.2,55.2,0.998,1.147,0.601,0.561,548.82,6.9
7.824,5.908,32.9,58.2,0.991,1.141,0.595,0.547,466.74,2.5
8.523,6.147,33.8,56.3,0.994,1.141,0.603,0.559,491.75,3.8
7.602,5.821,32.9,58.8,0.989,1.141,0.595,0.544,494.8,2.4
7.155,5.94,32.6,58.1,0.993,1.142,0.593,0.546,510.8,2.3
7.886,6.197,32.5,56.3,0.998,1.143,0.597,0.555,495.74,3.8
7.959,6.142,32.5,56.6,0.996,1.143,0.596,0.554,509.77,3.6
7.959,6.091,32.6,57.0,0.995,1.143,0.596,0.552,523.8,3.5
