pXC50,SpMin3_Bh.v.,SpMin3_Bh.p.,SpMin8_Bh.p.,Sp,IDDE,SpMin3_Bh.m.,TIC2,LLS_02,SpMin6_Bh.p.,SpMax2_Bh.v.,SpMin4_Bh.m.,S2K,Eta_epsi,Eig08_AEA.bo.,TIC4,Eig12_AEA.ri.,Eig08_AEA.ri.,SM05_EA.bo.,Eig08_EA.ri.,P_VSA_LogP_3,SpMaxA_AEA.dm.,IC4,Eta_C,Eig06_AEA.ri.,ATS6e,NaasN,DLS_cons,NdO,ATS2i,Uindex,ATS7i,SpMin4_Bh.s.,SpMax5_Bh.e.,TIE,ATSC2i,ATSC6m,ATS3e,SpMax7_Bh.s.,N.073,P_VSA_i_3,GGI9,SpMax4_Bh.i.,CIC0,ATSC8v,SM07_EA.bo.,DLS_07,ZM2MulPer,ATSC1m,TPSA.NO.,P_VSA_MR_1,ATS4e,SpMin5_Bh.e.,SM10_EA.bo.,SpMax8_Bh.p.,nHAcc,ATSC1v,SpMax7_Bh.m.,Rperim,SpMax7_Bh.p.,SpMax5_Bh.i.,ATS5i,nH,nR06,ATS4i,ATSC3m,Eig07_EA.bo.,SpMax8_Bh.i.,Eig02_AEA.bo.
4.394,1.822,1.834,1.404,39.784,4.786,1.806,268.001,0.75,1.566,3.871,1.65,9.007,35.4,3.316,311.975,2.228,2.898,7.984,1.848,115.978,0.119,5.672,30.914,3.217,5.021,0,0.8,2,4.771,46.919,5.061,0.824,3.532,59.968,1.238,35.892,4.911,4.564,0,337.131,0.274,3.722,4.153,11.368,10.787,1.0,610.018,8.247,94.03,223.651,4.959,1.448,15.063,2.83,7,5.226,3.099,28,3.075,3.541,5.157,20,4,5.122,26.512,2.662,3.004,4.356
4.987,1.983,1.967,1.121,42.091,4.948,2.006,259.393,0.63,1.562,3.871,1.745,9.456,35.933,3.321,323.008,2.345,2.902,7.958,1.854,132.667,0.116,5.569,31.921,3.217,5.105,0,0.76,2,4.812,48.83,5.175,0.891,3.534,60.695,1.278,40.739,4.967,4.559,0,351.166,0.285,3.743,4.293,14.308,10.758,1.0,597.054,9.34,80.89,247.193,5.026,1.457,15.067,2.873,6,5.876,3.099,29,3.086,3.543,5.216,22,5,5.206,28.714,2.662,3.036,4.356
6.338,2.041,2.023,1.616,62.114,4.393,2.071,413.316,0.5,1.751,4.001,2.057,14.854,55.333,3.731,469.148,2.874,3.336,8.854,2.287,132.667,0.064,5.099,56.522,3.685,5.708,0,0.49,2,5.243,85.498,5.879,1.255,3.687,190.506,1.935,68.09,5.424,6.401,0,683.065,0.776,3.953,5.058,28.262,11.879,0.5,800.935,18.167,179.58,353.133,5.614,1.639,16.489,3.346,10,10.422,3.426,32,3.396,3.708,5.874,40,6,5.787,45.179,3.178,3.5,4.725
6.357,2.041,2.023,1.616,62.114,4.393,2.071,413.316,0.5,1.751,4.001,2.057,14.854,55.333,3.731,469.148,2.874,3.336,8.854,2.287,132.667,0.064,5.099,56.522,3.685,5.708,0,0.49,2,5.243,85.498,5.879,1.255,3.687,190.506,1.935,68.09,5.424,6.401,0,683.065,0.776,3.953,5.058,28.262,11.879,0.5,800.935,18.167,179.58,353.133,5.614,1.639,16.489,3.346,10,10.422,3.426,32,3.396,3.708,5.874,40,6,5.787,45.179,3.178,3.5,4.725
4.0,1.98,1.974,1.511,46.523,5.222,1.993,318.791,0.75,1.629,3.872,1.741,11.067,41.467,3.417,383.42,2.372,3.014,8.092,1.958,123.191,0.105,5.809,38.937,3.228,5.361,0,0.73,2,4.959,56.9,5.479,0.888,3.536,77.399,1.47,51.633,5.06,4.596,0,420.25,0.386,3.746,4.444,19.635,10.908,1.0,672.737,11.218,99.35,270.735,5.189,1.457,15.219,2.971,8,6.883,3.234,29,3.135,3.549,5.443,26,5,5.352,30.942,2.664,3.314,4.395
4.143,1.971,1.959,1.146,41.546,4.948,1.992,262.638,0.75,1.515,3.856,1.693,10.546,36.7,3.273,325.008,2.185,2.849,7.851,1.765,142.144,0.119,5.604,30.127,3.139,5.066,0,0.78,2,4.779,54.151,5.152,0.817,3.531,66.817,1.249,38.631,4.887,4.593,0,362.166,0.278,3.75,4.247,13.586,10.618,1.0,603.576,9.238,90.12,247.193,4.938,1.453,14.88,2.871,7,5.732,3.07,27,2.971,3.536,5.144,22,4,5.098,26.442,2.579,3.043,4.24
4.0,1.999,1.993,1.512,54.046,5.176,2.008,359.068,0.63,1.693,3.872,1.988,13.11,46.867,3.51,451.333,2.578,3.139,8.203,2.072,161.096,0.091,5.939,44.635,3.449,5.418,0,0.64,2,5.087,64.111,5.554,1.108,3.724,84.386,1.649,54.036,5.207,4.746,0,467.335,0.508,3.904,4.704,23.057,11.005,1.0,755.638,13.004,99.35,341.362,5.302,1.592,15.314,3.089,8,8.024,3.44,35,3.249,3.744,5.52,30,6,5.474,36.538,2.852,3.315,4.378
4.0,2.001,1.996,1.569,61.262,5.539,2.008,399.34,0.5,1.745,3.947,1.99,14.82,53.133,3.598,520.043,2.79,3.232,8.416,2.169,199.001,0.079,6.118,51.849,3.542,5.568,0,0.44,3,5.178,73.145,5.673,1.109,3.757,106.535,1.776,60.086,5.323,4.826,0,516.022,0.61,3.912,4.882,24.673,11.247,1.0,889.092,13.441,116.42,364.904,5.414,1.76,15.581,3.249,9,8.52,3.48,41,3.411,3.785,5.638,32,7,5.568,39.021,3.283,3.499,4.454
4.0,1.989,1.983,1.366,46.489,5.016,1.999,319.679,0.63,1.643,3.866,1.927,11.48,42.262,3.483,379.454,2.481,3.017,8.066,1.951,132.667,0.103,5.838,39.769,3.267,5.28,0,0.6,2,4.931,59.07,5.423,1.061,3.653,94.901,1.656,47.039,5.096,4.79,0,374.708,0.43,3.835,4.339,18.642,10.822,1.0,693.053,9.603,80.89,300.656,5.138,1.473,15.068,3.082,8,6.468,3.21,31,3.169,3.675,5.301,24,5,5.327,32.405,2.766,3.265,4.305
4.444,1.981,1.973,1.449,44.307,4.86,1.995,291.876,0.75,1.558,3.871,1.745,10.259,38.7,3.38,348.405,2.371,2.972,8.061,1.903,123.191,0.11,5.619,35.15,3.246,5.236,0,0.69,2,4.888,52.925,5.284,0.891,3.538,67.443,1.379,47.111,5.01,4.568,0,385.708,0.29,3.746,4.369,17.407,10.871,1.0,638.259,10.279,90.12,270.735,5.101,1.464,15.175,2.97,7,6.385,3.102,29,3.082,3.548,5.331,24,5,5.267,29.722,2.67,3.263,4.357
