pXC50,SpMin2_Bh.s.,SpMin3_Bh.s.,Eig05_EA.ed.,SM14_AEA.dm.,Eig05_EA.ri.,Eig07_EA.ri.,Eig07_EA.bo.,MATS1i,ATS4i,Eig05_AEA.ri.,SM09_EA.bo.,SM11_EA.bo.,SM12_EA.bo.,ATS4e,Eig05_AEA.ed.,SM03_EA.bo.,SM10_EA.bo.,Eig06_AEA.bo.,P_VSA_s_3,X3v,Eta_B_A,AAC,AECC,ALOGP,ALOGP2,AMR,AMW,ARR,ATS1e,ATS1i,ATS1m,ATS1p,ATS1s,ATS1v,ATS2e,ATS2i,ATS2m,ATS2p,ATS2s,ATS2v,ATS3e,ATS3i,ATS3m,ATS3p,ATS3s,ATS3v,ATS4m,ATS4p,ATS4s,ATS4v,ATS5e,ATS5i,ATS5m,ATS5p,ATS5s,ATS5v,ATS6e,ATS6i,ATS6m,ATS6p,ATS6s,ATS6v,ATS7e,ATS7i
4.699,1.339,1.312,7.408,7.408,2.307,2.107,2.685,-0.053,6.078,3.358,13.204,15.888,17.256,5.824,5.762,5.165,14.577,3.655,64.693,10.04,0.037,1.38,17.286,5.251,27.576,162.046,6.342,0.0,4.579,4.701,3.976,4.049,5.577,4.001,5.207,5.401,4.393,4.5,6.175,4.425,5.57,5.774,4.554,4.785,6.538,4.677,4.578,4.901,6.728,4.751,5.881,6.152,4.518,4.879,6.785,4.724,5.795,6.055,4.52,4.815,6.719,4.677,5.757,6.0
6.398,1.174,0.946,6.462,6.462,2.011,1.477,2.322,-0.158,5.181,3.11,13.971,16.959,18.483,4.932,5.201,4.856,15.528,3.263,33.987,5.123,0.024,1.622,10.852,2.846,8.098,101.737,7.389,0.533,4.034,4.155,3.584,3.5,5.161,3.503,4.574,4.748,3.946,3.92,5.625,3.891,4.859,5.07,4.011,4.043,5.939,3.978,3.874,3.966,5.95,3.88,4.764,5.005,3.748,3.853,5.764,3.772,4.634,4.84,3.806,3.831,5.75,3.784,4.67,4.877
6.174,0.921,0.715,4.715,4.715,1.433,0.984,1.408,-0.331,4.651,2.501,13.734,16.763,18.301,4.454,4.787,4.527,15.299,2.845,6.187,3.15,0.027,1.883,7.75,-1.677,2.812,65.652,8.759,0.455,3.667,3.774,3.326,2.977,5.017,3.07,4.154,4.289,3.717,3.386,5.409,3.466,4.415,4.569,3.822,3.471,5.846,3.533,3.707,3.442,5.781,3.477,4.345,4.554,3.542,3.322,5.71,3.341,4.187,4.39,3.382,3.133,5.642,3.153,3.975,4.2
5.734,1.057,0.787,4.46,4.46,1.438,0.959,1.38,-0.279,4.713,2.486,13.729,16.76,18.298,4.485,4.685,4.527,15.294,2.656,8.722,3.366,0.032,1.803,6.444,-1.998,3.991,61.982,8.106,0.5,3.612,3.73,3.214,2.978,4.851,3.035,4.137,4.289,3.639,3.426,5.326,3.46,4.458,4.646,3.729,3.515,5.826,3.527,3.526,3.461,5.762,3.43,4.305,4.557,3.303,3.285,5.472,3.241,4.016,4.232,3.166,3.012,5.387,2.999,3.82,4.065
4.544,1.057,0.775,5.579,5.579,1.677,1.017,1.517,-0.24,4.724,2.746,13.802,16.837,18.377,4.504,5.016,4.663,15.366,2.671,16.985,3.4,0.036,1.967,6.526,-1.429,2.042,62.814,8.686,0.476,3.626,3.738,3.272,2.975,4.922,3.053,4.156,4.301,3.726,3.424,5.508,3.479,4.47,4.652,3.798,3.511,5.886,3.55,3.663,3.457,5.91,3.461,4.339,4.577,3.472,3.277,5.685,3.289,4.051,4.253,3.294,3.004,5.515,3.046,3.887,4.104
4.347,1.025,0.788,4.73,4.73,1.444,1.335,1.751,-0.211,4.801,2.534,13.731,16.761,18.299,4.593,4.789,4.527,15.296,3.038,40.206,4.401,0.025,1.883,9.182,0.325,0.106,81.733,8.686,0.417,3.764,3.869,3.487,3.234,4.994,3.238,4.287,4.423,3.851,3.627,5.446,3.61,4.518,4.671,3.975,3.69,5.866,3.676,3.869,3.707,5.747,3.649,4.505,4.713,3.729,3.612,5.668,3.554,4.393,4.599,3.638,3.524,5.663,3.459,4.299,4.523
7.456,0.928,0.835,3.672,3.672,1.45,0.962,1.408,-0.143,4.511,2.487,13.732,16.765,18.303,4.287,4.151,4.46,15.3,2.632,6.616,3.047,0.029,1.718,6.353,-0.513,0.263,62.667,8.009,0.526,3.531,3.649,3.139,2.984,4.749,3.014,4.029,4.173,3.544,3.406,5.216,3.419,4.304,4.496,3.583,3.47,5.615,3.457,3.382,3.425,5.437,3.37,4.143,4.38,3.159,3.268,5.256,3.188,3.935,4.175,2.937,2.975,5.129,2.908,3.679,3.932
5.147,0.879,0.754,3.672,3.672,1.397,0.958,1.408,-0.286,4.471,2.45,13.732,16.765,18.303,4.244,4.151,4.46,15.3,2.632,6.187,2.914,0.029,1.776,6.353,-1.082,1.17,61.473,8.331,0.526,3.513,3.633,3.15,2.926,4.763,2.977,4.007,4.157,3.555,3.346,5.237,3.379,4.258,4.444,3.594,3.394,5.616,3.404,3.388,3.335,5.442,3.307,4.084,4.322,3.173,3.156,5.277,3.112,3.81,4.039,2.934,2.861,5.103,2.831,3.58,3.818
4.398,1.252,1.107,6.246,6.246,2.033,1.75,1.889,0.038,5.631,3.046,13.18,15.905,17.288,5.392,5.507,4.89,14.574,3.01,37.089,7.624,0.039,1.284,8.038,3.718,13.825,103.934,6.402,0.0,4.081,4.198,3.503,3.624,5.093,3.567,4.697,4.882,3.948,4.105,5.589,4.029,5.076,5.26,4.212,4.428,6.112,4.324,4.161,4.574,6.31,4.405,5.506,5.802,4.064,4.535,6.346,4.333,5.351,5.629,3.994,4.354,6.283,4.191,5.174,5.422
5.602,0.98,0.728,4.664,4.664,1.409,0.936,1.385,-0.414,4.631,2.477,13.731,16.761,18.299,4.447,4.776,4.527,15.295,2.724,3.859,3.131,0.029,1.862,7.105,-1.541,2.374,60.221,8.654,0.476,3.636,3.723,3.281,2.949,4.924,3.043,4.161,4.283,3.7,3.364,5.433,3.447,4.431,4.58,3.811,3.439,5.887,3.506,3.658,3.393,5.815,3.432,4.312,4.52,3.422,3.259,5.657,3.262,4.123,4.331,3.278,3.061,5.485,3.077,3.902,4.097
7.745,1.162,0.934,4.664,4.664,1.49,0.971,1.385,-0.121,4.909,2.53,13.731,16.761,18.299,4.674,4.776,4.527,15.295,2.724,9.151,3.855,0.029,1.707,7.105,-1.719,2.955,67.799,7.552,0.476,3.703,3.823,3.25,3.116,4.884,3.139,4.241,4.397,3.655,3.57,5.329,3.566,4.576,4.779,3.77,3.692,5.768,3.662,3.642,3.651,5.876,3.599,4.529,4.786,3.424,3.477,5.727,3.404,4.206,4.439,3.239,3.259,5.401,3.201,4.08,4.32
4.0,1.112,0.907,3.672,3.672,1.438,0.977,1.167,-0.157,4.674,2.478,13.719,16.755,18.294,4.432,4.151,4.46,15.287,2.43,11.685,3.444,0.029,1.685,6.353,-0.129,0.017,62.839,7.558,0.526,3.585,3.71,3.147,3.022,4.739,3.04,4.123,4.287,3.555,3.469,5.217,3.46,4.435,4.647,3.597,3.545,5.612,3.51,3.404,3.496,5.543,3.425,4.281,4.538,3.179,3.359,5.298,3.252,4.041,4.289,2.96,3.068,5.158,2.977,3.817,4.085
7.398,0.902,0.659,3.672,3.672,1.398,0.719,1.109,-0.483,4.427,2.451,13.707,16.747,18.288,4.253,4.105,4.388,15.278,2.583,6.187,2.424,0.02,1.877,7.211,-1.384,1.914,63.89,8.842,0.5,3.561,3.668,3.231,2.902,4.924,2.988,4.046,4.191,3.56,3.23,5.349,3.308,4.223,4.375,3.672,3.32,5.687,3.385,3.611,3.346,5.694,3.386,4.256,4.455,3.448,3.265,5.664,3.28,4.121,4.302,3.372,3.077,5.779,3.12,3.933,4.141
4.438,1.02,0.77,5.725,5.725,1.605,1.021,1.539,-0.234,4.686,2.734,13.869,16.873,18.398,4.519,5.248,4.705,15.419,2.994,12.874,3.894,0.031,1.955,7.1,-1.357,1.842,72.246,9.304,0.455,3.647,3.753,3.358,3.069,4.93,3.119,4.148,4.285,3.793,3.51,5.398,3.539,4.404,4.554,4.005,3.645,5.77,3.655,4.02,3.646,5.99,3.633,4.429,4.636,3.707,3.47,5.796,3.426,4.102,4.313,3.435,3.201,5.415,3.181,3.979,4.191
4.221,1.028,0.772,5.725,5.725,1.575,1.008,1.539,-0.213,4.676,2.728,13.869,16.873,18.398,4.509,5.248,4.705,15.419,2.994,12.428,4.406,0.031,1.955,7.1,-1.273,1.621,75.064,10.693,0.455,3.645,3.75,3.479,3.091,4.913,3.128,4.145,4.282,3.947,3.539,5.38,3.55,4.398,4.548,4.257,3.696,5.739,3.675,4.371,3.707,5.899,3.66,4.42,4.628,3.995,3.526,5.746,3.448,4.099,4.31,3.649,3.24,5.392,3.197,3.974,4.185
6.0,0.927,0.719,3.667,3.667,1.398,0.813,1.229,-0.317,4.65,2.451,13.703,16.727,18.263,4.434,4.111,4.46,15.269,2.649,11.479,2.763,0.022,1.763,8.053,-1.602,2.566,70.158,7.803,0.5,3.662,3.787,3.22,3.016,4.927,3.06,4.132,4.306,3.537,3.379,5.358,3.396,4.31,4.502,3.615,3.488,5.613,3.475,3.495,3.473,5.699,3.428,4.434,4.699,3.19,3.324,5.588,3.23,4.168,4.432,3.154,3.158,5.264,3.105,4.066,4.295
4.0,1.035,0.771,5.736,5.736,1.683,1.387,2.051,-0.125,4.767,2.763,13.871,16.874,18.401,4.569,5.25,4.705,15.426,3.051,20.6,3.571,0.028,1.95,8.364,-0.974,1.179,67.869,9.282,0.417,3.685,3.806,3.395,3.062,5.083,3.143,4.171,4.323,3.782,3.482,5.492,3.546,4.433,4.594,3.935,3.584,5.874,3.65,3.907,3.582,6.162,3.633,4.475,4.701,3.761,3.436,5.978,3.483,4.222,4.43,3.604,3.244,5.866,3.301,4.098,4.333
4.897,1.03,0.77,5.725,5.725,1.678,1.053,1.539,-0.192,4.749,2.752,13.869,16.873,18.398,4.549,5.248,4.705,15.419,2.994,20.6,3.477,0.031,1.903,7.1,-2.106,4.434,69.315,8.494,0.455,3.672,3.802,3.306,3.048,4.969,3.111,4.175,4.335,3.727,3.479,5.429,3.525,4.444,4.62,3.888,3.573,5.847,3.621,3.837,3.559,6.146,3.589,4.496,4.738,3.575,3.409,5.914,3.408,4.18,4.42,3.339,3.177,5.483,3.173,4.028,4.275
