pXC50,nCsp,nTB,Me,nF
7.276,0,0,1.008,0
8.585,1,1,0.996,0
6.509,0,0,1.028,3
5.377,0,0,1.025,3
5.432,0,0,1.018,3
5.119,0,0,1.026,3
5.469,0,0,1.029,3
5.398,0,0,1.034,4
8.143,1,1,0.994,0
7.959,2,2,0.994,0
8.31,1,1,0.993,0
8.328,1,1,0.996,0
7.678,1,1,1.0,0
8.509,1,1,1.001,0
7.959,1,1,1.0,0
6.301,1,1,1.004,0
8.495,1,1,0.993,0
8.357,1,1,1.0,0
8.638,1,1,1.007,0
8.357,1,1,1.001,0
9.194,1,1,0.999,0
8.167,1,1,1.008,0
8.022,1,1,1.005,0
7.745,1,1,1.005,0
7.31,1,1,1.001,0
7.638,1,1,1.0,0
7.886,1,1,0.998,0
8.509,1,1,0.998,0
8.328,1,1,0.998,0
8.495,1,1,0.998,0
8.194,1,1,0.999,0
7.658,1,1,0.995,0
8.398,1,1,0.996,0
7.886,1,1,1.003,0
7.602,1,1,1.002,0
7.432,0,0,0.999,0
7.171,0,0,0.998,0
6.963,0,0,1.003,0
7.194,0,0,1.009,0
6.652,0,0,1.009,0
6.839,0,0,1.008,0
6.529,0,0,1.004,0
7.447,0,0,1.008,0
7.387,0,0,1.004,0
7.108,0,0,1.002,0
6.772,0,0,1.026,3
7.191,0,0,1.001,0
6.824,0,0,1.004,0
7.298,0,0,0.999,0
7.334,0,0,0.998,0
7.127,0,0,1.001,0
8.252,1,1,0.998,0
8.046,0,0,0.998,0
7.796,0,0,1.001,0
7.0,0,0,1.02,0
8.699,0,0,1.016,2
8.678,0,0,1.009,0
9.155,0,0,1.004,0
6.886,0,0,1.007,0
8.481,0,0,0.999,0
7.252,0,0,0.999,0
9.0,0,0,1.004,0
7.638,0,0,1.01,0
7.921,0,0,1.013,2
7.26,0,0,1.001,0
8.959,0,0,1.003,0
9.222,0,0,1.001,0
8.699,0,0,1.001,0
8.602,0,0,0.999,0
7.943,0,0,0.999,0
7.076,0,0,1.018,0
9.222,0,0,1.001,0
8.886,0,0,1.001,0
7.347,0,0,0.995,0
8.62,0,0,1.007,0
8.268,0,0,0.998,0
7.585,0,0,0.997,0
6.523,0,0,1.008,0
9.0,0,0,0.996,0
9.046,0,0,1.006,0
6.523,0,0,1.006,0
