pXC50,RBN,AMW,H.,SCBO,Si,nH,nCsp2,Se,nBT,Sv,Sp,nC,nSK,nBO,nN,MW,Mi,nCsp3,nAT,Mv,Mp,nHet,C.,nDB
4.721,7,7.26,48.6,51.0,81.315,35,15,71.789,76.0,44.514,47.699,29,37,41,4,522.75,1.129,14,72.0,0.618,0.662,8,40.3,2
4.125,7,7.123,49.3,50.0,80.058,35,14,70.494,75.0,43.626,47.006,28,36,40,5,505.75,1.128,14,71.0,0.614,0.662,8,39.4,2
4.301,7,7.123,49.3,50.0,80.058,35,14,70.494,75.0,43.626,47.006,28,36,40,5,505.75,1.128,14,71.0,0.614,0.662,8,39.4,2
4.222,7,7.123,49.3,50.0,80.058,35,14,70.494,75.0,43.626,47.006,28,36,40,5,505.75,1.128,14,71.0,0.614,0.662,8,39.4,2
4.31,7,7.26,48.6,51.0,81.315,35,15,71.789,76.0,44.514,47.699,29,37,41,4,522.75,1.129,14,72.0,0.618,0.662,8,40.3,2
4.509,7,7.372,47.2,54.0,80.769,34,15,71.72,76.0,45.319,48.455,30,38,42,4,530.75,1.122,13,72.0,0.629,0.673,8,41.7,2
4.328,7,7.458,49.2,45.5,73.065,32,13,64.585,68.0,40.265,43.887,25,33,36,4,484.75,1.124,12,65.0,0.619,0.675,8,38.5,2
4.62,7,7.496,47.1,51.0,79.109,33,15,70.232,74.0,43.702,46.392,28,37,41,4,524.72,1.13,13,70.0,0.624,0.663,9,40.0,2
4.167,7,7.011,50.0,50.0,80.975,36,15,71.276,76.0,44.131,47.762,29,36,40,4,504.76,1.125,14,72.0,0.613,0.663,7,40.3,2
4.456,7,7.239,48.6,50.0,78.769,34,15,69.72,74.0,43.319,46.455,28,36,40,4,506.73,1.125,13,70.0,0.619,0.664,8,40.0,2
4.456,7,7.489,48.6,51.0,80.919,35,15,71.6,76.0,44.959,48.62,29,37,41,4,539.2,1.124,14,72.0,0.624,0.675,8,40.3,2
4.495,7,7.489,46.5,54.0,79.853,33,15,70.938,75.0,44.814,47.699,29,38,42,5,531.74,1.125,13,71.0,0.631,0.672,9,40.8,2
